frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.67,-3.22,7.67,-3.22,3.24,-0.01,0.98,10.91,10.91,10.89
20.20,7.69,-3.22,7.68,-3.22,3.23,-0.01,1.01,10.91,10.91,10.91
20.40,7.70,-3.22,7.70,-3.22,3.21,-0.01,1.04,10.92,10.91,10.93
20.61,7.72,-3.22,7.72,-3.22,3.20,-0.01,1.07,10.92,10.93,10.94
20.81,7.76,-3.20,7.76,-3.20,3.18,-0.01,1.11,10.94,10.94,10.96
21.02,7.80,-3.17,7.80,-3.18,3.17,-0.01,1.14,10.97,10.96,10.97
21.23,7.84,-3.15,7.84,-3.15,3.15,-0.02,1.17,10.99,10.99,10.99
21.44,7.88,-3.12,7.88,-3.12,3.13,-0.02,1.21,11.01,11.01,11.00
21.66,7.93,-3.09,7.93,-3.09,3.10,-0.02,1.25,11.02,11.02,11.02
21.87,7.97,-3.07,7.97,-3.07,3.07,-0.02,1.29,11.04,11.04,11.03
22.09,8.01,-3.04,8.01,-3.04,3.04,-0.02,1.32,11.05,11.05,11.05
22.31,8.05,-3.02,8.05,-3.02,3.02,-0.02,1.36,11.06,11.06,11.06
22.54,8.08,-2.99,8.08,-2.99,2.99,-0.02,1.41,11.07,11.07,11.07
22.76,8.12,-2.96,8.12,-2.96,2.96,-0.02,1.45,11.08,11.08,11.09
22.99,8.16,-2.93,8.16,-2.93,2.93,-0.02,1.49,11.09,11.09,11.10
23.22,8.20,-2.90,8.20,-2.90,2.90,-0.02,1.53,11.10,11.10,11.11
23.45,8.24,-2.87,8.24,-2.87,2.87,-0.02,1.58,11.12,11.12,11.11
23.69,8.28,-2.84,8.28,-2.84,2.84,-0.02,1.63,11.13,11.13,11.12
23.92,8.32,-2.81,8.32,-2.81,2.81,-0.02,1.67,11.14,11.14,11.13
24.16,8.36,-2.78,8.36,-2.78,2.78,-0.02,1.72,11.15,11.15,11.14
24.40,8.40,-2.75,8.40,-2.75,2.76,-0.02,1.77,11.16,11.16,11.15
24.65,8.44,-2.73,8.44,-2.73,2.73,-0.02,1.82,11.17,11.17,11.17
24.89,8.47,-2.70,8.47,-2.70,2.70,-0.02,1.86,11.17,11.17,11.17
25.14,8.50,-2.68,8.50,-2.68,2.67,-0.02,1.91,11.18,11.18,11.18
25.39,8.53,-2.65,8.54,-2.65,2.65,-0.02,1.96,11.18,11.18,11.19
25.65,8.57,-2.62,8.57,-2.62,2.62,-0.02,2.01,11.19,11.19,11.19
25.91,8.60,-2.59,8.60,-2.59,2.59,-0.02,2.06,11.19,11.19,11.19
26.16,8.63,-2.56,8.64,-2.56,2.56,-0.02,2.11,11.20,11.20,11.19
26.43,8.67,-2.53,8.67,-2.53,2.54,-0.02,2.16,11.21,11.20,11.20
26.69,8.70,-2.50,8.70,-2.50,2.51,-0.02,2.21,11.21,11.21,11.21
26.96,8.73,-2.48,8.73,-2.48,2.48,-0.02,2.25,11.22,11.22,11.21
27.23,8.77,-2.45,8.77,-2.45,2.45,-0.03,2.30,11.22,11.22,11.22
27.50,8.80,-2.43,8.80,-2.43,2.42,-0.03,2.34,11.22,11.22,11.23
27.77,8.83,-2.40,8.83,-2.40,2.39,-0.03,2.38,11.22,11.22,11.23
28.05,8.86,-2.37,8.86,-2.37,2.36,-0.03,2.42,11.22,11.22,11.22
28.33,8.89,-2.33,8.89,-2.33,2.33,-0.03,2.46,11.22,11.22,11.22
28.62,8.92,-2.29,8.92,-2.29,2.30,-0.03,2.50,11.21,11.21,11.21
28.90,8.95,-2.26,8.95,-2.26,2.27,-0.03,2.53,11.21,11.21,11.21
29.19,8.98,-2.23,8.98,-2.23,2.24,-0.03,2.55,11.21,11.21,11.21
29.48,9.00,-2.21,9.00,-2.21,2.21,-0.03,2.58,11.22,11.22,11.21
29.78,9.03,-2.19,9.03,-2.19,2.19,-0.03,2.60,11.22,11.22,11.21
30.08,9.05,-2.17,9.05,-2.17,2.17,-0.03,2.62,11.22,11.22,11.22
30.38,9.07,-2.15,9.07,-2.15,2.15,-0.03,2.63,11.22,11.22,11.22
30.68,9.09,-2.14,9.09,-2.14,2.13,-0.03,2.64,11.22,11.22,11.22
30.99,9.11,-2.12,9.11,-2.12,2.11,-0.03,2.64,11.22,11.22,11.22
31.30,9.13,-2.09,9.13,-2.09,2.09,-0.03,2.64,11.22,11.22,11.22
31.61,9.15,-2.07,9.15,-2.07,2.07,-0.03,2.64,11.22,11.22,11.22
31.93,9.17,-2.04,9.17,-2.04,2.04,-0.03,2.63,11.21,11.21,11.21
32.24,9.19,-2.02,9.19,-2.02,2.02,-0.04,2.62,11.21,11.21,11.21
32.57,9.22,-1.99,9.22,-1.99,1.99,-0.04,2.60,11.21,11.21,11.21
32.89,9.24,-1.97,9.24,-1.96,1.97,-0.04,2.58,11.20,11.20,11.20
33.22,9.26,-1.94,9.26,-1.94,1.94,-0.04,2.55,11.20,11.20,11.20
33.55,9.28,-1.91,9.28,-1.91,1.92,-0.04,2.53,11.19,11.19,11.19
33.89,9.29,-1.89,9.29,-1.89,1.89,-0.04,2.49,11.18,11.18,11.18
34.23,9.31,-1.87,9.31,-1.87,1.87,-0.04,2.46,11.18,11.18,11.17
34.57,9.32,-1.84,9.32,-1.84,1.85,-0.04,2.42,11.17,11.17,11.17
34.92,9.34,-1.82,9.34,-1.82,1.82,-0.04,2.38,11.16,11.16,11.16
35.27,9.35,-1.80,9.35,-1.80,1.80,-0.04,2.34,11.15,11.15,11.15
35.62,9.36,-1.78,9.36,-1.78,1.78,-0.04,2.29,11.14,11.14,11.14
35.97,9.37,-1.76,9.37,-1.76,1.76,-0.04,2.24,11.13,11.13,11.13
36.33,9.39,-1.74,9.39,-1.74,1.74,-0.05,2.20,11.12,11.12,11.12
36.70,9.40,-1.72,9.40,-1.72,1.72,-0.05,2.15,11.12,11.12,11.11
37.06,9.41,-1.69,9.41,-1.69,1.69,-0.05,2.09,11.11,11.11,11.10
37.43,9.42,-1.67,9.42,-1.67,1.67,-0.05,2.04,11.09,11.09,11.09
37.81,9.43,-1.65,9.43,-1.65,1.65,-0.05,1.99,11.08,11.08,11.08
38.19,9.44,-1.63,9.44,-1.63,1.63,-0.05,1.94,11.07,11.07,11.07
38.57,9.45,-1.61,9.45,-1.61,1.61,-0.05,1.89,11.06,11.06,11.06
38.95,9.46,-1.59,9.46,-1.59,1.59,-0.05,1.83,11.05,11.05,11.04
39.34,9.47,-1.56,9.47,-1.56,1.57,-0.05,1.78,11.03,11.03,11.03
39.74,9.48,-1.54,9.48,-1.54,1.54,-0.06,1.73,11.02,11.02,11.02
40.14,9.49,-1.52,9.49,-1.52,1.51,-0.06,1.68,11.00,11.00,11.01
40.54,9.50,-1.50,9.50,-1.49,1.49,-0.06,1.62,10.99,10.99,11.00
40.94,9.52,-1.46,9.52,-1.46,1.46,-0.06,1.57,10.97,10.97,10.98
41.35,9.53,-1.43,9.53,-1.43,1.42,-0.06,1.52,10.96,10.96,10.96
41.76,9.55,-1.39,9.55,-1.39,1.39,-0.06,1.47,10.94,10.94,10.94
42.18,9.57,-1.35,9.57,-1.35,1.36,-0.06,1.43,10.93,10.93,10.92
42.60,9.59,-1.32,9.59,-1.32,1.33,-0.06,1.38,10.91,10.91,10.91
43.03,9.60,-1.30,9.60,-1.30,1.29,-0.07,1.33,10.89,10.89,10.90
43.46,9.61,-1.27,9.61,-1.27,1.26,-0.07,1.29,10.88,10.88,10.88
43.90,9.62,-1.24,9.62,-1.24,1.24,-0.07,1.24,10.86,10.86,10.86
44.33,9.63,-1.21,9.63,-1.21,1.21,-0.07,1.20,10.84,10.84,10.84
44.78,9.63,-1.18,9.63,-1.18,1.19,-0.07,1.15,10.82,10.82,10.81
45.23,9.63,-1.16,9.63,-1.16,1.17,-0.07,1.11,10.80,10.80,10.79
45.68,9.63,-1.14,9.63,-1.14,1.15,-0.07,1.07,10.78,10.78,10.77
46.13,9.63,-1.13,9.63,-1.13,1.12,-0.08,1.03,10.75,10.75,10.76
46.60,9.63,-1.11,9.63,-1.11,1.10,-0.08,0.99,10.73,10.73,10.74
47.06,9.63,-1.09,9.63,-1.09,1.08,-0.08,0.95,10.71,10.71,10.72
47.53,9.64,-1.06,9.64,-1.06,1.05,-0.08,0.92,10.69,10.69,10.70
48.01,9.65,-1.02,9.65,-1.03,1.02,-0.08,0.88,10.67,10.67,10.68
48.49,9.66,-0.99,9.66,-0.99,0.99,-0.08,0.84,10.65,10.65,10.65
48.97,9.67,-0.96,9.67,-0.96,0.96,-0.09,0.81,10.63,10.63,10.63
49.46,9.67,-0.93,9.67,-0.93,0.93,-0.09,0.78,10.61,10.61,10.60
49.96,9.68,-0.90,9.68,-0.90,0.90,-0.09,0.74,10.58,10.58,10.57
50.46,9.68,-0.87,9.68,-0.87,0.87,-0.09,0.71,10.55,10.55,10.55
50.96,9.68,-0.84,9.68,-0.85,0.85,-0.09,0.68,10.53,10.53,10.52
51.47,9.68,-0.83,9.68,-0.83,0.82,-0.10,0.65,10.50,10.50,10.51
51.99,9.68,-0.81,9.68,-0.80,0.80,-0.10,0.62,10.48,10.48,10.49
52.51,9.68,-0.78,9.68,-0.78,0.77,-0.10,0.59,10.45,10.45,10.46
53.03,9.67,-0.75,9.67,-0.75,0.75,-0.10,0.56,10.42,10.42,10.42
53.56,9.67,-0.72,9.67,-0.72,0.73,-0.10,0.54,10.40,10.40,10.39
54.10,9.66,-0.70,9.66,-0.70,0.71,-0.11,0.51,10.37,10.37,10.36
54.64,9.65,-0.69,9.65,-0.69,0.69,-0.11,0.48,10.34,10.34,10.34
55.18,9.65,-0.67,9.65,-0.67,0.67,-0.11,0.46,10.32,10.32,10.32
55.74,9.64,-0.65,9.64,-0.66,0.65,-0.11,0.43,10.29,10.29,10.29
56.29,9.64,-0.64,9.64,-0.64,0.63,-0.12,0.41,10.27,10.27,10.28
56.86,9.63,-0.63,9.63,-0.62,0.61,-0.12,0.38,10.24,10.24,10.26
57.42,9.62,-0.60,9.62,-0.59,0.59,-0.12,0.36,10.21,10.21,10.22
58.00,9.61,-0.56,9.61,-0.56,0.56,-0.12,0.34,10.18,10.18,10.17
58.58,9.61,-0.53,9.61,-0.53,0.54,-0.13,0.31,10.15,10.15,10.13
59.16,9.60,-0.50,9.60,-0.51,0.51,-0.13,0.29,10.11,10.11,10.10
59.76,9.59,-0.49,9.59,-0.49,0.49,-0.13,0.27,10.08,10.08,10.08
60.35,9.58,-0.47,9.58,-0.47,0.46,-0.14,0.25,10.05,10.05,10.05
60.96,9.57,-0.44,9.57,-0.45,0.44,-0.14,0.23,10.01,10.01,10.02
61.57,9.57,-0.42,9.57,-0.42,0.42,-0.14,0.21,9.98,9.98,9.99
62.18,9.56,-0.40,9.56,-0.39,0.39,-0.14,0.19,9.95,9.95,9.95
