frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.03,1.29,9.03,1.29,-1.28,-0.18,-0.29,7.75,7.74,7.73
20.20,9.01,1.26,9.02,1.26,-1.27,-0.21,-0.30,7.75,7.75,7.75
20.40,9.01,1.24,9.01,1.24,-1.25,-0.25,-0.31,7.76,7.76,7.77
20.61,9.01,1.23,9.02,1.23,-1.24,-0.30,-0.33,7.77,7.78,7.79
20.81,9.03,1.23,9.03,1.23,-1.23,-0.34,-0.34,7.80,7.80,7.80
21.02,9.05,1.23,9.05,1.23,-1.22,-0.41,-0.35,7.82,7.82,7.82
21.23,9.06,1.23,9.06,1.23,-1.22,-0.47,-0.36,7.84,7.84,7.83
21.44,9.08,1.23,9.08,1.23,-1.22,-0.55,-0.37,7.86,7.86,7.85
21.66,9.09,1.23,9.09,1.23,-1.22,-0.63,-0.39,7.87,7.87,7.86
21.87,9.10,1.22,9.10,1.22,-1.22,-0.74,-0.40,7.88,7.88,7.88
22.09,9.11,1.22,9.11,1.22,-1.22,-0.85,-0.41,7.89,7.89,7.89
22.31,9.13,1.22,9.13,1.22,-1.23,-0.98,-0.43,7.90,7.90,7.91
22.54,9.15,1.23,9.15,1.24,-1.25,-1.12,-0.44,7.91,7.91,7.92
22.76,9.18,1.25,9.19,1.26,-1.27,-1.29,-0.46,7.92,7.92,7.93
22.99,9.22,1.28,9.22,1.28,-1.29,-1.46,-0.47,7.93,7.93,7.94
23.22,9.27,1.32,9.27,1.32,-1.32,-1.63,-0.49,7.95,7.95,7.95
23.45,9.31,1.35,9.31,1.35,-1.35,-1.81,-0.50,7.96,7.96,7.96
23.69,9.35,1.38,9.35,1.38,-1.38,-1.96,-0.52,7.98,7.98,7.97
23.92,9.39,1.41,9.39,1.41,-1.40,-2.10,-0.54,7.99,7.99,7.98
24.16,9.41,1.42,9.41,1.42,-1.41,-2.15,-0.55,8.00,8.00,7.99
24.40,9.42,1.42,9.42,1.42,-1.42,-2.19,-0.57,8.01,8.01,8.00
24.65,9.42,1.41,9.42,1.41,-1.41,-2.12,-0.59,8.01,8.01,8.01
24.89,9.41,1.39,9.41,1.39,-1.39,-2.03,-0.60,8.02,8.02,8.02
