frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.86,2.43,11.89,2.46,-2.21,-1.67,-1.13,9.65,9.68,9.43
20.20,11.69,2.24,11.66,2.21,-2.12,-1.70,-1.16,9.57,9.54,9.45
20.40,11.52,2.05,11.49,2.02,-2.06,-1.73,-1.20,9.46,9.43,9.47
20.61,11.36,1.88,11.37,1.88,-2.01,-1.76,-1.23,9.34,9.35,9.48
20.81,11.27,1.77,11.27,1.77,-2.00,-1.78,-1.27,9.27,9.28,9.50
21.02,11.26,1.75,11.26,1.75,-2.00,-1.81,-1.31,9.26,9.26,9.51
21.23,11.33,1.80,11.35,1.82,-2.02,-1.84,-1.35,9.31,9.33,9.53
21.44,11.52,1.98,11.53,1.99,-2.07,-1.87,-1.39,9.45,9.46,9.54
21.66,11.77,2.22,11.77,2.21,-2.24,-1.89,-1.43,9.53,9.53,9.56
21.87,12.03,2.45,12.02,2.45,-2.41,-1.92,-1.48,9.61,9.61,9.57
22.09,12.24,2.65,12.24,2.65,-2.56,-1.95,-1.52,9.67,9.67,9.59
22.31,12.40,2.79,12.39,2.79,-2.67,-1.98,-1.57,9.73,9.72,9.60
22.54,12.46,2.84,12.45,2.84,-2.70,-2.01,-1.62,9.76,9.76,9.61
22.76,12.42,2.80,12.41,2.79,-2.65,-2.03,-1.66,9.78,9.77,9.63
22.99,12.28,2.65,12.27,2.63,-2.53,-2.06,-1.71,9.76,9.74,9.64
23.22,12.05,2.40,12.05,2.40,-2.36,-2.09,-1.76,9.69,9.69,9.65
23.45,11.79,2.13,11.79,2.13,-2.16,-2.12,-1.82,9.62,9.62,9.66
23.69,11.54,1.88,11.54,1.88,-1.98,-2.14,-1.87,9.56,9.56,9.66
23.92,11.35,1.68,11.36,1.69,-1.84,-2.17,-1.92,9.51,9.53,9.67
24.16,11.26,1.58,11.27,1.59,-1.74,-2.20,-1.98,9.52,9.53,9.68
24.40,11.28,1.59,11.29,1.59,-1.71,-2.22,-2.03,9.57,9.58,9.70
24.65,11.38,1.68,11.38,1.68,-1.73,-2.25,-2.09,9.65,9.65,9.71
24.89,11.53,1.81,11.52,1.81,-1.79,-2.27,-2.15,9.74,9.74,9.71
25.14,11.66,1.94,11.66,1.94,-1.86,-2.30,-2.20,9.80,9.80,9.72
25.39,11.79,2.06,11.77,2.04,-1.94,-2.32,-2.26,9.84,9.83,9.73
25.65,11.82,2.09,11.82,2.09,-2.00,-2.35,-2.32,9.82,9.82,9.73
25.91,11.83,2.10,11.83,2.10,-2.03,-2.37,-2.37,9.80,9.80,9.73
26.16,11.79,2.06,11.79,2.06,-2.03,-2.39,-2.43,9.76,9.76,9.74
26.43,11.74,2.00,11.74,2.00,-2.01,-2.41,-2.48,9.73,9.73,9.74
26.69,11.69,1.94,11.69,1.94,-1.98,-2.44,-2.54,9.71,9.71,9.75
26.96,11.65,1.90,11.66,1.90,-1.95,-2.46,-2.59,9.70,9.71,9.75
27.23,11.64,1.88,11.65,1.89,-1.93,-2.48,-2.64,9.72,9.72,9.76
27.50,11.66,1.90,11.66,1.89,-1.92,-2.49,-2.69,9.74,9.74,9.77
