frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.87,2.54,10.87,2.54,-2.54,-2.48,-1.19,8.33,8.33,8.34
20.20,10.90,2.55,10.90,2.55,-2.55,-2.49,-1.22,8.35,8.35,8.35
20.40,10.93,2.56,10.93,2.56,-2.56,-2.51,-1.26,8.37,8.37,8.37
20.61,10.96,2.57,10.96,2.57,-2.57,-2.52,-1.30,8.39,8.39,8.39
20.81,10.98,2.58,10.98,2.58,-2.57,-2.53,-1.33,8.41,8.41,8.40
21.02,11.00,2.58,11.00,2.58,-2.58,-2.54,-1.37,8.42,8.42,8.42
21.23,11.02,2.59,11.02,2.59,-2.59,-2.56,-1.41,8.44,8.44,8.43
21.44,11.04,2.59,11.04,2.59,-2.59,-2.57,-1.46,8.45,8.45,8.45
21.66,11.06,2.59,11.06,2.59,-2.59,-2.58,-1.50,8.47,8.47,8.46
21.87,11.08,2.60,11.08,2.60,-2.60,-2.59,-1.54,8.48,8.48,8.48
22.09,11.09,2.60,11.09,2.60,-2.60,-2.60,-1.59,8.49,8.49,8.49
22.31,11.11,2.60,11.11,2.60,-2.60,-2.61,-1.64,8.51,8.51,8.51
22.54,11.12,2.60,11.12,2.60,-2.61,-2.61,-1.68,8.52,8.52,8.52
22.76,11.14,2.61,11.14,2.61,-2.61,-2.62,-1.73,8.53,8.53,8.53
22.99,11.16,2.61,11.16,2.61,-2.62,-2.63,-1.78,8.54,8.54,8.54
23.22,11.17,2.62,11.17,2.62,-2.62,-2.64,-1.83,8.55,8.55,8.55
23.45,11.19,2.63,11.19,2.63,-2.63,-2.64,-1.89,8.56,8.56,8.56
23.69,11.20,2.63,11.20,2.63,-2.63,-2.65,-1.94,8.57,8.57,8.57
23.92,11.22,2.64,11.22,2.64,-2.63,-2.65,-2.00,8.58,8.58,8.58
24.16,11.23,2.64,11.23,2.64,-2.63,-2.66,-2.05,8.59,8.59,8.59
24.40,11.24,2.63,11.24,2.63,-2.63,-2.66,-2.11,8.60,8.60,8.60
24.65,11.24,2.63,11.24,2.63,-2.63,-2.66,-2.16,8.61,8.61,8.61
24.89,11.24,2.62,11.24,2.62,-2.63,-2.67,-2.22,8.62,8.62,8.62
25.14,11.25,2.62,11.25,2.62,-2.62,-2.67,-2.28,8.62,8.62,8.63
25.39,11.24,2.61,11.24,2.61,-2.61,-2.67,-2.34,8.63,8.63,8.63
25.65,11.24,2.61,11.24,2.61,-2.61,-2.68,-2.40,8.63,8.63,8.64
25.91,11.24,2.60,11.24,2.60,-2.60,-2.68,-2.46,8.64,8.64,8.64
26.16,11.24,2.60,11.24,2.60,-2.60,-2.68,-2.52,8.64,8.64,8.64
26.43,11.24,2.60,11.24,2.60,-2.59,-2.68,-2.57,8.65,8.65,8.65
26.69,11.25,2.59,11.25,2.59,-2.59,-2.68,-2.63,8.65,8.65,8.65
26.96,11.25,2.59,11.25,2.59,-2.59,-2.68,-2.69,8.66,8.66,8.66
27.23,11.26,2.59,11.26,2.59,-2.59,-2.68,-2.74,8.66,8.66,8.67
27.50,11.26,2.59,11.26,2.59,-2.60,-2.68,-2.80,8.66,8.66,8.67
27.77,11.27,2.60,11.27,2.60,-2.60,-2.69,-2.85,8.67,8.67,8.67
28.05,11.28,2.61,11.28,2.61,-2.61,-2.69,-2.90,8.67,8.67,8.67
28.33,11.28,2.62,11.28,2.62,-2.62,-2.69,-2.95,8.67,8.67,8.66
28.62,11.29,2.63,11.29,2.63,-2.62,-2.69,-2.99,8.67,8.66,8.66
28.90,11.29,2.64,11.29,2.64,-2.63,-2.69,-3.04,8.66,8.66,8.65
29.19,11.29,2.64,11.29,2.64,-2.63,-2.69,-3.08,8.66,8.66,8.65
29.48,11.29,2.63,11.29,2.63,-2.63,-2.69,-3.11,8.66,8.66,8.65
29.78,11.29,2.62,11.29,2.62,-2.63,-2.68,-3.15,8.66,8.66,8.66
30.08,11.28,2.62,11.28,2.62,-2.62,-2.68,-3.17,8.66,8.66,8.67
30.38,11.28,2.61,11.28,2.61,-2.62,-2.68,-3.20,8.66,8.66,8.67
30.68,11.28,2.61,11.28,2.61,-2.62,-2.68,-3.22,8.67,8.67,8.67
30.99,11.28,2.62,11.28,2.62,-2.62,-2.68,-3.23,8.67,8.67,8.67
31.30,11.29,2.62,11.29,2.62,-2.62,-2.68,-3.24,8.67,8.67,8.67
31.61,11.29,2.62,11.29,2.62,-2.62,-2.68,-3.25,8.67,8.67,8.66
31.93,11.29,2.63,11.29,2.63,-2.62,-2.68,-3.26,8.66,8.66,8.66
32.24,11.28,2.63,11.28,2.63,-2.63,-2.68,-3.26,8.66,8.66,8.66
