frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-0.24,-7.33,-0.24,-7.34,6.00,5.88,2.56,5.76,5.76,7.10
20.20,-0.18,-7.28,-0.18,-7.28,6.00,5.94,2.64,5.82,5.82,7.10
20.40,-0.13,-7.23,-0.13,-7.23,6.00,5.99,2.71,5.87,5.87,7.10
20.61,-0.08,-7.18,-0.08,-7.18,6.00,6.02,2.79,5.92,5.92,7.10
20.81,-0.03,-7.13,-0.03,-7.13,6.00,6.04,2.87,5.97,5.97,7.10
21.02,0.01,-7.09,0.01,-7.09,6.00,6.04,2.95,6.01,6.01,7.10
21.23,0.05,-7.05,0.05,-7.05,6.00,6.04,3.04,6.05,6.05,7.10
21.44,0.08,-7.01,0.08,-7.01,6.00,6.01,3.13,6.08,6.08,7.10
21.66,0.12,-6.98,0.12,-6.98,6.00,5.99,3.22,6.12,6.12,7.09
21.87,0.15,-6.94,0.15,-6.94,6.00,5.97,3.31,6.15,6.15,7.09
22.09,0.19,-6.90,0.19,-6.90,6.00,5.95,3.40,6.19,6.19,7.09
22.31,0.23,-6.86,0.23,-6.86,6.00,5.95,3.50,6.23,6.23,7.08
22.54,0.27,-6.81,0.27,-6.81,6.00,5.96,3.60,6.27,6.27,7.08
22.76,0.31,-6.77,0.31,-6.77,6.00,5.98,3.71,6.31,6.31,7.08
22.99,0.35,-6.72,0.35,-6.72,6.00,6.00,3.81,6.35,6.35,7.07
23.22,0.39,-6.67,0.39,-6.67,6.00,6.02,3.92,6.39,6.39,7.07
23.45,0.43,-6.63,0.43,-6.63,6.00,6.04,4.03,6.43,6.43,7.06
23.69,0.46,-6.59,0.46,-6.59,6.00,6.05,4.14,6.46,6.46,7.05
23.92,0.49,-6.55,0.49,-6.55,6.00,6.06,4.26,6.49,6.49,7.05
24.16,0.53,-6.52,0.53,-6.52,6.00,6.06,4.37,6.53,6.53,7.04
24.40,0.56,-6.48,0.56,-6.48,6.00,6.07,4.49,6.56,6.56,7.03
24.65,0.59,-6.44,0.59,-6.44,6.00,6.06,4.61,6.59,6.59,7.03
24.89,0.62,-6.40,0.62,-6.40,6.00,6.06,4.74,6.62,6.62,7.02
25.14,0.65,-6.36,0.65,-6.36,6.00,6.05,4.86,6.65,6.65,7.01
25.39,0.68,-6.32,0.68,-6.32,6.00,6.04,4.98,6.68,6.68,7.00
25.65,0.70,-6.29,0.70,-6.29,6.00,6.02,5.11,6.70,6.70,6.99
25.91,0.73,-6.25,0.73,-6.25,6.00,6.00,5.23,6.73,6.73,6.98
26.16,0.75,-6.22,0.75,-6.22,6.00,5.98,5.36,6.76,6.75,6.97
26.43,0.77,-6.19,0.77,-6.19,6.01,5.96,5.48,6.78,6.78,6.96
26.69,0.80,-6.15,0.80,-6.15,6.01,5.94,5.61,6.80,6.80,6.95
26.96,0.82,-6.12,0.82,-6.11,6.01,5.92,5.73,6.83,6.83,6.94
27.23,0.85,-6.08,0.85,-6.08,6.00,5.89,5.85,6.85,6.85,6.92
27.50,0.88,-6.03,0.88,-6.03,5.98,5.87,5.97,6.86,6.86,6.91
27.77,0.91,-5.99,0.91,-5.99,5.96,5.84,6.08,6.87,6.87,6.90
28.05,0.94,-5.94,0.94,-5.95,5.94,5.82,6.19,6.88,6.88,6.88
28.33,0.97,-5.90,0.97,-5.90,5.91,5.79,6.29,6.87,6.87,6.87
28.62,0.99,-5.86,0.99,-5.86,5.87,5.76,6.38,6.86,6.86,6.85
28.90,1.02,-5.82,1.02,-5.82,5.83,5.73,6.47,6.85,6.85,6.84
