frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.38,-1.54,5.39,-1.54,1.56,-0.23,0.01,6.94,6.95,6.92
20.20,5.40,-1.52,5.40,-1.53,1.53,-0.23,0.01,6.93,6.93,6.92
20.40,5.42,-1.51,5.41,-1.51,1.50,-0.24,0.01,6.91,6.91,6.92
20.61,5.43,-1.49,5.44,-1.48,1.46,-0.24,0.01,6.90,6.91,6.92
20.81,5.48,-1.45,5.48,-1.45,1.43,-0.25,0.01,6.91,6.91,6.92
21.02,5.52,-1.40,5.52,-1.40,1.39,-0.25,0.02,6.91,6.91,6.92
21.23,5.57,-1.35,5.57,-1.35,1.35,-0.26,0.02,6.92,6.92,6.92
21.44,5.62,-1.30,5.62,-1.30,1.31,-0.26,0.02,6.93,6.93,6.92
21.66,5.66,-1.25,5.66,-1.25,1.26,-0.27,0.02,6.92,6.92,6.92
21.87,5.71,-1.21,5.71,-1.21,1.21,-0.28,0.03,6.92,6.92,6.92
22.09,5.75,-1.16,5.75,-1.16,1.16,-0.28,0.03,6.91,6.91,6.91
22.31,5.79,-1.11,5.79,-1.11,1.11,-0.29,0.03,6.91,6.91,6.91
22.54,5.84,-1.07,5.84,-1.07,1.07,-0.29,0.03,6.90,6.90,6.90
22.76,5.88,-1.02,5.88,-1.02,1.02,-0.30,0.04,6.90,6.90,6.90
22.99,5.92,-0.97,5.92,-0.97,0.97,-0.31,0.04,6.90,6.90,6.90
23.22,5.97,-0.93,5.97,-0.93,0.93,-0.31,0.04,6.89,6.89,6.89
23.45,6.01,-0.88,6.01,-0.88,0.88,-0.32,0.04,6.89,6.89,6.89
23.69,6.05,-0.83,6.04,-0.83,0.84,-0.33,0.05,6.88,6.88,6.88
23.92,6.08,-0.79,6.08,-0.79,0.79,-0.33,0.05,6.88,6.87,6.87
24.16,6.12,-0.75,6.12,-0.75,0.75,-0.34,0.05,6.87,6.87,6.87
24.40,6.15,-0.71,6.15,-0.71,0.71,-0.35,0.06,6.86,6.86,6.86
24.65,6.18,-0.67,6.18,-0.67,0.67,-0.35,0.06,6.85,6.85,6.85
24.89,6.21,-0.63,6.21,-0.63,0.63,-0.36,0.06,6.84,6.84,6.84
25.14,6.24,-0.59,6.24,-0.59,0.59,-0.37,0.06,6.83,6.83,6.83
25.39,6.27,-0.55,6.27,-0.55,0.55,-0.38,0.07,6.82,6.82,6.82
25.65,6.30,-0.51,6.30,-0.51,0.51,-0.39,0.07,6.81,6.81,6.81
25.91,6.33,-0.47,6.33,-0.47,0.47,-0.40,0.07,6.81,6.81,6.81
26.16,6.36,-0.43,6.36,-0.43,0.43,-0.40,0.07,6.80,6.80,6.79
26.43,6.40,-0.39,6.39,-0.39,0.39,-0.41,0.07,6.79,6.79,6.78
26.69,6.43,-0.35,6.43,-0.35,0.35,-0.42,0.07,6.77,6.77,6.77
26.96,6.45,-0.31,6.45,-0.31,0.31,-0.43,0.07,6.76,6.76,6.76
27.23,6.48,-0.27,6.48,-0.27,0.26,-0.44,0.07,6.75,6.75,6.75
27.50,6.51,-0.22,6.51,-0.22,0.22,-0.45,0.07,6.73,6.73,6.74
27.77,6.54,-0.18,6.54,-0.18,0.18,-0.46,0.07,6.72,6.72,6.72
28.05,6.58,-0.13,6.58,-0.13,0.13,-0.47,0.07,6.71,6.71,6.71
28.33,6.61,-0.08,6.61,-0.08,0.08,-0.48,0.06,6.69,6.69,6.69
28.62,6.64,-0.04,6.64,-0.04,0.04,-0.49,0.06,6.68,6.68,6.68
28.90,6.67,0.01,6.67,0.01,-0.01,-0.50,0.05,6.66,6.66,6.66
29.19,6.71,0.06,6.71,0.06,-0.06,-0.51,0.05,6.65,6.65,6.64
29.48,6.73,0.11,6.73,0.11,-0.11,-0.52,0.04,6.63,6.63,6.63
29.78,6.76,0.15,6.76,0.15,-0.15,-0.54,0.03,6.61,6.61,6.61
30.08,6.79,0.20,6.79,0.20,-0.20,-0.55,0.02,6.59,6.59,6.59
30.38,6.81,0.24,6.81,0.24,-0.24,-0.56,0.01,6.57,6.57,6.57
30.68,6.84,0.28,6.84,0.28,-0.29,-0.57,-0.00,6.55,6.55,6.55
30.99,6.86,0.33,6.86,0.33,-0.33,-0.58,-0.02,6.53,6.53,6.53
31.30,6.88,0.37,6.88,0.37,-0.37,-0.60,-0.03,6.51,6.51,6.51
31.61,6.90,0.42,6.90,0.42,-0.42,-0.61,-0.05,6.49,6.49,6.49
31.93,6.93,0.46,6.93,0.46,-0.46,-0.63,-0.07,6.47,6.47,6.47
32.24,6.95,0.50,6.95,0.50,-0.50,-0.64,-0.09,6.44,6.44,6.44
32.57,6.97,0.55,6.97,0.55,-0.54,-0.65,-0.11,6.42,6.42,6.42
32.89,6.99,0.59,6.99,0.59,-0.59,-0.67,-0.13,6.40,6.40,6.40
33.22,7.01,0.63,7.01,0.63,-0.63,-0.68,-0.16,6.38,6.38,6.38
33.55,7.02,0.67,7.02,0.67,-0.67,-0.70,-0.18,6.35,6.35,6.35
33.89,7.04,0.71,7.04,0.71,-0.71,-0.72,-0.21,6.33,6.33,6.33
34.23,7.06,0.75,7.06,0.75,-0.75,-0.73,-0.24,6.31,6.31,6.31
34.57,7.08,0.79,7.08,0.79,-0.79,-0.75,-0.26,6.29,6.29,6.29
34.92,7.10,0.83,7.10,0.83,-0.83,-0.76,-0.29,6.27,6.27,6.27
35.27,7.12,0.87,7.12,0.87,-0.87,-0.78,-0.33,6.24,6.24,6.24
35.62,7.13,0.91,7.13,0.91,-0.91,-0.80,-0.36,6.22,6.22,6.22
35.97,7.15,0.95,7.15,0.95,-0.95,-0.82,-0.39,6.20,6.20,6.20
36.33,7.17,0.99,7.17,0.99,-0.99,-0.84,-0.43,6.18,6.18,6.18
36.70,7.18,1.03,7.18,1.03,-1.03,-0.86,-0.46,6.16,6.16,6.16
37.06,7.20,1.06,7.20,1.06,-1.06,-0.88,-0.50,6.13,6.13,6.13
37.43,7.21,1.10,7.21,1.10,-1.10,-0.90,-0.54,6.11,6.11,6.11
37.81,7.22,1.14,7.22,1.14,-1.14,-0.92,-0.58,6.09,6.09,6.09
38.19,7.24,1.17,7.24,1.17,-1.17,-0.94,-0.62,6.07,6.07,6.07
38.57,7.25,1.21,7.25,1.21,-1.21,-0.96,-0.66,6.04,6.04,6.04
38.95,7.26,1.24,7.26,1.24,-1.24,-0.98,-0.70,6.02,6.02,6.02
39.34,7.27,1.28,7.27,1.28,-1.28,-1.01,-0.74,6.00,6.00,6.00
39.74,7.29,1.31,7.29,1.31,-1.31,-1.03,-0.79,5.97,5.97,5.97
40.14,7.30,1.34,7.30,1.34,-1.34,-1.05,-0.83,5.95,5.95,5.95
40.54,7.31,1.38,7.31,1.38,-1.38,-1.08,-0.88,5.93,5.93,5.93
40.94,7.32,1.41,7.32,1.41,-1.41,-1.10,-0.93,5.90,5.90,5.90
41.35,7.32,1.45,7.32,1.45,-1.45,-1.13,-0.97,5.88,5.88,5.88
41.76,7.33,1.48,7.33,1.48,-1.48,-1.16,-1.02,5.85,5.85,5.85
42.18,7.34,1.51,7.34,1.51,-1.51,-1.18,-1.07,5.83,5.83,5.83
42.60,7.35,1.55,7.35,1.55,-1.55,-1.21,-1.12,5.80,5.80,5.80
43.03,7.35,1.58,7.35,1.58,-1.58,-1.24,-1.17,5.77,5.77,5.77
43.46,7.36,1.61,7.36,1.61,-1.62,-1.27,-1.23,5.75,5.75,5.75
43.90,7.37,1.65,7.37,1.65,-1.65,-1.30,-1.28,5.72,5.72,5.72
44.33,7.38,1.68,7.38,1.68,-1.68,-1.33,-1.33,5.69,5.69,5.69
44.78,7.38,1.72,7.38,1.72,-1.72,-1.36,-1.39,5.67,5.67,5.66
45.23,7.39,1.75,7.39,1.75,-1.75,-1.39,-1.45,5.64,5.64,5.64
45.68,7.39,1.78,7.39,1.78,-1.78,-1.43,-1.50,5.61,5.61,5.61
46.13,7.39,1.81,7.39,1.81,-1.81,-1.46,-1.56,5.58,5.58,5.58
46.60,7.39,1.85,7.40,1.85,-1.85,-1.49,-1.62,5.55,5.55,5.55
47.06,7.40,1.88,7.40,1.88,-1.88,-1.53,-1.68,5.52,5.52,5.52
47.53,7.40,1.91,7.40,1.91,-1.91,-1.56,-1.74,5.49,5.49,5.49
48.01,7.40,1.94,7.40,1.94,-1.94,-1.60,-1.80,5.46,5.46,5.46
48.49,7.41,1.97,7.41,1.97,-1.97,-1.64,-1.87,5.43,5.43,5.43
48.97,7.41,2.01,7.41,2.01,-2.01,-1.68,-1.93,5.40,5.40,5.40
49.46,7.41,2.04,7.41,2.04,-2.04,-1.71,-1.99,5.37,5.37,5.37
49.96,7.41,2.07,7.41,2.07,-2.07,-1.75,-2.06,5.34,5.34,5.34
50.46,7.41,2.10,7.41,2.10,-2.10,-1.79,-2.12,5.31,5.31,5.31
50.96,7.41,2.13,7.41,2.13,-2.13,-1.83,-2.19,5.28,5.28,5.28
51.47,7.41,2.16,7.41,2.16,-2.16,-1.88,-2.25,5.25,5.25,5.25
51.99,7.41,2.19,7.41,2.19,-2.19,-1.92,-2.32,5.22,5.22,5.22
52.51,7.40,2.22,7.40,2.22,-2.22,-1.96,-2.38,5.18,5.18,5.18
53.03,7.40,2.25,7.40,2.25,-2.25,-2.01,-2.44,5.15,5.15,5.15
53.56,7.39,2.28,7.39,2.28,-2.28,-2.05,-2.51,5.12,5.12,5.12
54.10,7.39,2.30,7.39,2.30,-2.30,-2.09,-2.57,5.08,5.08,5.08
54.64,7.38,2.33,7.38,2.33,-2.33,-2.14,-2.63,5.05,5.05,5.05
55.18,7.38,2.36,7.38,2.36,-2.36,-2.19,-2.69,5.01,5.01,5.02
55.74,7.37,2.39,7.37,2.39,-2.39,-2.23,-2.75,4.98,4.98,4.98
56.29,7.37,2.42,7.37,2.42,-2.42,-2.28,-2.80,4.95,4.95,4.95
56.86,7.37,2.45,7.37,2.45,-2.45,-2.32,-2.85,4.91,4.91,4.91
57.42,7.36,2.48,7.36,2.48,-2.48,-2.37,-2.91,4.88,4.88,4.88
58.00,7.35,2.51,7.35,2.51,-2.51,-2.42,-2.95,4.84,4.84,4.84
58.58,7.35,2.54,7.35,2.54,-2.54,-2.47,-3.00,4.81,4.81,4.80
59.16,7.34,2.57,7.34,2.57,-2.57,-2.51,-3.04,4.77,4.77,4.77
59.76,7.33,2.60,7.33,2.60,-2.60,-2.56,-3.08,4.73,4.73,4.73
60.35,7.32,2.63,7.32,2.63,-2.63,-2.61,-3.11,4.69,4.69,4.69
60.96,7.31,2.66,7.31,2.66,-2.66,-2.65,-3.14,4.66,4.66,4.66
61.57,7.30,2.68,7.30,2.68,-2.68,-2.70,-3.17,4.62,4.62,4.62
62.18,7.29,2.71,7.29,2.71,-2.71,-2.75,-3.19,4.58,4.58,4.58
