frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,19.43,8.87,19.42,8.87,-8.87,-8.59,-4.18,10.56,10.56,10.55
20.20,19.44,8.88,19.44,8.89,-8.89,-8.69,-4.29,10.55,10.55,10.56
20.40,19.45,8.90,19.46,8.90,-8.90,-8.80,-4.41,10.55,10.55,10.56
20.61,19.47,8.92,19.47,8.92,-8.92,-8.88,-4.53,10.55,10.55,10.56
20.81,19.49,8.93,19.49,8.93,-8.93,-8.96,-4.65,10.56,10.56,10.56
21.02,19.50,8.95,19.50,8.95,-8.94,-9.02,-4.77,10.56,10.56,10.55
21.23,19.51,8.96,19.51,8.96,-8.96,-9.07,-4.90,10.56,10.56,10.55
21.44,19.52,8.97,19.52,8.97,-8.96,-9.09,-5.03,10.56,10.55,10.55
21.66,19.52,8.97,19.52,8.97,-8.97,-9.11,-5.17,10.55,10.55,10.55
21.87,19.52,8.98,19.52,8.98,-8.98,-9.11,-5.31,10.55,10.55,10.55
22.09,19.52,8.98,19.52,8.98,-8.98,-9.11,-5.45,10.54,10.54,10.54
22.31,19.52,8.98,19.52,8.98,-8.98,-9.09,-5.60,10.54,10.54,10.54
22.54,19.52,8.98,19.52,8.98,-8.99,-9.07,-5.75,10.53,10.53,10.54
22.76,19.52,8.99,19.52,8.99,-8.99,-9.04,-5.90,10.53,10.53,10.53
22.99,19.52,8.99,19.52,8.99,-8.99,-9.01,-6.06,10.53,10.53,10.53
23.22,19.51,8.99,19.51,8.99,-8.99,-8.98,-6.22,10.52,10.52,10.52
23.45,19.51,8.99,19.51,8.99,-8.99,-8.95,-6.39,10.52,10.52,10.52
23.69,19.50,8.99,19.50,8.99,-8.99,-8.92,-6.56,10.51,10.51,10.51
23.92,19.49,8.98,19.49,8.98,-8.98,-8.89,-6.73,10.51,10.51,10.50
24.16,19.48,8.98,19.48,8.98,-8.98,-8.86,-6.91,10.50,10.50,10.50
24.40,19.46,8.97,19.46,8.97,-8.97,-8.84,-7.09,10.49,10.49,10.49
24.65,19.44,8.96,19.44,8.96,-8.96,-8.82,-7.28,10.48,10.48,10.48
24.89,19.42,8.95,19.42,8.95,-8.95,-8.80,-7.47,10.48,10.48,10.47
25.14,19.40,8.93,19.40,8.93,-8.93,-8.78,-7.66,10.47,10.47,10.47
25.39,19.37,8.92,19.37,8.92,-8.92,-8.77,-7.85,10.46,10.46,10.46
25.65,19.35,8.90,19.35,8.90,-8.90,-8.76,-8.05,10.45,10.45,10.45
25.91,19.32,8.88,19.32,8.88,-8.88,-8.75,-8.24,10.44,10.44,10.44
26.16,19.29,8.86,19.29,8.86,-8.86,-8.74,-8.44,10.43,10.43,10.43
26.43,19.26,8.84,19.26,8.84,-8.84,-8.74,-8.64,10.41,10.41,10.42
26.69,19.23,8.82,19.23,8.82,-8.83,-8.73,-8.84,10.40,10.40,10.41
26.96,19.20,8.81,19.20,8.81,-8.81,-8.73,-9.03,10.39,10.39,10.39
27.23,19.18,8.80,19.18,8.80,-8.80,-8.73,-9.23,10.38,10.38,10.38
27.50,19.15,8.78,19.15,8.78,-8.79,-8.74,-9.42,10.37,10.37,10.37
27.77,19.13,8.78,19.13,8.77,-8.77,-8.74,-9.61,10.36,10.35,10.35
28.05,19.11,8.77,19.11,8.77,-8.77,-8.74,-9.80,10.34,10.34,10.34
28.33,19.08,8.76,19.08,8.76,-8.76,-8.75,-9.97,10.33,10.33,10.33
28.62,19.06,8.75,19.06,8.75,-8.75,-8.75,-10.14,10.31,10.31,10.31
28.90,19.04,8.75,19.04,8.75,-8.74,-8.76,-10.30,10.29,10.29,10.29
29.19,19.02,8.74,19.02,8.74,-8.74,-8.77,-10.45,10.28,10.28,10.28
29.48,19.00,8.74,19.00,8.74,-8.74,-8.78,-10.58,10.26,10.26,10.26
29.78,18.97,8.73,18.97,8.73,-8.73,-8.78,-10.71,10.24,10.24,10.24
30.08,18.95,8.73,18.95,8.73,-8.73,-8.79,-10.81,10.22,10.22,10.22
30.38,18.93,8.73,18.93,8.73,-8.73,-8.80,-10.91,10.20,10.20,10.20
30.68,18.91,8.73,18.91,8.73,-8.73,-8.81,-10.98,10.18,10.18,10.18
30.99,18.90,8.73,18.90,8.73,-8.73,-8.82,-11.05,10.16,10.16,10.16
31.30,18.88,8.74,18.88,8.74,-8.74,-8.83,-11.08,10.14,10.14,10.14
31.61,18.86,8.74,18.86,8.74,-8.74,-8.84,-11.11,10.12,10.12,10.12
31.93,18.85,8.75,18.85,8.75,-8.75,-8.85,-11.11,10.10,10.10,10.10
32.24,18.84,8.76,18.84,8.76,-8.76,-8.85,-11.11,10.08,10.08,10.08
32.57,18.82,8.77,18.82,8.77,-8.77,-8.86,-11.07,10.05,10.05,10.05
32.89,18.81,8.78,18.81,8.78,-8.78,-8.87,-11.04,10.03,10.03,10.03
33.22,18.80,8.79,18.80,8.79,-8.79,-8.88,-10.98,10.01,10.01,10.01
33.55,18.79,8.80,18.79,8.80,-8.80,-8.89,-10.91,9.99,9.99,9.99
33.89,18.78,8.81,18.78,8.81,-8.81,-8.89,-10.83,9.96,9.96,9.96
34.23,18.77,8.82,18.77,8.82,-8.82,-8.90,-10.74,9.94,9.94,9.94
34.57,18.75,8.84,18.75,8.83,-8.83,-8.91,-10.64,9.92,9.92,9.92
34.92,18.74,8.85,18.74,8.85,-8.85,-8.92,-10.54,9.90,9.90,9.90
35.27,18.73,8.86,18.73,8.86,-8.86,-8.92,-10.43,9.88,9.88,9.88
35.62,18.72,8.87,18.72,8.87,-8.87,-8.93,-10.31,9.85,9.85,9.85
35.97,18.71,8.88,18.71,8.88,-8.88,-8.93,-10.20,9.83,9.83,9.83
36.33,18.70,8.89,18.70,8.89,-8.89,-8.94,-10.08,9.81,9.81,9.81
36.70,18.69,8.90,18.69,8.90,-8.90,-8.94,-9.96,9.79,9.79,9.79
37.06,18.67,8.91,18.67,8.91,-8.91,-8.95,-9.84,9.77,9.77,9.77
37.43,18.66,8.92,18.66,8.92,-8.92,-8.95,-9.72,9.74,9.74,9.74
37.81,18.65,8.93,18.65,8.93,-8.93,-8.96,-9.61,9.72,9.72,9.72
38.19,18.64,8.94,18.64,8.94,-8.94,-8.96,-9.49,9.70,9.70,9.70
38.57,18.62,8.95,18.62,8.95,-8.95,-8.96,-9.38,9.68,9.68,9.68
38.95,18.61,8.96,18.61,8.96,-8.96,-8.97,-9.28,9.65,9.65,9.65
39.34,18.60,8.97,18.60,8.97,-8.97,-8.97,-9.17,9.63,9.63,9.63
39.74,18.58,8.98,18.58,8.98,-8.98,-8.97,-9.08,9.61,9.61,9.61
40.14,18.57,8.99,18.57,8.99,-8.99,-8.98,-8.98,9.58,9.58,9.58
40.54,18.56,9.00,18.56,9.00,-9.00,-8.98,-8.90,9.56,9.56,9.56
40.94,18.54,9.01,18.54,9.01,-9.01,-8.98,-8.82,9.53,9.53,9.53
41.35,18.52,9.02,18.52,9.02,-9.01,-8.98,-8.74,9.51,9.51,9.51
41.76,18.51,9.02,18.51,9.02,-9.02,-8.98,-8.67,9.48,9.48,9.48
42.18,18.49,9.03,18.49,9.03,-9.03,-8.98,-8.60,9.46,9.46,9.46
42.60,18.47,9.04,18.47,9.04,-9.04,-8.98,-8.55,9.43,9.43,9.43
43.03,18.45,9.04,18.45,9.04,-9.04,-8.98,-8.49,9.41,9.41,9.41
43.46,18.42,9.04,18.42,9.04,-9.04,-8.98,-8.45,9.38,9.38,9.38
43.90,18.40,9.05,18.40,9.05,-9.05,-8.98,-8.41,9.35,9.35,9.35
44.33,18.37,9.05,18.37,9.05,-9.05,-8.98,-8.37,9.32,9.32,9.32
44.78,18.35,9.05,18.35,9.05,-9.05,-8.97,-8.34,9.30,9.30,9.30
45.23,18.32,9.05,18.32,9.05,-9.05,-8.97,-8.32,9.27,9.27,9.27
45.68,18.29,9.05,18.29,9.05,-9.05,-8.97,-8.30,9.24,9.24,9.24
46.13,18.26,9.05,18.26,9.05,-9.05,-8.97,-8.29,9.21,9.21,9.21
46.60,18.23,9.05,18.23,9.05,-9.04,-8.96,-8.29,9.18,9.18,9.18
47.06,18.19,9.04,18.19,9.04,-9.04,-8.96,-8.29,9.15,9.15,9.15
47.53,18.16,9.04,18.16,9.04,-9.04,-8.96,-8.30,9.12,9.12,9.12
48.01,18.12,9.03,18.12,9.03,-9.03,-8.95,-8.31,9.09,9.09,9.09
48.49,18.09,9.02,18.09,9.02,-9.03,-8.95,-8.33,9.06,9.06,9.06
48.97,18.05,9.02,18.05,9.02,-9.02,-8.94,-8.35,9.03,9.03,9.03
49.46,18.01,9.01,18.01,9.01,-9.01,-8.94,-8.37,9.00,9.00,9.00
49.96,17.98,9.00,17.98,9.00,-9.00,-8.93,-8.40,8.97,8.97,8.97
50.46,17.94,8.99,17.94,8.99,-8.99,-8.93,-8.44,8.94,8.94,8.94
50.96,17.89,8.98,17.89,8.98,-8.98,-8.92,-8.48,8.91,8.91,8.91
51.47,17.85,8.97,17.85,8.97,-8.97,-8.92,-8.52,8.88,8.88,8.88
51.99,17.81,8.96,17.81,8.96,-8.96,-8.91,-8.57,8.85,8.85,8.85
52.51,17.76,8.95,17.76,8.95,-8.95,-8.90,-8.61,8.82,8.82,8.82
53.03,17.72,8.93,17.72,8.93,-8.93,-8.90,-8.66,8.78,8.78,8.78
53.56,17.67,8.92,17.67,8.92,-8.92,-8.89,-8.71,8.75,8.75,8.75
54.10,17.62,8.90,17.62,8.90,-8.90,-8.88,-8.76,8.72,8.72,8.72
54.64,17.57,8.88,17.57,8.88,-8.89,-8.88,-8.82,8.68,8.68,8.68
55.18,17.52,8.87,17.52,8.87,-8.87,-8.87,-8.87,8.65,8.65,8.65
55.74,17.47,8.85,17.47,8.85,-8.85,-8.86,-8.92,8.61,8.61,8.61
56.29,17.41,8.83,17.41,8.83,-8.83,-8.85,-8.96,8.58,8.58,8.58
56.86,17.36,8.82,17.36,8.82,-8.82,-8.84,-9.01,8.55,8.54,8.54
57.42,17.31,8.80,17.31,8.80,-8.80,-8.83,-9.05,8.51,8.51,8.51
58.00,17.26,8.78,17.26,8.79,-8.79,-8.82,-9.09,8.47,8.47,8.47
58.58,17.21,8.77,17.21,8.77,-8.77,-8.81,-9.12,8.44,8.44,8.44
59.16,17.15,8.75,17.15,8.75,-8.75,-8.80,-9.15,8.40,8.40,8.40
59.76,17.10,8.74,17.10,8.74,-8.74,-8.79,-9.17,8.36,8.36,8.36
60.35,17.05,8.72,17.05,8.72,-8.72,-8.78,-9.19,8.33,8.33,8.33
60.96,17.00,8.71,17.00,8.71,-8.70,-8.77,-9.19,8.29,8.29,8.29
61.57,16.94,8.69,16.94,8.69,-8.69,-8.76,-9.20,8.25,8.25,8.25
62.18,16.89,8.67,16.89,8.67,-8.67,-8.75,-9.19,8.22,8.22,8.22
62.80,16.83,8.65,16.83,8.65,-8.66,-8.74,-9.18,8.18,8.18,8.18
63.43,16.78,8.64,16.78,8.64,-8.64,-8.73,-9.15,8.14,8.14,8.14
64.07,16.73,8.62,16.73,8.62,-8.62,-8.72,-9.12,8.10,8.10,8.10
64.71,16.68,8.61,16.68,8.61,-8.61,-8.71,-9.09,8.07,8.07,8.07
65.35,16.63,8.60,16.63,8.60,-8.59,-8.69,-9.04,8.03,8.03,8.03
66.01,16.57,8.58,16.57,8.58,-8.58,-8.68,-8.99,7.99,7.99,7.99
66.67,16.52,8.57,16.52,8.57,-8.57,-8.67,-8.94,7.95,7.95,7.95
67.33,16.47,8.55,16.47,8.55,-8.55,-8.66,-8.87,7.92,7.92,7.92
68.01,16.42,8.54,16.42,8.54,-8.54,-8.64,-8.81,7.88,7.88,7.88
68.69,16.36,8.52,16.36,8.52,-8.52,-8.63,-8.73,7.84,7.84,7.84
69.37,16.31,8.51,16.31,8.51,-8.51,-8.62,-8.66,7.80,7.80,7.80
70.07,16.26,8.50,16.26,8.50,-8.49,-8.60,-8.58,7.76,7.76,7.76
70.77,16.20,8.48,16.20,8.48,-8.48,-8.59,-8.50,7.72,7.72,7.72
71.48,16.15,8.47,16.15,8.47,-8.47,-8.58,-8.42,7.68,7.68,7.68
72.19,16.10,8.45,16.10,8.45,-8.45,-8.56,-8.34,7.64,7.64,7.64
72.91,16.04,8.44,16.04,8.44,-8.44,-8.55,-8.26,7.60,7.60,7.60
73.64,15.99,8.43,15.99,8.43,-8.43,-8.53,-8.17,7.56,7.56,7.56
74.38,15.94,8.42,15.94,8.42,-8.42,-8.52,-8.09,7.52,7.52,7.52
75.12,15.89,8.41,15.89,8.41,-8.41,-8.50,-8.01,7.48,7.48,7.48
75.87,15.84,8.41,15.84,8.41,-8.41,-8.49,-7.94,7.44,7.44,7.44
76.63,15.80,8.40,15.80,8.40,-8.40,-8.47,-7.86,7.40,7.40,7.39
77.40,15.75,8.40,15.75,8.40,-8.39,-8.46,-7.79,7.35,7.35,7.35
78.17,15.70,8.39,15.70,8.39,-8.39,-8.44,-7.72,7.31,7.31,7.31
