frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.85,0.06,5.85,0.06,-0.06,-0.02,-0.56,5.79,5.78,5.78
20.20,5.91,0.13,5.91,0.13,-0.13,-0.05,-0.58,5.78,5.78,5.78
20.40,5.98,0.19,5.98,0.19,-0.19,-0.09,-0.60,5.78,5.78,5.79
20.61,6.04,0.25,6.04,0.25,-0.25,-0.15,-0.61,5.78,5.78,5.79
20.81,6.10,0.31,6.10,0.31,-0.31,-0.22,-0.63,5.79,5.79,5.79
21.02,6.15,0.37,6.15,0.37,-0.37,-0.30,-0.65,5.79,5.79,5.78
21.23,6.20,0.42,6.20,0.42,-0.42,-0.37,-0.67,5.79,5.79,5.78
21.44,6.25,0.47,6.25,0.47,-0.46,-0.44,-0.69,5.78,5.78,5.78
21.66,6.29,0.51,6.29,0.51,-0.51,-0.51,-0.71,5.78,5.78,5.78
21.87,6.33,0.55,6.33,0.55,-0.55,-0.57,-0.73,5.78,5.78,5.78
22.09,6.36,0.59,6.36,0.59,-0.59,-0.63,-0.75,5.77,5.77,5.77
22.31,6.39,0.62,6.39,0.62,-0.62,-0.68,-0.77,5.77,5.77,5.77
22.54,6.42,0.66,6.42,0.66,-0.66,-0.73,-0.79,5.77,5.77,5.77
22.76,6.45,0.69,6.45,0.69,-0.69,-0.76,-0.81,5.76,5.76,5.76
22.99,6.47,0.72,6.47,0.72,-0.72,-0.80,-0.84,5.76,5.76,5.76
23.22,6.50,0.74,6.50,0.74,-0.74,-0.83,-0.86,5.75,5.75,5.75
23.45,6.52,0.77,6.52,0.77,-0.77,-0.86,-0.88,5.75,5.75,5.75
23.69,6.54,0.79,6.54,0.79,-0.79,-0.88,-0.91,5.74,5.74,5.74
23.92,6.55,0.82,6.55,0.82,-0.82,-0.90,-0.93,5.74,5.74,5.73
24.16,6.56,0.84,6.56,0.84,-0.84,-0.92,-0.96,5.73,5.73,5.73
24.40,6.58,0.86,6.58,0.86,-0.86,-0.93,-0.98,5.72,5.72,5.72
24.65,6.59,0.87,6.59,0.87,-0.88,-0.95,-1.01,5.71,5.71,5.71
24.89,6.60,0.89,6.60,0.89,-0.89,-0.96,-1.04,5.70,5.70,5.70
25.14,6.60,0.91,6.60,0.91,-0.91,-0.96,-1.06,5.70,5.70,5.70
25.39,6.61,0.92,6.61,0.92,-0.92,-0.97,-1.09,5.69,5.69,5.69
25.65,6.62,0.94,6.62,0.94,-0.94,-0.98,-1.12,5.68,5.68,5.68
25.91,6.62,0.95,6.62,0.95,-0.95,-0.98,-1.14,5.67,5.67,5.67
26.16,6.62,0.97,6.62,0.97,-0.96,-0.98,-1.17,5.66,5.66,5.66
26.43,6.62,0.98,6.62,0.98,-0.97,-0.98,-1.20,5.65,5.65,5.65
26.69,6.62,0.99,6.62,0.99,-0.99,-0.98,-1.23,5.64,5.64,5.64
26.96,6.62,1.00,6.62,1.00,-1.00,-0.98,-1.25,5.62,5.62,5.62
27.23,6.62,1.01,6.62,1.01,-1.01,-0.98,-1.28,5.61,5.61,5.61
27.50,6.62,1.02,6.62,1.02,-1.02,-0.98,-1.31,5.60,5.60,5.60
27.77,6.62,1.04,6.62,1.04,-1.04,-0.98,-1.33,5.58,5.58,5.58
28.05,6.62,1.05,6.62,1.05,-1.05,-0.98,-1.36,5.57,5.57,5.57
28.33,6.63,1.07,6.63,1.07,-1.07,-0.99,-1.38,5.56,5.56,5.56
28.62,6.63,1.09,6.63,1.09,-1.09,-0.99,-1.41,5.54,5.54,5.54
28.90,6.64,1.11,6.64,1.11,-1.11,-1.01,-1.43,5.53,5.53,5.52
29.19,6.64,1.13,6.64,1.13,-1.13,-1.02,-1.45,5.51,5.51,5.51
29.48,6.64,1.15,6.64,1.15,-1.15,-1.04,-1.47,5.49,5.49,5.49
29.78,6.64,1.17,6.64,1.17,-1.17,-1.06,-1.49,5.47,5.47,5.47
30.08,6.64,1.19,6.64,1.19,-1.19,-1.09,-1.51,5.45,5.45,5.45
30.38,6.65,1.21,6.65,1.21,-1.21,-1.12,-1.53,5.43,5.43,5.43
30.68,6.65,1.24,6.65,1.24,-1.24,-1.16,-1.54,5.41,5.41,5.41
30.99,6.65,1.26,6.65,1.26,-1.26,-1.19,-1.56,5.39,5.39,5.39
31.30,6.66,1.29,6.66,1.29,-1.29,-1.23,-1.57,5.37,5.37,5.37
31.61,6.67,1.32,6.67,1.32,-1.32,-1.28,-1.58,5.35,5.35,5.35
31.93,6.68,1.35,6.68,1.35,-1.35,-1.32,-1.59,5.33,5.33,5.33
32.24,6.69,1.38,6.69,1.38,-1.38,-1.37,-1.60,5.31,5.31,5.31
32.57,6.70,1.42,6.70,1.42,-1.41,-1.41,-1.61,5.29,5.29,5.28
32.89,6.71,1.45,6.71,1.45,-1.45,-1.46,-1.62,5.26,5.26,5.26
33.22,6.72,1.48,6.72,1.48,-1.48,-1.50,-1.62,5.24,5.24,5.24
33.55,6.73,1.51,6.73,1.51,-1.51,-1.55,-1.63,5.22,5.22,5.22
33.89,6.74,1.55,6.74,1.55,-1.55,-1.59,-1.63,5.19,5.19,5.19
34.23,6.75,1.58,6.75,1.58,-1.58,-1.64,-1.64,5.17,5.17,5.17
34.57,6.76,1.61,6.76,1.61,-1.62,-1.68,-1.64,5.15,5.15,5.15
34.92,6.78,1.65,6.78,1.65,-1.65,-1.72,-1.64,5.13,5.13,5.13
35.27,6.79,1.68,6.79,1.68,-1.68,-1.76,-1.64,5.11,5.11,5.11
35.62,6.80,1.72,6.80,1.72,-1.72,-1.79,-1.64,5.08,5.08,5.08
35.97,6.81,1.75,6.81,1.75,-1.75,-1.83,-1.65,5.06,5.06,5.06
36.33,6.83,1.79,6.83,1.79,-1.78,-1.86,-1.65,5.04,5.04,5.04
36.70,6.84,1.82,6.83,1.82,-1.82,-1.90,-1.65,5.02,5.02,5.02
37.06,6.84,1.85,6.84,1.85,-1.85,-1.93,-1.65,5.00,5.00,5.00
37.43,6.85,1.88,6.85,1.88,-1.88,-1.96,-1.65,4.97,4.97,4.97
37.81,6.86,1.91,6.86,1.91,-1.91,-1.99,-1.66,4.95,4.95,4.95
38.19,6.87,1.94,6.87,1.94,-1.94,-2.01,-1.66,4.93,4.93,4.93
38.57,6.87,1.97,6.87,1.97,-1.97,-2.04,-1.67,4.91,4.91,4.91
38.95,6.88,2.00,6.88,2.00,-2.00,-2.06,-1.67,4.88,4.88,4.88
39.34,6.89,2.03,6.89,2.03,-2.03,-2.09,-1.68,4.86,4.86,4.86
39.74,6.90,2.06,6.90,2.06,-2.06,-2.11,-1.68,4.84,4.84,4.84
40.14,6.90,2.09,6.90,2.09,-2.09,-2.13,-1.69,4.81,4.81,4.81
40.54,6.91,2.12,6.91,2.12,-2.12,-2.15,-1.70,4.79,4.79,4.79
40.94,6.91,2.15,6.91,2.15,-2.15,-2.17,-1.71,4.76,4.76,4.76
41.35,6.92,2.18,6.92,2.18,-2.18,-2.18,-1.72,4.74,4.74,4.74
41.76,6.92,2.21,6.92,2.21,-2.21,-2.20,-1.74,4.71,4.71,4.71
42.18,6.93,2.24,6.93,2.24,-2.24,-2.22,-1.75,4.69,4.69,4.69
42.60,6.93,2.27,6.93,2.27,-2.26,-2.23,-1.77,4.67,4.67,4.66
43.03,6.93,2.29,6.93,2.29,-2.29,-2.25,-1.78,4.64,4.64,4.64
43.46,6.92,2.31,6.92,2.31,-2.31,-2.26,-1.80,4.61,4.61,4.61
43.90,6.91,2.33,6.91,2.33,-2.33,-2.27,-1.82,4.58,4.58,4.58
44.33,6.90,2.34,6.90,2.34,-2.34,-2.29,-1.84,4.55,4.55,4.55
44.78,6.88,2.35,6.88,2.35,-2.36,-2.30,-1.86,4.52,4.52,4.53
45.23,6.87,2.37,6.87,2.37,-2.37,-2.31,-1.89,4.49,4.50,4.50
45.68,6.85,2.38,6.85,2.38,-2.38,-2.32,-1.91,4.47,4.47,4.47
46.13,6.84,2.40,6.84,2.39,-2.40,-2.33,-1.94,4.44,4.44,4.44
46.60,6.82,2.41,6.82,2.41,-2.41,-2.34,-1.97,4.41,4.41,4.41
47.06,6.80,2.42,6.80,2.42,-2.42,-2.35,-2.00,4.38,4.38,4.38
47.53,6.79,2.44,6.79,2.43,-2.43,-2.36,-2.03,4.35,4.35,4.35
48.01,6.77,2.45,6.77,2.45,-2.45,-2.37,-2.06,4.32,4.32,4.32
48.49,6.75,2.46,6.75,2.46,-2.46,-2.37,-2.09,4.29,4.29,4.29
48.97,6.73,2.47,6.73,2.47,-2.47,-2.38,-2.13,4.26,4.26,4.26
49.46,6.71,2.48,6.71,2.48,-2.48,-2.39,-2.16,4.23,4.23,4.23
49.96,6.68,2.48,6.69,2.48,-2.48,-2.39,-2.20,4.20,4.20,4.20
50.46,6.66,2.49,6.66,2.49,-2.49,-2.40,-2.23,4.17,4.17,4.17
50.96,6.64,2.50,6.64,2.50,-2.50,-2.40,-2.27,4.14,4.14,4.14
51.47,6.61,2.50,6.61,2.50,-2.50,-2.41,-2.31,4.11,4.11,4.11
51.99,6.58,2.50,6.58,2.50,-2.50,-2.42,-2.35,4.08,4.08,4.08
52.51,6.55,2.50,6.55,2.50,-2.50,-2.42,-2.38,4.05,4.05,4.05
53.03,6.51,2.50,6.51,2.50,-2.50,-2.42,-2.42,4.01,4.01,4.01
53.56,6.47,2.49,6.47,2.50,-2.50,-2.43,-2.46,3.98,3.98,3.98
54.10,6.44,2.49,6.44,2.49,-2.49,-2.43,-2.50,3.94,3.94,3.95
54.64,6.40,2.49,6.40,2.49,-2.49,-2.44,-2.53,3.91,3.91,3.91
55.18,6.36,2.48,6.36,2.48,-2.48,-2.44,-2.57,3.88,3.88,3.88
55.74,6.32,2.48,6.32,2.48,-2.48,-2.44,-2.60,3.84,3.84,3.84
56.29,6.28,2.47,6.28,2.47,-2.47,-2.44,-2.63,3.81,3.81,3.81
56.86,6.24,2.47,6.24,2.47,-2.47,-2.45,-2.66,3.78,3.78,3.77
57.42,6.20,2.46,6.20,2.46,-2.46,-2.45,-2.69,3.74,3.74,3.74
58.00,6.16,2.46,6.16,2.46,-2.46,-2.45,-2.72,3.70,3.70,3.70
58.58,6.12,2.45,6.12,2.45,-2.45,-2.45,-2.74,3.67,3.67,3.67
59.16,6.07,2.44,6.07,2.44,-2.44,-2.45,-2.77,3.63,3.63,3.63
59.76,6.03,2.44,6.03,2.44,-2.44,-2.46,-2.78,3.59,3.59,3.59
60.35,5.99,2.43,5.99,2.43,-2.43,-2.46,-2.80,3.56,3.56,3.56
60.96,5.94,2.42,5.94,2.42,-2.43,-2.46,-2.81,3.52,3.52,3.52
61.57,5.90,2.42,5.90,2.42,-2.42,-2.46,-2.82,3.48,3.48,3.48
62.18,5.86,2.41,5.86,2.41,-2.41,-2.46,-2.83,3.45,3.45,3.45
62.80,5.82,2.41,5.82,2.41,-2.41,-2.46,-2.83,3.41,3.41,3.41
63.43,5.77,2.40,5.77,2.40,-2.40,-2.46,-2.83,3.37,3.37,3.37
64.07,5.73,2.39,5.73,2.40,-2.40,-2.46,-2.83,3.33,3.33,3.33
64.71,5.69,2.39,5.69,2.39,-2.39,-2.46,-2.82,3.30,3.30,3.30
65.35,5.64,2.39,5.65,2.39,-2.39,-2.46,-2.81,3.26,3.26,3.26
66.01,5.60,2.38,5.60,2.38,-2.38,-2.46,-2.80,3.22,3.22,3.22
66.67,5.56,2.38,5.56,2.38,-2.37,-2.46,-2.79,3.19,3.19,3.18
67.33,5.52,2.37,5.52,2.37,-2.37,-2.46,-2.77,3.15,3.15,3.15
68.01,5.47,2.36,5.47,2.36,-2.36,-2.46,-2.75,3.11,3.11,3.11
68.69,5.43,2.36,5.43,2.36,-2.36,-2.45,-2.73,3.07,3.07,3.07
69.37,5.38,2.35,5.38,2.35,-2.35,-2.45,-2.70,3.03,3.03,3.03
70.07,5.34,2.34,5.34,2.34,-2.34,-2.45,-2.68,2.99,2.99,2.99
70.77,5.29,2.34,5.29,2.34,-2.34,-2.45,-2.65,2.95,2.95,2.95
71.48,5.25,2.33,5.25,2.33,-2.34,-2.45,-2.62,2.91,2.91,2.91
72.19,5.21,2.33,5.21,2.33,-2.33,-2.44,-2.59,2.87,2.87,2.87
72.91,5.16,2.33,5.16,2.33,-2.33,-2.44,-2.56,2.83,2.83,2.83
73.64,5.12,2.33,5.12,2.33,-2.33,-2.44,-2.53,2.79,2.79,2.79
74.38,5.08,2.33,5.08,2.33,-2.33,-2.43,-2.50,2.75,2.75,2.75
75.12,5.04,2.33,5.04,2.33,-2.33,-2.43,-2.47,2.71,2.71,2.71
75.87,5.00,2.33,5.00,2.33,-2.33,-2.43,-2.44,2.67,2.67,2.67
76.63,4.95,2.33,4.96,2.33,-2.33,-2.42,-2.41,2.62,2.62,2.62
77.40,4.91,2.33,4.91,2.33,-2.33,-2.42,-2.38,2.58,2.58,2.58
78.17,4.87,2.33,4.87,2.33,-2.33,-2.42,-2.35,2.54,2.54,2.54
78.95,4.83,2.33,4.83,2.33,-2.33,-2.41,-2.33,2.49,2.49,2.49
79.74,4.79,2.34,4.79,2.34,-2.34,-2.41,-2.30,2.45,2.45,2.45
80.54,4.74,2.34,4.74,2.34,-2.34,-2.40,-2.27,2.40,2.40,2.40
81.35,4.70,2.34,4.70,2.34,-2.34,-2.40,-2.25,2.36,2.36,2.36
82.16,4.66,2.35,4.66,2.35,-2.35,-2.39,-2.23,2.31,2.31,2.31
82.98,4.62,2.35,4.62,2.35,-2.35,-2.39,-2.20,2.27,2.27,2.27
83.81,4.58,2.35,4.58,2.35,-2.35,-2.38,-2.18,2.23,2.23,2.22
84.65,4.54,2.36,4.54,2.36,-2.36,-2.37,-2.17,2.18,2.18,2.18
85.50,4.50,2.36,4.50,2.36,-2.36,-2.37,-2.15,2.14,2.14,2.14
86.35,4.45,2.36,4.45,2.36,-2.36,-2.36,-2.13,2.09,2.09,2.09
87.22,4.41,2.36,4.41,2.36,-2.36,-2.36,-2.12,2.05,2.05,2.05
88.09,4.37,2.36,4.37,2.36,-2.36,-2.35,-2.11,2.01,2.01,2.01
88.97,4.33,2.36,4.33,2.36,-2.36,-2.34,-2.10,1.97,1.97,1.97
89.86,4.29,2.36,4.29,2.36,-2.36,-2.34,-2.09,1.93,1.93,1.93
90.76,4.25,2.36,4.25,2.36,-2.36,-2.33,-2.08,1.89,1.89,1.89
91.66,4.21,2.36,4.21,2.36,-2.35,-2.32,-2.07,1.86,1.86,1.86
92.58,4.18,2.35,4.18,2.35,-2.35,-2.31,-2.07,1.83,1.83,1.82
93.51,4.14,2.34,4.14,2.34,-2.34,-2.31,-2.07,1.79,1.79,1.79
94.44,4.10,2.34,4.10,2.34,-2.33,-2.30,-2.07,1.76,1.76,1.76
95.39,4.05,2.33,4.05,2.33,-2.32,-2.29,-2.07,1.73,1.73,1.73
96.34,4.01,2.31,4.01,2.31,-2.31,-2.28,-2.07,1.70,1.70,1.70
97.30,3.97,2.30,3.97,2.30,-2.30,-2.27,-2.07,1.67,1.67,1.67
98.28,3.93,2.29,3.93,2.29,-2.29,-2.26,-2.08,1.64,1.64,1.64
99.26,3.89,2.28,3.89,2.28,-2.28,-2.25,-2.08,1.61,1.61,1.61
100.25,3.85,2.27,3.85,2.27,-2.27,-2.24,-2.09,1.58,1.58,1.58
101.25,3.81,2.26,3.81,2.26,-2.26,-2.23,-2.10,1.55,1.55,1.55
102.27,3.77,2.25,3.77,2.25,-2.25,-2.23,-2.10,1.52,1.52,1.52
103.29,3.73,2.24,3.73,2.24,-2.24,-2.22,-2.11,1.50,1.49,1.49
104.32,3.69,2.23,3.69,2.23,-2.23,-2.21,-2.12,1.46,1.46,1.46
105.37,3.65,2.22,3.65,2.22,-2.22,-2.20,-2.13,1.43,1.43,1.43
106.42,3.60,2.21,3.60,2.21,-2.21,-2.18,-2.14,1.39,1.39,1.40
107.48,3.56,2.19,3.56,2.20,-2.20,-2.17,-2.15,1.36,1.36,1.36
108.56,3.51,2.19,3.51,2.19,-2.19,-2.16,-2.16,1.32,1.32,1.33
109.64,3.47,2.18,3.47,2.18,-2.18,-2.15,-2.17,1.29,1.29,1.29
110.74,3.43,2.18,3.43,2.18,-2.18,-2.14,-2.18,1.26,1.26,1.26
111.85,3.40,2.17,3.40,2.17,-2.17,-2.13,-2.19,1.22,1.22,1.22
112.97,3.36,2.17,3.36,2.17,-2.17,-2.12,-2.20,1.19,1.19,1.19
114.10,3.32,2.17,3.32,2.17,-2.17,-2.11,-2.21,1.16,1.16,1.15
115.24,3.28,2.16,3.28,2.16,-2.16,-2.09,-2.22,1.12,1.12,1.12
116.39,3.24,2.16,3.24,2.16,-2.16,-2.08,-2.22,1.09,1.09,1.09
117.55,3.20,2.15,3.20,2.15,-2.15,-2.07,-2.22,1.05,1.05,1.05
118.73,3.16,2.14,3.16,2.14,-2.14,-2.06,-2.23,1.02,1.02,1.02
119.92,3.12,2.13,3.12,2.13,-2.13,-2.05,-2.23,0.99,0.99,0.99
121.12,3.08,2.12,3.08,2.12,-2.12,-2.03,-2.23,0.96,0.96,0.96
122.33,3.04,2.11,3.04,2.11,-2.11,-2.02,-2.22,0.93,0.93,0.93
123.55,3.00,2.10,3.00,2.10,-2.10,-2.01,-2.22,0.90,0.90,0.90
124.79,2.96,2.08,2.96,2.08,-2.08,-1.99,-2.21,0.87,0.87,0.87
126.03,2.91,2.07,2.91,2.07,-2.07,-1.98,-2.20,0.85,0.85,0.85
127.29,2.87,2.05,2.87,2.05,-2.05,-1.97,-2.19,0.82,0.82,0.82
128.57,2.83,2.04,2.84,2.04,-2.04,-1.96,-2.17,0.80,0.80,0.80
129.85,2.80,2.02,2.80,2.02,-2.02,-1.94,-2.16,0.77,0.77,0.77
131.15,2.76,2.01,2.76,2.01,-2.01,-1.93,-2.14,0.75,0.75,0.75
132.46,2.72,1.99,2.72,1.99,-1.99,-1.91,-2.12,0.73,0.73,0.73
133.79,2.68,1.97,2.68,1.97,-1.97,-1.90,-2.10,0.71,0.71,0.71
135.12,2.64,1.95,2.64,1.95,-1.95,-1.89,-2.07,0.69,0.69,0.69
136.48,2.60,1.93,2.60,1.93,-1.94,-1.87,-2.05,0.66,0.66,0.66
137.84,2.56,1.92,2.56,1.92,-1.92,-1.86,-2.02,0.64,0.64,0.64
139.22,2.52,1.90,2.52,1.90,-1.90,-1.84,-2.00,0.62,0.62,0.62
140.61,2.48,1.88,2.48,1.88,-1.88,-1.83,-1.97,0.60,0.60,0.60
142.02,2.44,1.85,2.44,1.86,-1.85,-1.81,-1.94,0.58,0.58,0.58
