frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.56,-4.14,8.56,-4.14,4.17,-0.02,1.53,12.73,12.73,12.70
20.20,8.56,-4.16,8.56,-4.16,4.17,-0.02,1.58,12.73,12.73,12.72
20.40,8.56,-4.18,8.56,-4.18,4.17,-0.02,1.63,12.73,12.73,12.74
20.61,8.57,-4.19,8.57,-4.19,4.17,-0.02,1.68,12.73,12.74,12.76
20.81,8.58,-4.19,8.58,-4.19,4.16,-0.02,1.73,12.74,12.74,12.76
21.02,8.59,-4.17,8.59,-4.17,4.15,-0.03,1.78,12.74,12.74,12.76
21.23,8.61,-4.15,8.61,-4.15,4.14,-0.03,1.83,12.75,12.75,12.76
21.44,8.62,-4.13,8.62,-4.13,4.13,-0.03,1.89,12.75,12.75,12.75
21.66,8.64,-4.10,8.64,-4.10,4.10,-0.03,1.94,12.74,12.74,12.73
21.87,8.65,-4.07,8.65,-4.07,4.08,-0.03,2.00,12.73,12.73,12.72
22.09,8.65,-4.05,8.65,-4.05,4.06,-0.03,2.06,12.72,12.71,12.70
22.31,8.65,-4.03,8.65,-4.03,4.04,-0.03,2.13,12.70,12.70,12.69
22.54,8.65,-4.02,8.65,-4.02,4.03,-0.03,2.19,12.68,12.68,12.67
22.76,8.64,-4.01,8.64,-4.01,4.01,-0.03,2.25,12.66,12.66,12.65
22.99,8.64,-4.00,8.64,-4.00,3.99,-0.03,2.32,12.63,12.64,12.64
23.22,8.64,-3.98,8.64,-3.98,3.97,-0.03,2.39,12.61,12.61,12.63
23.45,8.65,-3.96,8.65,-3.96,3.94,-0.03,2.46,12.59,12.59,12.61
23.69,8.67,-3.92,8.67,-3.92,3.91,-0.03,2.53,12.57,12.57,12.59
23.92,8.69,-3.87,8.69,-3.87,3.87,-0.03,2.60,12.55,12.55,12.56
24.16,8.71,-3.82,8.71,-3.82,3.82,-0.03,2.67,12.53,12.53,12.53
24.40,8.73,-3.76,8.73,-3.76,3.77,-0.03,2.75,12.50,12.50,12.50
24.65,8.75,-3.71,8.75,-3.71,3.72,-0.03,2.82,12.47,12.47,12.46
24.89,8.76,-3.66,8.76,-3.66,3.67,-0.04,2.90,12.44,12.44,12.42
25.14,8.77,-3.62,8.77,-3.62,3.63,-0.04,2.97,12.40,12.40,12.39
25.39,8.78,-3.58,8.78,-3.58,3.59,-0.04,3.05,12.37,12.37,12.36
25.65,8.79,-3.55,8.79,-3.55,3.55,-0.04,3.13,12.34,12.34,12.34
25.91,8.80,-3.52,8.80,-3.52,3.52,-0.04,3.20,12.31,12.31,12.32
26.16,8.81,-3.49,8.81,-3.49,3.48,-0.04,3.28,12.29,12.29,12.30
26.43,8.82,-3.45,8.82,-3.45,3.44,-0.04,3.36,12.26,12.26,12.27
26.69,8.83,-3.41,8.83,-3.41,3.40,-0.04,3.43,12.23,12.23,12.24
26.96,8.84,-3.36,8.84,-3.36,3.35,-0.04,3.50,12.20,12.20,12.20
27.23,8.85,-3.31,8.85,-3.31,3.31,-0.04,3.57,12.16,12.16,12.16
27.50,8.86,-3.26,8.86,-3.26,3.26,-0.04,3.64,12.12,12.12,12.11
27.77,8.86,-3.21,8.86,-3.21,3.22,-0.04,3.71,12.08,12.08,12.07
28.05,8.86,-3.17,8.86,-3.17,3.18,-0.05,3.77,12.04,12.04,12.03
28.33,8.86,-3.14,8.86,-3.14,3.14,-0.05,3.83,12.01,12.01,12.00
28.62,8.86,-3.11,8.86,-3.11,3.11,-0.05,3.88,11.97,11.97,11.97
28.90,8.85,-3.08,8.85,-3.08,3.09,-0.05,3.93,11.94,11.94,11.94
29.19,8.84,-3.06,8.84,-3.06,3.06,-0.05,3.98,11.90,11.90,11.90
29.48,8.83,-3.04,8.83,-3.04,3.03,-0.05,4.02,11.86,11.86,11.87
29.78,8.82,-3.01,8.82,-3.01,3.00,-0.05,4.05,11.82,11.82,11.83
30.08,8.82,-2.98,8.82,-2.97,2.96,-0.05,4.08,11.78,11.78,11.79
30.38,8.82,-2.93,8.82,-2.93,2.92,-0.05,4.10,11.74,11.75,11.75
30.68,8.83,-2.88,8.83,-2.88,2.88,-0.05,4.11,11.71,11.71,11.72
30.99,8.85,-2.83,8.85,-2.83,2.84,-0.06,4.12,11.69,11.69,11.68
31.30,8.87,-2.78,8.87,-2.78,2.79,-0.06,4.12,11.66,11.66,11.65
31.61,8.88,-2.74,8.88,-2.74,2.75,-0.06,4.12,11.63,11.63,11.62
31.93,8.88,-2.70,8.88,-2.70,2.71,-0.06,4.10,11.60,11.60,11.59
32.24,8.88,-2.68,8.88,-2.68,2.68,-0.06,4.08,11.56,11.56,11.55
32.57,8.87,-2.65,8.87,-2.65,2.65,-0.06,4.06,11.52,11.52,11.52
32.89,8.85,-2.63,8.85,-2.63,2.63,-0.06,4.02,11.48,11.48,11.48
