frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.60,-1.17,10.60,-1.17,1.04,0.09,0.03,11.64,11.64,11.77
20.20,10.69,-1.10,10.70,-1.09,1.06,0.09,0.03,11.76,11.77,11.79
20.40,10.77,-1.04,10.77,-1.04,1.09,0.09,0.03,11.85,11.86,11.81
20.61,10.82,-1.01,10.81,-1.02,1.10,0.09,0.03,11.92,11.91,11.83
20.81,10.81,-1.02,10.81,-1.02,1.12,0.09,0.03,11.94,11.93,11.83
21.02,10.78,-1.05,10.78,-1.05,1.14,0.09,0.03,11.92,11.92,11.83
21.23,10.72,-1.11,10.72,-1.11,1.15,0.09,0.03,11.87,11.87,11.83
21.44,10.65,-1.17,10.65,-1.17,1.17,0.10,0.03,11.81,11.81,11.82
21.66,10.57,-1.23,10.57,-1.23,1.21,0.10,0.03,11.78,11.78,11.80
21.87,10.50,-1.28,10.51,-1.28,1.24,0.10,0.03,11.75,11.75,11.79
22.09,10.47,-1.30,10.47,-1.30,1.26,0.10,0.03,11.73,11.73,11.77
22.31,10.47,-1.29,10.47,-1.29,1.25,0.10,0.03,11.72,11.72,11.75
22.54,10.49,-1.25,10.49,-1.25,1.23,0.10,0.03,11.72,11.72,11.74
22.76,10.54,-1.19,10.54,-1.19,1.18,0.10,0.03,11.72,11.72,11.72
22.99,10.60,-1.11,10.60,-1.11,1.12,0.10,0.03,11.72,11.72,11.71
23.22,10.66,-1.04,10.66,-1.04,1.06,0.10,0.04,11.71,11.71,11.70
23.45,10.71,-0.97,10.71,-0.97,0.99,0.10,0.04,11.70,11.70,11.68
23.69,10.75,-0.90,10.75,-0.91,0.92,0.10,0.04,11.67,11.67,11.66
23.92,10.78,-0.85,10.78,-0.85,0.86,0.10,0.04,11.64,11.64,11.63
24.16,10.80,-0.80,10.80,-0.80,0.80,0.10,0.04,11.60,11.60,11.60
24.40,10.81,-0.75,10.81,-0.75,0.75,0.10,0.04,11.56,11.56,11.56
24.65,10.82,-0.71,10.82,-0.71,0.70,0.10,0.04,11.52,11.52,11.53
24.89,10.83,-0.66,10.83,-0.66,0.65,0.10,0.04,11.48,11.49,11.49
25.14,10.84,-0.62,10.85,-0.62,0.61,0.10,0.04,11.46,11.46,11.46
25.39,10.86,-0.57,10.86,-0.57,0.58,0.09,0.04,11.44,11.44,11.43
25.65,10.87,-0.54,10.87,-0.54,0.55,0.09,0.04,11.42,11.42,11.41
25.91,10.88,-0.51,10.88,-0.51,0.53,0.09,0.04,11.41,11.41,11.39
26.16,10.87,-0.49,10.87,-0.50,0.51,0.09,0.04,11.39,11.38,11.37
26.43,10.85,-0.49,10.85,-0.49,0.50,0.09,0.04,11.35,11.35,11.34
26.69,10.82,-0.48,10.82,-0.48,0.48,0.08,0.05,11.30,11.30,11.31
26.96,10.80,-0.47,10.80,-0.47,0.45,0.08,0.05,11.25,11.25,11.27
27.23,10.78,-0.45,10.78,-0.45,0.42,0.07,0.05,11.19,11.20,11.23
27.50,10.78,-0.40,10.78,-0.40,0.37,0.07,0.05,11.15,11.15,11.18
27.77,10.81,-0.33,10.81,-0.33,0.30,0.06,0.05,11.11,11.11,11.14
28.05,10.86,-0.24,10.86,-0.24,0.23,0.06,0.05,11.08,11.09,11.10
28.33,10.93,-0.14,10.92,-0.14,0.14,0.05,0.05,11.07,11.07,11.06
28.62,10.99,-0.04,10.99,-0.04,0.06,0.04,0.06,11.05,11.05,11.03
28.90,11.05,0.05,11.05,0.04,-0.02,0.04,0.06,11.03,11.03,11.01
29.19,11.09,0.11,11.09,0.11,-0.09,0.03,0.06,10.99,11.00,10.97
29.48,11.11,0.17,11.11,0.17,-0.15,0.02,0.06,10.96,10.95,10.94
29.78,11.11,0.21,11.11,0.21,-0.20,0.01,0.07,10.91,10.91,10.90
30.08,11.10,0.24,11.10,0.24,-0.24,-0.01,0.07,10.86,10.86,10.86
30.38,11.08,0.26,11.08,0.26,-0.26,-0.02,0.07,10.82,10.82,10.82
30.68,11.06,0.27,11.06,0.27,-0.27,-0.04,0.08,10.79,10.79,10.79
30.99,11.04,0.29,11.04,0.29,-0.28,-0.05,0.08,10.76,10.76,10.75
31.30,11.01,0.29,11.01,0.29,-0.29,-0.07,0.09,10.72,10.72,10.72
31.61,10.99,0.30,10.99,0.30,-0.30,-0.09,0.09,10.69,10.68,10.69
31.93,10.96,0.30,10.96,0.30,-0.32,-0.12,0.09,10.64,10.64,10.66
32.24,10.94,0.32,10.94,0.32,-0.34,-0.14,0.10,10.60,10.60,10.62
32.57,10.93,0.34,10.93,0.34,-0.36,-0.17,0.10,10.56,10.57,10.59
32.89,10.93,0.38,10.93,0.38,-0.39,-0.19,0.11,10.54,10.54,10.55
33.22,10.94,0.42,10.94,0.42,-0.42,-0.22,0.12,10.52,10.52,10.52
33.55,10.96,0.46,10.95,0.46,-0.45,-0.25,0.12,10.51,10.51,10.50
33.89,10.96,0.49,10.96,0.49,-0.47,-0.29,0.13,10.50,10.50,10.48
34.23,10.96,0.50,10.96,0.50,-0.48,-0.32,0.13,10.48,10.48,10.46
34.57,10.94,0.50,10.94,0.50,-0.48,-0.35,0.14,10.46,10.46,10.44
34.92,10.90,0.48,10.91,0.48,-0.47,-0.38,0.15,10.44,10.44,10.43
35.27,10.86,0.45,10.86,0.45,-0.45,-0.41,0.15,10.41,10.42,10.41
35.62,10.82,0.42,10.82,0.42,-0.42,-0.44,0.16,10.40,10.40,10.39
35.97,10.77,0.39,10.77,0.39,-0.39,-0.46,0.17,10.37,10.37,10.38
36.33,10.72,0.36,10.72,0.36,-0.37,-0.47,0.18,10.35,10.35,10.36
36.70,10.67,0.33,10.67,0.33,-0.35,-0.48,0.19,10.32,10.32,10.34
37.06,10.63,0.31,10.64,0.31,-0.34,-0.49,0.19,10.29,10.30,10.32
37.43,10.61,0.31,10.62,0.31,-0.33,-0.48,0.20,10.28,10.28,10.31
37.81,10.61,0.32,10.61,0.32,-0.32,-0.47,0.21,10.28,10.28,10.29
38.19,10.60,0.34,10.60,0.33,-0.32,-0.44,0.22,10.29,10.28,10.26
38.57,10.58,0.34,10.58,0.33,-0.30,-0.42,0.23,10.28,10.27,10.24
38.95,10.54,0.32,10.53,0.32,-0.29,-0.38,0.24,10.25,10.25,10.22
39.34,10.47,0.28,10.47,0.28,-0.26,-0.34,0.25,10.21,10.21,10.19
39.74,10.40,0.23,10.40,0.23,-0.23,-0.30,0.26,10.16,10.16,10.17
40.14,10.32,0.17,10.32,0.18,-0.19,-0.25,0.27,10.12,10.13,10.14
40.54,10.25,0.13,10.25,0.13,-0.15,-0.20,0.28,10.10,10.10,10.12
40.94,10.18,0.10,10.18,0.10,-0.10,-0.16,0.29,10.08,10.08,10.09
41.35,10.12,0.06,10.12,0.06,-0.05,-0.11,0.30,10.06,10.06,10.06
41.76,10.05,0.02,10.05,0.02,-0.01,-0.06,0.31,10.04,10.04,10.03
42.18,9.97,-0.03,9.97,-0.03,0.03,-0.01,0.32,10.00,10.00,9.99
