frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.60,-4.92,8.60,-4.92,4.93,-0.01,1.55,13.53,13.53,13.52
20.20,8.63,-4.91,8.63,-4.91,4.91,-0.01,1.60,13.54,13.54,13.54
20.40,8.67,-4.89,8.67,-4.89,4.89,-0.01,1.65,13.56,13.56,13.56
20.61,8.70,-4.88,8.70,-4.88,4.87,-0.01,1.70,13.57,13.57,13.58
20.81,8.73,-4.85,8.73,-4.85,4.84,-0.02,1.75,13.57,13.57,13.58
21.02,8.75,-4.83,8.76,-4.83,4.82,-0.02,1.80,13.57,13.57,13.58
21.23,8.78,-4.80,8.78,-4.80,4.79,-0.02,1.85,13.57,13.57,13.58
21.44,8.80,-4.76,8.80,-4.76,4.76,-0.02,1.91,13.57,13.57,13.57
21.66,8.83,-4.73,8.83,-4.73,4.73,-0.02,1.97,13.55,13.55,13.55
21.87,8.85,-4.69,8.85,-4.69,4.69,-0.02,2.03,13.54,13.54,13.54
22.09,8.86,-4.65,8.86,-4.65,4.66,-0.02,2.09,13.52,13.52,13.52
22.31,8.88,-4.62,8.88,-4.62,4.63,-0.02,2.15,13.51,13.51,13.50
22.54,8.90,-4.59,8.90,-4.59,4.59,-0.02,2.21,13.49,13.49,13.49
22.76,8.91,-4.56,8.91,-4.56,4.56,-0.02,2.28,13.48,13.48,13.47
22.99,8.93,-4.53,8.93,-4.53,4.53,-0.02,2.35,13.46,13.46,13.46
23.22,8.94,-4.50,8.94,-4.50,4.50,-0.02,2.42,13.44,13.44,13.44
23.45,8.96,-4.47,8.96,-4.47,4.46,-0.02,2.49,13.42,13.42,13.43
23.69,8.97,-4.43,8.97,-4.43,4.42,-0.02,2.56,13.40,13.40,13.40
23.92,8.99,-4.39,8.99,-4.39,4.38,-0.02,2.63,13.37,13.37,13.38
24.16,9.01,-4.34,9.01,-4.34,4.33,-0.02,2.70,13.34,13.34,13.35
24.40,9.03,-4.28,9.03,-4.28,4.28,-0.02,2.78,13.31,13.31,13.31
24.65,9.05,-4.22,9.05,-4.22,4.22,-0.02,2.85,13.28,13.28,13.28
24.89,9.08,-4.16,9.08,-4.16,4.16,-0.02,2.93,13.24,13.24,13.24
25.14,9.11,-4.10,9.11,-4.10,4.11,-0.02,3.01,13.21,13.21,13.21
25.39,9.14,-4.04,9.14,-4.04,4.04,-0.02,3.09,13.19,13.19,13.18
25.65,9.18,-3.98,9.18,-3.98,3.98,-0.02,3.16,13.16,13.16,13.16
25.91,9.21,-3.92,9.21,-3.92,3.92,-0.02,3.24,13.14,13.14,13.14
26.16,9.25,-3.87,9.25,-3.87,3.87,-0.02,3.32,13.11,13.11,13.11
26.43,9.28,-3.81,9.28,-3.81,3.81,-0.02,3.40,13.09,13.08,13.09
26.69,9.30,-3.75,9.30,-3.75,3.75,-0.03,3.47,13.05,13.05,13.06
26.96,9.33,-3.69,9.33,-3.69,3.69,-0.03,3.54,13.02,13.02,13.02
27.23,9.34,-3.63,9.34,-3.63,3.63,-0.03,3.61,12.98,12.98,12.98
27.50,9.36,-3.57,9.36,-3.57,3.58,-0.03,3.68,12.93,12.93,12.93
27.77,9.37,-3.52,9.37,-3.52,3.52,-0.03,3.75,12.89,12.89,12.89
28.05,9.38,-3.46,9.38,-3.46,3.47,-0.03,3.81,12.85,12.85,12.85
28.33,9.40,-3.41,9.40,-3.41,3.41,-0.03,3.87,12.81,12.81,12.81
28.62,9.42,-3.36,9.42,-3.36,3.36,-0.03,3.93,12.78,12.78,12.78
28.90,9.44,-3.31,9.45,-3.31,3.30,-0.03,3.98,12.75,12.75,12.75
29.19,9.47,-3.26,9.47,-3.25,3.25,-0.03,4.02,12.72,12.72,12.72
29.48,9.49,-3.20,9.49,-3.20,3.20,-0.03,4.06,12.69,12.69,12.69
29.78,9.50,-3.15,9.50,-3.15,3.15,-0.03,4.10,12.65,12.65,12.65
30.08,9.51,-3.10,9.51,-3.10,3.10,-0.03,4.12,12.62,12.62,12.61
30.38,9.52,-3.05,9.52,-3.05,3.06,-0.03,4.14,12.58,12.58,12.57
30.68,9.52,-3.01,9.52,-3.01,3.02,-0.03,4.16,12.54,12.54,12.54
30.99,9.52,-2.98,9.52,-2.98,2.98,-0.03,4.16,12.50,12.50,12.50
31.30,9.52,-2.94,9.52,-2.94,2.94,-0.04,4.16,12.47,12.47,12.47
31.61,9.52,-2.91,9.52,-2.91,2.91,-0.04,4.16,12.44,12.44,12.44
31.93,9.52,-2.88,9.52,-2.88,2.88,-0.04,4.14,12.40,12.40,12.40
32.24,9.52,-2.85,9.52,-2.85,2.85,-0.04,4.12,12.37,12.37,12.37
32.57,9.51,-2.82,9.51,-2.82,2.82,-0.04,4.09,12.33,12.33,12.34
32.89,9.51,-2.79,9.51,-2.79,2.79,-0.04,4.06,12.30,12.30,12.30
33.22,9.51,-2.76,9.51,-2.76,2.76,-0.04,4.02,12.27,12.27,12.27
33.55,9.52,-2.73,9.52,-2.73,2.73,-0.04,3.97,12.24,12.25,12.24
33.89,9.53,-2.70,9.53,-2.70,2.70,-0.04,3.92,12.22,12.22,12.22
