frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.00,-7.78,5.00,-7.78,6.00,6.07,2.81,11.00,11.00,12.79
20.20,5.05,-7.77,5.05,-7.76,6.00,6.09,2.89,11.05,11.05,12.81
20.40,5.09,-7.74,5.09,-7.74,6.00,6.11,2.97,11.09,11.09,12.83
20.61,5.13,-7.72,5.12,-7.72,6.00,6.10,3.05,11.13,11.12,12.85
20.81,5.16,-7.69,5.16,-7.69,6.00,6.10,3.14,11.16,11.16,12.85
21.02,5.18,-7.67,5.19,-7.67,6.00,6.09,3.23,11.18,11.19,12.85
21.23,5.21,-7.64,5.21,-7.64,6.00,6.08,3.32,11.21,11.21,12.85
21.44,5.22,-7.61,5.22,-7.61,6.00,6.07,3.42,11.22,11.22,12.84
21.66,5.23,-7.59,5.23,-7.59,6.00,6.07,3.51,11.23,11.23,12.82
21.87,5.24,-7.56,5.24,-7.56,6.00,6.06,3.62,11.24,11.24,12.81
22.09,5.25,-7.54,5.25,-7.54,6.00,6.06,3.72,11.25,11.25,12.79
22.31,5.26,-7.52,5.26,-7.52,6.00,6.05,3.82,11.26,11.26,12.77
22.54,5.26,-7.49,5.26,-7.50,6.00,6.04,3.93,11.26,11.26,12.76
22.76,5.26,-7.48,5.26,-7.48,6.00,6.03,4.04,11.26,11.26,12.74
22.99,5.27,-7.46,5.27,-7.46,6.00,6.02,4.16,11.27,11.27,12.73
23.22,5.27,-7.45,5.27,-7.45,6.00,6.01,4.27,11.27,11.27,12.71
23.45,5.27,-7.43,5.27,-7.43,6.00,6.00,4.39,11.27,11.27,12.70
23.69,5.26,-7.41,5.26,-7.41,6.00,5.99,4.51,11.26,11.26,12.67
23.92,5.26,-7.38,5.26,-7.38,6.00,5.99,4.64,11.26,11.26,12.65
24.16,5.27,-7.35,5.27,-7.35,6.00,5.98,4.77,11.27,11.27,12.62
24.40,5.27,-7.31,5.27,-7.31,6.00,5.98,4.89,11.27,11.27,12.58
24.65,5.27,-7.27,5.27,-7.27,6.00,5.97,5.03,11.27,11.27,12.55
24.89,5.28,-7.23,5.28,-7.23,6.00,5.97,5.16,11.28,11.28,12.51
25.14,5.28,-7.20,5.28,-7.20,6.00,5.97,5.29,11.28,11.28,12.48
25.39,5.28,-7.17,5.28,-7.17,6.00,5.97,5.43,11.28,11.28,12.45
25.65,5.28,-7.15,5.28,-7.15,6.00,5.97,5.56,11.28,11.28,12.43
25.91,5.28,-7.13,5.28,-7.13,6.00,5.97,5.70,11.28,11.28,12.41
26.16,5.28,-7.11,5.28,-7.11,6.00,5.97,5.84,11.28,11.28,12.38
26.43,5.27,-7.08,5.27,-7.08,6.00,5.97,5.97,11.27,11.27,12.36
26.69,5.27,-7.05,5.27,-7.05,6.00,5.97,6.11,11.27,11.27,12.33
26.96,5.27,-7.02,5.27,-7.02,6.00,5.97,6.24,11.27,11.27,12.29
27.23,5.27,-6.97,5.27,-6.97,6.00,5.97,6.37,11.27,11.27,12.25
27.50,5.28,-6.92,5.28,-6.92,6.00,5.97,6.50,11.28,11.28,12.20
27.77,5.28,-6.87,5.28,-6.87,6.00,5.98,6.62,11.28,11.28,12.16
28.05,5.29,-6.83,5.29,-6.83,6.00,5.98,6.75,11.29,11.29,12.12
28.33,5.29,-6.79,5.29,-6.79,6.00,5.98,6.86,11.29,11.29,12.08
28.62,5.30,-6.76,5.30,-6.76,6.00,5.98,6.97,11.30,11.30,12.05
28.90,5.30,-6.73,5.30,-6.73,6.00,5.99,7.07,11.30,11.30,12.02
29.19,5.30,-6.69,5.30,-6.69,6.00,5.99,7.16,11.30,11.30,11.99
29.48,5.30,-6.66,5.30,-6.66,6.00,5.99,7.24,11.30,11.30,11.96
29.78,5.30,-6.62,5.30,-6.62,6.00,5.99,7.32,11.30,11.30,11.92
30.08,5.31,-6.58,5.31,-6.58,6.00,6.00,7.38,11.31,11.31,11.88
30.38,5.31,-6.53,5.31,-6.53,6.00,6.00,7.43,11.31,11.31,11.84
30.68,5.31,-6.49,5.31,-6.50,6.00,6.00,7.47,11.31,11.31,11.81
30.99,5.31,-6.46,5.31,-6.46,6.00,6.00,7.51,11.31,11.31,11.77
31.30,5.31,-6.43,5.31,-6.43,6.00,6.00,7.52,11.31,11.31,11.74
31.61,5.31,-6.39,5.31,-6.39,6.00,6.01,7.53,11.31,11.31,11.71
31.93,5.31,-6.36,5.31,-6.36,6.00,6.01,7.52,11.31,11.31,11.67
32.24,5.31,-6.33,5.31,-6.33,6.00,6.01,7.51,11.31,11.31,11.64
32.57,5.31,-6.29,5.31,-6.29,6.00,6.01,7.48,11.31,11.31,11.61
32.89,5.31,-6.26,5.31,-6.26,6.00,6.01,7.44,11.31,11.31,11.57
33.22,5.31,-6.23,5.31,-6.23,6.00,6.01,7.39,11.31,11.31,11.54
33.55,5.31,-6.20,5.31,-6.20,6.00,6.01,7.34,11.31,11.31,11.51
33.89,5.31,-6.18,5.31,-6.18,6.00,6.01,7.27,11.31,11.31,11.49
34.23,5.31,-6.16,5.31,-6.16,6.00,6.01,7.20,11.31,11.31,11.48
34.57,5.31,-6.15,5.31,-6.15,6.00,6.01,7.12,11.31,11.31,11.46
34.92,5.31,-6.13,5.31,-6.13,6.00,6.01,7.03,11.31,11.31,11.44
35.27,5.31,-6.12,5.31,-6.12,6.00,6.00,6.94,11.31,11.31,11.43
35.62,5.30,-6.11,5.30,-6.11,6.00,6.00,6.85,11.30,11.30,11.41
35.97,5.29,-6.10,5.30,-6.10,6.00,6.00,6.75,11.30,11.30,11.40
36.33,5.29,-6.09,5.29,-6.09,6.00,5.99,6.65,11.29,11.29,11.38
36.70,5.29,-6.07,5.29,-6.07,6.00,5.98,6.55,11.29,11.29,11.36
37.06,5.29,-6.06,5.29,-6.06,6.00,5.98,6.44,11.29,11.29,11.34
37.43,5.29,-6.04,5.29,-6.04,6.00,5.97,6.34,11.29,11.29,11.32
37.81,5.29,-6.02,5.29,-6.02,5.99,5.96,6.24,11.28,11.28,11.30
38.19,5.29,-6.00,5.29,-6.00,5.98,5.95,6.14,11.27,11.27,11.28
38.57,5.28,-5.98,5.28,-5.98,5.97,5.94,6.03,11.26,11.26,11.26
38.95,5.28,-5.95,5.28,-5.95,5.96,5.93,5.94,11.24,11.24,11.24
39.34,5.28,-5.93,5.28,-5.93,5.94,5.91,5.84,11.22,11.22,11.21
39.74,5.28,-5.91,5.28,-5.91,5.92,5.90,5.74,11.19,11.19,11.19
40.14,5.27,-5.89,5.27,-5.89,5.89,5.88,5.65,11.17,11.17,11.16
40.54,5.27,-5.87,5.27,-5.87,5.87,5.86,5.56,11.14,11.14,11.13
40.94,5.26,-5.85,5.26,-5.85,5.84,5.84,5.48,11.10,11.10,11.11
41.35,5.26,-5.82,5.26,-5.82,5.82,5.82,5.39,11.07,11.07,11.08
41.76,5.25,-5.80,5.25,-5.79,5.79,5.79,5.31,11.04,11.04,11.05
42.18,5.25,-5.76,5.25,-5.76,5.76,5.77,5.24,11.01,11.01,11.01
42.60,5.25,-5.73,5.25,-5.73,5.73,5.74,5.16,10.98,10.98,10.98
43.03,5.25,-5.69,5.25,-5.70,5.70,5.71,5.10,10.95,10.95,10.94
43.46,5.24,-5.66,5.24,-5.66,5.67,5.68,5.03,10.91,10.91,10.91
43.90,5.24,-5.63,5.24,-5.63,5.63,5.65,4.97,10.87,10.87,10.87
44.33,5.23,-5.60,5.23,-5.60,5.60,5.61,4.91,10.83,10.83,10.83
44.78,5.23,-5.56,5.23,-5.56,5.56,5.58,4.86,10.79,10.79,10.79
45.23,5.22,-5.53,5.22,-5.53,5.52,5.54,4.81,10.74,10.74,10.75
45.68,5.22,-5.49,5.22,-5.49,5.48,5.50,4.76,10.70,10.70,10.70
46.13,5.21,-5.44,5.21,-5.44,5.44,5.46,4.72,10.65,10.65,10.66
46.60,5.21,-5.40,5.21,-5.40,5.40,5.41,4.68,10.61,10.61,10.61
47.06,5.21,-5.35,5.21,-5.35,5.35,5.37,4.64,10.56,10.56,10.55
47.53,5.20,-5.30,5.20,-5.30,5.31,5.32,4.61,10.51,10.51,10.50
48.01,5.20,-5.26,5.20,-5.26,5.26,5.27,4.58,10.46,10.46,10.45
48.49,5.19,-5.21,5.19,-5.21,5.21,5.22,4.56,10.40,10.40,10.40
48.97,5.19,-5.17,5.19,-5.17,5.17,5.17,4.53,10.35,10.35,10.36
49.46,5.18,-5.12,5.19,-5.12,5.12,5.12,4.51,10.30,10.30,10.31
49.96,5.18,-5.07,5.18,-5.07,5.07,5.07,4.50,10.26,10.26,10.26
50.46,5.18,-5.03,5.18,-5.03,5.03,5.02,4.48,10.21,10.21,10.20
50.96,5.17,-4.98,5.17,-4.98,4.98,4.96,4.47,10.16,10.16,10.15
51.47,5.16,-4.93,5.16,-4.93,4.94,4.91,4.46,10.10,10.10,10.10
51.99,5.15,-4.89,5.15,-4.89,4.89,4.85,4.45,10.04,10.04,10.04
52.51,5.13,-4.84,5.13,-4.85,4.84,4.80,4.44,9.98,9.97,9.98
53.03,5.12,-4.80,5.12,-4.80,4.79,4.74,4.43,9.90,9.91,9.92
53.56,5.11,-4.74,5.11,-4.74,4.73,4.68,4.43,9.84,9.84,9.85
54.10,5.11,-4.68,5.11,-4.68,4.67,4.62,4.42,9.77,9.78,9.79
54.64,5.11,-4.61,5.11,-4.61,4.60,4.57,4.42,9.72,9.72,9.72
55.18,5.12,-4.53,5.12,-4.53,4.54,4.51,4.41,9.67,9.66,9.65
55.74,5.13,-4.46,5.12,-4.46,4.48,4.45,4.41,9.61,9.60,9.59
56.29,5.12,-4.40,5.12,-4.40,4.42,4.39,4.40,9.54,9.54,9.52
56.86,5.10,-4.35,5.10,-4.35,4.36,4.33,4.39,9.46,9.46,9.45
57.42,5.08,-4.31,5.08,-4.31,4.31,4.28,4.38,9.39,9.39,9.39
58.00,5.06,-4.26,5.06,-4.26,4.26,4.22,4.37,9.32,9.32,9.32
58.58,5.04,-4.22,5.04,-4.22,4.21,4.16,4.36,9.25,9.25,9.26
59.16,5.03,-4.17,5.03,-4.17,4.16,4.10,4.34,9.19,9.19,9.20
59.76,5.02,-4.11,5.02,-4.11,4.11,4.05,4.33,9.13,9.13,9.13
60.35,5.01,-4.05,5.01,-4.05,4.05,3.99,4.31,9.06,9.06,9.07
60.96,5.01,-3.99,5.01,-3.99,3.99,3.93,4.28,9.00,9.00,9.00
61.57,5.00,-3.93,5.00,-3.93,3.93,3.87,4.25,8.94,8.94,8.93
62.18,5.00,-3.87,5.00,-3.87,3.87,3.82,4.22,8.87,8.87,8.86
62.80,4.99,-3.81,4.99,-3.81,3.81,3.76,4.19,8.80,8.80,8.80
63.43,4.98,-3.75,4.98,-3.75,3.75,3.71,4.15,8.73,8.73,8.73
64.07,4.96,-3.69,4.96,-3.69,3.69,3.65,4.11,8.66,8.66,8.66
64.71,4.95,-3.64,4.95,-3.64,3.63,3.60,4.06,8.58,8.58,8.59
65.35,4.94,-3.58,4.94,-3.58,3.58,3.54,4.02,8.51,8.51,8.52
66.01,4.93,-3.52,4.93,-3.52,3.52,3.49,3.96,8.44,8.44,8.45
66.67,4.92,-3.46,4.92,-3.46,3.46,3.43,3.91,8.37,8.37,8.38
67.33,4.90,-3.40,4.90,-3.40,3.40,3.38,3.85,8.30,8.30,8.30
68.01,4.89,-3.34,4.89,-3.34,3.34,3.33,3.79,8.24,8.23,8.23
68.69,4.88,-3.28,4.88,-3.28,3.28,3.27,3.73,8.16,8.16,8.16
69.37,4.87,-3.22,4.87,-3.22,3.23,3.22,3.66,8.10,8.10,8.09
70.07,4.86,-3.17,4.86,-3.17,3.17,3.17,3.60,8.03,8.03,8.02
70.77,4.85,-3.11,4.85,-3.11,3.11,3.12,3.53,7.96,7.96,7.96
71.48,4.83,-3.06,4.83,-3.06,3.06,3.07,3.46,7.89,7.89,7.89
72.19,4.82,-3.00,4.82,-3.00,3.00,3.02,3.39,7.82,7.82,7.82
72.91,4.81,-2.94,4.81,-2.94,2.94,2.97,3.32,7.74,7.74,7.75
73.64,4.79,-2.88,4.79,-2.88,2.88,2.92,3.25,7.67,7.67,7.67
74.38,4.77,-2.82,4.77,-2.82,2.81,2.87,3.17,7.59,7.59,7.59
75.12,4.76,-2.75,4.76,-2.75,2.75,2.82,3.10,7.51,7.51,7.51
75.87,4.75,-2.68,4.75,-2.68,2.68,2.77,3.03,7.43,7.43,7.43
76.63,4.73,-2.62,4.73,-2.62,2.62,2.72,2.96,7.35,7.35,7.35
77.40,4.72,-2.55,4.72,-2.55,2.55,2.68,2.89,7.27,7.27,7.27
78.17,4.71,-2.49,4.71,-2.49,2.49,2.63,2.82,7.20,7.20,7.20
78.95,4.70,-2.43,4.70,-2.43,2.44,2.58,2.75,7.14,7.14,7.13
79.74,4.69,-2.38,4.69,-2.38,2.39,2.54,2.68,7.08,7.08,7.07
80.54,4.68,-2.34,4.68,-2.34,2.35,2.49,2.61,7.03,7.03,7.02
81.35,4.66,-2.31,4.66,-2.31,2.32,2.44,2.55,6.98,6.98,6.97
82.16,4.65,-2.28,4.65,-2.28,2.29,2.40,2.48,6.93,6.93,6.93
82.98,4.63,-2.26,4.63,-2.26,2.25,2.35,2.42,6.88,6.88,6.89
83.81,4.61,-2.24,4.61,-2.24,2.22,2.31,2.36,6.83,6.83,6.85
84.65,4.59,-2.20,4.59,-2.20,2.18,2.26,2.30,6.77,6.77,6.80
85.50,4.58,-2.16,4.58,-2.16,2.14,2.22,2.24,6.71,6.71,6.74
86.35,4.57,-2.11,4.57,-2.10,2.09,2.18,2.18,6.66,6.66,6.67
87.22,4.56,-2.04,4.56,-2.04,2.05,2.13,2.12,6.61,6.61,6.60
88.09,4.55,-1.98,4.55,-1.98,2.00,2.09,2.07,6.56,6.55,6.53
88.97,4.53,-1.93,4.53,-1.93,1.96,2.05,2.01,6.49,6.49,6.46
