frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.45,-6.23,6.45,-6.23,5.99,0.01,1.79,12.44,12.44,12.69
20.20,6.49,-6.22,6.49,-6.22,6.01,0.01,1.85,12.50,12.50,12.71
20.40,6.54,-6.19,6.54,-6.19,6.01,0.01,1.90,12.55,12.55,12.73
20.61,6.58,-6.16,6.58,-6.16,6.01,0.01,1.96,12.60,12.60,12.74
20.81,6.63,-6.12,6.63,-6.12,6.01,0.01,2.02,12.64,12.64,12.75
21.02,6.68,-6.07,6.68,-6.07,5.99,0.01,2.08,12.67,12.67,12.75
21.23,6.73,-6.02,6.73,-6.02,5.97,0.01,2.14,12.70,12.70,12.75
21.44,6.78,-5.96,6.78,-5.96,5.93,0.01,2.20,12.71,12.71,12.74
21.66,6.82,-5.90,6.82,-5.90,5.89,0.01,2.27,12.71,12.71,12.72
21.87,6.87,-5.83,6.87,-5.83,5.84,0.01,2.34,12.71,12.71,12.70
22.09,6.92,-5.77,6.92,-5.77,5.78,0.01,2.40,12.70,12.70,12.69
22.31,6.97,-5.70,6.97,-5.70,5.72,0.01,2.48,12.68,12.68,12.67
22.54,7.02,-5.64,7.02,-5.64,5.65,0.01,2.55,12.67,12.67,12.66
22.76,7.07,-5.57,7.07,-5.57,5.58,0.01,2.62,12.65,12.65,12.64
22.99,7.12,-5.51,7.12,-5.51,5.51,0.01,2.70,12.63,12.63,12.63
23.22,7.17,-5.44,7.17,-5.44,5.44,0.01,2.78,12.61,12.61,12.61
23.45,7.22,-5.37,7.22,-5.37,5.37,0.01,2.86,12.59,12.59,12.59
23.69,7.27,-5.30,7.27,-5.30,5.29,0.01,2.94,12.56,12.56,12.57
23.92,7.32,-5.22,7.32,-5.22,5.21,0.01,3.03,12.54,12.54,12.55
24.16,7.38,-5.14,7.38,-5.14,5.13,0.01,3.11,12.51,12.51,12.52
24.40,7.43,-5.05,7.43,-5.05,5.05,0.01,3.20,12.48,12.48,12.48
