frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,19.43,6.93,19.42,6.93,-6.92,-6.64,-3.15,12.50,12.50,12.50
20.20,19.44,6.95,19.44,6.95,-6.95,-6.74,-3.24,12.49,12.49,12.49
20.40,19.45,6.97,19.46,6.97,-6.97,-6.83,-3.33,12.48,12.48,12.49
20.61,19.47,6.98,19.47,6.99,-6.99,-6.92,-3.43,12.48,12.48,12.49
20.81,19.49,7.01,19.49,7.01,-7.01,-7.01,-3.52,12.48,12.48,12.48
21.02,19.50,7.03,19.50,7.03,-7.03,-7.08,-3.62,12.47,12.47,12.47
21.23,19.51,7.05,19.51,7.04,-7.04,-7.15,-3.72,12.47,12.47,12.47
21.44,19.52,7.06,19.52,7.06,-7.05,-7.18,-3.83,12.47,12.47,12.46
21.66,19.52,7.06,19.52,7.06,-7.05,-7.22,-3.93,12.47,12.47,12.46
21.87,19.52,7.06,19.52,7.06,-7.06,-7.23,-4.04,12.47,12.47,12.46
22.09,19.52,7.06,19.52,7.06,-7.05,-7.24,-4.16,12.47,12.47,12.47
22.31,19.52,7.05,19.52,7.05,-7.05,-7.22,-4.27,12.47,12.47,12.47
22.54,19.52,7.04,19.52,7.04,-7.05,-7.20,-4.39,12.47,12.48,12.48
22.76,19.52,7.04,19.52,7.04,-7.04,-7.17,-4.51,12.48,12.48,12.48
22.99,19.52,7.03,19.52,7.03,-7.04,-7.14,-4.64,12.47,12.47,12.48
23.22,19.51,7.04,19.51,7.04,-7.05,-7.10,-4.77,12.46,12.46,12.48
23.45,19.51,7.04,19.51,7.04,-7.06,-7.06,-4.90,12.45,12.45,12.46
23.69,19.50,7.05,19.50,7.06,-7.07,-7.03,-5.03,12.43,12.43,12.44
23.92,19.49,7.07,19.49,7.07,-7.07,-6.99,-5.17,12.42,12.42,12.42
24.16,19.48,7.08,19.48,7.08,-7.07,-6.96,-5.31,12.41,12.41,12.40
24.40,19.46,7.08,19.46,7.08,-7.06,-6.93,-5.45,12.40,12.40,12.38
24.65,19.44,7.07,19.44,7.06,-7.03,-6.90,-5.60,12.41,12.41,12.37
24.89,19.42,7.03,19.42,7.03,-7.00,-6.88,-5.74,12.42,12.42,12.39
25.14,19.40,6.98,19.40,6.98,-6.96,-6.86,-5.89,12.44,12.44,12.42
25.39,19.37,6.91,19.37,6.91,-6.91,-6.83,-6.04,12.47,12.46,12.46
25.65,19.35,6.85,19.35,6.85,-6.87,-6.82,-6.19,12.48,12.48,12.50
25.91,19.32,6.79,19.32,6.79,-6.83,-6.80,-6.34,12.49,12.49,12.53
26.16,19.29,6.75,19.29,6.76,-6.80,-6.79,-6.49,12.49,12.49,12.54
26.43,19.26,6.75,19.26,6.75,-6.78,-6.78,-6.65,12.47,12.47,12.51
26.69,19.23,6.76,19.23,6.76,-6.78,-6.77,-6.80,12.45,12.45,12.47
26.96,19.20,6.79,19.20,6.79,-6.77,-6.76,-6.95,12.43,12.43,12.41
27.23,19.18,6.81,19.18,6.81,-6.77,-6.76,-7.09,12.40,12.40,12.36
27.50,19.15,6.82,19.15,6.81,-6.77,-6.76,-7.24,12.38,12.38,12.34
27.77,19.13,6.80,19.13,6.80,-6.77,-6.76,-7.38,12.36,12.36,12.33
28.05,19.11,6.77,19.11,6.77,-6.77,-6.75,-7.52,12.34,12.34,12.34
28.33,19.08,6.74,19.08,6.74,-6.77,-6.75,-7.65,12.31,12.31,12.34
28.62,19.06,6.73,19.06,6.73,-6.77,-6.76,-7.77,12.29,12.29,12.34
28.90,19.04,6.73,19.04,6.73,-6.77,-6.76,-7.89,12.27,12.27,12.31
29.19,19.02,6.75,19.02,6.75,-6.76,-6.76,-8.00,12.25,12.25,12.27
29.48,19.00,6.78,19.00,6.78,-6.76,-6.76,-8.09,12.24,12.24,12.21
29.78,18.97,6.79,18.97,6.79,-6.75,-6.77,-8.19,12.22,12.22,12.18
30.08,18.95,6.79,18.95,6.79,-6.74,-6.77,-8.26,12.21,12.21,12.16
30.38,18.93,6.76,18.93,6.76,-6.73,-6.78,-8.33,12.20,12.20,12.17
30.68,18.91,6.72,18.91,6.72,-6.72,-6.78,-8.39,12.19,12.19,12.20
30.99,18.90,6.68,18.90,6.68,-6.72,-6.79,-8.43,12.18,12.18,12.22
31.30,18.88,6.66,18.88,6.67,-6.71,-6.79,-8.46,12.17,12.17,12.22
31.61,18.86,6.67,18.86,6.68,-6.71,-6.80,-8.49,12.15,12.15,12.19
31.93,18.85,6.71,18.85,6.71,-6.72,-6.81,-8.49,12.13,12.13,12.14
32.24,18.84,6.75,18.84,6.75,-6.73,-6.81,-8.49,12.11,12.11,12.09
32.57,18.82,6.78,18.82,6.78,-6.74,-6.82,-8.47,12.08,12.08,12.04
32.89,18.81,6.79,18.81,6.79,-6.75,-6.82,-8.45,12.06,12.06,12.02
33.22,18.80,6.78,18.80,6.78,-6.77,-6.83,-8.41,12.03,12.03,12.02
33.55,18.79,6.77,18.79,6.77,-6.77,-6.84,-8.36,12.01,12.01,12.02
33.89,18.78,6.76,18.78,6.76,-6.78,-6.84,-8.31,12.00,12.00,12.02
34.23,18.77,6.76,18.77,6.76,-6.78,-6.85,-8.25,11.99,11.99,12.01
34.57,18.75,6.76,18.75,6.76,-6.78,-6.85,-8.18,11.98,11.98,11.99
34.92,18.74,6.78,18.74,6.78,-6.78,-6.86,-8.10,11.97,11.97,11.97
35.27,18.73,6.79,18.73,6.79,-6.78,-6.86,-8.02,11.95,11.95,11.95
35.62,18.72,6.80,18.72,6.80,-6.79,-6.87,-7.94,11.93,11.93,11.93
35.97,18.71,6.80,18.71,6.80,-6.80,-6.87,-7.86,11.92,11.92,11.91
36.33,18.70,6.81,18.70,6.81,-6.80,-6.88,-7.77,11.90,11.90,11.89
