frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.73,0.12,10.73,0.12,-0.12,-0.17,-0.14,10.61,10.61,10.61
20.20,10.73,0.12,10.73,0.12,-0.12,-0.18,-0.14,10.61,10.61,10.61
20.40,10.72,0.12,10.72,0.12,-0.12,-0.18,-0.15,10.61,10.61,10.61
20.61,10.72,0.11,10.72,0.11,-0.11,-0.18,-0.15,10.60,10.60,10.61
20.81,10.72,0.11,10.72,0.11,-0.11,-0.19,-0.16,10.60,10.60,10.60
21.02,10.71,0.11,10.71,0.11,-0.11,-0.19,-0.16,10.60,10.60,10.60
21.23,10.71,0.11,10.71,0.11,-0.11,-0.19,-0.16,10.60,10.60,10.60
21.44,10.71,0.12,10.71,0.12,-0.12,-0.20,-0.17,10.59,10.59,10.59
21.66,10.71,0.12,10.71,0.12,-0.12,-0.20,-0.17,10.59,10.59,10.59
21.87,10.70,0.12,10.70,0.12,-0.12,-0.21,-0.18,10.58,10.58,10.58
22.09,10.70,0.13,10.70,0.13,-0.12,-0.21,-0.18,10.58,10.58,10.58
22.31,10.70,0.13,10.70,0.13,-0.13,-0.21,-0.19,10.57,10.57,10.57
22.54,10.69,0.13,10.69,0.13,-0.13,-0.22,-0.19,10.56,10.56,10.56
22.76,10.69,0.14,10.69,0.14,-0.14,-0.22,-0.20,10.55,10.55,10.55
22.99,10.69,0.14,10.69,0.14,-0.14,-0.23,-0.20,10.55,10.55,10.55
23.22,10.69,0.15,10.69,0.15,-0.15,-0.23,-0.21,10.54,10.54,10.54
23.45,10.69,0.16,10.69,0.16,-0.16,-0.24,-0.21,10.53,10.53,10.53
23.69,10.69,0.17,10.69,0.17,-0.17,-0.24,-0.22,10.52,10.52,10.52
23.92,10.69,0.18,10.69,0.18,-0.18,-0.24,-0.22,10.52,10.52,10.52
24.16,10.70,0.19,10.70,0.19,-0.19,-0.25,-0.23,10.51,10.51,10.51
24.40,10.70,0.20,10.70,0.20,-0.20,-0.25,-0.23,10.51,10.51,10.50
24.65,10.70,0.21,10.70,0.21,-0.21,-0.26,-0.24,10.50,10.50,10.50
24.89,10.70,0.22,10.70,0.22,-0.21,-0.26,-0.25,10.49,10.49,10.49
25.14,10.70,0.23,10.70,0.23,-0.22,-0.27,-0.25,10.48,10.48,10.48
25.39,10.70,0.23,10.70,0.23,-0.23,-0.27,-0.26,10.47,10.47,10.46
25.65,10.69,0.24,10.69,0.24,-0.24,-0.28,-0.26,10.45,10.45,10.45
25.91,10.69,0.24,10.69,0.24,-0.24,-0.28,-0.27,10.44,10.44,10.44
26.16,10.68,0.25,10.68,0.25,-0.25,-0.29,-0.28,10.43,10.43,10.43
26.43,10.68,0.26,10.68,0.26,-0.26,-0.30,-0.28,10.42,10.42,10.42
26.69,10.69,0.27,10.69,0.27,-0.28,-0.30,-0.29,10.41,10.41,10.42
26.96,10.69,0.29,10.69,0.29,-0.29,-0.31,-0.30,10.40,10.40,10.41
27.23,10.70,0.30,10.70,0.30,-0.30,-0.31,-0.30,10.40,10.40,10.40
27.50,10.70,0.32,10.70,0.32,-0.32,-0.32,-0.31,10.39,10.39,10.38
27.77,10.70,0.33,10.70,0.33,-0.33,-0.33,-0.32,10.38,10.38,10.37
28.05,10.70,0.35,10.70,0.35,-0.34,-0.33,-0.32,10.36,10.36,10.36
28.33,10.69,0.35,10.69,0.35,-0.35,-0.34,-0.33,10.35,10.35,10.34
28.62,10.68,0.36,10.68,0.36,-0.35,-0.34,-0.34,10.33,10.33,10.32
28.90,10.66,0.36,10.66,0.36,-0.36,-0.35,-0.35,10.31,10.31,10.31
29.19,10.65,0.36,10.65,0.36,-0.36,-0.36,-0.35,10.29,10.29,10.29
29.48,10.64,0.36,10.64,0.36,-0.37,-0.36,-0.36,10.27,10.27,10.28
29.78,10.63,0.37,10.63,0.37,-0.38,-0.37,-0.37,10.26,10.26,10.26
30.08,10.63,0.38,10.63,0.38,-0.38,-0.38,-0.37,10.24,10.24,10.25
30.38,10.63,0.39,10.63,0.39,-0.40,-0.39,-0.38,10.23,10.23,10.23
30.68,10.63,0.41,10.63,0.41,-0.41,-0.39,-0.39,10.22,10.22,10.22
30.99,10.63,0.43,10.63,0.43,-0.42,-0.40,-0.39,10.20,10.20,10.20
31.30,10.62,0.44,10.62,0.44,-0.43,-0.41,-0.40,10.19,10.19,10.18
31.61,10.61,0.45,10.61,0.45,-0.44,-0.42,-0.41,10.17,10.17,10.16
31.93,10.60,0.46,10.60,0.46,-0.45,-0.42,-0.41,10.14,10.14,10.14
32.24,10.58,0.46,10.58,0.46,-0.46,-0.43,-0.42,10.12,10.12,10.12
32.57,10.56,0.46,10.56,0.46,-0.47,-0.44,-0.43,10.09,10.09,10.10
32.89,10.54,0.47,10.54,0.47,-0.48,-0.45,-0.43,10.07,10.07,10.07
33.22,10.53,0.48,10.53,0.48,-0.48,-0.46,-0.44,10.04,10.04,10.05
33.55,10.51,0.49,10.51,0.49,-0.49,-0.46,-0.45,10.02,10.02,10.02
33.89,10.50,0.51,10.50,0.51,-0.50,-0.47,-0.45,10.00,10.00,10.00
34.23,10.49,0.52,10.49,0.52,-0.52,-0.48,-0.46,9.98,9.98,9.98
34.57,10.49,0.53,10.49,0.53,-0.53,-0.49,-0.47,9.96,9.96,9.95
34.92,10.48,0.54,10.48,0.54,-0.54,-0.50,-0.48,9.93,9.93,9.93
35.27,10.47,0.56,10.47,0.56,-0.56,-0.51,-0.48,9.91,9.91,9.91
35.62,10.46,0.57,10.46,0.57,-0.57,-0.52,-0.49,9.89,9.89,9.89
35.97,10.45,0.59,10.45,0.59,-0.59,-0.53,-0.50,9.86,9.86,9.86
36.33,10.44,0.60,10.44,0.60,-0.61,-0.54,-0.51,9.83,9.83,9.84
