frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.42,1.80,7.42,1.79,-1.77,-1.64,-0.54,5.65,5.65,5.63
20.20,7.44,1.78,7.44,1.80,-1.79,-1.67,-0.56,5.65,5.65,5.66
20.40,7.46,1.80,7.46,1.80,-1.81,-1.71,-0.57,5.65,5.65,5.66
20.61,7.48,1.82,7.48,1.82,-1.83,-1.75,-0.59,5.65,5.65,5.66
20.81,7.49,1.83,7.49,1.83,-1.84,-1.79,-0.61,5.65,5.65,5.66
21.02,7.51,1.85,7.51,1.85,-1.86,-1.84,-0.63,5.65,5.65,5.66
21.23,7.52,1.86,7.52,1.86,-1.87,-1.88,-0.64,5.65,5.65,5.66
21.44,7.53,1.87,7.53,1.87,-1.88,-1.92,-0.66,5.65,5.65,5.66
21.66,7.55,1.89,7.55,1.89,-1.89,-1.96,-0.68,5.65,5.65,5.66
21.87,7.56,1.90,7.56,1.90,-1.90,-1.98,-0.70,5.66,5.66,5.66
22.09,7.57,1.92,7.57,1.92,-1.91,-1.99,-0.73,5.66,5.66,5.66
22.31,7.59,1.93,7.59,1.92,-1.91,-1.98,-0.75,5.68,5.68,5.66
22.54,7.60,1.93,7.60,1.91,-1.91,-1.96,-0.77,5.70,5.70,5.67
22.76,7.62,1.87,7.62,1.90,-1.90,-1.92,-0.79,5.72,5.72,5.75
22.99,7.63,1.87,7.63,1.87,-1.88,-1.88,-0.82,5.75,5.75,5.76
23.22,7.64,1.87,7.64,1.85,-1.86,-1.83,-0.84,5.78,5.78,5.76
23.45,7.65,1.81,7.65,1.83,-1.82,-1.79,-0.86,5.82,5.82,5.84
23.69,7.66,1.80,7.66,1.80,-1.79,-1.74,-0.89,5.87,5.87,5.86
23.92,7.66,1.77,7.66,1.76,-1.74,-1.70,-0.91,5.92,5.92,5.89
24.16,7.67,1.72,7.67,1.72,-1.70,-1.66,-0.94,5.97,5.97,5.95
24.40,7.68,1.65,7.68,1.65,-1.66,-1.62,-0.96,6.02,6.02,6.03
24.65,7.68,1.59,7.68,1.59,-1.62,-1.59,-0.99,6.07,6.07,6.10
24.89,7.69,1.54,7.69,1.56,-1.58,-1.56,-1.02,6.12,6.12,6.16
25.14,7.70,1.54,7.70,1.53,-1.53,-1.54,-1.04,6.17,6.17,6.16
25.39,7.71,1.52,7.71,1.51,-1.50,-1.52,-1.07,6.21,6.21,6.19
25.65,7.72,1.46,7.72,1.49,-1.47,-1.50,-1.10,6.25,6.25,6.26
