frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.60,5.93,10.60,5.92,-6.04,-8.24,-2.57,4.56,4.56,4.67
20.20,10.69,5.99,10.70,6.01,-6.04,-8.16,-2.65,4.66,4.66,4.70
20.40,10.77,6.06,10.77,6.07,-6.03,-8.08,-2.72,4.74,4.74,4.70
20.61,10.82,6.12,10.81,6.10,-6.02,-7.81,-2.80,4.80,4.79,4.70
20.81,10.81,6.11,10.81,6.11,-6.01,-7.53,-2.88,4.80,4.80,4.70
21.02,10.78,6.08,10.78,6.08,-5.99,-7.21,-2.97,4.79,4.79,4.70
21.23,10.72,6.02,10.72,6.02,-5.97,-6.88,-3.05,4.75,4.75,4.70
21.44,10.65,5.94,10.65,5.94,-5.95,-6.59,-3.14,4.69,4.69,4.70
21.66,10.57,5.87,10.57,5.87,-5.90,-6.29,-3.23,4.67,4.67,4.70
21.87,10.50,5.80,10.51,5.81,-5.84,-6.06,-3.32,4.66,4.66,4.70
22.09,10.47,5.77,10.47,5.78,-5.81,-5.84,-3.42,4.67,4.67,4.70
22.31,10.47,5.76,10.47,5.76,-5.78,-5.67,-3.52,4.68,4.69,4.70
22.54,10.49,5.77,10.49,5.76,-5.78,-5.50,-3.62,4.71,4.72,4.72
22.76,10.54,5.75,10.54,5.77,-5.78,-5.39,-3.72,4.75,4.75,4.79
22.99,10.60,5.79,10.60,5.79,-5.80,-5.28,-3.83,4.80,4.80,4.80
23.22,10.66,5.85,10.66,5.82,-5.81,-5.21,-3.94,4.85,4.85,4.81
23.45,10.71,5.82,10.71,5.85,-5.82,-5.14,-4.05,4.89,4.89,4.89
23.69,10.75,5.85,10.75,5.85,-5.81,-5.09,-4.16,4.94,4.94,4.90
23.92,10.78,5.85,10.78,5.83,-5.80,-5.05,-4.28,4.98,4.98,4.93
24.16,10.80,5.80,10.80,5.80,-5.78,-5.04,-4.39,5.02,5.02,4.99
24.40,10.81,5.74,10.81,5.74,-5.75,-5.02,-4.51,5.06,5.06,5.07
24.65,10.82,5.68,10.82,5.68,-5.72,-5.02,-4.64,5.10,5.10,5.14
24.89,10.83,5.63,10.83,5.65,-5.68,-5.02,-4.76,5.15,5.15,5.20
25.14,10.84,5.64,10.85,5.62,-5.64,-5.03,-4.88,5.20,5.20,5.20
25.39,10.86,5.63,10.86,5.61,-5.60,-5.05,-5.01,5.26,5.26,5.24
25.65,10.87,5.57,10.87,5.60,-5.57,-5.07,-5.13,5.31,5.31,5.30
25.91,10.88,5.57,10.88,5.56,-5.53,-5.09,-5.26,5.35,5.35,5.30
