frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.60,3.89,8.60,3.88,-3.86,-4.89,-1.47,4.74,4.74,4.71
20.20,8.60,3.86,8.60,3.87,-3.86,-4.87,-1.51,4.73,4.73,4.74
20.40,8.60,3.86,8.60,3.86,-3.87,-4.85,-1.56,4.73,4.73,4.74
20.61,8.61,3.87,8.61,3.86,-3.88,-4.77,-1.60,4.73,4.73,4.74
20.81,8.61,3.87,8.61,3.87,-3.89,-4.68,-1.65,4.73,4.73,4.74
21.02,8.62,3.88,8.62,3.88,-3.89,-4.57,-1.70,4.73,4.73,4.74
21.23,8.62,3.88,8.62,3.88,-3.89,-4.45,-1.75,4.73,4.73,4.74
21.44,8.63,3.89,8.63,3.89,-3.90,-4.33,-1.80,4.74,4.74,4.74
21.66,8.64,3.90,8.64,3.90,-3.90,-4.20,-1.85,4.73,4.73,4.74
21.87,8.65,3.91,8.65,3.91,-3.91,-4.08,-1.91,4.74,4.74,4.74
22.09,8.65,3.91,8.65,3.92,-3.91,-3.97,-1.96,4.75,4.75,4.74
22.31,8.66,3.92,8.66,3.92,-3.90,-3.86,-2.02,4.76,4.76,4.74
22.54,8.67,3.92,8.67,3.90,-3.89,-3.76,-2.08,4.78,4.78,4.75
22.76,8.68,3.85,8.68,3.88,-3.88,-3.68,-2.14,4.80,4.80,4.83
22.99,8.69,3.85,8.69,3.85,-3.86,-3.59,-2.20,4.83,4.83,4.84
23.22,8.69,3.85,8.69,3.82,-3.83,-3.52,-2.27,4.87,4.87,4.85
23.45,8.70,3.77,8.70,3.79,-3.79,-3.45,-2.33,4.91,4.91,4.92
23.69,8.70,3.76,8.70,3.76,-3.74,-3.40,-2.40,4.95,4.95,4.94
23.92,8.69,3.72,8.69,3.71,-3.69,-3.35,-2.46,5.00,5.00,4.97
24.16,8.69,3.66,8.69,3.66,-3.64,-3.30,-2.53,5.05,5.05,5.03
24.40,8.69,3.58,8.69,3.58,-3.59,-3.26,-2.60,5.10,5.10,5.11
24.65,8.69,3.51,8.69,3.52,-3.55,-3.22,-2.67,5.15,5.15,5.18
24.89,8.70,3.46,8.70,3.48,-3.50,-3.19,-2.74,5.20,5.20,5.24
25.14,8.70,3.46,8.70,3.45,-3.46,-3.16,-2.81,5.25,5.25,5.24
25.39,8.71,3.44,8.71,3.42,-3.42,-3.14,-2.89,5.29,5.29,5.27
25.65,8.72,3.38,8.72,3.41,-3.38,-3.12,-2.96,5.33,5.33,5.34
25.91,8.73,3.38,8.73,3.37,-3.36,-3.10,-3.03,5.37,5.37,5.34
26.16,8.73,3.35,8.73,3.34,-3.34,-3.08,-3.10,5.39,5.39,5.38
26.43,8.73,3.29,8.73,3.31,-3.32,-3.07,-3.17,5.41,5.41,5.44
26.69,8.73,3.29,8.73,3.29,-3.31,-3.05,-3.25,5.43,5.43,5.44
26.96,8.73,3.29,8.73,3.28,-3.29,-3.04,-3.32,5.44,5.44,5.44
27.23,8.73,3.29,8.73,3.29,-3.28,-3.03,-3.38,5.45,5.45,5.44
27.50,8.72,3.28,8.72,3.28,-3.27,-3.02,-3.45,5.45,5.45,5.44
27.77,8.72,3.28,8.72,3.28,-3.27,-3.01,-3.51,5.45,5.45,5.44
28.05,8.71,3.27,8.71,3.27,-3.26,-3.01,-3.58,5.44,5.44,5.44
28.33,8.70,3.26,8.70,3.26,-3.26,-3.00,-3.63,5.44,5.44,5.44
28.62,8.68,3.24,8.68,3.24,-3.25,-3.00,-3.69,5.44,5.44,5.44
28.90,8.67,3.23,8.67,3.23,-3.23,-2.99,-3.74,5.44,5.44,5.44
