frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.16,2.74,7.16,2.73,-2.71,-2.23,-0.90,4.45,4.45,4.42
20.20,7.16,2.71,7.16,2.72,-2.72,-2.44,-0.93,4.45,4.45,4.45
20.40,7.17,2.71,7.17,2.72,-2.73,-2.64,-0.96,4.44,4.44,4.45
20.61,7.17,2.72,7.17,2.72,-2.73,-2.87,-0.99,4.44,4.44,4.45
20.81,7.18,2.73,7.18,2.73,-2.74,-3.09,-1.02,4.44,4.44,4.45
21.02,7.19,2.73,7.18,2.73,-2.74,-3.27,-1.05,4.44,4.44,4.45
21.23,7.19,2.74,7.19,2.74,-2.75,-3.46,-1.08,4.44,4.44,4.45
21.44,7.20,2.74,7.20,2.74,-2.75,-3.53,-1.12,4.45,4.45,4.45
21.66,7.20,2.75,7.20,2.75,-2.75,-3.60,-1.15,4.45,4.45,4.45
21.87,7.21,2.75,7.21,2.75,-2.75,-3.53,-1.18,4.45,4.45,4.45
22.09,7.21,2.76,7.21,2.76,-2.75,-3.46,-1.22,4.46,4.46,4.45
22.31,7.22,2.76,7.22,2.76,-2.74,-3.30,-1.26,4.47,4.47,4.45
22.54,7.22,2.75,7.22,2.73,-2.73,-3.14,-1.29,4.49,4.49,4.46
22.76,7.22,2.68,7.22,2.71,-2.71,-2.96,-1.33,4.51,4.51,4.54
22.99,7.23,2.68,7.23,2.68,-2.69,-2.79,-1.37,4.54,4.54,4.55
23.22,7.23,2.67,7.23,2.65,-2.66,-2.63,-1.41,4.57,4.57,4.56
23.45,7.24,2.60,7.24,2.63,-2.62,-2.48,-1.45,4.62,4.62,4.64
23.69,7.24,2.59,7.24,2.59,-2.58,-2.36,-1.50,4.67,4.67,4.65
23.92,7.25,2.56,7.25,2.55,-2.53,-2.25,-1.54,4.72,4.72,4.68
24.16,7.25,2.51,7.25,2.50,-2.48,-2.17,-1.58,4.77,4.77,4.74
24.40,7.25,2.43,7.25,2.43,-2.44,-2.09,-1.63,4.81,4.81,4.82
24.65,7.25,2.36,7.25,2.36,-2.39,-2.03,-1.67,4.86,4.86,4.89
24.89,7.25,2.30,7.25,2.32,-2.34,-1.97,-1.72,4.91,4.91,4.95
25.14,7.25,2.30,7.25,2.28,-2.29,-1.94,-1.76,4.96,4.96,4.95
25.39,7.25,2.26,7.25,2.25,-2.24,-1.90,-1.81,5.00,5.00,4.98
25.65,7.25,2.20,7.25,2.22,-2.21,-1.88,-1.85,5.04,5.04,5.05
25.91,7.25,2.20,7.25,2.18,-2.18,-1.86,-1.90,5.07,5.07,5.05
26.16,7.25,2.16,7.25,2.15,-2.15,-1.84,-1.94,5.10,5.10,5.09
26.43,7.25,2.10,7.25,2.12,-2.13,-1.83,-1.99,5.12,5.12,5.15
26.69,7.26,2.10,7.26,2.10,-2.12,-1.83,-2.03,5.14,5.14,5.15
