frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.68,-1.85,3.67,-1.85,1.85,-0.01,0.77,5.53,5.53,5.53
20.20,3.69,-1.84,3.69,-1.84,1.84,-0.01,0.79,5.53,5.53,5.53
20.40,3.71,-1.83,3.71,-1.83,1.83,-0.01,0.82,5.54,5.54,5.54
20.61,3.73,-1.82,3.73,-1.82,1.82,-0.01,0.84,5.55,5.55,5.55
20.81,3.75,-1.81,3.75,-1.81,1.81,-0.01,0.86,5.55,5.55,5.56
21.02,3.76,-1.80,3.76,-1.80,1.80,-0.01,0.89,5.56,5.56,5.56
21.23,3.77,-1.79,3.77,-1.80,1.80,-0.01,0.92,5.57,5.57,5.57
21.44,3.78,-1.79,3.78,-1.79,1.80,-0.01,0.94,5.58,5.58,5.57
21.66,3.79,-1.79,3.79,-1.79,1.80,-0.01,0.97,5.58,5.58,5.58
21.87,3.79,-1.80,3.79,-1.80,1.80,-0.01,1.00,5.59,5.59,5.58
22.09,3.79,-1.80,3.79,-1.80,1.80,-0.01,1.03,5.59,5.59,5.59
22.31,3.79,-1.81,3.79,-1.81,1.81,-0.01,1.06,5.60,5.60,5.60
22.54,3.79,-1.82,3.79,-1.82,1.82,-0.01,1.09,5.60,5.60,5.60
22.76,3.79,-1.82,3.79,-1.82,1.82,-0.01,1.12,5.61,5.61,5.61
22.99,3.79,-1.83,3.80,-1.83,1.82,-0.01,1.16,5.62,5.62,5.62
23.22,3.81,-1.83,3.81,-1.83,1.82,-0.01,1.19,5.63,5.63,5.63
23.45,3.82,-1.82,3.82,-1.82,1.82,-0.01,1.22,5.64,5.64,5.64
23.69,3.83,-1.82,3.83,-1.82,1.82,-0.01,1.26,5.65,5.65,5.65
23.92,3.84,-1.81,3.84,-1.81,1.81,-0.01,1.29,5.66,5.66,5.65
24.16,3.85,-1.80,3.85,-1.80,1.81,-0.01,1.33,5.66,5.66,5.66
24.40,3.86,-1.80,3.86,-1.80,1.81,-0.01,1.37,5.67,5.67,5.66
24.65,3.86,-1.80,3.86,-1.80,1.81,-0.01,1.40,5.67,5.67,5.66
24.89,3.86,-1.80,3.86,-1.81,1.81,-0.01,1.44,5.67,5.67,5.66
25.14,3.85,-1.81,3.85,-1.81,1.82,-0.01,1.48,5.67,5.67,5.66
25.39,3.84,-1.82,3.84,-1.82,1.82,-0.01,1.52,5.66,5.66,5.66
