frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.62,0.91,7.62,0.91,-0.92,-0.60,-0.56,6.71,6.71,6.72
20.20,7.65,0.92,7.65,0.92,-0.92,-0.65,-0.58,6.72,6.72,6.72
20.40,7.67,0.94,7.67,0.94,-0.93,-0.69,-0.60,6.74,6.74,6.73
20.61,7.69,0.95,7.68,0.95,-0.94,-0.73,-0.62,6.75,6.75,6.74
20.81,7.70,0.95,7.70,0.95,-0.95,-0.78,-0.64,6.75,6.75,6.75
21.02,7.71,0.96,7.71,0.96,-0.96,-0.83,-0.66,6.76,6.76,6.75
21.23,7.72,0.97,7.72,0.97,-0.97,-0.89,-0.68,6.76,6.76,6.76
21.44,7.74,0.97,7.74,0.97,-0.98,-0.95,-0.70,6.76,6.76,6.76
21.66,7.75,0.98,7.75,0.98,-0.98,-1.02,-0.72,6.77,6.77,6.77
21.87,7.77,0.99,7.77,0.99,-0.99,-1.08,-0.74,6.77,6.77,6.77
22.09,7.78,1.00,7.78,1.00,-1.01,-1.15,-0.76,6.78,6.78,6.78
22.31,7.80,1.02,7.80,1.02,-1.02,-1.22,-0.78,6.78,6.78,6.79
22.54,7.83,1.03,7.83,1.03,-1.03,-1.29,-0.81,6.79,6.79,6.79
22.76,7.85,1.05,7.85,1.05,-1.05,-1.36,-0.83,6.80,6.80,6.80
22.99,7.88,1.06,7.88,1.07,-1.07,-1.42,-0.86,6.81,6.81,6.81
23.22,7.91,1.08,7.91,1.08,-1.08,-1.47,-0.88,6.82,6.82,6.82
23.45,7.93,1.10,7.93,1.10,-1.10,-1.52,-0.91,6.83,6.83,6.83
23.69,7.95,1.12,7.95,1.12,-1.11,-1.55,-0.93,6.84,6.84,6.84
23.92,7.97,1.13,7.97,1.13,-1.12,-1.57,-0.96,6.85,6.85,6.84
24.16,7.98,1.13,7.98,1.13,-1.12,-1.56,-0.99,6.86,6.85,6.85
24.40,7.98,1.13,7.98,1.13,-1.13,-1.56,-1.02,6.85,6.85,6.85
24.65,7.98,1.13,7.98,1.13,-1.13,-1.53,-1.04,6.85,6.85,6.85
24.89,7.98,1.13,7.98,1.13,-1.14,-1.50,-1.07,6.84,6.84,6.85
