frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.86,-1.97,5.86,-1.97,1.95,2.12,1.37,7.81,7.81,7.83
20.20,5.86,-1.98,5.86,-1.98,1.97,2.10,1.41,7.84,7.84,7.84
20.40,5.86,-1.99,5.87,-1.99,2.00,2.08,1.45,7.86,7.86,7.85
20.61,5.87,-2.01,5.87,-2.01,2.02,2.06,1.49,7.89,7.89,7.88
20.81,5.87,-2.04,5.87,-2.04,2.05,2.04,1.53,7.92,7.92,7.90
21.02,5.87,-2.07,5.87,-2.07,2.08,2.03,1.58,7.95,7.95,7.93
21.23,5.86,-2.10,5.86,-2.10,2.11,2.02,1.62,7.97,7.97,7.96
21.44,5.86,-2.14,5.86,-2.14,2.14,2.04,1.67,8.00,8.00,7.99
21.66,5.85,-2.17,5.85,-2.17,2.17,2.05,1.72,8.02,8.02,8.03
21.87,5.84,-2.21,5.84,-2.21,2.21,2.10,1.77,8.05,8.05,8.06
22.09,5.84,-2.25,5.84,-2.25,2.24,2.15,1.82,8.08,8.08,8.09
22.31,5.84,-2.28,5.84,-2.28,2.27,2.22,1.88,8.11,8.11,8.12
22.54,5.84,-2.31,5.84,-2.31,2.30,2.28,1.93,8.14,8.14,8.15
22.76,5.85,-2.33,5.85,-2.33,2.32,2.35,1.99,8.17,8.17,8.18
22.99,5.86,-2.35,5.86,-2.35,2.34,2.42,2.05,8.21,8.21,8.21
23.22,5.88,-2.36,5.88,-2.36,2.36,2.48,2.10,8.24,8.24,8.24
23.45,5.89,-2.39,5.89,-2.39,2.39,2.54,2.16,8.27,8.27,8.27
23.69,5.89,-2.41,5.89,-2.41,2.42,2.59,2.23,8.31,8.31,8.30
23.92,5.88,-2.45,5.88,-2.45,2.45,2.65,2.29,8.34,8.34,8.33
24.16,5.87,-2.49,5.87,-2.49,2.50,2.69,2.35,8.37,8.37,8.36
24.40,5.84,-2.55,5.84,-2.55,2.55,2.73,2.42,8.40,8.40,8.39
24.65,5.81,-2.61,5.81,-2.61,2.62,2.77,2.48,8.43,8.43,8.42
24.89,5.76,-2.69,5.76,-2.69,2.70,2.81,2.55,8.46,8.46,8.45
25.14,5.70,-2.77,5.70,-2.77,2.78,2.84,2.61,8.48,8.48,8.47
25.39,5.64,-2.86,5.64,-2.86,2.87,2.87,2.68,8.51,8.51,8.50
25.65,5.57,-2.95,5.57,-2.95,2.96,2.90,2.75,8.53,8.53,8.53
25.91,5.51,-3.05,5.50,-3.05,3.04,2.92,2.82,8.55,8.55,8.55
26.16,5.44,-3.13,5.44,-3.13,3.12,2.95,2.88,8.56,8.56,8.58
26.43,5.40,-3.20,5.40,-3.20,3.17,2.97,2.95,8.57,8.57,8.60
26.69,5.38,-3.25,5.37,-3.25,3.21,2.99,3.01,8.59,8.59,8.62
26.96,5.37,-3.27,5.37,-3.27,3.24,3.01,3.08,8.61,8.61,8.64
27.23,5.39,-3.27,5.40,-3.27,3.25,3.03,3.14,8.64,8.64,8.66
27.50,5.44,-3.25,5.43,-3.25,3.25,3.05,3.21,8.68,8.68,8.68
27.77,5.47,-3.23,5.47,-3.23,3.25,3.06,3.26,8.72,8.72,8.70
28.05,5.51,-3.21,5.50,-3.21,3.25,3.08,3.32,8.76,8.76,8.72
28.33,5.51,-3.22,5.51,-3.22,3.27,3.09,3.38,8.78,8.78,8.73
28.62,5.50,-3.24,5.50,-3.25,3.29,3.11,3.43,8.79,8.79,8.74
28.90,5.46,-3.29,5.46,-3.29,3.32,3.12,3.48,8.78,8.78,8.75
29.19,5.42,-3.34,5.42,-3.34,3.34,3.13,3.52,8.76,8.76,8.76
29.48,5.37,-3.39,5.38,-3.38,3.35,3.14,3.56,8.72,8.73,8.76
29.78,5.37,-3.40,5.36,-3.40,3.34,3.15,3.60,8.70,8.70,8.76
30.08,5.38,-3.38,5.39,-3.37,3.30,3.16,3.63,8.68,8.69,8.76
30.38,5.44,-3.31,5.45,-3.30,3.25,3.17,3.66,8.68,8.69,8.75
30.68,5.54,-3.20,5.54,-3.20,3.17,3.18,3.68,8.71,8.71,8.74
30.99,5.64,-3.08,5.64,-3.08,3.09,3.18,3.70,8.74,8.73,8.72
31.30,5.74,-2.97,5.74,-2.97,3.02,3.19,3.72,8.76,8.76,8.71
31.61,5.80,-2.89,5.79,-2.90,2.97,3.19,3.73,8.77,8.76,8.69
31.93,5.81,-2.86,5.80,-2.87,2.95,3.20,3.73,8.76,8.75,8.67
32.24,5.76,-2.89,5.76,-2.89,2.96,3.20,3.73,8.72,8.72,8.65
32.57,5.68,-2.96,5.67,-2.96,2.99,3.20,3.72,8.67,8.67,8.63
32.89,5.56,-3.06,5.56,-3.05,3.04,3.21,3.71,8.60,8.60,8.62
33.22,5.45,-3.15,5.45,-3.14,3.10,3.21,3.70,8.55,8.55,8.60
33.55,5.35,-3.22,5.36,-3.22,3.16,3.21,3.68,8.51,8.52,8.58
33.89,5.30,-3.25,5.31,-3.25,3.20,3.21,3.66,8.50,8.50,8.56
34.23,5.29,-3.25,5.29,-3.25,3.22,3.21,3.63,8.51,8.51,8.54
34.57,5.29,-3.22,5.29,-3.22,3.22,3.21,3.60,8.51,8.51,8.52
34.92,5.31,-3.18,5.31,-3.18,3.19,3.20,3.57,8.50,8.50,8.50
35.27,5.33,-3.14,5.33,-3.14,3.15,3.20,3.54,8.48,8.48,8.47
35.62,5.35,-3.10,5.35,-3.10,3.09,3.20,3.50,8.45,8.45,8.45
35.97,5.38,-3.06,5.38,-3.05,3.04,3.19,3.47,8.42,8.42,8.43
36.33,5.41,-3.00,5.41,-3.00,2.99,3.19,3.43,8.40,8.41,8.41
36.70,5.44,-2.95,5.44,-2.95,2.96,3.18,3.39,8.40,8.40,8.39
37.06,5.46,-2.91,5.45,-2.91,2.95,3.18,3.35,8.40,8.40,8.37
37.43,5.44,-2.90,5.44,-2.91,2.95,3.17,3.31,8.39,8.38,8.34
