frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.86,2.89,11.89,2.92,-2.68,-2.49,-1.18,9.18,9.21,8.97
20.20,11.69,2.71,11.66,2.68,-2.59,-2.54,-1.22,9.10,9.07,8.98
20.40,11.52,2.53,11.49,2.49,-2.52,-2.59,-1.26,9.00,8.97,8.99
20.61,11.36,2.34,11.37,2.35,-2.47,-2.63,-1.29,8.89,8.90,9.02
20.81,11.27,2.22,11.27,2.23,-2.44,-2.67,-1.33,8.83,8.83,9.04
21.02,11.26,2.19,11.26,2.19,-2.44,-2.69,-1.37,8.83,8.83,9.07
21.23,11.33,2.23,11.35,2.25,-2.45,-2.71,-1.41,8.88,8.90,9.10
21.44,11.52,2.39,11.53,2.40,-2.49,-2.72,-1.46,9.04,9.04,9.13
21.66,11.77,2.61,11.77,2.60,-2.64,-2.72,-1.50,9.14,9.13,9.16
21.87,12.03,2.83,12.02,2.83,-2.79,-2.70,-1.55,9.23,9.23,9.19
22.09,12.24,3.01,12.24,3.01,-2.93,-2.69,-1.59,9.31,9.31,9.23
22.31,12.40,3.14,12.39,3.13,-3.01,-2.66,-1.64,9.39,9.38,9.26
22.54,12.46,3.17,12.45,3.17,-3.02,-2.62,-1.69,9.44,9.43,9.29
22.76,12.42,3.11,12.41,3.10,-2.95,-2.58,-1.74,9.47,9.46,9.32
22.99,12.28,2.93,12.27,2.92,-2.81,-2.54,-1.79,9.47,9.45,9.35
23.22,12.05,2.67,12.05,2.67,-2.62,-2.49,-1.85,9.42,9.43,9.38
23.45,11.79,2.38,11.79,2.38,-2.41,-2.44,-1.90,9.37,9.38,9.41
23.69,11.54,2.10,11.54,2.10,-2.21,-2.39,-1.95,9.33,9.33,9.44
23.92,11.35,1.88,11.36,1.89,-2.04,-2.34,-2.01,9.31,9.32,9.47
24.16,11.26,1.76,11.27,1.78,-1.93,-2.28,-2.07,9.33,9.34,9.50
24.40,11.28,1.75,11.29,1.76,-1.88,-2.23,-2.12,9.40,9.41,9.53
24.65,11.38,1.83,11.38,1.83,-1.87,-2.18,-2.18,9.51,9.51,9.56
24.89,11.53,1.94,11.52,1.94,-1.91,-2.14,-2.24,9.61,9.61,9.59
25.14,11.66,2.05,11.66,2.05,-1.97,-2.09,-2.30,9.69,9.69,9.61
25.39,11.79,2.15,11.77,2.13,-2.03,-2.05,-2.36,9.76,9.74,9.64
25.65,11.82,2.16,11.82,2.16,-2.06,-2.01,-2.42,9.76,9.76,9.67
25.91,11.83,2.14,11.83,2.14,-2.07,-1.98,-2.48,9.76,9.75,9.69
