frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.36,-0.46,6.35,-0.47,0.47,0.54,0.46,6.83,6.82,6.83
20.20,6.41,-0.42,6.42,-0.41,0.40,0.55,0.47,6.81,6.82,6.83
20.40,6.47,-0.37,6.49,-0.36,0.35,0.56,0.48,6.82,6.83,6.85
20.61,6.55,-0.32,6.55,-0.32,0.31,0.58,0.50,6.86,6.86,6.87
20.81,6.63,-0.27,6.63,-0.27,0.28,0.59,0.51,6.90,6.90,6.90
21.02,6.69,-0.24,6.69,-0.24,0.26,0.60,0.53,6.95,6.95,6.93
21.23,6.74,-0.22,6.73,-0.22,0.26,0.61,0.54,7.00,6.99,6.96
21.44,6.75,-0.24,6.75,-0.24,0.27,0.62,0.56,7.02,7.02,6.99
21.66,6.74,-0.28,6.74,-0.28,0.30,0.63,0.58,7.04,7.04,7.02
21.87,6.71,-0.33,6.71,-0.34,0.35,0.64,0.59,7.06,7.06,7.05
22.09,6.67,-0.40,6.67,-0.41,0.40,0.65,0.61,7.07,7.07,7.08
22.31,6.63,-0.48,6.63,-0.48,0.46,0.67,0.63,7.09,7.09,7.11
22.54,6.60,-0.54,6.60,-0.54,0.52,0.68,0.65,7.12,7.12,7.14
22.76,6.58,-0.60,6.58,-0.59,0.57,0.69,0.67,7.14,7.15,7.17
22.99,6.57,-0.63,6.57,-0.63,0.61,0.70,0.69,7.18,7.18,7.20
23.22,6.58,-0.66,6.58,-0.66,0.65,0.72,0.71,7.23,7.22,7.23
23.45,6.59,-0.67,6.59,-0.67,0.68,0.73,0.73,7.27,7.27,7.26
23.69,6.60,-0.69,6.60,-0.69,0.70,0.74,0.75,7.30,7.30,7.29
23.92,6.61,-0.71,6.61,-0.71,0.72,0.75,0.77,7.34,7.34,7.32
24.16,6.62,-0.73,6.62,-0.74,0.75,0.77,0.79,7.36,7.36,7.35
24.40,6.62,-0.77,6.62,-0.77,0.77,0.78,0.81,7.39,7.39,7.38
24.65,6.61,-0.80,6.61,-0.80,0.80,0.79,0.84,7.41,7.41,7.41
24.89,6.61,-0.83,6.61,-0.83,0.83,0.81,0.86,7.43,7.43,7.44
25.14,6.60,-0.86,6.60,-0.86,0.86,0.82,0.88,7.46,7.46,7.47
25.39,6.60,-0.89,6.60,-0.89,0.89,0.83,0.90,7.49,7.49,7.49
25.65,6.60,-0.92,6.60,-0.92,0.92,0.85,0.93,7.52,7.52,7.52
25.91,6.60,-0.94,6.60,-0.94,0.94,0.86,0.95,7.55,7.55,7.54
26.16,6.60,-0.96,6.60,-0.96,0.97,0.87,0.97,7.57,7.57,7.57
26.43,6.60,-0.99,6.60,-0.99,0.99,0.89,0.99,7.59,7.59,7.59
26.69,6.60,-1.02,6.60,-1.02,1.02,0.90,1.02,7.62,7.62,7.61
26.96,6.60,-1.04,6.60,-1.04,1.04,0.91,1.04,7.64,7.64,7.64
27.23,6.59,-1.06,6.59,-1.06,1.06,0.93,1.06,7.65,7.65,7.66
27.50,6.59,-1.09,6.59,-1.09,1.08,0.94,1.08,7.67,7.67,7.68
27.77,6.59,-1.10,6.59,-1.11,1.11,0.95,1.10,7.69,7.69,7.69
28.05,6.58,-1.12,6.58,-1.12,1.13,0.97,1.12,7.71,7.71,7.71
28.33,6.58,-1.14,6.58,-1.14,1.15,0.98,1.14,7.73,7.73,7.72
28.62,6.57,-1.16,6.57,-1.16,1.17,0.99,1.15,7.74,7.74,7.74
28.90,6.56,-1.18,6.56,-1.18,1.18,1.00,1.17,7.74,7.74,7.75
29.19,6.55,-1.20,6.55,-1.20,1.19,1.02,1.18,7.75,7.75,7.75
29.48,6.54,-1.21,6.55,-1.21,1.21,1.03,1.20,7.75,7.75,7.76
29.78,6.54,-1.22,6.54,-1.22,1.21,1.04,1.21,7.75,7.75,7.76
30.08,6.53,-1.22,6.53,-1.22,1.22,1.05,1.22,7.75,7.75,7.75
30.38,6.52,-1.22,6.52,-1.22,1.23,1.07,1.23,7.75,7.75,7.74
30.68,6.51,-1.22,6.51,-1.22,1.23,1.08,1.24,7.74,7.74,7.73
30.99,6.49,-1.23,6.49,-1.23,1.23,1.09,1.24,7.72,7.72,7.72
31.30,6.47,-1.23,6.47,-1.23,1.24,1.10,1.25,7.70,7.70,7.70
31.61,6.44,-1.24,6.44,-1.24,1.24,1.11,1.25,7.68,7.68,7.68
31.93,6.42,-1.25,6.42,-1.24,1.24,1.12,1.25,7.66,7.66,7.66
32.24,6.40,-1.25,6.40,-1.25,1.24,1.13,1.25,7.64,7.64,7.65
32.57,6.38,-1.25,6.38,-1.24,1.24,1.14,1.25,7.62,7.62,7.63
32.89,6.37,-1.24,6.37,-1.24,1.24,1.15,1.24,7.61,7.61,7.61
33.22,6.36,-1.23,6.36,-1.23,1.23,1.16,1.24,7.59,7.59,7.59
33.55,6.34,-1.23,6.34,-1.23,1.23,1.17,1.23,7.57,7.57,7.57
33.89,6.33,-1.22,6.32,-1.22,1.23,1.18,1.22,7.55,7.55,7.55
34.23,6.30,-1.22,6.30,-1.22,1.23,1.19,1.21,7.53,7.53,7.53
34.57,6.28,-1.23,6.28,-1.23,1.23,1.19,1.20,7.51,7.51,7.51
34.92,6.26,-1.23,6.26,-1.23,1.23,1.20,1.19,7.49,7.49,7.49
35.27,6.23,-1.23,6.23,-1.23,1.23,1.21,1.18,7.46,7.47,7.47
35.62,6.21,-1.23,6.21,-1.23,1.23,1.21,1.17,7.45,7.45,7.45
35.97,6.19,-1.24,6.19,-1.24,1.24,1.22,1.15,7.43,7.43,7.42
36.33,6.16,-1.24,6.16,-1.24,1.24,1.22,1.14,7.41,7.41,7.40
36.70,6.14,-1.24,6.14,-1.24,1.24,1.23,1.13,7.38,7.38,7.38
37.06,6.11,-1.24,6.11,-1.24,1.24,1.23,1.11,7.36,7.36,7.36
37.43,6.09,-1.25,6.09,-1.24,1.24,1.23,1.10,7.33,7.33,7.34
37.81,6.07,-1.24,6.07,-1.24,1.23,1.23,1.08,7.31,7.31,7.31
38.19,6.06,-1.23,6.06,-1.23,1.23,1.24,1.07,7.28,7.28,7.29
38.57,6.05,-1.22,6.05,-1.22,1.22,1.24,1.06,7.26,7.26,7.27
38.95,6.04,-1.21,6.04,-1.21,1.21,1.24,1.04,7.24,7.24,7.24
39.34,6.03,-1.19,6.02,-1.19,1.20,1.24,1.03,7.22,7.22,7.22
39.74,6.01,-1.18,6.01,-1.18,1.19,1.24,1.02,7.20,7.20,7.19
40.14,6.00,-1.17,6.00,-1.17,1.18,1.24,1.00,7.17,7.17,7.17
40.54,5.98,-1.17,5.98,-1.17,1.17,1.24,0.99,7.14,7.14,7.14
40.94,5.96,-1.16,5.96,-1.16,1.16,1.23,0.98,7.11,7.11,7.12
41.35,5.94,-1.15,5.94,-1.15,1.15,1.23,0.97,7.09,7.09,7.09
41.76,5.93,-1.14,5.93,-1.14,1.14,1.23,0.96,7.06,7.06,7.07
42.18,5.91,-1.13,5.91,-1.13,1.13,1.23,0.95,7.04,7.04,7.04
42.60,5.90,-1.12,5.90,-1.12,1.12,1.22,0.94,7.02,7.02,7.01
43.03,5.88,-1.10,5.88,-1.10,1.11,1.22,0.93,6.99,6.99,6.99
43.46,5.86,-1.10,5.86,-1.10,1.10,1.21,0.92,6.96,6.96,6.96
43.90,5.84,-1.09,5.84,-1.09,1.10,1.21,0.92,6.94,6.94,6.93
44.33,5.82,-1.09,5.81,-1.09,1.09,1.20,0.91,6.91,6.91,6.90
44.78,5.79,-1.09,5.79,-1.09,1.09,1.19,0.90,6.88,6.88,6.88
45.23,5.76,-1.09,5.76,-1.09,1.09,1.19,0.90,6.85,6.85,6.85
45.68,5.73,-1.09,5.73,-1.09,1.09,1.18,0.90,6.82,6.82,6.82
46.13,5.70,-1.09,5.70,-1.09,1.09,1.17,0.89,6.79,6.79,6.79
46.60,5.67,-1.09,5.67,-1.09,1.09,1.16,0.89,6.76,6.76,6.76
47.06,5.64,-1.09,5.64,-1.09,1.08,1.16,0.89,6.73,6.73,6.73
47.53,5.62,-1.08,5.62,-1.08,1.08,1.15,0.89,6.70,6.70,6.70
48.01,5.59,-1.08,5.59,-1.08,1.08,1.14,0.88,6.67,6.67,6.67
48.49,5.57,-1.07,5.57,-1.07,1.07,1.13,0.88,6.64,6.64,6.64
48.97,5.54,-1.07,5.54,-1.07,1.07,1.12,0.88,6.61,6.61,6.61
49.46,5.51,-1.06,5.51,-1.06,1.06,1.11,0.89,6.58,6.58,6.58
49.96,5.48,-1.06,5.48,-1.06,1.06,1.10,0.89,6.54,6.54,6.54
50.46,5.45,-1.06,5.45,-1.06,1.06,1.09,0.89,6.51,6.51,6.51
50.96,5.42,-1.06,5.42,-1.05,1.05,1.08,0.89,6.48,6.48,6.48
51.47,5.39,-1.05,5.39,-1.05,1.05,1.07,0.89,6.45,6.45,6.44
51.99,5.36,-1.05,5.36,-1.05,1.05,1.06,0.90,6.41,6.41,6.41
52.51,5.33,-1.04,5.33,-1.04,1.05,1.05,0.90,6.38,6.38,6.38
53.03,5.30,-1.04,5.30,-1.04,1.04,1.04,0.90,6.35,6.35,6.34
53.56,5.27,-1.04,5.27,-1.04,1.04,1.03,0.91,6.31,6.31,6.31
54.10,5.23,-1.04,5.23,-1.04,1.04,1.02,0.91,6.27,6.27,6.27
54.64,5.20,-1.04,5.20,-1.04,1.04,1.00,0.91,6.24,6.24,6.24
55.18,5.17,-1.04,5.17,-1.04,1.03,0.99,0.92,6.20,6.20,6.20
55.74,5.14,-1.03,5.14,-1.03,1.03,0.98,0.92,6.16,6.16,6.17
56.29,5.11,-1.02,5.11,-1.02,1.02,0.97,0.93,6.13,6.13,6.13
56.86,5.08,-1.01,5.08,-1.01,1.01,0.96,0.93,6.09,6.09,6.09
57.42,5.05,-1.00,5.05,-1.00,1.00,0.95,0.93,6.05,6.05,6.05
58.00,5.02,-0.99,5.02,-0.99,0.99,0.94,0.93,6.02,6.02,6.02
58.58,5.00,-0.98,5.00,-0.98,0.98,0.93,0.93,5.98,5.98,5.98
59.16,4.97,-0.97,4.97,-0.97,0.97,0.92,0.94,5.94,5.94,5.94
59.76,4.94,-0.96,4.94,-0.96,0.96,0.91,0.94,5.90,5.90,5.90
60.35,4.91,-0.95,4.91,-0.95,0.96,0.90,0.94,5.87,5.87,5.86
60.96,4.88,-0.95,4.88,-0.95,0.95,0.89,0.94,5.83,5.82,5.82
61.57,4.84,-0.94,4.84,-0.94,0.94,0.88,0.93,5.78,5.78,5.78
62.18,4.80,-0.94,4.80,-0.94,0.94,0.87,0.93,5.74,5.74,5.74
62.80,4.77,-0.94,4.77,-0.94,0.93,0.86,0.93,5.70,5.70,5.70
63.43,4.73,-0.93,4.73,-0.93,0.93,0.85,0.93,5.66,5.66,5.66
64.07,4.69,-0.93,4.69,-0.92,0.92,0.84,0.92,5.62,5.62,5.62
64.71,4.66,-0.92,4.66,-0.92,0.92,0.83,0.92,5.58,5.58,5.58
65.35,4.62,-0.91,4.62,-0.91,0.91,0.82,0.91,5.53,5.53,5.53
66.01,4.59,-0.90,4.59,-0.90,0.90,0.81,0.90,5.49,5.49,5.49
66.67,4.56,-0.89,4.56,-0.89,0.89,0.80,0.90,5.45,5.45,5.45
67.33,4.53,-0.88,4.53,-0.88,0.88,0.79,0.89,5.40,5.40,5.41
68.01,4.50,-0.87,4.50,-0.87,0.87,0.78,0.88,5.36,5.36,5.36
68.69,4.47,-0.85,4.46,-0.85,0.86,0.77,0.87,5.32,5.32,5.32
69.37,4.43,-0.84,4.43,-0.84,0.85,0.76,0.86,5.28,5.28,5.27
70.07,4.40,-0.83,4.39,-0.83,0.84,0.76,0.86,5.23,5.23,5.23
70.77,4.35,-0.83,4.35,-0.83,0.83,0.75,0.85,5.18,5.18,5.18
71.48,4.31,-0.83,4.31,-0.82,0.82,0.74,0.84,5.13,5.13,5.14
72.19,4.27,-0.82,4.27,-0.82,0.81,0.73,0.83,5.08,5.08,5.09
72.91,4.24,-0.81,4.24,-0.81,0.80,0.73,0.82,5.04,5.04,5.05
73.64,4.21,-0.79,4.21,-0.79,0.79,0.72,0.81,5.00,5.00,5.00
74.38,4.17,-0.78,4.17,-0.78,0.78,0.71,0.80,4.95,4.95,4.95
75.12,4.14,-0.76,4.14,-0.76,0.77,0.71,0.79,4.91,4.91,4.90
75.87,4.11,-0.75,4.11,-0.75,0.76,0.70,0.78,4.86,4.86,4.86
76.63,4.07,-0.74,4.07,-0.74,0.75,0.69,0.77,4.81,4.81,4.81
77.40,4.03,-0.74,4.03,-0.74,0.74,0.69,0.76,4.76,4.76,4.76
78.17,3.99,-0.73,3.99,-0.73,0.73,0.68,0.75,4.71,4.71,4.71
78.95,3.95,-0.72,3.95,-0.72,0.72,0.68,0.74,4.66,4.66,4.66
79.74,3.91,-0.71,3.91,-0.71,0.71,0.67,0.73,4.61,4.61,4.62
80.54,3.87,-0.70,3.87,-0.70,0.70,0.66,0.72,4.56,4.56,4.57
81.35,3.83,-0.69,3.83,-0.69,0.68,0.66,0.72,4.52,4.52,4.52
82.16,3.79,-0.67,3.80,-0.67,0.67,0.65,0.71,4.47,4.47,4.47
82.98,3.76,-0.66,3.76,-0.66,0.66,0.65,0.70,4.42,4.42,4.42
83.81,3.72,-0.65,3.72,-0.65,0.65,0.65,0.70,4.37,4.37,4.37
84.65,3.68,-0.64,3.68,-0.64,0.64,0.64,0.69,4.32,4.32,4.32
85.50,3.64,-0.63,3.64,-0.63,0.64,0.64,0.69,4.27,4.27,4.27
86.35,3.59,-0.63,3.59,-0.63,0.63,0.63,0.68,4.22,4.22,4.22
87.22,3.55,-0.62,3.55,-0.62,0.62,0.63,0.68,4.17,4.17,4.17
88.09,3.50,-0.62,3.50,-0.62,0.62,0.63,0.67,4.12,4.12,4.12
88.97,3.46,-0.61,3.46,-0.61,0.61,0.62,0.67,4.07,4.07,4.07
89.86,3.41,-0.60,3.41,-0.60,0.60,0.62,0.67,4.02,4.02,4.02
90.76,3.37,-0.59,3.37,-0.59,0.59,0.62,0.67,3.96,3.96,3.97
91.66,3.33,-0.58,3.33,-0.58,0.58,0.61,0.67,3.91,3.91,3.92
92.58,3.30,-0.57,3.30,-0.57,0.57,0.61,0.66,3.86,3.86,3.87
93.51,3.26,-0.55,3.26,-0.56,0.56,0.61,0.66,3.82,3.82,3.82
94.44,3.23,-0.54,3.22,-0.54,0.54,0.60,0.66,3.77,3.77,3.77
