frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,13.11,3.96,13.11,3.96,-3.98,0.03,-1.38,9.12,9.12,9.14
20.20,13.10,3.96,13.10,3.96,-3.96,0.03,-1.42,9.14,9.14,9.15
20.40,13.10,3.95,13.10,3.95,-3.94,0.03,-1.46,9.16,9.16,9.15
20.61,13.09,3.94,13.09,3.94,-3.92,0.03,-1.51,9.17,9.17,9.15
20.81,13.08,3.92,13.08,3.92,-3.90,0.03,-1.55,9.18,9.18,9.16
21.02,13.07,3.89,13.07,3.89,-3.88,0.03,-1.60,9.19,9.19,9.18
21.23,13.05,3.86,13.05,3.86,-3.86,0.03,-1.65,9.19,9.20,9.19
21.44,13.04,3.83,13.04,3.83,-3.84,0.03,-1.70,9.20,9.20,9.21
21.66,13.03,3.81,13.03,3.81,-3.82,0.03,-1.75,9.21,9.21,9.22
21.87,13.02,3.78,13.02,3.78,-3.79,0.03,-1.80,9.22,9.22,9.23
22.09,13.00,3.77,13.00,3.77,-3.78,0.03,-1.86,9.23,9.23,9.24
22.31,12.99,3.76,12.99,3.75,-3.76,0.03,-1.91,9.23,9.23,9.24
22.54,12.98,3.74,12.98,3.74,-3.74,0.03,-1.97,9.23,9.23,9.23
22.76,12.96,3.73,12.96,3.73,-3.73,0.03,-2.03,9.23,9.23,9.23
22.99,12.94,3.72,12.94,3.72,-3.71,0.03,-2.09,9.23,9.23,9.22
23.22,12.92,3.70,12.92,3.70,-3.69,0.04,-2.15,9.24,9.24,9.23
23.45,12.90,3.67,12.90,3.67,-3.66,0.04,-2.21,9.24,9.24,9.23
23.69,12.88,3.63,12.88,3.63,-3.63,0.04,-2.27,9.26,9.26,9.25
23.92,12.86,3.59,12.86,3.59,-3.59,0.04,-2.34,9.27,9.27,9.27
24.16,12.84,3.55,12.84,3.55,-3.55,0.04,-2.40,9.29,9.29,9.29
24.40,12.82,3.51,12.82,3.51,-3.51,0.04,-2.47,9.31,9.31,9.31
24.65,12.80,3.47,12.80,3.47,-3.48,0.04,-2.54,9.33,9.33,9.33
