frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.57,-0.30,7.58,-0.29,0.38,0.11,0.06,7.96,7.96,7.87
20.20,7.60,-0.28,7.59,-0.28,0.30,0.11,0.06,7.90,7.89,7.87
20.40,7.62,-0.26,7.61,-0.26,0.23,0.11,0.06,7.85,7.84,7.87
20.61,7.64,-0.24,7.65,-0.23,0.17,0.11,0.06,7.81,7.82,7.88
20.81,7.71,-0.18,7.71,-0.18,0.11,0.10,0.07,7.81,7.81,7.89
21.02,7.78,-0.12,7.78,-0.12,0.05,0.10,0.07,7.84,7.84,7.90
21.23,7.88,-0.04,7.88,-0.04,0.01,0.10,0.07,7.88,7.88,7.92
21.44,7.97,0.04,7.97,0.04,-0.03,0.09,0.07,7.94,7.94,7.93
21.66,8.05,0.11,8.06,0.11,-0.09,0.09,0.07,7.97,7.97,7.95
21.87,8.12,0.17,8.12,0.16,-0.13,0.08,0.07,8.00,7.99,7.96
22.09,8.15,0.19,8.15,0.19,-0.15,0.07,0.07,8.00,8.00,7.96
22.31,8.15,0.19,8.15,0.18,-0.15,0.06,0.08,8.00,8.00,7.96
22.54,8.12,0.16,8.11,0.16,-0.13,0.05,0.08,7.99,7.98,7.96
22.76,8.06,0.11,8.06,0.11,-0.10,0.04,0.08,7.96,7.96,7.95
22.99,8.00,0.05,8.01,0.05,-0.07,0.03,0.08,7.94,7.94,7.95
23.22,7.96,0.00,7.96,0.01,-0.04,0.02,0.08,7.92,7.92,7.95
23.45,7.94,-0.03,7.94,-0.02,-0.02,0.00,0.08,7.92,7.92,7.96
23.69,7.95,-0.03,7.95,-0.03,-0.01,-0.02,0.09,7.93,7.94,7.98
23.92,7.99,-0.01,7.99,-0.00,-0.02,-0.04,0.09,7.97,7.97,8.00
24.16,8.06,0.04,8.06,0.04,-0.05,-0.06,0.09,8.01,8.01,8.02
24.40,8.13,0.09,8.13,0.09,-0.09,-0.08,0.09,8.04,8.04,8.04
24.65,8.21,0.15,8.21,0.15,-0.13,-0.10,0.10,8.08,8.07,8.06
24.89,8.27,0.20,8.27,0.19,-0.17,-0.13,0.10,8.10,8.09,8.07
25.14,8.31,0.23,8.31,0.23,-0.21,-0.16,0.10,8.10,8.10,8.08
25.39,8.34,0.25,8.34,0.25,-0.24,-0.18,0.10,8.11,8.10,8.09
25.65,8.35,0.26,8.35,0.26,-0.25,-0.21,0.10,8.10,8.10,8.10
25.91,8.36,0.25,8.36,0.26,-0.25,-0.23,0.11,8.11,8.11,8.11
26.16,8.36,0.25,8.36,0.24,-0.24,-0.25,0.11,8.12,8.12,8.12
26.43,8.35,0.23,8.35,0.23,-0.22,-0.27,0.11,8.14,8.14,8.13
26.69,8.34,0.20,8.34,0.20,-0.19,-0.28,0.11,8.15,8.15,8.14
26.96,8.32,0.17,8.32,0.16,-0.15,-0.28,0.12,8.16,8.16,8.15
27.23,8.29,0.13,8.29,0.13,-0.13,-0.28,0.12,8.16,8.16,8.16
27.50,8.26,0.09,8.26,0.09,-0.10,-0.27,0.12,8.15,8.15,8.17
27.77,8.24,0.07,8.24,0.07,-0.10,-0.24,0.13,8.14,8.14,8.17
