frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.57,-2.59,7.58,-2.58,2.68,2.17,1.03,10.26,10.26,10.16
20.20,7.60,-2.59,7.59,-2.60,2.63,2.17,1.06,10.22,10.21,10.19
20.40,7.62,-2.60,7.61,-2.61,2.58,2.17,1.10,10.19,10.19,10.21
20.61,7.64,-2.60,7.65,-2.59,2.53,2.17,1.13,10.17,10.18,10.24
20.81,7.71,-2.57,7.71,-2.57,2.49,2.18,1.16,10.19,10.19,10.28
21.02,7.78,-2.53,7.78,-2.53,2.45,2.18,1.20,10.23,10.23,10.31
21.23,7.88,-2.46,7.88,-2.46,2.41,2.18,1.23,10.29,10.29,10.34
21.44,7.97,-2.39,7.97,-2.39,2.38,2.19,1.27,10.36,10.36,10.36
21.66,8.05,-2.31,8.06,-2.31,2.33,2.19,1.30,10.39,10.39,10.37
21.87,8.12,-2.25,8.12,-2.26,2.30,2.19,1.34,10.42,10.42,10.38
22.09,8.15,-2.23,8.15,-2.23,2.28,2.19,1.38,10.43,10.43,10.38
22.31,8.15,-2.23,8.15,-2.23,2.28,2.20,1.42,10.43,10.43,10.38
22.54,8.12,-2.27,8.11,-2.27,2.30,2.20,1.46,10.42,10.42,10.38
22.76,8.06,-2.32,8.06,-2.32,2.34,2.20,1.51,10.40,10.40,10.39
22.99,8.00,-2.39,8.01,-2.39,2.37,2.21,1.55,10.38,10.38,10.39
23.22,7.96,-2.45,7.96,-2.44,2.40,2.21,1.60,10.36,10.36,10.40
23.45,7.94,-2.48,7.94,-2.47,2.42,2.21,1.64,10.36,10.36,10.41
23.69,7.95,-2.47,7.95,-2.47,2.42,2.21,1.69,10.37,10.37,10.42
23.92,7.99,-2.43,7.99,-2.43,2.40,2.22,1.74,10.39,10.39,10.42
24.16,8.06,-2.37,8.06,-2.37,2.36,2.22,1.78,10.42,10.42,10.43
24.40,8.13,-2.30,8.13,-2.30,2.31,2.22,1.83,10.44,10.44,10.43
24.65,8.21,-2.22,8.21,-2.23,2.25,2.22,1.88,10.46,10.46,10.43
24.89,8.27,-2.16,8.27,-2.16,2.19,2.23,1.93,10.46,10.46,10.43
25.14,8.31,-2.11,8.31,-2.11,2.13,2.23,1.98,10.44,10.44,10.43
25.39,8.34,-2.08,8.34,-2.08,2.09,2.23,2.03,10.43,10.42,10.42
25.65,8.35,-2.05,8.35,-2.05,2.05,2.23,2.08,10.40,10.40,10.41
25.91,8.36,-2.03,8.36,-2.03,2.03,2.24,2.14,10.39,10.39,10.39
26.16,8.36,-2.01,8.36,-2.01,2.02,2.24,2.19,10.38,10.38,10.37
26.43,8.35,-2.00,8.35,-2.01,2.02,2.24,2.24,10.37,10.37,10.36
26.69,8.34,-2.01,8.34,-2.01,2.03,2.24,2.29,10.37,10.37,10.35
26.96,8.32,-2.02,8.32,-2.02,2.04,2.25,2.34,10.36,10.36,10.34
27.23,8.29,-2.05,8.29,-2.05,2.06,2.25,2.38,10.35,10.34,10.33
27.50,8.26,-2.08,8.26,-2.08,2.06,2.25,2.43,10.32,10.32,10.34
27.77,8.24,-2.10,8.24,-2.10,2.06,2.25,2.48,10.30,10.30,10.34
28.05,8.23,-2.10,8.24,-2.09,2.05,2.26,2.52,10.28,10.29,10.33
28.33,8.26,-2.07,8.26,-2.07,2.02,2.26,2.56,10.28,10.28,10.32
28.62,8.29,-2.02,8.30,-2.01,1.98,2.26,2.60,10.27,10.28,10.31
28.90,8.35,-1.95,8.35,-1.95,1.94,2.26,2.64,10.29,10.29,10.30
29.19,8.40,-1.89,8.40,-1.88,1.90,2.27,2.67,10.30,10.30,10.28
29.48,8.44,-1.83,8.44,-1.84,1.88,2.27,2.70,10.32,10.31,10.27
29.78,8.44,-1.83,8.44,-1.83,1.88,2.27,2.73,10.32,10.33,10.27
30.08,8.42,-1.85,8.41,-1.86,1.92,2.28,2.76,10.34,10.34,10.27
30.38,8.34,-1.93,8.34,-1.93,1.99,2.28,2.78,10.34,10.33,10.27
30.68,8.23,-2.04,8.22,-2.04,2.09,2.28,2.79,10.32,10.31,10.27
30.99,8.08,-2.18,8.08,-2.18,2.19,2.29,2.81,10.27,10.27,10.26
31.30,7.93,-2.32,7.93,-2.32,2.29,2.29,2.82,10.22,10.22,10.25
31.61,7.80,-2.44,7.80,-2.44,2.37,2.29,2.83,10.17,10.17,10.24
31.93,7.71,-2.52,7.72,-2.51,2.42,2.30,2.83,10.13,10.14,10.23
32.24,7.70,-2.52,7.70,-2.52,2.43,2.30,2.83,10.13,10.13,10.22
32.57,7.74,-2.48,7.75,-2.47,2.40,2.31,2.83,10.14,10.14,10.21
32.89,7.84,-2.36,7.84,-2.36,2.35,2.31,2.82,10.18,10.18,10.20
33.22,7.94,-2.24,7.94,-2.24,2.28,2.32,2.81,10.23,10.22,10.19
33.55,8.05,-2.13,8.04,-2.14,2.21,2.32,2.80,10.26,10.25,10.18
33.89,8.10,-2.07,8.10,-2.07,2.16,2.33,2.78,10.26,10.26,10.17
34.23,8.11,-2.06,8.11,-2.06,2.12,2.34,2.76,10.24,10.24,10.17
34.57,8.09,-2.08,8.09,-2.08,2.11,2.34,2.74,10.20,10.20,10.17
34.92,8.04,-2.14,8.04,-2.13,2.11,2.35,2.72,10.15,10.16,10.18
35.27,7.99,-2.19,7.99,-2.18,2.14,2.36,2.70,10.13,10.13,10.18
35.62,7.94,-2.23,7.94,-2.22,2.17,2.37,2.67,10.11,10.12,10.17
35.97,7.90,-2.25,7.90,-2.24,2.22,2.38,2.64,10.12,10.12,10.15
36.33,7.86,-2.26,7.86,-2.26,2.27,2.38,2.62,10.13,10.13,10.12
36.70,7.81,-2.29,7.81,-2.29,2.32,2.40,2.59,10.13,10.13,10.10
37.06,7.74,-2.33,7.74,-2.34,2.38,2.41,2.56,10.12,10.12,10.08
37.43,7.66,-2.41,7.66,-2.41,2.44,2.42,2.53,10.10,10.10,10.07
37.81,7.56,-2.50,7.56,-2.50,2.51,2.43,2.50,10.06,10.06,10.06
38.19,7.45,-2.59,7.45,-2.59,2.58,2.45,2.48,10.03,10.03,10.04
38.57,7.35,-2.67,7.36,-2.67,2.64,2.46,2.45,10.00,10.00,10.03
38.95,7.28,-2.73,7.27,-2.73,2.71,2.48,2.42,9.98,9.98,10.00
39.34,7.21,-2.78,7.21,-2.78,2.76,2.49,2.39,9.97,9.97,9.98
39.74,7.16,-2.81,7.16,-2.81,2.80,2.51,2.37,9.96,9.96,9.96
40.14,7.13,-2.82,7.13,-2.82,2.82,2.53,2.34,9.95,9.95,9.95
40.54,7.11,-2.83,7.11,-2.83,2.83,2.56,2.32,9.94,9.94,9.94
40.94,7.11,-2.83,7.11,-2.83,2.82,2.58,2.30,9.92,9.92,9.93
41.35,7.11,-2.82,7.11,-2.81,2.80,2.61,2.28,9.91,9.91,9.92
