frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.86,0.26,11.89,0.29,-0.05,0.15,-0.31,11.81,11.84,11.60
20.20,11.69,0.06,11.66,0.04,0.06,0.15,-0.32,11.75,11.72,11.63
20.40,11.52,-0.13,11.49,-0.17,0.14,0.16,-0.33,11.66,11.63,11.65
20.61,11.36,-0.33,11.37,-0.32,0.20,0.16,-0.34,11.56,11.56,11.68
20.81,11.27,-0.45,11.27,-0.45,0.23,0.16,-0.35,11.50,11.50,11.72
21.02,11.26,-0.49,11.26,-0.49,0.24,0.16,-0.36,11.50,11.50,11.75
21.23,11.33,-0.45,11.35,-0.43,0.22,0.16,-0.37,11.55,11.57,11.78
21.44,11.52,-0.28,11.53,-0.27,0.17,0.16,-0.39,11.69,11.70,11.80
21.66,11.77,-0.03,11.77,-0.04,0.00,0.16,-0.40,11.78,11.77,11.81
21.87,12.03,0.21,12.02,0.20,-0.17,0.16,-0.41,11.85,11.85,11.82
22.09,12.24,0.42,12.24,0.42,-0.33,0.16,-0.43,11.91,11.91,11.82
22.31,12.40,0.57,12.39,0.57,-0.44,0.16,-0.44,11.95,11.95,11.82
22.54,12.46,0.64,12.45,0.63,-0.48,0.16,-0.46,11.98,11.97,11.82
22.76,12.42,0.60,12.41,0.59,-0.44,0.16,-0.47,11.98,11.97,11.83
22.99,12.28,0.45,12.27,0.44,-0.33,0.16,-0.49,11.96,11.94,11.83
23.22,12.05,0.20,12.05,0.21,-0.16,0.16,-0.50,11.89,11.89,11.84
23.45,11.79,-0.06,11.79,-0.06,0.03,0.16,-0.52,11.81,11.82,11.85
23.69,11.54,-0.31,11.54,-0.31,0.21,0.16,-0.54,11.75,11.75,11.86
23.92,11.35,-0.51,11.36,-0.50,0.35,0.16,-0.55,11.70,11.71,11.86
24.16,11.26,-0.61,11.27,-0.59,0.44,0.15,-0.57,11.70,11.71,11.87
24.40,11.28,-0.59,11.29,-0.58,0.47,0.15,-0.59,11.75,11.75,11.87
24.65,11.38,-0.49,11.38,-0.49,0.44,0.15,-0.60,11.82,11.82,11.87
24.89,11.53,-0.34,11.52,-0.35,0.37,0.14,-0.62,11.90,11.89,11.87
25.14,11.66,-0.20,11.66,-0.20,0.28,0.14,-0.64,11.94,11.94,11.87
25.39,11.79,-0.07,11.77,-0.09,0.19,0.14,-0.66,11.97,11.96,11.86
25.65,11.82,-0.02,11.82,-0.02,0.11,0.13,-0.67,11.94,11.94,11.85
25.91,11.83,-0.00,11.83,-0.00,0.06,0.13,-0.69,11.89,11.89,11.83
26.16,11.79,-0.02,11.79,-0.02,0.04,0.12,-0.71,11.84,11.84,11.81
26.43,11.74,-0.06,11.74,-0.06,0.05,0.11,-0.72,11.78,11.79,11.80
26.69,11.69,-0.10,11.69,-0.10,0.06,0.10,-0.74,11.75,11.75,11.79
26.96,11.65,-0.13,11.66,-0.12,0.08,0.09,-0.75,11.73,11.74,11.78
27.23,11.64,-0.13,11.65,-0.13,0.10,0.08,-0.76,11.74,11.74,11.77
27.50,11.66,-0.11,11.66,-0.12,0.10,0.07,-0.78,11.76,11.76,11.78
27.77,11.69,-0.09,11.69,-0.09,0.08,0.06,-0.79,11.78,11.77,11.78
28.05,11.72,-0.05,11.72,-0.05,0.06,0.05,-0.80,11.78,11.78,11.77
28.33,11.76,-0.01,11.75,-0.01,0.02,0.03,-0.81,11.78,11.77,11.76
28.62,11.79,0.04,11.79,0.04,-0.03,0.01,-0.82,11.76,11.76,11.75
28.90,11.82,0.08,11.82,0.08,-0.09,-0.01,-0.82,11.73,11.73,11.74
29.19,11.86,0.14,11.86,0.14,-0.16,-0.03,-0.83,11.71,11.71,11.72
29.48,11.91,0.20,11.92,0.20,-0.23,-0.05,-0.83,11.68,11.69,11.71
29.78,11.99,0.28,11.99,0.28,-0.30,-0.07,-0.83,11.69,11.69,11.71
30.08,12.07,0.35,12.07,0.36,-0.36,-0.10,-0.83,11.70,11.71,11.71
30.38,12.14,0.43,12.14,0.43,-0.41,-0.13,-0.82,11.73,11.73,11.71
30.68,12.20,0.50,12.20,0.49,-0.45,-0.17,-0.82,11.76,11.75,11.71
30.99,12.22,0.52,12.22,0.52,-0.46,-0.20,-0.81,11.76,11.76,11.70
31.30,12.20,0.51,12.20,0.51,-0.46,-0.24,-0.80,11.74,11.74,11.69
31.61,12.16,0.48,12.15,0.47,-0.45,-0.28,-0.78,11.71,11.71,11.68
31.93,12.09,0.42,12.09,0.42,-0.43,-0.33,-0.77,11.66,11.66,11.67
32.24,12.03,0.37,12.03,0.37,-0.42,-0.38,-0.75,11.62,11.62,11.66
32.57,12.00,0.34,12.00,0.35,-0.41,-0.44,-0.73,11.59,11.59,11.65
32.89,12.00,0.36,12.01,0.37,-0.42,-0.50,-0.71,11.59,11.59,11.64
33.22,12.05,0.42,12.05,0.42,-0.44,-0.56,-0.68,11.61,11.61,11.63
33.55,12.11,0.49,12.11,0.49,-0.48,-0.63,-0.66,11.63,11.63,11.62
33.89,12.19,0.58,12.18,0.57,-0.54,-0.70,-0.63,11.64,11.64,11.61
34.23,12.26,0.65,12.26,0.65,-0.62,-0.77,-0.60,11.64,11.64,11.61
34.57,12.33,0.72,12.33,0.71,-0.71,-0.85,-0.57,11.62,11.62,11.61
34.92,12.40,0.78,12.40,0.79,-0.80,-0.93,-0.53,11.60,11.60,11.62
