frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.60,0.50,10.60,0.49,-0.63,-0.34,-0.44,9.97,9.97,10.10
20.20,10.69,0.58,10.70,0.59,-0.62,-0.35,-0.46,10.07,10.08,10.11
20.40,10.77,0.65,10.77,0.65,-0.61,-0.36,-0.47,10.16,10.16,10.12
20.61,10.82,0.69,10.81,0.69,-0.60,-0.37,-0.49,10.22,10.21,10.13
20.81,10.81,0.69,10.81,0.69,-0.59,-0.38,-0.50,10.23,10.23,10.12
21.02,10.78,0.66,10.78,0.66,-0.57,-0.39,-0.52,10.21,10.21,10.12
21.23,10.72,0.61,10.72,0.60,-0.54,-0.40,-0.54,10.18,10.17,10.12
21.44,10.65,0.52,10.65,0.52,-0.52,-0.41,-0.55,10.13,10.13,10.12
21.66,10.57,0.44,10.57,0.44,-0.45,-0.42,-0.57,10.12,10.12,10.13
21.87,10.50,0.36,10.51,0.36,-0.40,-0.44,-0.59,10.11,10.11,10.15
22.09,10.47,0.31,10.47,0.31,-0.35,-0.45,-0.61,10.12,10.12,10.16
22.31,10.47,0.29,10.47,0.29,-0.33,-0.46,-0.63,10.14,10.14,10.18
22.54,10.49,0.29,10.49,0.29,-0.32,-0.48,-0.65,10.17,10.17,10.20
22.76,10.54,0.32,10.54,0.33,-0.34,-0.49,-0.67,10.20,10.20,10.21
22.99,10.60,0.38,10.60,0.37,-0.37,-0.50,-0.69,10.22,10.22,10.22
23.22,10.66,0.43,10.66,0.43,-0.41,-0.52,-0.71,10.24,10.24,10.23
23.45,10.71,0.48,10.71,0.48,-0.46,-0.53,-0.73,10.25,10.25,10.23
23.69,10.75,0.53,10.75,0.53,-0.50,-0.55,-0.76,10.25,10.25,10.23
23.92,10.78,0.56,10.78,0.56,-0.54,-0.56,-0.78,10.24,10.24,10.22
24.16,10.80,0.58,10.80,0.58,-0.57,-0.58,-0.80,10.23,10.23,10.22
24.40,10.81,0.59,10.81,0.59,-0.59,-0.60,-0.83,10.22,10.22,10.22
24.65,10.82,0.60,10.82,0.60,-0.61,-0.61,-0.85,10.21,10.21,10.22
24.89,10.83,0.61,10.83,0.61,-0.63,-0.63,-0.87,10.20,10.21,10.22
25.14,10.84,0.63,10.85,0.63,-0.64,-0.64,-0.90,10.21,10.21,10.22
25.39,10.86,0.64,10.86,0.64,-0.65,-0.66,-0.92,10.21,10.21,10.22
25.65,10.87,0.66,10.87,0.66,-0.65,-0.68,-0.95,10.22,10.22,10.21
25.91,10.88,0.67,10.88,0.67,-0.65,-0.69,-0.97,10.23,10.23,10.21
26.16,10.87,0.67,10.87,0.67,-0.65,-0.71,-0.99,10.23,10.22,10.20
26.43,10.85,0.66,10.85,0.66,-0.64,-0.73,-1.01,10.21,10.21,10.19
26.69,10.82,0.64,10.82,0.64,-0.63,-0.74,-1.04,10.19,10.19,10.18
26.96,10.80,0.62,10.80,0.62,-0.63,-0.76,-1.06,10.16,10.16,10.17
27.23,10.78,0.61,10.78,0.62,-0.64,-0.78,-1.08,10.14,10.14,10.16
27.50,10.78,0.62,10.78,0.63,-0.66,-0.79,-1.10,10.12,10.12,10.16
27.77,10.81,0.66,10.81,0.66,-0.70,-0.81,-1.11,10.11,10.12,10.15
28.05,10.86,0.71,10.86,0.72,-0.74,-0.82,-1.13,10.12,10.12,10.14
28.33,10.93,0.79,10.92,0.79,-0.79,-0.84,-1.14,10.13,10.13,10.13
28.62,10.99,0.86,10.99,0.86,-0.85,-0.85,-1.16,10.14,10.14,10.13
28.90,11.05,0.93,11.05,0.93,-0.91,-0.86,-1.17,10.15,10.14,10.12
29.19,11.09,0.98,11.09,0.98,-0.95,-0.88,-1.18,10.14,10.14,10.11
29.48,11.11,1.02,11.11,1.01,-0.99,-0.89,-1.18,10.13,10.12,10.10
29.78,11.11,1.02,11.11,1.02,-1.01,-0.90,-1.19,10.10,10.10,10.09
30.08,11.10,1.02,11.10,1.02,-1.02,-0.91,-1.19,10.09,10.09,10.08
30.38,11.08,1.00,11.08,1.00,-1.01,-0.92,-1.19,10.07,10.07,10.08
30.68,11.06,0.99,11.06,0.99,-0.99,-0.92,-1.18,10.07,10.07,10.07
30.99,11.04,0.97,11.04,0.97,-0.97,-0.93,-1.18,10.07,10.07,10.07
31.30,11.01,0.95,11.01,0.95,-0.95,-0.93,-1.17,10.06,10.06,10.06
31.61,10.99,0.93,10.99,0.93,-0.93,-0.94,-1.16,10.06,10.05,10.05
31.93,10.96,0.91,10.96,0.91,-0.92,-0.94,-1.14,10.04,10.04,10.05
32.24,10.94,0.89,10.94,0.89,-0.91,-0.94,-1.12,10.03,10.03,10.04
32.57,10.93,0.88,10.93,0.89,-0.91,-0.94,-1.10,10.02,10.02,10.04
32.89,10.93,0.89,10.93,0.89,-0.91,-0.93,-1.08,10.02,10.02,10.04
33.22,10.94,0.91,10.94,0.91,-0.92,-0.93,-1.05,10.02,10.03,10.03
33.55,10.96,0.93,10.95,0.93,-0.92,-0.92,-1.03,10.03,10.03,10.03
33.89,10.96,0.95,10.96,0.94,-0.93,-0.91,-1.00,10.04,10.03,10.02
34.23,10.96,0.95,10.96,0.95,-0.93,-0.90,-0.96,10.03,10.03,10.01
34.57,10.94,0.94,10.94,0.94,-0.92,-0.88,-0.93,10.02,10.01,10.00
34.92,10.90,0.92,10.91,0.92,-0.91,-0.87,-0.89,10.00,10.00,9.99
35.27,10.86,0.89,10.86,0.89,-0.89,-0.85,-0.85,9.98,9.98,9.97
35.62,10.82,0.86,10.82,0.86,-0.86,-0.83,-0.81,9.96,9.96,9.96
35.97,10.77,0.83,10.77,0.83,-0.83,-0.81,-0.77,9.94,9.94,9.94
36.33,10.72,0.80,10.72,0.80,-0.81,-0.78,-0.73,9.91,9.91,9.92
36.70,10.67,0.77,10.67,0.77,-0.79,-0.76,-0.68,9.88,9.88,9.90
37.06,10.63,0.75,10.64,0.75,-0.78,-0.73,-0.64,9.86,9.86,9.89
