frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,15.97,3.73,15.97,3.73,-3.73,-3.69,-1.33,12.25,12.25,12.24
20.20,15.98,3.72,15.98,3.72,-3.73,-3.79,-1.37,12.25,12.25,12.25
20.40,15.98,3.71,15.98,3.71,-3.72,-3.89,-1.41,12.25,12.25,12.26
20.61,15.97,3.70,15.97,3.70,-3.71,-3.91,-1.45,12.26,12.26,12.27
20.81,15.96,3.70,15.96,3.70,-3.70,-3.92,-1.49,12.26,12.26,12.26
21.02,15.94,3.69,15.95,3.69,-3.68,-3.86,-1.54,12.27,12.27,12.26
21.23,15.93,3.67,15.92,3.67,-3.65,-3.80,-1.59,12.27,12.27,12.26
21.44,15.90,3.64,15.90,3.64,-3.62,-3.70,-1.63,12.28,12.28,12.26
21.66,15.87,3.60,15.87,3.60,-3.59,-3.61,-1.68,12.28,12.28,12.27
21.87,15.84,3.55,15.84,3.55,-3.54,-3.52,-1.73,12.29,12.29,12.29
22.09,15.80,3.50,15.80,3.50,-3.50,-3.43,-1.78,12.31,12.31,12.30
22.31,15.77,3.44,15.77,3.44,-3.45,-3.35,-1.84,12.32,12.32,12.32
22.54,15.73,3.39,15.73,3.39,-3.40,-3.28,-1.89,12.33,12.33,12.34
22.76,15.70,3.35,15.70,3.35,-3.36,-3.23,-1.95,12.34,12.34,12.35
22.99,15.67,3.31,15.67,3.31,-3.33,-3.18,-2.01,12.35,12.35,12.36
23.22,15.65,3.28,15.65,3.28,-3.29,-3.15,-2.06,12.36,12.36,12.37
23.45,15.63,3.26,15.63,3.26,-3.26,-3.11,-2.12,12.37,12.37,12.37
23.69,15.61,3.24,15.61,3.24,-3.24,-3.09,-2.19,12.37,12.37,12.37
23.92,15.59,3.22,15.58,3.22,-3.21,-3.08,-2.25,12.38,12.38,12.36
24.16,15.56,3.19,15.56,3.19,-3.18,-3.06,-2.31,12.38,12.38,12.36
24.40,15.52,3.16,15.52,3.16,-3.14,-3.05,-2.37,12.38,12.38,12.36
24.65,15.48,3.12,15.48,3.12,-3.11,-3.05,-2.44,12.37,12.37,12.36
24.89,15.43,3.07,15.43,3.07,-3.07,-3.04,-2.51,12.36,12.36,12.36
25.14,15.38,3.02,15.38,3.02,-3.03,-3.04,-2.57,12.35,12.35,12.36
25.39,15.34,2.98,15.34,2.98,-3.00,-3.04,-2.64,12.34,12.34,12.36
25.65,15.31,2.96,15.31,2.96,-2.98,-3.04,-2.70,12.33,12.33,12.35
25.91,15.29,2.94,15.29,2.94,-2.96,-3.04,-2.77,12.33,12.33,12.35
26.16,15.28,2.94,15.29,2.94,-2.96,-3.03,-2.84,12.33,12.33,12.34
26.43,15.29,2.95,15.29,2.95,-2.96,-3.03,-2.90,12.33,12.33,12.33
26.69,15.29,2.97,15.29,2.97,-2.96,-3.03,-2.96,12.33,12.33,12.32
26.96,15.29,2.98,15.29,2.98,-2.96,-3.02,-3.03,12.33,12.33,12.31
27.23,15.29,2.98,15.29,2.98,-2.96,-3.02,-3.09,12.33,12.33,12.31
27.50,15.27,2.97,15.27,2.97,-2.95,-3.01,-3.15,12.32,12.32,12.30
27.77,15.24,2.95,15.24,2.95,-2.94,-3.00,-3.20,12.30,12.30,12.29
28.05,15.21,2.93,15.21,2.93,-2.93,-2.99,-3.26,12.28,12.28,12.28
28.33,15.18,2.90,15.18,2.91,-2.92,-2.97,-3.31,12.26,12.26,12.28
28.62,15.15,2.89,15.16,2.89,-2.90,-2.96,-3.36,12.25,12.25,12.27
28.90,15.14,2.88,15.14,2.88,-2.89,-2.94,-3.40,12.24,12.24,12.26
29.19,15.12,2.88,15.13,2.88,-2.89,-2.93,-3.44,12.24,12.24,12.25
29.48,15.12,2.88,15.12,2.88,-2.88,-2.91,-3.47,12.24,12.24,12.24
29.78,15.11,2.88,15.11,2.88,-2.88,-2.89,-3.51,12.23,12.23,12.23
30.08,15.10,2.88,15.11,2.88,-2.87,-2.86,-3.53,12.23,12.23,12.23
30.38,15.09,2.87,15.09,2.87,-2.86,-2.84,-3.55,12.23,12.23,12.22
30.68,15.07,2.86,15.07,2.86,-2.84,-2.81,-3.56,12.23,12.22,12.21
30.99,15.04,2.83,15.04,2.83,-2.82,-2.79,-3.57,12.22,12.22,12.21
31.30,15.00,2.80,15.00,2.80,-2.79,-2.76,-3.57,12.21,12.21,12.20
31.61,14.95,2.75,14.95,2.75,-2.75,-2.74,-3.57,12.20,12.20,12.19
31.93,14.89,2.70,14.89,2.70,-2.71,-2.71,-3.56,12.19,12.19,12.19
32.24,14.84,2.65,14.84,2.65,-2.66,-2.68,-3.55,12.18,12.18,12.19
32.57,14.79,2.61,14.79,2.61,-2.62,-2.65,-3.53,12.17,12.17,12.18
32.89,14.74,2.56,14.74,2.57,-2.57,-2.62,-3.50,12.17,12.17,12.18
33.22,14.71,2.53,14.71,2.53,-2.53,-2.60,-3.47,12.17,12.17,12.17
33.55,14.67,2.50,14.67,2.50,-2.50,-2.57,-3.44,12.17,12.17,12.17
33.89,14.63,2.47,14.63,2.47,-2.47,-2.54,-3.40,12.17,12.17,12.16
34.23,14.60,2.45,14.60,2.44,-2.44,-2.51,-3.35,12.16,12.15,12.15
34.57,14.56,2.42,14.56,2.42,-2.42,-2.49,-3.31,12.14,12.14,12.14
34.92,14.53,2.40,14.53,2.40,-2.41,-2.46,-3.26,12.11,12.12,12.13
35.27,14.50,2.39,14.50,2.39,-2.41,-2.44,-3.20,12.10,12.10,12.11
35.62,14.49,2.39,14.49,2.39,-2.41,-2.41,-3.15,12.08,12.09,12.10
35.97,14.49,2.41,14.49,2.41,-2.41,-2.39,-3.09,12.08,12.08,12.08
36.33,14.48,2.42,14.48,2.42,-2.42,-2.36,-3.03,12.07,12.07,12.06
36.70,14.48,2.43,14.48,2.43,-2.42,-2.34,-2.96,12.05,12.05,12.04
37.06,14.47,2.44,14.46,2.44,-2.43,-2.32,-2.90,12.04,12.04,12.03
37.43,14.45,2.43,14.45,2.43,-2.43,-2.30,-2.84,12.02,12.02,12.01
37.81,14.42,2.42,14.42,2.43,-2.42,-2.28,-2.77,12.00,12.00,12.00
38.19,14.39,2.41,14.39,2.41,-2.41,-2.27,-2.71,11.98,11.98,11.98
38.57,14.36,2.39,14.36,2.39,-2.39,-2.25,-2.64,11.97,11.97,11.97
38.95,14.32,2.37,14.32,2.37,-2.36,-2.24,-2.58,11.96,11.96,11.95
39.34,14.27,2.33,14.27,2.33,-2.32,-2.22,-2.51,11.94,11.94,11.94
39.74,14.21,2.29,14.21,2.29,-2.28,-2.21,-2.45,11.93,11.93,11.92
40.14,14.15,2.24,14.15,2.24,-2.24,-2.19,-2.39,11.91,11.91,11.91
40.54,14.09,2.19,14.09,2.19,-2.20,-2.18,-2.33,11.89,11.89,11.90
40.94,14.03,2.15,14.03,2.15,-2.15,-2.17,-2.26,11.88,11.88,11.88
41.35,13.97,2.11,13.97,2.11,-2.11,-2.16,-2.20,11.86,11.86,11.87
41.76,13.92,2.07,13.92,2.07,-2.08,-2.15,-2.14,11.85,11.85,11.85
42.18,13.88,2.04,13.88,2.04,-2.05,-2.13,-2.09,11.83,11.83,11.84
42.60,13.84,2.02,13.84,2.02,-2.02,-2.12,-2.03,11.81,11.82,11.82
43.03,13.80,2.00,13.80,2.00,-2.00,-2.11,-1.98,11.80,11.80,11.80
43.46,13.77,1.99,13.77,1.99,-1.99,-2.09,-1.92,11.78,11.78,11.78
43.90,13.74,1.98,13.74,1.98,-1.98,-2.08,-1.87,11.77,11.77,11.77
