frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.79,-4.45,5.79,-4.45,4.44,5.18,1.83,10.23,10.23,10.24
20.20,5.83,-4.45,5.83,-4.45,4.44,5.17,1.89,10.27,10.27,10.27
20.40,5.86,-4.44,5.86,-4.44,4.45,5.15,1.94,10.30,10.30,10.30
20.61,5.89,-4.44,5.89,-4.44,4.45,5.02,2.00,10.34,10.34,10.33
20.81,5.92,-4.44,5.92,-4.44,4.45,4.90,2.05,10.37,10.37,10.36
21.02,5.95,-4.44,5.95,-4.44,4.45,4.75,2.12,10.39,10.39,10.39
21.23,5.98,-4.44,5.98,-4.44,4.44,4.60,2.18,10.42,10.42,10.42
21.44,6.01,-4.44,6.01,-4.44,4.44,4.47,2.24,10.44,10.44,10.44
21.66,6.03,-4.43,6.03,-4.43,4.43,4.34,2.31,10.46,10.46,10.47
21.87,6.06,-4.43,6.06,-4.43,4.43,4.25,2.37,10.48,10.48,10.49
22.09,6.08,-4.42,6.08,-4.42,4.42,4.16,2.44,10.50,10.50,10.50
22.31,6.11,-4.41,6.11,-4.41,4.40,4.11,2.52,10.51,10.51,10.51
22.54,6.13,-4.39,6.13,-4.39,4.39,4.06,2.59,10.52,10.52,10.52
22.76,6.15,-4.37,6.15,-4.37,4.37,4.03,2.66,10.52,10.52,10.52
22.99,6.18,-4.35,6.18,-4.35,4.35,4.00,2.74,10.52,10.52,10.52
23.22,6.20,-4.32,6.20,-4.32,4.32,4.00,2.82,10.52,10.52,10.52
23.45,6.22,-4.30,6.22,-4.30,4.30,3.99,2.90,10.52,10.52,10.52
23.69,6.24,-4.27,6.24,-4.27,4.27,4.00,2.98,10.51,10.51,10.51
23.92,6.26,-4.24,6.26,-4.24,4.25,4.01,3.06,10.51,10.51,10.51
24.16,6.28,-4.22,6.28,-4.22,4.22,4.02,3.15,10.51,10.51,10.50
24.40,6.30,-4.20,6.30,-4.20,4.20,4.04,3.23,10.51,10.51,10.50
24.65,6.32,-4.18,6.32,-4.18,4.19,4.06,3.32,10.51,10.51,10.51
24.89,6.34,-4.17,6.34,-4.17,4.18,4.08,3.41,10.52,10.52,10.52
25.14,6.36,-4.16,6.36,-4.16,4.17,4.10,3.50,10.53,10.53,10.53
25.39,6.38,-4.16,6.38,-4.16,4.16,4.12,3.59,10.55,10.55,10.55
25.65,6.40,-4.16,6.40,-4.16,4.16,4.14,3.68,10.57,10.57,10.57
25.91,6.42,-4.16,6.42,-4.16,4.16,4.15,3.77,10.58,10.58,10.59
26.16,6.44,-4.16,6.44,-4.16,4.16,4.17,3.86,10.60,10.60,10.61
26.43,6.46,-4.16,6.46,-4.16,4.15,4.18,3.95,10.62,10.62,10.62
26.69,6.48,-4.15,6.48,-4.15,4.15,4.19,4.04,10.63,10.63,10.63
26.96,6.50,-4.14,6.50,-4.14,4.14,4.20,4.12,10.64,10.64,10.64
27.23,6.52,-4.13,6.52,-4.13,4.13,4.20,4.21,10.65,10.65,10.65
27.50,6.54,-4.12,6.54,-4.12,4.12,4.20,4.29,10.66,10.66,10.65
27.77,6.56,-4.10,6.56,-4.11,4.11,4.19,4.37,10.66,10.66,10.66
28.05,6.57,-4.09,6.57,-4.09,4.10,4.18,4.45,10.67,10.67,10.67
28.33,6.59,-4.09,6.59,-4.09,4.09,4.17,4.52,10.68,10.68,10.68
28.62,6.61,-4.08,6.61,-4.08,4.08,4.16,4.59,10.69,10.69,10.69
28.90,6.62,-4.07,6.62,-4.08,4.08,4.14,4.65,10.70,10.70,10.70
29.19,6.64,-4.07,6.64,-4.07,4.07,4.13,4.71,10.71,10.71,10.71
29.48,6.65,-4.07,6.65,-4.06,4.06,4.11,4.76,10.72,10.72,10.72
29.78,6.66,-4.06,6.66,-4.06,4.06,4.09,4.81,10.72,10.72,10.72
30.08,6.68,-4.05,6.68,-4.05,4.05,4.07,4.85,10.73,10.73,10.73
30.38,6.69,-4.04,6.69,-4.04,4.04,4.05,4.89,10.73,10.73,10.73
30.68,6.70,-4.03,6.70,-4.03,4.03,4.03,4.92,10.73,10.73,10.73
30.99,6.71,-4.02,6.71,-4.02,4.01,4.01,4.94,10.72,10.72,10.73
31.30,6.72,-4.00,6.72,-4.00,3.99,4.00,4.95,10.72,10.72,10.72
31.61,6.74,-3.98,6.73,-3.98,3.98,3.98,4.96,10.71,10.71,10.71
31.93,6.74,-3.95,6.74,-3.95,3.96,3.97,4.95,10.70,10.70,10.70
32.24,6.75,-3.93,6.75,-3.93,3.94,3.95,4.95,10.69,10.69,10.69
32.57,6.76,-3.91,6.76,-3.91,3.92,3.94,4.93,10.68,10.68,10.68
32.89,6.77,-3.90,6.77,-3.90,3.90,3.93,4.91,10.67,10.67,10.67
33.22,6.78,-3.88,6.78,-3.88,3.88,3.92,4.88,10.66,10.66,10.66
33.55,6.79,-3.87,6.79,-3.87,3.86,3.91,4.85,10.65,10.65,10.66
33.89,6.80,-3.85,6.80,-3.85,3.85,3.90,4.81,10.64,10.64,10.65
34.23,6.80,-3.84,6.80,-3.84,3.83,3.89,4.77,10.64,10.64,10.64
34.57,6.81,-3.82,6.81,-3.82,3.82,3.88,4.72,10.63,10.63,10.63
34.92,6.82,-3.80,6.82,-3.80,3.80,3.87,4.67,10.62,10.62,10.62
35.27,6.83,-3.79,6.83,-3.79,3.79,3.86,4.62,10.62,10.62,10.61
35.62,6.83,-3.78,6.83,-3.78,3.78,3.85,4.56,10.61,10.61,10.61
