frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.55,0.76,12.55,0.77,-0.76,-0.04,-0.19,11.79,11.79,11.79
20.20,12.55,0.73,12.55,0.73,-0.73,-0.04,-0.20,11.82,11.82,11.81
20.40,12.55,0.70,12.55,0.70,-0.70,-0.04,-0.20,11.85,11.85,11.84
20.61,12.55,0.68,12.55,0.68,-0.67,-0.04,-0.21,11.87,11.88,11.87
20.81,12.56,0.66,12.56,0.66,-0.66,-0.04,-0.21,11.90,11.90,11.90
21.02,12.57,0.64,12.57,0.64,-0.65,-0.04,-0.22,11.92,11.92,11.93
21.23,12.59,0.63,12.59,0.63,-0.64,-0.04,-0.23,11.95,11.95,11.96
21.44,12.62,0.63,12.62,0.64,-0.65,-0.04,-0.23,11.98,11.98,11.99
21.66,12.66,0.65,12.66,0.65,-0.66,-0.05,-0.24,12.00,12.00,12.01
21.87,12.70,0.67,12.70,0.67,-0.68,-0.05,-0.25,12.02,12.02,12.03
22.09,12.75,0.70,12.75,0.70,-0.71,-0.05,-0.26,12.04,12.04,12.05
22.31,12.80,0.74,12.79,0.74,-0.74,-0.05,-0.26,12.06,12.06,12.06
22.54,12.84,0.77,12.84,0.77,-0.76,-0.05,-0.27,12.07,12.07,12.06
22.76,12.87,0.80,12.87,0.80,-0.79,-0.05,-0.28,12.08,12.08,12.07
22.99,12.89,0.82,12.89,0.82,-0.81,-0.05,-0.29,12.08,12.08,12.07
23.22,12.90,0.83,12.90,0.83,-0.82,-0.05,-0.30,12.08,12.08,12.07
23.45,12.90,0.83,12.90,0.83,-0.83,-0.05,-0.31,12.07,12.07,12.06
23.69,12.89,0.83,12.89,0.83,-0.83,-0.05,-0.31,12.06,12.06,12.06
23.92,12.87,0.82,12.87,0.82,-0.82,-0.06,-0.32,12.05,12.05,12.05
24.16,12.86,0.81,12.86,0.81,-0.81,-0.06,-0.33,12.04,12.04,12.05
24.40,12.85,0.80,12.85,0.80,-0.80,-0.06,-0.34,12.04,12.04,12.05
24.65,12.84,0.79,12.84,0.79,-0.79,-0.06,-0.35,12.05,12.05,12.05
24.89,12.84,0.78,12.84,0.78,-0.78,-0.06,-0.36,12.06,12.06,12.06
25.14,12.84,0.77,12.84,0.77,-0.77,-0.06,-0.37,12.07,12.07,12.07
25.39,12.85,0.76,12.85,0.76,-0.76,-0.06,-0.38,12.09,12.09,12.09
25.65,12.86,0.75,12.86,0.75,-0.75,-0.06,-0.39,12.11,12.11,12.11
25.91,12.87,0.74,12.87,0.74,-0.74,-0.07,-0.40,12.13,12.13,12.13
26.16,12.88,0.73,12.88,0.73,-0.73,-0.07,-0.41,12.15,12.15,12.15
26.43,12.89,0.72,12.89,0.72,-0.72,-0.07,-0.42,12.17,12.17,12.17
26.69,12.88,0.70,12.88,0.70,-0.70,-0.07,-0.43,12.18,12.18,12.18
26.96,12.87,0.68,12.87,0.68,-0.68,-0.07,-0.43,12.19,12.19,12.19
27.23,12.85,0.66,12.85,0.66,-0.65,-0.07,-0.44,12.20,12.20,12.19
27.50,12.82,0.63,12.83,0.63,-0.63,-0.07,-0.45,12.20,12.20,12.20
27.77,12.80,0.60,12.80,0.60,-0.60,-0.07,-0.46,12.20,12.20,12.20
28.05,12.77,0.56,12.78,0.57,-0.57,-0.08,-0.47,12.21,12.21,12.21
28.33,12.75,0.54,12.75,0.54,-0.54,-0.08,-0.47,12.22,12.22,12.22
28.62,12.74,0.51,12.74,0.51,-0.51,-0.08,-0.48,12.23,12.23,12.23
28.90,12.72,0.48,12.72,0.48,-0.48,-0.08,-0.49,12.24,12.24,12.24
29.19,12.71,0.46,12.71,0.46,-0.45,-0.08,-0.49,12.25,12.25,12.25
29.48,12.69,0.43,12.69,0.43,-0.43,-0.08,-0.50,12.26,12.26,12.26
29.78,12.68,0.41,12.68,0.41,-0.41,-0.09,-0.50,12.26,12.26,12.27
30.08,12.67,0.39,12.67,0.39,-0.40,-0.09,-0.50,12.27,12.27,12.27
30.38,12.66,0.38,12.66,0.38,-0.39,-0.09,-0.50,12.27,12.27,12.28
30.68,12.66,0.38,12.66,0.38,-0.39,-0.09,-0.51,12.27,12.27,12.28
30.99,12.66,0.39,12.66,0.39,-0.40,-0.09,-0.51,12.27,12.27,12.27
31.30,12.67,0.40,12.67,0.40,-0.41,-0.09,-0.51,12.26,12.26,12.26
31.61,12.67,0.42,12.67,0.42,-0.41,-0.10,-0.51,12.26,12.26,12.25
31.93,12.67,0.43,12.67,0.43,-0.42,-0.10,-0.50,12.25,12.25,12.24
32.24,12.67,0.44,12.67,0.44,-0.43,-0.10,-0.50,12.24,12.24,12.23
32.57,12.66,0.44,12.66,0.44,-0.43,-0.10,-0.50,12.23,12.23,12.22
32.89,12.65,0.44,12.65,0.44,-0.43,-0.10,-0.50,12.22,12.22,12.21
33.22,12.64,0.43,12.64,0.43,-0.43,-0.11,-0.49,12.21,12.21,12.21
33.55,12.62,0.42,12.62,0.42,-0.41,-0.11,-0.48,12.20,12.20,12.20
33.89,12.59,0.40,12.59,0.40,-0.40,-0.11,-0.48,12.20,12.20,12.19
34.23,12.56,0.38,12.56,0.38,-0.38,-0.11,-0.47,12.18,12.18,12.18
34.57,12.53,0.36,12.53,0.36,-0.36,-0.11,-0.46,12.17,12.17,12.17
34.92,12.50,0.33,12.50,0.33,-0.34,-0.12,-0.46,12.16,12.16,12.16
35.27,12.47,0.31,12.47,0.31,-0.32,-0.12,-0.45,12.15,12.15,12.16
35.62,12.45,0.30,12.45,0.30,-0.31,-0.12,-0.44,12.15,12.15,12.15
35.97,12.44,0.29,12.44,0.29,-0.29,-0.12,-0.43,12.15,12.15,12.15
36.33,12.43,0.29,12.43,0.29,-0.28,-0.13,-0.42,12.15,12.15,12.15
36.70,12.43,0.28,12.43,0.28,-0.28,-0.13,-0.41,12.15,12.15,12.15
37.06,12.42,0.28,12.42,0.28,-0.28,-0.13,-0.40,12.15,12.15,12.15
37.43,12.42,0.28,12.42,0.28,-0.28,-0.13,-0.39,12.14,12.14,12.14
37.81,12.41,0.28,12.41,0.28,-0.28,-0.14,-0.38,12.13,12.13,12.13
38.19,12.40,0.28,12.40,0.29,-0.28,-0.14,-0.37,12.11,12.11,12.11
38.57,12.39,0.29,12.39,0.29,-0.29,-0.14,-0.36,12.09,12.09,12.09
38.95,12.38,0.31,12.38,0.31,-0.31,-0.14,-0.35,12.07,12.07,12.07
39.34,12.37,0.32,12.37,0.32,-0.33,-0.15,-0.34,12.04,12.04,12.05
39.74,12.38,0.34,12.38,0.34,-0.36,-0.15,-0.33,12.02,12.02,12.04
40.14,12.40,0.37,12.40,0.37,-0.39,-0.15,-0.32,12.00,12.01,12.02
40.54,12.43,0.41,12.43,0.42,-0.43,-0.16,-0.31,12.00,12.00,12.02
40.94,12.47,0.46,12.47,0.46,-0.47,-0.16,-0.30,12.00,12.00,12.01
