frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.91,-9.19,1.91,-9.19,6.00,5.85,2.75,7.91,7.91,11.10
20.20,1.98,-9.14,1.98,-9.14,6.00,5.92,2.83,7.98,7.98,11.12
20.40,2.06,-9.09,2.06,-9.09,6.00,5.99,2.91,8.06,8.06,11.15
20.61,2.13,-9.05,2.13,-9.05,6.00,6.04,2.99,8.13,8.13,11.18
20.81,2.21,-9.00,2.21,-9.00,6.00,6.09,3.08,8.21,8.21,11.21
21.02,2.28,-8.96,2.28,-8.96,6.00,6.10,3.17,8.28,8.28,11.24
21.23,2.36,-8.91,2.36,-8.91,6.00,6.11,3.26,8.36,8.36,11.27
21.44,2.43,-8.87,2.43,-8.87,6.00,6.10,3.35,8.43,8.43,11.30
21.66,2.50,-8.82,2.50,-8.82,6.00,6.08,3.45,8.50,8.50,11.32
21.87,2.57,-8.77,2.57,-8.77,6.00,6.05,3.55,8.57,8.57,11.34
22.09,2.64,-8.72,2.64,-8.72,6.00,6.02,3.65,8.64,8.64,11.35
22.31,2.71,-8.66,2.71,-8.66,6.00,5.99,3.75,8.71,8.71,11.37
22.54,2.77,-8.60,2.77,-8.60,6.00,5.96,3.86,8.77,8.77,11.37
22.76,2.84,-8.54,2.84,-8.54,6.00,5.93,3.97,8.84,8.84,11.38
22.99,2.91,-8.47,2.91,-8.47,6.00,5.91,4.08,8.91,8.91,11.38
23.22,2.97,-8.40,2.97,-8.40,6.00,5.89,4.20,8.97,8.97,11.37
23.45,3.04,-8.33,3.04,-8.33,6.00,5.88,4.31,9.04,9.04,11.37
23.69,3.10,-8.26,3.10,-8.26,6.00,5.87,4.43,9.10,9.10,11.36
23.92,3.16,-8.19,3.16,-8.20,6.00,5.87,4.56,9.16,9.16,11.36
24.16,3.23,-8.13,3.23,-8.13,6.00,5.87,4.68,9.23,9.23,11.36
24.40,3.29,-8.07,3.29,-8.07,6.00,5.87,4.81,9.29,9.29,11.36
24.65,3.35,-8.01,3.35,-8.01,6.00,5.88,4.94,9.35,9.35,11.36
24.89,3.42,-7.95,3.42,-7.95,6.00,5.89,5.07,9.42,9.42,11.37
25.14,3.48,-7.90,3.48,-7.90,6.00,5.91,5.20,9.48,9.48,11.38
25.39,3.54,-7.85,3.54,-7.85,6.00,5.92,5.33,9.54,9.54,11.40
25.65,3.61,-7.81,3.61,-7.81,6.00,5.94,5.47,9.61,9.61,11.42
25.91,3.67,-7.77,3.67,-7.77,6.00,5.96,5.60,9.67,9.67,11.44
26.16,3.73,-7.72,3.74,-7.72,6.00,5.98,5.74,9.73,9.74,11.46
26.43,3.80,-7.68,3.80,-7.68,6.00,6.00,5.87,9.80,9.80,11.48
26.69,3.86,-7.62,3.86,-7.62,6.00,6.02,6.00,9.86,9.86,11.49
26.96,3.93,-7.57,3.93,-7.57,6.00,6.04,6.13,9.93,9.93,11.50
27.23,3.99,-7.51,3.99,-7.51,6.00,6.05,6.26,9.99,9.99,11.50
27.50,4.06,-7.45,4.06,-7.45,6.00,6.07,6.39,10.06,10.06,11.51
27.77,4.13,-7.39,4.13,-7.39,6.00,6.09,6.51,10.13,10.13,11.51
28.05,4.19,-7.33,4.19,-7.33,6.00,6.10,6.62,10.19,10.19,11.52
28.33,4.26,-7.27,4.26,-7.27,6.00,6.11,6.73,10.26,10.26,11.53
28.62,4.32,-7.21,4.32,-7.21,6.00,6.12,6.84,10.32,10.32,11.54
28.90,4.39,-7.16,4.39,-7.16,6.00,6.13,6.93,10.39,10.39,11.55
29.19,4.45,-7.10,4.45,-7.10,6.00,6.13,7.02,10.45,10.45,11.56
29.48,4.52,-7.05,4.52,-7.05,6.00,6.14,7.09,10.52,10.52,11.57
29.78,4.58,-6.99,4.59,-6.99,6.00,6.14,7.16,10.58,10.59,11.58
30.08,4.65,-6.93,4.65,-6.93,6.00,6.13,7.22,10.65,10.65,11.58
30.38,4.71,-6.87,4.71,-6.87,6.00,6.13,7.27,10.71,10.71,11.59
30.68,4.78,-6.81,4.78,-6.81,6.00,6.12,7.30,10.78,10.78,11.59
30.99,4.84,-6.74,4.84,-6.74,6.00,6.10,7.32,10.84,10.84,11.58
31.30,4.90,-6.67,4.90,-6.67,6.00,6.09,7.33,10.90,10.90,11.57
31.61,4.97,-6.60,4.97,-6.60,6.00,6.07,7.33,10.97,10.97,11.56
31.93,5.03,-6.52,5.03,-6.52,6.00,6.05,7.31,11.03,11.03,11.55
32.24,5.09,-6.45,5.09,-6.45,6.00,6.03,7.28,11.09,11.09,11.54
32.57,5.15,-6.38,5.15,-6.38,6.01,6.00,7.24,11.16,11.16,11.53
32.89,5.21,-6.31,5.21,-6.31,6.01,5.97,7.19,11.22,11.22,11.52
33.22,5.27,-6.25,5.27,-6.25,6.01,5.94,7.13,11.28,11.28,11.51
33.55,5.33,-6.18,5.33,-6.18,6.01,5.91,7.06,11.34,11.33,11.51
33.89,5.39,-6.12,5.39,-6.11,5.99,5.87,6.98,11.38,11.38,11.50
34.23,5.44,-6.05,5.44,-6.05,5.97,5.83,6.89,11.42,11.42,11.49
34.57,5.50,-5.98,5.50,-5.98,5.94,5.79,6.79,11.44,11.44,11.48
34.92,5.56,-5.91,5.56,-5.92,5.91,5.75,6.69,11.46,11.46,11.47
35.27,5.61,-5.85,5.61,-5.85,5.86,5.71,6.59,11.47,11.47,11.46
35.62,5.67,-5.79,5.67,-5.79,5.81,5.66,6.47,11.48,11.48,11.46
35.97,5.72,-5.73,5.72,-5.73,5.75,5.61,6.36,11.47,11.47,11.46
36.33,5.78,-5.68,5.78,-5.68,5.69,5.57,6.24,11.47,11.47,11.46
36.70,5.83,-5.62,5.83,-5.62,5.62,5.52,6.12,11.46,11.46,11.46
37.06,5.89,-5.57,5.89,-5.56,5.56,5.47,6.00,11.45,11.45,11.45
37.43,5.94,-5.51,5.94,-5.51,5.50,5.41,5.87,11.44,11.44,11.45
37.81,5.99,-5.44,5.99,-5.44,5.43,5.36,5.75,11.43,11.43,11.43
38.19,6.05,-5.38,6.05,-5.37,5.37,5.31,5.63,11.41,11.41,11.42
38.57,6.10,-5.30,6.10,-5.30,5.30,5.25,5.51,11.40,11.40,11.40
38.95,6.15,-5.23,6.15,-5.23,5.23,5.20,5.39,11.38,11.38,11.38
39.34,6.20,-5.16,6.20,-5.16,5.17,5.15,5.27,11.37,11.37,11.36
39.74,6.25,-5.09,6.25,-5.09,5.10,5.09,5.15,11.35,11.35,11.34
40.14,6.30,-5.03,6.30,-5.03,5.04,5.03,5.03,11.34,11.34,11.33
40.54,6.35,-4.97,6.35,-4.97,4.98,4.98,4.92,11.32,11.32,11.32
40.94,6.40,-4.92,6.40,-4.92,4.91,4.92,4.81,11.31,11.31,11.31
41.35,6.44,-4.86,6.44,-4.86,4.85,4.86,4.70,11.30,11.30,11.30
41.76,6.49,-4.80,6.49,-4.80,4.79,4.81,4.60,11.28,11.28,11.29
42.18,6.54,-4.73,6.54,-4.73,4.73,4.75,4.49,11.27,11.27,11.27
42.60,6.58,-4.67,6.58,-4.67,4.67,4.69,4.39,11.25,11.25,11.25
43.03,6.63,-4.60,6.63,-4.60,4.60,4.64,4.30,11.23,11.23,11.23
43.46,6.67,-4.54,6.67,-4.54,4.54,4.58,4.20,11.22,11.22,11.21
43.90,6.72,-4.48,6.72,-4.48,4.49,4.52,4.11,11.20,11.20,11.19
44.33,6.76,-4.42,6.76,-4.42,4.43,4.46,4.03,11.19,11.19,11.18
44.78,6.80,-4.37,6.80,-4.37,4.37,4.40,3.94,11.17,11.17,11.17
45.23,6.84,-4.32,6.84,-4.32,4.32,4.35,3.86,11.16,11.16,11.16
45.68,6.88,-4.27,6.88,-4.27,4.26,4.29,3.78,11.14,11.14,11.15
46.13,6.92,-4.21,6.92,-4.21,4.20,4.23,3.71,11.12,11.12,11.13
46.60,6.96,-4.15,6.96,-4.15,4.14,4.17,3.64,11.09,11.09,11.11
47.06,7.00,-4.08,7.00,-4.08,4.07,4.11,3.57,11.07,11.07,11.07
47.53,7.03,-4.01,7.03,-4.01,4.00,4.05,3.50,11.03,11.03,11.04
48.01,7.07,-3.93,7.07,-3.93,3.94,3.99,3.44,11.00,11.00,11.00
48.49,7.10,-3.86,7.10,-3.86,3.87,3.93,3.38,10.97,10.97,10.96
48.97,7.14,-3.79,7.14,-3.79,3.81,3.87,3.32,10.95,10.95,10.93
49.46,7.17,-3.73,7.17,-3.74,3.76,3.81,3.26,10.92,10.92,10.90
49.96,7.20,-3.69,7.20,-3.69,3.70,3.74,3.21,10.90,10.90,10.89
50.46,7.23,-3.66,7.23,-3.65,3.65,3.68,3.15,10.88,10.88,10.89
50.96,7.26,-3.62,7.26,-3.61,3.60,3.62,3.10,10.86,10.86,10.88
51.47,7.29,-3.56,7.29,-3.56,3.54,3.56,3.06,10.84,10.84,10.86
51.99,7.33,-3.50,7.33,-3.50,3.48,3.49,3.01,10.81,10.81,10.82
52.51,7.36,-3.42,7.36,-3.42,3.42,3.43,2.97,10.78,10.78,10.78
53.03,7.39,-3.35,7.39,-3.35,3.35,3.37,2.92,10.74,10.74,10.73
53.56,7.42,-3.28,7.42,-3.28,3.28,3.30,2.88,10.70,10.70,10.69
54.10,7.45,-3.21,7.45,-3.21,3.21,3.24,2.84,10.66,10.66,10.66
54.64,7.48,-3.14,7.48,-3.14,3.15,3.17,2.80,10.62,10.62,10.62
55.18,7.51,-3.07,7.51,-3.07,3.08,3.11,2.76,10.59,10.59,10.58
55.74,7.54,-3.01,7.54,-3.01,3.02,3.04,2.72,10.56,10.56,10.55
56.29,7.57,-2.95,7.57,-2.95,2.96,2.98,2.69,10.53,10.53,10.52
56.86,7.60,-2.90,7.60,-2.90,2.90,2.91,2.65,10.50,10.50,10.50
57.42,7.63,-2.84,7.63,-2.84,2.84,2.85,2.61,10.47,10.47,10.48
58.00,7.67,-2.78,7.67,-2.78,2.78,2.78,2.57,10.44,10.44,10.45
58.58,7.70,-2.72,7.70,-2.72,2.72,2.71,2.53,10.42,10.42,10.42
59.16,7.73,-2.66,7.73,-2.66,2.66,2.65,2.50,10.39,10.39,10.39
59.76,7.76,-2.59,7.76,-2.59,2.60,2.58,2.46,10.36,10.36,10.36
60.35,7.79,-2.54,7.79,-2.54,2.54,2.52,2.42,10.33,10.33,10.33
60.96,7.82,-2.48,7.82,-2.48,2.48,2.45,2.38,10.30,10.30,10.30
61.57,7.85,-2.42,7.85,-2.42,2.42,2.39,2.34,10.27,10.27,10.28
62.18,7.88,-2.36,7.88,-2.36,2.36,2.32,2.29,10.24,10.24,10.25
62.80,7.91,-2.30,7.91,-2.30,2.30,2.26,2.25,10.21,10.21,10.21
63.43,7.94,-2.24,7.94,-2.24,2.24,2.20,2.21,10.18,10.18,10.17
64.07,7.97,-2.17,7.97,-2.17,2.18,2.13,2.16,10.14,10.14,10.14
64.71,7.99,-2.11,7.99,-2.11,2.12,2.07,2.12,10.11,10.11,10.10
65.35,8.02,-2.05,8.02,-2.05,2.05,2.01,2.07,10.07,10.07,10.07
