frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.71,-6.08,6.71,-6.08,5.97,5.91,2.41,12.68,12.68,12.79
20.20,6.79,-6.03,6.79,-6.03,5.98,5.92,2.48,12.77,12.77,12.82
20.40,6.85,-6.00,6.86,-5.99,5.99,5.92,2.55,12.84,12.85,12.85
20.61,6.91,-5.97,6.91,-5.97,6.00,5.93,2.62,12.91,12.90,12.88
20.81,6.95,-5.96,6.95,-5.96,6.00,5.93,2.69,12.95,12.95,12.91
21.02,6.97,-5.97,6.97,-5.97,6.00,5.92,2.77,12.97,12.97,12.94
21.23,6.98,-5.99,6.98,-5.99,6.00,5.92,2.85,12.98,12.98,12.97
21.44,6.98,-6.01,6.98,-6.02,6.00,5.91,2.94,12.97,12.97,12.99
21.66,6.97,-6.04,6.97,-6.04,6.01,5.90,3.02,12.98,12.98,13.01
21.87,6.97,-6.06,6.97,-6.06,6.01,5.89,3.11,12.98,12.98,13.04
22.09,6.99,-6.06,6.99,-6.06,6.00,5.88,3.20,12.99,12.99,13.05
22.31,7.02,-6.04,7.02,-6.04,5.98,5.87,3.29,13.00,13.00,13.06
22.54,7.07,-6.00,7.07,-6.00,5.95,5.85,3.38,13.02,13.02,13.07
22.76,7.14,-5.94,7.14,-5.93,5.90,5.84,3.48,13.04,13.04,13.07
22.99,7.22,-5.86,7.22,-5.86,5.84,5.83,3.58,13.06,13.06,13.07
23.22,7.30,-5.77,7.29,-5.78,5.78,5.81,3.68,13.08,13.08,13.07
23.45,7.37,-5.70,7.37,-5.70,5.72,5.80,3.78,13.09,13.09,13.07
23.69,7.43,-5.63,7.43,-5.63,5.66,5.78,3.89,13.09,13.09,13.06
23.92,7.47,-5.59,7.47,-5.59,5.61,5.77,4.00,13.08,13.08,13.06
24.16,7.50,-5.55,7.50,-5.56,5.58,5.75,4.11,13.07,13.07,13.05
24.40,7.51,-5.54,7.51,-5.54,5.56,5.74,4.22,13.07,13.07,13.05
24.65,7.51,-5.54,7.51,-5.54,5.55,5.72,4.33,13.07,13.07,13.06
24.89,7.51,-5.55,7.51,-5.55,5.56,5.70,4.45,13.07,13.07,13.06
25.14,7.51,-5.57,7.51,-5.57,5.57,5.68,4.56,13.08,13.08,13.08
25.39,7.51,-5.59,7.51,-5.59,5.58,5.67,4.68,13.09,13.09,13.09
25.65,7.52,-5.60,7.52,-5.60,5.59,5.65,4.80,13.10,13.10,13.11
25.91,7.54,-5.60,7.54,-5.60,5.58,5.63,4.92,13.12,13.12,13.14
26.16,7.57,-5.59,7.57,-5.59,5.57,5.61,5.03,13.13,13.13,13.16
26.43,7.61,-5.56,7.61,-5.56,5.54,5.59,5.15,13.15,13.15,13.17
26.69,7.67,-5.51,7.67,-5.51,5.50,5.57,5.27,13.17,13.17,13.18
26.96,7.73,-5.46,7.73,-5.46,5.45,5.55,5.38,13.18,13.19,13.19
27.23,7.80,-5.40,7.80,-5.40,5.40,5.53,5.49,13.20,13.20,13.20
27.50,7.86,-5.34,7.86,-5.34,5.36,5.50,5.60,13.22,13.22,13.20
27.77,7.92,-5.29,7.92,-5.29,5.32,5.48,5.71,13.23,13.23,13.21
28.05,7.96,-5.26,7.95,-5.26,5.29,5.46,5.81,13.24,13.24,13.22
28.33,7.98,-5.25,7.98,-5.25,5.27,5.44,5.90,13.24,13.24,13.22
28.62,7.99,-5.25,7.99,-5.25,5.26,5.41,6.00,13.24,13.24,13.23
28.90,7.99,-5.26,7.99,-5.26,5.26,5.39,6.08,13.24,13.24,13.24
29.19,7.98,-5.27,7.98,-5.27,5.26,5.36,6.16,13.25,13.25,13.25
29.48,7.98,-5.29,7.98,-5.28,5.27,5.34,6.23,13.25,13.25,13.26
29.78,7.98,-5.29,7.98,-5.29,5.28,5.31,6.29,13.26,13.26,13.27
30.08,7.98,-5.29,7.99,-5.29,5.29,5.29,6.34,13.28,13.28,13.28
30.38,7.99,-5.29,7.99,-5.29,5.29,5.26,6.39,13.29,13.28,13.28
30.68,7.99,-5.29,7.99,-5.29,5.29,5.24,6.42,13.29,13.29,13.28
30.99,7.99,-5.28,7.99,-5.28,5.29,5.21,6.45,13.28,13.28,13.28
31.30,7.99,-5.28,7.99,-5.28,5.27,5.18,6.46,13.26,13.26,13.27
31.61,8.00,-5.26,8.00,-5.26,5.25,5.16,6.47,13.25,13.25,13.26
31.93,8.01,-5.24,8.01,-5.23,5.23,5.13,6.46,13.24,13.24,13.25
32.24,8.04,-5.20,8.04,-5.20,5.19,5.10,6.45,13.23,13.23,13.23
32.57,8.07,-5.16,8.07,-5.16,5.16,5.07,6.43,13.22,13.23,13.22
32.89,8.11,-5.11,8.11,-5.11,5.11,5.05,6.40,13.22,13.22,13.22
33.22,8.15,-5.06,8.15,-5.06,5.07,5.02,6.35,13.22,13.22,13.21
