frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.85,-6.37,2.85,-6.37,6.00,5.98,2.71,8.85,8.85,9.23
20.20,2.88,-6.37,2.88,-6.37,6.00,6.06,2.78,8.88,8.88,9.25
20.40,2.91,-6.37,2.91,-6.37,6.00,6.13,2.86,8.91,8.91,9.28
20.61,2.94,-6.37,2.93,-6.38,6.00,6.15,2.94,8.94,8.93,9.31
20.81,2.96,-6.38,2.96,-6.39,6.00,6.18,3.03,8.96,8.96,9.34
21.02,2.97,-6.40,2.97,-6.40,6.00,6.16,3.11,8.97,8.97,9.37
21.23,2.99,-6.41,2.99,-6.41,6.00,6.15,3.20,8.99,8.99,9.40
21.44,3.00,-6.43,3.00,-6.43,6.00,6.11,3.29,9.00,9.00,9.42
21.66,3.01,-6.44,3.01,-6.44,6.00,6.08,3.39,9.01,9.01,9.45
21.87,3.03,-6.44,3.03,-6.44,6.00,6.04,3.48,9.03,9.03,9.47
22.09,3.04,-6.44,3.04,-6.44,6.00,6.01,3.58,9.04,9.04,9.48
22.31,3.06,-6.43,3.06,-6.43,6.00,5.98,3.68,9.06,9.06,9.50
22.54,3.08,-6.42,3.08,-6.42,6.00,5.96,3.79,9.08,9.08,9.50
22.76,3.10,-6.40,3.10,-6.40,6.00,5.94,3.89,9.10,9.10,9.51
22.99,3.12,-6.38,3.12,-6.38,6.00,5.92,4.00,9.12,9.12,9.51
23.22,3.14,-6.37,3.14,-6.37,6.00,5.91,4.12,9.14,9.14,9.50
23.45,3.15,-6.35,3.15,-6.35,6.00,5.91,4.23,9.15,9.15,9.50
23.69,3.15,-6.34,3.15,-6.34,6.00,5.90,4.35,9.15,9.15,9.49
23.92,3.16,-6.33,3.16,-6.33,6.00,5.90,4.47,9.16,9.16,9.49
24.16,3.17,-6.32,3.17,-6.32,6.00,5.90,4.59,9.17,9.17,9.49
24.40,3.17,-6.31,3.17,-6.31,6.00,5.91,4.71,9.17,9.17,9.49
24.65,3.18,-6.31,3.18,-6.31,6.00,5.91,4.84,9.18,9.18,9.49
24.89,3.18,-6.31,3.18,-6.31,6.00,5.92,4.97,9.18,9.18,9.50
25.14,3.19,-6.32,3.19,-6.32,6.00,5.92,5.10,9.19,9.19,9.51
25.39,3.20,-6.33,3.20,-6.33,6.00,5.93,5.23,9.20,9.20,9.53
25.65,3.21,-6.34,3.21,-6.34,6.00,5.94,5.36,9.21,9.21,9.55
25.91,3.21,-6.36,3.21,-6.36,6.00,5.94,5.49,9.21,9.21,9.57
26.16,3.22,-6.37,3.22,-6.37,6.00,5.95,5.62,9.22,9.22,9.59
26.43,3.23,-6.38,3.23,-6.38,6.00,5.96,5.75,9.23,9.23,9.60
26.69,3.23,-6.38,3.23,-6.38,6.00,5.97,5.88,9.23,9.23,9.62
26.96,3.24,-6.38,3.24,-6.38,6.00,5.98,6.01,9.24,9.24,9.63
27.23,3.25,-6.38,3.25,-6.38,6.00,5.98,6.14,9.25,9.25,9.63
27.50,3.25,-6.38,3.25,-6.38,6.00,5.99,6.26,9.25,9.25,9.64
27.77,3.26,-6.39,3.26,-6.39,6.00,6.00,6.38,9.26,9.26,9.64
28.05,3.26,-6.39,3.26,-6.39,6.00,6.01,6.50,9.26,9.26,9.65
28.33,3.26,-6.40,3.26,-6.40,6.00,6.01,6.61,9.26,9.26,9.66
28.62,3.25,-6.41,3.25,-6.41,6.00,6.02,6.71,9.25,9.25,9.67
28.90,3.25,-6.43,3.25,-6.43,6.00,6.03,6.81,9.25,9.25,9.68
29.19,3.25,-6.44,3.25,-6.44,6.00,6.03,6.90,9.25,9.25,9.69
29.48,3.25,-6.45,3.25,-6.45,6.00,6.04,6.98,9.25,9.25,9.70
29.78,3.25,-6.45,3.25,-6.45,6.00,6.05,7.06,9.25,9.25,9.70
30.08,3.26,-6.45,3.26,-6.45,6.00,6.05,7.12,9.26,9.26,9.71
30.38,3.27,-6.44,3.27,-6.44,6.00,6.06,7.18,9.27,9.27,9.71
30.68,3.28,-6.43,3.28,-6.43,6.00,6.06,7.23,9.28,9.28,9.72
30.99,3.29,-6.42,3.29,-6.42,6.00,6.06,7.26,9.29,9.29,9.71
31.30,3.30,-6.40,3.30,-6.40,6.00,6.07,7.29,9.30,9.30,9.70
31.61,3.31,-6.39,3.31,-6.39,6.00,6.07,7.30,9.31,9.31,9.69
31.93,3.31,-6.37,3.31,-6.37,6.00,6.07,7.31,9.31,9.31,9.68
32.24,3.31,-6.35,3.31,-6.35,6.00,6.08,7.30,9.31,9.31,9.67
32.57,3.32,-6.34,3.32,-6.34,6.00,6.08,7.28,9.32,9.32,9.66
32.89,3.32,-6.33,3.32,-6.33,6.00,6.08,7.26,9.32,9.32,9.65
33.22,3.33,-6.31,3.33,-6.31,6.00,6.08,7.23,9.33,9.33,9.64
33.55,3.34,-6.30,3.34,-6.30,6.00,6.08,7.19,9.34,9.34,9.64
33.89,3.35,-6.28,3.35,-6.28,6.00,6.08,7.14,9.35,9.35,9.63
34.23,3.35,-6.27,3.35,-6.27,6.00,6.08,7.08,9.35,9.35,9.62
34.57,3.35,-6.26,3.35,-6.26,6.00,6.08,7.02,9.35,9.35,9.61
34.92,3.34,-6.26,3.34,-6.26,6.00,6.08,6.95,9.34,9.34,9.60
35.27,3.34,-6.25,3.34,-6.25,6.00,6.08,6.88,9.34,9.34,9.59
35.62,3.34,-6.25,3.34,-6.25,6.00,6.07,6.81,9.34,9.34,9.59
35.97,3.34,-6.25,3.34,-6.25,6.00,6.07,6.73,9.34,9.34,9.59
36.33,3.34,-6.25,3.34,-6.25,6.00,6.07,6.65,9.34,9.34,9.59
36.70,3.34,-6.25,3.34,-6.25,6.00,6.06,6.57,9.34,9.34,9.58
37.06,3.34,-6.25,3.34,-6.25,6.00,6.06,6.49,9.34,9.34,9.58
37.43,3.34,-6.24,3.34,-6.24,6.00,6.05,6.41,9.34,9.34,9.58
37.81,3.34,-6.23,3.34,-6.23,6.00,6.05,6.33,9.34,9.34,9.56
38.19,3.34,-6.22,3.34,-6.21,6.00,6.04,6.25,9.34,9.34,9.55
38.57,3.34,-6.19,3.34,-6.19,6.00,6.03,6.17,9.34,9.34,9.53
38.95,3.34,-6.17,3.34,-6.17,6.00,6.03,6.09,9.34,9.34,9.51
39.34,3.34,-6.15,3.34,-6.15,6.00,6.02,6.02,9.34,9.34,9.49
39.74,3.33,-6.14,3.33,-6.14,6.00,6.01,5.95,9.33,9.33,9.47
40.14,3.33,-6.13,3.33,-6.13,6.00,6.00,5.88,9.33,9.33,9.46
40.54,3.33,-6.12,3.33,-6.12,6.00,5.99,5.82,9.33,9.33,9.45
40.94,3.33,-6.11,3.33,-6.11,6.00,5.98,5.75,9.33,9.33,9.44
41.35,3.33,-6.10,3.33,-6.10,6.00,5.97,5.70,9.33,9.33,9.43
41.76,3.33,-6.09,3.33,-6.09,6.00,5.96,5.64,9.33,9.33,9.42
42.18,3.33,-6.07,3.33,-6.07,6.00,5.95,5.59,9.33,9.33,9.40
42.60,3.33,-6.05,3.33,-6.05,6.00,5.94,5.54,9.33,9.33,9.38
43.03,3.33,-6.03,3.33,-6.03,6.00,5.93,5.50,9.33,9.33,9.36
43.46,3.33,-6.01,3.33,-6.01,5.99,5.92,5.46,9.33,9.33,9.34
43.90,3.33,-5.99,3.33,-5.99,5.99,5.90,5.43,9.32,9.32,9.32
44.33,3.33,-5.98,3.33,-5.98,5.98,5.89,5.40,9.31,9.31,9.31
44.78,3.33,-5.97,3.33,-5.97,5.98,5.88,5.37,9.30,9.30,9.30
45.23,3.32,-5.96,3.32,-5.96,5.97,5.86,5.35,9.29,9.29,9.29
45.68,3.32,-5.96,3.32,-5.96,5.95,5.85,5.33,9.27,9.27,9.28
46.13,3.32,-5.94,3.32,-5.94,5.93,5.83,5.32,9.25,9.25,9.26
46.60,3.31,-5.92,3.31,-5.92,5.91,5.81,5.31,9.22,9.22,9.24
47.06,3.31,-5.89,3.31,-5.89,5.88,5.80,5.30,9.19,9.19,9.20
47.53,3.31,-5.86,3.31,-5.86,5.86,5.78,5.30,9.16,9.16,9.17
48.01,3.30,-5.83,3.30,-5.83,5.83,5.76,5.30,9.13,9.13,9.13
48.49,3.30,-5.79,3.30,-5.79,5.80,5.75,5.30,9.10,9.10,9.09
48.97,3.30,-5.76,3.30,-5.76,5.78,5.73,5.31,9.08,9.08,9.06
49.46,3.30,-5.73,3.30,-5.74,5.75,5.71,5.32,9.05,9.05,9.03
49.96,3.30,-5.72,3.30,-5.72,5.73,5.69,5.34,9.03,9.03,9.02
50.46,3.30,-5.72,3.30,-5.72,5.71,5.67,5.35,9.01,9.01,9.02
50.96,3.30,-5.71,3.30,-5.71,5.69,5.65,5.37,8.99,8.99,9.01
51.47,3.29,-5.70,3.29,-5.69,5.67,5.63,5.39,8.97,8.97,8.99
51.99,3.29,-5.66,3.29,-5.66,5.65,5.61,5.41,8.94,8.94,8.95
52.51,3.28,-5.62,3.28,-5.62,5.62,5.59,5.44,8.90,8.91,8.91
53.03,3.28,-5.58,3.28,-5.58,5.59,5.57,5.46,8.87,8.87,8.86
