frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,15.63,10.28,15.64,10.29,-10.66,-10.54,-4.02,4.97,4.98,5.36
20.20,15.73,10.36,15.73,10.36,-10.41,-10.47,-4.13,5.32,5.32,5.37
20.40,15.75,10.37,15.74,10.36,-10.18,-10.41,-4.24,5.57,5.56,5.38
20.61,15.69,10.29,15.67,10.27,-9.98,-10.22,-4.36,5.71,5.69,5.40
20.81,15.49,10.07,15.49,10.07,-9.79,-10.04,-4.47,5.70,5.70,5.42
21.02,15.25,9.81,15.24,9.81,-9.63,-9.85,-4.60,5.61,5.61,5.44
21.23,14.97,9.52,14.98,9.53,-9.50,-9.67,-4.72,5.47,5.48,5.45
21.44,14.73,9.27,14.74,9.28,-9.38,-9.53,-4.85,5.35,5.36,5.46
21.66,14.57,9.09,14.56,9.09,-9.23,-9.39,-4.98,5.34,5.33,5.47
21.87,14.45,8.97,14.48,8.99,-9.13,-9.28,-5.12,5.32,5.34,5.48
22.09,14.48,8.99,14.48,8.99,-9.09,-9.17,-5.25,5.38,5.39,5.49
22.31,14.57,9.07,14.56,9.06,-9.10,-9.09,-5.40,5.46,5.46,5.50
22.54,14.69,9.18,14.69,9.18,-9.15,-9.00,-5.54,5.53,5.54,5.51
22.76,14.82,9.30,14.81,9.29,-9.22,-8.94,-5.69,5.60,5.59,5.52
22.99,14.91,9.38,14.90,9.37,-9.28,-8.88,-5.85,5.63,5.62,5.53
23.22,14.95,9.41,14.94,9.41,-9.32,-8.83,-6.00,5.62,5.62,5.54
23.45,14.94,9.39,14.94,9.39,-9.34,-8.79,-6.16,5.60,5.60,5.54
23.69,14.89,9.34,14.89,9.34,-9.33,-8.75,-6.33,5.57,5.57,5.55
23.92,14.82,9.27,14.82,9.27,-9.29,-8.72,-6.50,5.54,5.54,5.55
24.16,14.75,9.20,14.75,9.20,-9.23,-8.69,-6.67,5.52,5.52,5.55
24.40,14.68,9.13,14.69,9.13,-9.17,-8.66,-6.85,5.52,5.52,5.55
24.65,14.63,9.07,14.63,9.08,-9.10,-8.64,-7.03,5.53,5.53,5.56
24.89,14.59,9.03,14.60,9.03,-9.05,-8.62,-7.21,5.55,5.55,5.56
25.14,14.57,9.00,14.57,9.00,-8.99,-8.60,-7.39,5.57,5.57,5.57
25.39,14.54,8.96,14.54,8.96,-8.95,-8.58,-7.58,5.59,5.59,5.58
25.65,14.51,8.92,14.51,8.92,-8.91,-8.56,-7.77,5.61,5.61,5.59
25.91,14.48,8.88,14.48,8.88,-8.87,-8.54,-7.96,5.61,5.61,5.60
26.16,14.44,8.83,14.44,8.83,-8.83,-8.53,-8.15,5.61,5.61,5.61
26.43,14.40,8.78,14.41,8.78,-8.79,-8.51,-8.34,5.61,5.61,5.62
26.69,14.37,8.75,14.37,8.75,-8.76,-8.49,-8.54,5.61,5.61,5.63
26.96,14.35,8.71,14.35,8.72,-8.73,-8.48,-8.73,5.62,5.62,5.63
27.23,14.33,8.69,14.33,8.70,-8.70,-8.46,-8.92,5.63,5.63,5.64
27.50,14.32,8.68,14.32,8.68,-8.68,-8.44,-9.10,5.64,5.64,5.64
27.77,14.31,8.66,14.31,8.66,-8.65,-8.43,-9.28,5.66,5.66,5.64
28.05,14.29,8.64,14.28,8.64,-8.62,-8.41,-9.46,5.67,5.67,5.65
28.33,14.25,8.60,14.25,8.60,-8.58,-8.39,-9.62,5.67,5.67,5.65
28.62,14.21,8.56,14.21,8.56,-8.54,-8.37,-9.78,5.67,5.67,5.66
28.90,14.17,8.50,14.17,8.50,-8.50,-8.35,-9.93,5.66,5.66,5.66
29.19,14.12,8.45,14.12,8.45,-8.47,-8.32,-10.07,5.66,5.66,5.67
29.48,14.08,8.41,14.09,8.41,-8.43,-8.30,-10.19,5.65,5.65,5.67
29.78,14.06,8.38,14.06,8.38,-8.41,-8.28,-10.31,5.66,5.65,5.68
30.08,14.05,8.36,14.06,8.37,-8.39,-8.25,-10.40,5.67,5.67,5.69
30.38,14.06,8.36,14.06,8.36,-8.37,-8.23,-10.48,5.69,5.69,5.70
30.68,14.07,8.36,14.07,8.36,-8.36,-8.20,-10.53,5.72,5.71,5.71
30.99,14.07,8.36,14.07,8.36,-8.34,-8.18,-10.58,5.74,5.73,5.72
31.30,14.06,8.34,14.06,8.34,-8.31,-8.15,-10.59,5.75,5.75,5.73
31.61,14.03,8.30,14.03,8.30,-8.27,-8.12,-10.60,5.76,5.75,5.73
31.93,13.98,8.24,13.97,8.24,-8.22,-8.09,-10.58,5.76,5.75,5.73
32.24,13.90,8.17,13.90,8.17,-8.15,-8.06,-10.55,5.75,5.75,5.73
32.57,13.82,8.09,13.82,8.09,-8.08,-8.03,-10.49,5.75,5.75,5.73
32.89,13.74,8.00,13.74,8.00,-8.00,-7.99,-10.43,5.74,5.74,5.74
33.22,13.66,7.91,13.65,7.91,-7.92,-7.96,-10.34,5.74,5.74,5.74
33.55,13.58,7.83,13.58,7.83,-7.85,-7.93,-10.25,5.73,5.73,5.75
33.89,13.52,7.76,13.52,7.77,-7.80,-7.89,-10.13,5.72,5.73,5.76
34.23,13.49,7.73,13.49,7.73,-7.76,-7.86,-10.01,5.73,5.73,5.76
34.57,13.47,7.71,13.47,7.71,-7.74,-7.82,-9.88,5.73,5.73,5.77
34.92,13.48,7.71,13.48,7.71,-7.73,-7.79,-9.74,5.75,5.75,5.77
35.27,13.50,7.73,13.50,7.73,-7.73,-7.75,-9.60,5.77,5.77,5.77
35.62,13.52,7.75,13.52,7.75,-7.73,-7.72,-9.45,5.80,5.79,5.77
35.97,13.53,7.76,13.53,7.76,-7.72,-7.68,-9.30,5.81,5.81,5.77
36.33,13.52,7.75,13.52,7.74,-7.71,-7.64,-9.14,5.81,5.81,5.78
36.70,13.49,7.71,13.49,7.71,-7.69,-7.60,-8.98,5.80,5.80,5.78
37.06,13.46,7.66,13.46,7.66,-7.66,-7.56,-8.82,5.79,5.79,5.79
37.43,13.41,7.61,13.42,7.61,-7.63,-7.53,-8.67,5.78,5.79,5.81
37.81,13.39,7.57,13.39,7.57,-7.59,-7.49,-8.51,5.79,5.79,5.82
38.19,13.36,7.53,13.36,7.53,-7.55,-7.45,-8.36,5.81,5.81,5.83
38.57,13.34,7.51,13.34,7.51,-7.52,-7.41,-8.21,5.83,5.83,5.83
38.95,13.32,7.48,13.32,7.48,-7.48,-7.37,-8.06,5.84,5.84,5.84
39.34,13.29,7.45,13.29,7.45,-7.44,-7.33,-7.91,5.85,5.85,5.84
39.74,13.25,7.42,13.25,7.41,-7.40,-7.29,-7.77,5.85,5.85,5.84
40.14,13.21,7.37,13.21,7.37,-7.36,-7.25,-7.63,5.85,5.85,5.84
40.54,13.16,7.32,13.16,7.32,-7.31,-7.21,-7.50,5.85,5.85,5.84
40.94,13.12,7.27,13.11,7.27,-7.26,-7.17,-7.37,5.85,5.85,5.84
41.35,13.07,7.22,13.06,7.21,-7.21,-7.13,-7.24,5.85,5.85,5.85
41.76,13.01,7.15,13.01,7.15,-7.17,-7.09,-7.12,5.85,5.85,5.86
42.18,12.97,7.10,12.97,7.10,-7.13,-7.05,-7.01,5.84,5.84,5.87
42.60,12.93,7.05,12.94,7.06,-7.09,-7.01,-6.89,5.84,5.85,5.88
43.03,12.92,7.03,12.92,7.04,-7.06,-6.97,-6.79,5.86,5.86,5.89
43.46,12.91,7.03,12.91,7.03,-7.02,-6.93,-6.69,5.89,5.89,5.88
43.90,12.90,7.02,12.89,7.01,-6.99,-6.89,-6.59,5.91,5.91,5.88
44.33,12.87,6.99,12.86,6.98,-6.94,-6.85,-6.50,5.93,5.92,5.88
44.78,12.81,6.93,12.81,6.93,-6.90,-6.82,-6.41,5.92,5.91,5.88
45.23,12.74,6.86,12.74,6.86,-6.85,-6.78,-6.33,5.90,5.90,5.89
45.68,12.67,6.78,12.67,6.78,-6.79,-6.74,-6.25,5.88,5.88,5.89
46.13,12.59,6.70,12.60,6.70,-6.73,-6.70,-6.18,5.86,5.86,5.90
46.60,12.54,6.64,12.54,6.64,-6.67,-6.66,-6.11,5.86,5.87,5.90
47.06,12.50,6.60,12.50,6.60,-6.62,-6.62,-6.04,5.88,5.88,5.90
47.53,12.46,6.57,12.46,6.57,-6.56,-6.58,-5.98,5.90,5.90,5.90
48.01,12.43,6.53,12.43,6.53,-6.51,-6.54,-5.93,5.92,5.92,5.90
48.49,12.39,6.49,12.39,6.48,-6.46,-6.49,-5.88,5.93,5.93,5.91
48.97,12.35,6.43,12.35,6.43,-6.41,-6.45,-5.83,5.93,5.93,5.92
49.46,12.29,6.36,12.29,6.37,-6.37,-6.41,-5.78,5.93,5.93,5.93
49.96,12.23,6.30,12.24,6.30,-6.31,-6.37,-5.74,5.92,5.92,5.93
50.46,12.18,6.25,12.18,6.25,-6.26,-6.33,-5.70,5.92,5.92,5.94
50.96,12.14,6.20,12.14,6.20,-6.21,-6.29,-5.67,5.93,5.93,5.94
51.47,12.10,6.16,12.10,6.16,-6.15,-6.25,-5.63,5.94,5.94,5.94
51.99,12.06,6.12,12.06,6.12,-6.11,-6.21,-5.60,5.95,5.95,5.94
52.51,12.02,6.07,12.02,6.07,-6.06,-6.16,-5.58,5.96,5.96,5.95
53.03,11.98,6.01,11.99,6.02,-6.03,-6.12,-5.55,5.96,5.96,5.97
53.56,11.95,5.97,11.95,5.97,-5.99,-6.08,-5.52,5.96,5.96,5.99
54.10,11.92,5.94,11.92,5.94,-5.96,-6.03,-5.50,5.97,5.97,5.98
54.64,11.90,5.92,11.90,5.92,-5.92,-5.99,-5.48,5.98,5.98,5.97
55.18,11.87,5.90,11.87,5.90,-5.88,-5.94,-5.45,5.99,5.98,5.96
55.74,11.83,5.86,11.83,5.86,-5.84,-5.90,-5.43,5.99,5.99,5.97
