frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.14,-2.65,5.14,-2.65,2.66,2.56,1.15,7.80,7.80,7.79
20.20,5.15,-2.64,5.15,-2.64,2.65,2.56,1.18,7.79,7.79,7.79
20.40,5.15,-2.64,5.15,-2.64,2.63,2.56,1.21,7.79,7.79,7.79
20.61,5.16,-2.63,5.16,-2.63,2.62,2.56,1.25,7.78,7.78,7.79
20.81,5.17,-2.62,5.17,-2.62,2.61,2.56,1.29,7.78,7.78,7.79
21.02,5.18,-2.61,5.18,-2.61,2.60,2.56,1.32,7.78,7.78,7.79
21.23,5.19,-2.59,5.19,-2.59,2.59,2.56,1.36,7.78,7.78,7.79
21.44,5.20,-2.58,5.20,-2.58,2.58,2.56,1.40,7.79,7.79,7.79
21.66,5.21,-2.57,5.21,-2.57,2.57,2.56,1.44,7.78,7.78,7.78
21.87,5.22,-2.56,5.22,-2.56,2.56,2.56,1.49,7.78,7.78,7.78
22.09,5.23,-2.55,5.23,-2.55,2.55,2.56,1.53,7.78,7.78,7.78
22.31,5.24,-2.54,5.24,-2.54,2.54,2.56,1.57,7.78,7.78,7.78
22.54,5.24,-2.53,5.24,-2.53,2.54,2.56,1.62,7.78,7.78,7.77
22.76,5.24,-2.53,5.24,-2.53,2.53,2.56,1.67,7.77,7.77,7.77
22.99,5.24,-2.53,5.24,-2.53,2.53,2.56,1.71,7.77,7.77,7.77
23.22,5.23,-2.53,5.23,-2.54,2.54,2.56,1.76,7.77,7.77,7.77
23.45,5.22,-2.54,5.22,-2.54,2.54,2.56,1.81,7.76,7.76,7.77
23.69,5.22,-2.55,5.22,-2.55,2.54,2.56,1.87,7.76,7.76,7.76
23.92,5.21,-2.55,5.21,-2.55,2.55,2.56,1.92,7.76,7.76,7.76
24.16,5.20,-2.55,5.21,-2.55,2.55,2.56,1.97,7.75,7.75,7.76
24.40,5.20,-2.56,5.20,-2.56,2.55,2.56,2.02,7.75,7.75,7.76
24.65,5.20,-2.56,5.20,-2.56,2.55,2.56,2.08,7.75,7.75,7.75
24.89,5.19,-2.55,5.19,-2.55,2.56,2.56,2.13,7.75,7.75,7.75
25.14,5.19,-2.55,5.19,-2.55,2.56,2.56,2.19,7.75,7.75,7.74
25.39,5.18,-2.56,5.18,-2.56,2.57,2.56,2.25,7.75,7.74,7.74
25.65,5.16,-2.57,5.16,-2.57,2.58,2.56,2.30,7.74,7.74,7.73
25.91,5.15,-2.58,5.15,-2.58,2.59,2.56,2.36,7.73,7.73,7.73
26.16,5.13,-2.60,5.13,-2.60,2.60,2.56,2.41,7.72,7.72,7.72
26.43,5.11,-2.61,5.11,-2.61,2.60,2.57,2.47,7.71,7.72,7.72
26.69,5.10,-2.62,5.10,-2.62,2.61,2.57,2.53,7.71,7.71,7.72
26.96,5.09,-2.62,5.09,-2.62,2.61,2.57,2.58,7.70,7.70,7.71
27.23,5.09,-2.62,5.09,-2.62,2.61,2.57,2.63,7.69,7.69,7.70
27.50,5.09,-2.60,5.09,-2.60,2.60,2.57,2.69,7.69,7.69,7.70
27.77,5.10,-2.59,5.10,-2.59,2.59,2.57,2.74,7.69,7.69,7.69
28.05,5.11,-2.57,5.11,-2.57,2.57,2.57,2.79,7.69,7.69,7.68
28.33,5.12,-2.55,5.12,-2.56,2.56,2.57,2.83,7.69,7.68,7.68
28.62,5.13,-2.55,5.12,-2.55,2.56,2.57,2.88,7.68,7.68,7.67
28.90,5.12,-2.55,5.12,-2.55,2.56,2.57,2.92,7.68,7.68,7.67
29.19,5.10,-2.56,5.11,-2.56,2.57,2.57,2.96,7.67,7.67,7.66
29.48,5.08,-2.57,5.08,-2.57,2.58,2.57,2.99,7.67,7.67,7.65
29.78,5.05,-2.60,5.05,-2.60,2.61,2.57,3.02,7.66,7.66,7.65
30.08,5.01,-2.63,5.01,-2.63,2.63,2.57,3.05,7.65,7.65,7.64
30.38,4.98,-2.66,4.97,-2.66,2.66,2.58,3.08,7.63,7.63,7.63
30.68,4.94,-2.69,4.94,-2.69,2.68,2.58,3.10,7.62,7.62,7.63
30.99,4.91,-2.71,4.91,-2.71,2.69,2.58,3.12,7.60,7.60,7.62
31.30,4.90,-2.71,4.90,-2.71,2.68,2.58,3.13,7.58,7.58,7.61
31.61,4.91,-2.70,4.91,-2.69,2.66,2.58,3.14,7.57,7.57,7.60
31.93,4.93,-2.66,4.94,-2.66,2.64,2.58,3.15,7.57,7.57,7.60
32.24,4.98,-2.61,4.98,-2.61,2.60,2.58,3.15,7.58,7.58,7.59
32.57,5.02,-2.56,5.02,-2.56,2.57,2.59,3.15,7.59,7.59,7.58
32.89,5.06,-2.51,5.06,-2.51,2.54,2.59,3.15,7.60,7.60,7.57
33.22,5.08,-2.48,5.08,-2.49,2.52,2.59,3.14,7.60,7.60,7.56
33.55,5.08,-2.48,5.07,-2.48,2.51,2.59,3.13,7.59,7.58,7.55
33.89,5.05,-2.50,5.05,-2.50,2.51,2.60,3.11,7.56,7.56,7.54
34.23,5.01,-2.52,5.01,-2.52,2.52,2.60,3.10,7.53,7.53,7.53
34.57,4.97,-2.55,4.98,-2.55,2.52,2.60,3.08,7.50,7.50,7.52
34.92,4.95,-2.57,4.95,-2.56,2.53,2.60,3.06,7.48,7.48,7.52
35.27,4.94,-2.56,4.94,-2.56,2.54,2.61,3.04,7.48,7.48,7.50
35.62,4.94,-2.55,4.94,-2.55,2.54,2.61,3.01,7.48,7.48,7.49
35.97,4.95,-2.53,4.95,-2.53,2.54,2.61,2.99,7.49,7.49,7.48
36.33,4.95,-2.52,4.95,-2.52,2.53,2.61,2.96,7.49,7.49,7.47
36.70,4.95,-2.51,4.95,-2.51,2.53,2.62,2.94,7.48,7.48,7.46
37.06,4.93,-2.52,4.93,-2.52,2.53,2.62,2.91,7.47,7.46,7.45
37.43,4.91,-2.53,4.91,-2.53,2.54,2.62,2.88,7.45,7.45,7.44
37.81,4.88,-2.55,4.88,-2.55,2.55,2.63,2.86,7.43,7.43,7.43
38.19,4.85,-2.57,4.85,-2.57,2.56,2.63,2.83,7.42,7.42,7.42
38.57,4.83,-2.58,4.83,-2.58,2.58,2.64,2.81,7.40,7.41,7.41
38.95,4.80,-2.60,4.80,-2.60,2.60,2.64,2.78,7.39,7.39,7.40
39.34,4.77,-2.62,4.77,-2.62,2.61,2.64,2.76,7.38,7.38,7.39
39.74,4.75,-2.63,4.75,-2.63,2.63,2.65,2.74,7.38,7.38,7.38
40.14,4.73,-2.64,4.73,-2.64,2.64,2.65,2.71,7.37,7.37,7.37
40.54,4.71,-2.64,4.71,-2.64,2.65,2.65,2.70,7.36,7.36,7.36
40.94,4.69,-2.65,4.69,-2.65,2.65,2.66,2.68,7.35,7.35,7.34
41.35,4.67,-2.66,4.67,-2.66,2.66,2.66,2.66,7.33,7.33,7.33
41.76,4.65,-2.66,4.65,-2.66,2.66,2.67,2.65,7.30,7.31,7.31
42.18,4.63,-2.67,4.63,-2.67,2.66,2.67,2.63,7.29,7.29,7.30
42.60,4.62,-2.66,4.62,-2.66,2.65,2.68,2.62,7.27,7.27,7.28
43.03,4.62,-2.65,4.62,-2.65,2.64,2.68,2.62,7.26,7.26,7.27
43.46,4.62,-2.64,4.62,-2.64,2.64,2.69,2.61,7.26,7.26,7.26
43.90,4.62,-2.62,4.62,-2.62,2.63,2.69,2.60,7.25,7.25,7.24
44.33,4.61,-2.61,4.61,-2.61,2.63,2.70,2.60,7.24,7.24,7.23
44.78,4.60,-2.61,4.60,-2.61,2.62,2.70,2.60,7.22,7.22,7.21
45.23,4.58,-2.62,4.58,-2.62,2.62,2.71,2.60,7.21,7.21,7.20
45.68,4.56,-2.63,4.56,-2.63,2.63,2.71,2.60,7.19,7.19,7.19
46.13,4.53,-2.64,4.53,-2.64,2.64,2.72,2.61,7.17,7.17,7.17
46.60,4.50,-2.66,4.50,-2.66,2.65,2.72,2.62,7.15,7.15,7.15
47.06,4.47,-2.67,4.47,-2.67,2.67,2.73,2.63,7.14,7.14,7.14
47.53,4.44,-2.68,4.44,-2.68,2.68,2.73,2.64,7.12,7.12,7.12
48.01,4.41,-2.69,4.41,-2.69,2.69,2.74,2.65,7.10,7.10,7.10
48.49,4.38,-2.71,4.38,-2.71,2.70,2.74,2.66,7.08,7.08,7.09
48.97,4.35,-2.72,4.35,-2.72,2.71,2.75,2.68,7.06,7.06,7.07
49.46,4.33,-2.73,4.33,-2.73,2.72,2.75,2.70,7.05,7.05,7.06
49.96,4.31,-2.73,4.31,-2.73,2.72,2.76,2.72,7.04,7.04,7.04
