frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.89,3.54,11.89,3.54,-3.57,-3.64,-1.59,8.32,8.32,8.35
20.20,11.89,3.60,11.89,3.61,-3.62,-3.66,-1.64,8.28,8.28,8.29
20.40,11.89,3.66,11.89,3.67,-3.66,-3.68,-1.69,8.23,8.23,8.23
20.61,11.88,3.72,11.88,3.72,-3.70,-3.69,-1.74,8.19,8.19,8.16
20.81,11.87,3.76,11.87,3.76,-3.73,-3.70,-1.79,8.14,8.14,8.11
21.02,11.85,3.78,11.85,3.78,-3.75,-3.70,-1.84,8.09,8.09,8.06
21.23,11.82,3.80,11.82,3.79,-3.77,-3.70,-1.89,8.05,8.05,8.03
21.44,11.80,3.79,11.80,3.79,-3.79,-3.70,-1.95,8.01,8.01,8.00
21.66,11.77,3.78,11.77,3.79,-3.79,-3.69,-2.01,7.98,7.98,7.98
21.87,11.74,3.78,11.75,3.78,-3.79,-3.69,-2.07,7.96,7.96,7.97
22.09,11.72,3.77,11.72,3.77,-3.78,-3.68,-2.13,7.94,7.94,7.95
22.31,11.70,3.77,11.70,3.77,-3.78,-3.68,-2.19,7.92,7.92,7.94
22.54,11.68,3.77,11.68,3.77,-3.78,-3.67,-2.25,7.90,7.90,7.91
22.76,11.67,3.78,11.67,3.78,-3.78,-3.67,-2.32,7.89,7.89,7.89
22.99,11.65,3.79,11.65,3.79,-3.78,-3.66,-2.39,7.87,7.87,7.86
23.22,11.63,3.79,11.63,3.79,-3.78,-3.66,-2.46,7.85,7.85,7.84
23.45,11.61,3.78,11.61,3.78,-3.77,-3.66,-2.53,7.84,7.84,7.83
23.69,11.59,3.77,11.59,3.77,-3.76,-3.65,-2.60,7.83,7.83,7.82
23.92,11.57,3.75,11.57,3.75,-3.75,-3.65,-2.67,7.82,7.82,7.81
24.16,11.54,3.73,11.54,3.73,-3.73,-3.65,-2.74,7.81,7.81,7.81
24.40,11.51,3.70,11.51,3.70,-3.71,-3.65,-2.82,7.81,7.81,7.81
24.65,11.49,3.68,11.49,3.68,-3.68,-3.64,-2.90,7.81,7.81,7.81
24.89,11.46,3.65,11.46,3.65,-3.65,-3.64,-2.97,7.80,7.80,7.80
25.14,11.43,3.63,11.42,3.63,-3.63,-3.64,-3.05,7.80,7.80,7.79
25.39,11.39,3.61,11.39,3.61,-3.61,-3.63,-3.13,7.79,7.79,7.79
25.65,11.37,3.59,11.37,3.59,-3.59,-3.63,-3.21,7.77,7.77,7.78
25.91,11.34,3.58,11.34,3.58,-3.59,-3.63,-3.29,7.75,7.75,7.76
26.16,11.32,3.57,11.32,3.57,-3.59,-3.62,-3.36,7.73,7.73,7.75
26.43,11.30,3.57,11.30,3.57,-3.60,-3.62,-3.44,7.71,7.71,7.73
26.69,11.29,3.59,11.29,3.59,-3.61,-3.62,-3.52,7.68,7.68,7.70
26.96,11.27,3.61,11.27,3.61,-3.62,-3.61,-3.60,7.66,7.66,7.66
27.23,11.25,3.63,11.25,3.63,-3.62,-3.61,-3.67,7.63,7.63,7.62
27.50,11.21,3.64,11.21,3.64,-3.61,-3.60,-3.74,7.60,7.60,7.57
27.77,11.16,3.63,11.16,3.63,-3.59,-3.60,-3.81,7.57,7.57,7.53
28.05,11.10,3.60,11.10,3.60,-3.56,-3.59,-3.88,7.54,7.54,7.50
28.33,11.03,3.54,11.03,3.54,-3.52,-3.59,-3.94,7.51,7.51,7.49
28.62,10.96,3.47,10.96,3.47,-3.48,-3.58,-4.00,7.48,7.48,7.48
28.90,10.90,3.41,10.90,3.41,-3.44,-3.58,-4.05,7.46,7.46,7.49
29.19,10.86,3.37,10.86,3.37,-3.41,-3.57,-4.11,7.46,7.46,7.50
29.48,10.84,3.34,10.85,3.35,-3.39,-3.56,-4.15,7.45,7.46,7.50
29.78,10.85,3.36,10.84,3.35,-3.38,-3.56,-4.19,7.47,7.47,7.49
30.08,10.85,3.38,10.85,3.38,-3.39,-3.55,-4.23,7.47,7.47,7.47
30.38,10.86,3.41,10.86,3.41,-3.40,-3.54,-4.26,7.46,7.46,7.45
30.68,10.86,3.45,10.86,3.44,-3.43,-3.54,-4.28,7.43,7.43,7.41
30.99,10.84,3.47,10.84,3.47,-3.46,-3.53,-4.30,7.39,7.39,7.37
31.30,10.82,3.49,10.82,3.49,-3.48,-3.52,-4.31,7.34,7.34,7.33
31.61,10.80,3.50,10.80,3.50,-3.50,-3.51,-4.32,7.30,7.30,7.30
31.93,10.78,3.51,10.78,3.51,-3.51,-3.51,-4.32,7.27,7.27,7.27
32.24,10.78,3.52,10.78,3.52,-3.51,-3.50,-4.31,7.26,7.27,7.26
32.57,10.78,3.52,10.78,3.51,-3.51,-3.49,-4.30,7.27,7.27,7.26
32.89,10.79,3.51,10.78,3.51,-3.50,-3.48,-4.28,7.29,7.29,7.28
33.22,10.78,3.49,10.78,3.49,-3.48,-3.47,-4.26,7.30,7.30,7.30
33.55,10.78,3.47,10.78,3.46,-3.46,-3.46,-4.23,7.31,7.31,7.31
33.89,10.76,3.44,10.76,3.44,-3.45,-3.45,-4.19,7.31,7.31,7.32
34.23,10.74,3.41,10.74,3.41,-3.43,-3.44,-4.16,7.31,7.31,7.32
34.57,10.71,3.39,10.71,3.40,-3.41,-3.43,-4.12,7.30,7.31,7.32
34.92,10.69,3.38,10.69,3.38,-3.39,-3.42,-4.07,7.30,7.30,7.31
35.27,10.66,3.37,10.66,3.37,-3.37,-3.41,-4.03,7.29,7.29,7.29
35.62,10.64,3.37,10.64,3.36,-3.35,-3.40,-3.98,7.28,7.28,7.27
35.97,10.60,3.35,10.60,3.35,-3.34,-3.39,-3.92,7.27,7.27,7.25
36.33,10.57,3.33,10.57,3.33,-3.32,-3.38,-3.87,7.25,7.25,7.24
