frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.81,-6.07,3.81,-6.07,6.01,-0.01,1.46,9.82,9.82,9.88
20.20,3.88,-5.94,3.88,-5.94,5.90,-0.01,1.50,9.78,9.78,9.82
20.40,3.95,-5.81,3.95,-5.81,5.79,-0.01,1.55,9.74,9.74,9.76
20.61,4.02,-5.68,4.02,-5.68,5.68,-0.01,1.59,9.70,9.70,9.69
20.81,4.08,-5.56,4.08,-5.56,5.58,-0.01,1.64,9.66,9.66,9.64
21.02,4.14,-5.45,4.14,-5.45,5.48,-0.01,1.69,9.63,9.63,9.59
21.23,4.20,-5.35,4.20,-5.35,5.39,-0.01,1.74,9.59,9.59,9.56
21.44,4.26,-5.27,4.26,-5.27,5.29,-0.01,1.80,9.55,9.55,9.53
21.66,4.31,-5.20,4.31,-5.20,5.21,-0.01,1.85,9.52,9.52,9.51
21.87,4.36,-5.14,4.36,-5.14,5.13,-0.01,1.91,9.49,9.49,9.50
22.09,4.42,-5.06,4.42,-5.06,5.04,-0.01,1.96,9.46,9.46,9.48
22.31,4.48,-4.98,4.48,-4.98,4.96,-0.01,2.02,9.44,9.44,9.47
22.54,4.55,-4.89,4.55,-4.89,4.87,-0.01,2.08,9.42,9.42,9.44
22.76,4.63,-4.79,4.63,-4.78,4.77,-0.01,2.14,9.40,9.41,9.42
22.99,4.72,-4.67,4.72,-4.67,4.67,-0.01,2.21,9.39,9.39,9.39
23.22,4.81,-4.56,4.81,-4.56,4.57,-0.01,2.27,9.38,9.38,9.37
23.45,4.90,-4.46,4.90,-4.46,4.47,-0.01,2.34,9.38,9.38,9.36
23.69,4.99,-4.36,4.98,-4.36,4.38,-0.01,2.40,9.37,9.37,9.35
23.92,5.06,-4.28,5.06,-4.28,4.30,-0.01,2.47,9.36,9.36,9.34
24.16,5.13,-4.21,5.13,-4.21,4.22,-0.01,2.54,9.35,9.35,9.34
24.40,5.19,-4.15,5.19,-4.15,4.15,-0.01,2.61,9.34,9.34,9.34
24.65,5.24,-4.09,5.25,-4.09,4.08,-0.01,2.69,9.33,9.33,9.34
24.89,5.30,-4.03,5.30,-4.03,4.02,-0.01,2.76,9.32,9.32,9.33
25.14,5.36,-3.97,5.36,-3.97,3.96,-0.01,2.83,9.32,9.32,9.32
25.39,5.41,-3.90,5.41,-3.90,3.91,-0.01,2.90,9.32,9.32,9.32
25.65,5.46,-3.85,5.46,-3.85,3.86,-0.01,2.98,9.32,9.32,9.31
25.91,5.50,-3.79,5.50,-3.79,3.81,-0.01,3.05,9.31,9.31,9.29
26.16,5.54,-3.75,5.53,-3.75,3.75,-0.01,3.12,9.29,9.28,9.28
26.43,5.56,-3.70,5.56,-3.70,3.69,-0.01,3.19,9.25,9.25,9.26
26.69,5.58,-3.65,5.58,-3.65,3.62,-0.01,3.26,9.20,9.20,9.23
26.96,5.61,-3.58,5.61,-3.58,3.54,-0.01,3.33,9.15,9.15,9.19
27.23,5.65,-3.50,5.65,-3.49,3.46,-0.01,3.40,9.11,9.12,9.15
27.50,5.70,-3.40,5.70,-3.40,3.39,-0.01,3.46,9.09,9.10,9.10
27.77,5.76,-3.30,5.76,-3.30,3.33,-0.01,3.52,9.09,9.09,9.06
28.05,5.81,-3.22,5.81,-3.23,3.28,-0.01,3.58,9.09,9.09,9.03
28.33,5.84,-3.18,5.83,-3.18,3.25,-0.01,3.64,9.08,9.08,9.02
28.62,5.85,-3.17,5.84,-3.17,3.23,-0.01,3.69,9.07,9.07,9.01
28.90,5.83,-3.19,5.83,-3.19,3.21,-0.01,3.73,9.04,9.04,9.02
29.19,5.81,-3.21,5.81,-3.22,3.19,-0.01,3.78,9.00,9.00,9.03
29.48,5.79,-3.24,5.80,-3.23,3.17,-0.01,3.81,8.96,8.97,9.03
29.78,5.82,-3.20,5.82,-3.20,3.12,-0.01,3.84,8.94,8.94,9.02
30.08,5.87,-3.14,5.87,-3.13,3.06,-0.01,3.86,8.93,8.93,9.00
30.38,5.96,-3.02,5.96,-3.01,2.98,-0.01,3.88,8.94,8.94,8.98
30.68,6.07,-2.88,6.06,-2.88,2.89,-0.02,3.89,8.95,8.95,8.94
30.99,6.16,-2.74,6.15,-2.75,2.79,-0.02,3.90,8.95,8.95,8.90
31.30,6.22,-2.64,6.22,-2.64,2.71,-0.02,3.89,8.93,8.92,8.86
31.61,6.26,-2.57,6.25,-2.57,2.63,-0.02,3.89,8.89,8.88,8.83
31.93,6.26,-2.54,6.26,-2.54,2.57,-0.02,3.87,8.84,8.84,8.80
32.24,6.26,-2.53,6.26,-2.53,2.54,-0.02,3.85,8.80,8.80,8.79
32.57,6.26,-2.53,6.27,-2.53,2.51,-0.02,3.82,8.78,8.78,8.79
32.89,6.28,-2.53,6.28,-2.53,2.50,-0.02,3.78,8.78,8.78,8.81
33.22,6.31,-2.51,6.31,-2.51,2.49,-0.02,3.74,8.80,8.80,8.83
33.55,6.35,-2.49,6.35,-2.49,2.47,-0.02,3.70,8.83,8.83,8.84
33.89,6.40,-2.45,6.40,-2.45,2.45,-0.02,3.64,8.85,8.84,8.85
34.23,6.44,-2.41,6.44,-2.41,2.41,-0.02,3.59,8.85,8.85,8.85
34.57,6.48,-2.37,6.48,-2.37,2.37,-0.02,3.52,8.85,8.85,8.85
34.92,6.51,-2.32,6.52,-2.32,2.32,-0.02,3.46,8.84,8.84,8.84
35.27,6.55,-2.27,6.55,-2.27,2.27,-0.02,3.39,8.82,8.82,8.82
35.62,6.59,-2.21,6.59,-2.21,2.21,-0.02,3.31,8.81,8.81,8.80
35.97,6.63,-2.15,6.63,-2.15,2.16,-0.02,3.24,8.79,8.79,8.78
36.33,6.68,-2.10,6.68,-2.10,2.09,-0.02,3.16,8.77,8.77,8.77
36.70,6.72,-2.04,6.72,-2.04,2.03,-0.02,3.08,8.75,8.75,8.76
37.06,6.77,-1.98,6.77,-1.98,1.97,-0.02,3.00,8.74,8.73,8.75
37.43,6.81,-1.91,6.81,-1.90,1.91,-0.02,2.92,8.72,8.71,8.72
37.81,6.84,-1.83,6.84,-1.83,1.85,-0.02,2.83,8.69,8.69,8.67
38.19,6.87,-1.76,6.86,-1.77,1.79,-0.03,2.75,8.66,8.65,8.62
38.57,6.88,-1.71,6.88,-1.72,1.73,-0.03,2.66,8.61,8.61,8.59
38.95,6.88,-1.68,6.88,-1.68,1.67,-0.03,2.58,8.55,8.55,8.56
39.34,6.88,-1.64,6.88,-1.64,1.61,-0.03,2.49,8.50,8.50,8.53
39.74,6.88,-1.59,6.88,-1.58,1.56,-0.03,2.41,8.44,8.44,8.47
40.14,6.89,-1.51,6.89,-1.51,1.51,-0.03,2.32,8.39,8.39,8.40
40.54,6.89,-1.42,6.89,-1.43,1.45,-0.03,2.24,8.34,8.34,8.31
40.94,6.89,-1.37,6.89,-1.37,1.39,-0.03,2.16,8.28,8.28,8.26
41.35,6.90,-1.32,6.90,-1.33,1.33,-0.03,2.08,8.23,8.23,8.23
41.76,6.92,-1.30,6.92,-1.29,1.27,-0.03,1.99,8.18,8.19,8.22
42.18,6.94,-1.24,6.94,-1.23,1.21,-0.03,1.91,8.15,8.15,8.17
42.60,6.95,-1.17,6.95,-1.16,1.17,-0.03,1.84,8.12,8.12,8.12
43.03,6.97,-1.08,6.97,-1.10,1.12,-0.03,1.76,8.09,8.09,8.05
43.46,6.98,-1.05,6.98,-1.06,1.09,-0.03,1.68,8.07,8.07,8.03
43.90,6.99,-1.04,6.99,-1.04,1.05,-0.04,1.61,8.04,8.04,8.03
44.33,7.00,-1.05,7.00,-1.04,1.02,-0.04,1.53,8.02,8.02,8.05
44.78,7.00,-1.02,7.00,-1.01,0.99,-0.04,1.46,8.00,7.99,8.02
45.23,7.00,-0.97,7.00,-0.98,0.97,-0.04,1.39,7.97,7.97,7.98
45.68,7.01,-0.93,7.01,-0.94,0.94,-0.04,1.32,7.94,7.94,7.93
46.13,7.01,-0.90,7.01,-0.91,0.90,-0.04,1.25,7.91,7.91,7.91
46.60,7.00,-0.90,7.00,-0.89,0.87,-0.04,1.18,7.87,7.87,7.90
47.06,7.00,-0.87,7.00,-0.85,0.84,-0.04,1.11,7.85,7.85,7.87
47.53,7.00,-0.80,7.00,-0.80,0.83,-0.04,1.05,7.82,7.82,7.80
