frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.65,1.26,11.68,1.28,-1.27,-0.81,-0.98,10.39,10.42,10.40
20.20,11.51,1.17,11.49,1.15,-1.11,-0.83,-1.01,10.40,10.38,10.34
20.40,11.34,1.06,11.30,1.03,-0.98,-0.85,-1.03,10.36,10.33,10.28
20.61,11.13,0.92,11.13,0.92,-0.88,-0.87,-1.06,10.25,10.25,10.21
20.81,10.93,0.77,10.93,0.77,-0.81,-0.90,-1.09,10.12,10.12,10.16
21.02,10.78,0.67,10.78,0.67,-0.78,-0.92,-1.12,10.01,10.00,10.11
21.23,10.69,0.61,10.71,0.63,-0.77,-0.95,-1.15,9.92,9.94,10.07
21.44,10.72,0.67,10.73,0.68,-0.79,-0.98,-1.19,9.93,9.94,10.05
21.66,10.85,0.82,10.84,0.81,-0.88,-1.01,-1.22,9.97,9.96,10.03
21.87,11.00,0.98,11.00,0.99,-1.01,-1.03,-1.25,9.99,10.00,10.02
22.09,11.18,1.18,11.18,1.18,-1.14,-1.06,-1.29,10.04,10.04,10.00
22.31,11.34,1.36,11.34,1.35,-1.28,-1.09,-1.32,10.07,10.06,9.98
22.54,11.46,1.49,11.45,1.49,-1.39,-1.13,-1.36,10.07,10.07,9.96
22.76,11.51,1.57,11.50,1.56,-1.46,-1.16,-1.40,10.05,10.04,9.94
22.99,11.49,1.58,11.48,1.57,-1.49,-1.19,-1.43,10.00,9.99,9.91
23.22,11.42,1.53,11.42,1.53,-1.50,-1.23,-1.47,9.92,9.92,9.89
23.45,11.33,1.46,11.34,1.46,-1.48,-1.26,-1.51,9.85,9.85,9.88
23.69,11.26,1.39,11.26,1.39,-1.46,-1.30,-1.55,9.79,9.80,9.87
23.92,11.22,1.35,11.22,1.36,-1.46,-1.34,-1.60,9.76,9.77,9.86
24.16,11.23,1.37,11.24,1.38,-1.46,-1.38,-1.64,9.77,9.78,9.86
24.40,11.29,1.43,11.30,1.44,-1.48,-1.42,-1.68,9.81,9.81,9.86
24.65,11.38,1.53,11.38,1.52,-1.52,-1.46,-1.73,9.86,9.86,9.86
24.89,11.47,1.62,11.46,1.61,-1.56,-1.51,-1.77,9.91,9.90,9.85
25.14,11.52,1.68,11.52,1.68,-1.60,-1.55,-1.82,9.93,9.92,9.84
25.39,11.56,1.72,11.54,1.71,-1.63,-1.60,-1.86,9.93,9.91,9.83
25.65,11.53,1.70,11.53,1.70,-1.66,-1.64,-1.91,9.87,9.87,9.82
25.91,11.49,1.68,11.49,1.67,-1.68,-1.69,-1.96,9.81,9.81,9.81
26.16,11.44,1.64,11.45,1.65,-1.71,-1.74,-2.00,9.73,9.74,9.80
26.43,11.43,1.66,11.44,1.67,-1.75,-1.79,-2.05,9.68,9.69,9.78
26.69,11.47,1.72,11.47,1.73,-1.81,-1.84,-2.10,9.66,9.66,9.75
26.96,11.53,1.82,11.54,1.83,-1.88,-1.90,-2.15,9.65,9.66,9.71
27.23,11.63,1.96,11.63,1.96,-1.96,-1.95,-2.19,9.67,9.67,9.66
27.50,11.71,2.10,11.71,2.09,-2.03,-2.00,-2.24,9.68,9.68,9.62
27.77,11.77,2.19,11.77,2.19,-2.10,-2.06,-2.29,9.67,9.67,9.58
28.05,11.80,2.25,11.79,2.24,-2.14,-2.12,-2.33,9.65,9.64,9.55
28.33,11.77,2.24,11.77,2.24,-2.18,-2.18,-2.38,9.60,9.60,9.54
28.62,11.75,2.21,11.75,2.21,-2.20,-2.23,-2.42,9.55,9.55,9.53
28.90,11.71,2.17,11.72,2.18,-2.21,-2.29,-2.46,9.50,9.50,9.54
29.19,11.72,2.18,11.72,2.17,-2.25,-2.35,-2.50,9.47,9.47,9.54
29.48,11.75,2.20,11.76,2.21,-2.30,-2.41,-2.54,9.44,9.46,9.55
29.78,11.85,2.31,11.85,2.31,-2.39,-2.47,-2.58,9.46,9.46,9.54
30.08,11.97,2.45,11.98,2.46,-2.51,-2.53,-2.62,9.46,9.47,9.52
30.38,12.13,2.63,12.13,2.64,-2.65,-2.59,-2.66,9.48,9.48,9.50
30.68,12.28,2.82,12.28,2.82,-2.80,-2.65,-2.69,9.49,9.48,9.46
30.99,12.41,2.99,12.41,2.99,-2.94,-2.71,-2.72,9.47,9.47,9.42
31.30,12.50,3.12,12.50,3.12,-3.05,-2.76,-2.75,9.45,9.45,9.38
31.61,12.54,3.20,12.54,3.20,-3.12,-2.82,-2.78,9.42,9.42,9.34
31.93,12.55,3.23,12.54,3.22,-3.16,-2.87,-2.81,9.39,9.38,9.32
32.24,12.51,3.20,12.51,3.20,-3.16,-2.93,-2.84,9.35,9.35,9.31
32.57,12.45,3.14,12.45,3.13,-3.13,-2.98,-2.86,9.32,9.32,9.31
32.89,12.38,3.05,12.38,3.05,-3.08,-3.03,-2.88,9.30,9.31,9.33
33.22,12.32,2.98,12.32,2.98,-3.02,-3.07,-2.90,9.30,9.30,9.34
33.55,12.27,2.91,12.28,2.92,-2.97,-3.12,-2.93,9.30,9.31,9.36
33.89,12.26,2.89,12.26,2.89,-2.93,-3.16,-2.95,9.33,9.33,9.37
34.23,12.26,2.89,12.26,2.88,-2.91,-3.20,-2.97,9.35,9.35,9.37
34.57,12.27,2.90,12.27,2.90,-2.90,-3.24,-2.99,9.37,9.37,9.37
34.92,12.28,2.93,12.28,2.93,-2.91,-3.28,-3.00,9.38,9.38,9.36
35.27,12.29,2.96,12.29,2.95,-2.93,-3.31,-3.02,9.37,9.37,9.34
35.62,12.30,2.98,12.30,2.98,-2.96,-3.34,-3.04,9.34,9.34,9.32
35.97,12.30,3.00,12.31,3.00,-3.00,-3.38,-3.06,9.30,9.30,9.30
36.33,12.32,3.03,12.32,3.03,-3.06,-3.40,-3.08,9.26,9.27,9.29
36.70,12.36,3.07,12.36,3.08,-3.12,-3.43,-3.10,9.24,9.24,9.28
37.06,12.41,3.14,12.41,3.15,-3.18,-3.46,-3.12,9.23,9.23,9.27
37.43,12.48,3.24,12.48,3.25,-3.25,-3.48,-3.15,9.23,9.23,9.24
37.81,12.53,3.34,12.54,3.34,-3.30,-3.51,-3.17,9.23,9.23,9.19
38.19,12.58,3.44,12.57,3.42,-3.36,-3.53,-3.20,9.22,9.21,9.14
38.57,12.58,3.47,12.58,3.47,-3.42,-3.55,-3.22,9.16,9.16,9.11
38.95,12.56,3.48,12.56,3.48,-3.47,-3.57,-3.25,9.09,9.09,9.08
39.34,12.53,3.48,12.53,3.49,-3.52,-3.59,-3.28,9.00,9.01,9.05
39.74,12.50,3.51,12.51,3.52,-3.57,-3.62,-3.32,8.93,8.94,8.99
40.14,12.50,3.58,12.50,3.59,-3.62,-3.64,-3.35,8.88,8.88,8.92
40.54,12.51,3.68,12.51,3.67,-3.67,-3.66,-3.39,8.84,8.84,8.83
40.94,12.53,3.76,12.53,3.75,-3.74,-3.68,-3.43,8.80,8.80,8.78
41.35,12.56,3.81,12.56,3.81,-3.81,-3.71,-3.47,8.75,8.75,8.75
41.76,12.59,3.86,12.59,3.87,-3.89,-3.73,-3.52,8.70,8.70,8.74
42.18,12.63,3.94,12.63,3.95,-3.96,-3.76,-3.57,8.67,8.67,8.69
42.60,12.67,4.03,12.67,4.04,-4.01,-3.79,-3.62,8.65,8.65,8.64
43.03,12.70,4.13,12.70,4.12,-4.06,-3.81,-3.67,8.64,8.64,8.57
43.46,12.71,4.17,12.71,4.15,-4.10,-3.84,-3.73,8.61,8.61,8.55
43.90,12.71,4.16,12.70,4.15,-4.13,-3.87,-3.79,8.57,8.57,8.55
44.33,12.69,4.12,12.69,4.14,-4.17,-3.90,-3.85,8.52,8.52,8.57
44.78,12.68,4.14,12.69,4.15,-4.21,-3.94,-3.92,8.47,8.48,8.54
45.23,12.70,4.20,12.70,4.21,-4.26,-3.97,-3.99,8.44,8.45,8.50
45.68,12.74,4.29,12.74,4.28,-4.31,-4.01,-4.06,8.43,8.43,8.45
46.13,12.79,4.37,12.79,4.36,-4.38,-4.05,-4.13,8.42,8.42,8.43
46.60,12.85,4.42,12.85,4.43,-4.44,-4.09,-4.21,8.41,8.41,8.42
47.06,12.89,4.50,12.89,4.51,-4.49,-4.13,-4.29,8.39,8.39,8.39
47.53,12.91,4.59,12.91,4.59,-4.53,-4.18,-4.37,8.38,8.38,8.32
48.01,12.91,4.65,12.91,4.64,-4.55,-4.22,-4.46,8.36,8.36,8.26
48.49,12.89,4.65,12.89,4.62,-4.55,-4.27,-4.54,8.34,8.33,8.24
48.97,12.85,4.56,12.85,4.56,-4.55,-4.32,-4.63,8.30,8.30,8.29
49.46,12.81,4.47,12.81,4.49,-4.54,-4.38,-4.72,8.27,8.27,8.34
49.96,12.77,4.45,12.77,4.46,-4.54,-4.43,-4.82,8.23,8.23,8.32
50.46,12.74,4.50,12.74,4.49,-4.55,-4.49,-4.91,8.19,8.19,8.24
50.96,12.73,4.56,12.73,4.55,-4.59,-4.55,-5.01,8.14,8.14,8.16
51.47,12.73,4.63,12.73,4.64,-4.64,-4.61,-5.10,8.09,8.09,8.10
51.99,12.75,4.72,12.75,4.73,-4.73,-4.67,-5.20,8.03,8.03,8.03
52.51,12.80,4.84,12.80,4.84,-4.83,-4.74,-5.29,7.96,7.96,7.96
53.03,12.85,4.97,12.86,4.95,-4.95,-4.81,-5.39,7.90,7.90,7.89
53.56,12.92,5.06,12.92,5.06,-5.07,-4.88,-5.48,7.85,7.85,7.86
54.10,12.98,5.16,12.98,5.17,-5.17,-4.95,-5.58,7.82,7.82,7.83
54.64,13.04,5.26,13.04,5.27,-5.25,-5.03,-5.67,7.79,7.79,7.78
55.18,13.09,5.38,13.08,5.37,-5.31,-5.10,-5.76,7.78,7.77,7.71
55.74,13.11,5.44,13.11,5.42,-5.37,-5.18,-5.84,7.75,7.75,7.67
56.29,13.12,5.45,13.12,5.44,-5.41,-5.25,-5.92,7.71,7.71,7.67
56.86,13.12,5.40,13.11,5.41,-5.44,-5.33,-5.99,7.67,7.67,7.72
57.42,13.10,5.40,13.10,5.41,-5.47,-5.41,-6.06,7.63,7.63,7.70
58.00,13.09,5.42,13.09,5.45,-5.50,-5.48,-6.12,7.59,7.59,7.66
58.58,13.08,5.53,13.08,5.51,-5.53,-5.55,-6.17,7.55,7.55,7.55
59.16,13.08,5.60,13.08,5.57,-5.56,-5.62,-6.22,7.52,7.52,7.48
59.76,13.08,5.60,13.08,5.61,-5.60,-5.69,-6.26,7.48,7.48,7.48
60.35,13.08,5.63,13.08,5.66,-5.65,-5.75,-6.28,7.44,7.44,7.45
60.96,13.08,5.71,13.08,5.71,-5.70,-5.81,-6.30,7.38,7.38,7.37
61.57,13.06,5.79,13.06,5.75,-5.74,-5.86,-6.31,7.32,7.32,7.28
62.18,13.05,5.76,13.05,5.77,-5.77,-5.91,-6.31,7.27,7.27,7.28
62.80,13.03,5.75,13.03,5.79,-5.80,-5.95,-6.29,7.23,7.23,7.28
63.43,13.01,5.81,13.01,5.82,-5.82,-5.98,-6.27,7.19,7.19,7.20
64.07,13.00,5.90,13.00,5.86,-5.84,-6.00,-6.24,7.16,7.16,7.10
64.71,12.99,5.87,12.99,5.87,-5.85,-6.01,-6.19,7.14,7.14,7.11
65.35,12.97,5.85,12.97,5.87,-5.86,-6.02,-6.14,7.12,7.12,7.12
66.01,12.96,5.85,12.96,5.85,-5.87,-6.01,-6.07,7.09,7.09,7.11
66.67,12.93,5.87,12.93,5.87,-5.88,-5.99,-6.00,7.05,7.05,7.07
67.33,12.90,5.88,12.91,5.87,-5.90,-5.96,-5.92,7.01,7.01,7.02
68.01,12.87,5.89,12.87,5.88,-5.91,-5.92,-5.83,6.96,6.96,6.98
68.69,12.82,5.87,12.82,5.90,-5.92,-5.87,-5.73,6.90,6.90,6.95
69.37,12.75,5.92,12.75,5.94,-5.92,-5.81,-5.63,6.83,6.83,6.84
70.07,12.68,6.01,12.68,5.96,-5.92,-5.74,-5.53,6.76,6.75,6.67
70.77,12.59,5.97,12.59,5.93,-5.90,-5.66,-5.41,6.69,6.69,6.62
71.48,12.49,5.84,12.49,5.88,-5.86,-5.57,-5.30,6.63,6.63,6.65
72.19,12.39,5.75,12.39,5.81,-5.80,-5.48,-5.18,6.59,6.59,6.65
72.91,12.29,5.81,12.29,5.73,-5.73,-5.38,-5.05,6.57,6.57,6.48
73.64,12.19,5.65,12.19,5.64,-5.63,-5.27,-4.93,6.55,6.55,6.54
74.38,12.07,5.49,12.07,5.52,-5.53,-5.15,-4.80,6.55,6.55,6.59
75.12,11.95,5.37,11.95,5.39,-5.42,-5.03,-4.67,6.54,6.53,6.58
75.87,11.82,5.31,11.82,5.28,-5.30,-4.91,-4.54,6.51,6.52,6.51
76.63,11.67,5.19,11.67,5.17,-5.18,-4.78,-4.41,6.49,6.49,6.48
77.40,11.52,5.02,11.52,5.07,-5.06,-4.65,-4.28,6.46,6.46,6.49
78.17,11.34,4.95,11.35,4.95,-4.93,-4.52,-4.15,6.41,6.42,6.40
78.95,11.16,4.86,11.16,4.81,-4.80,-4.39,-4.02,6.37,6.36,6.31
79.74,10.97,4.66,10.97,4.66,-4.66,-4.25,-3.90,6.31,6.31,6.31
80.54,10.76,4.48,10.76,4.50,-4.51,-4.12,-3.77,6.25,6.25,6.28
81.35,10.54,4.32,10.54,4.35,-4.34,-3.99,-3.64,6.20,6.20,6.23
82.16,10.33,4.23,10.33,4.19,-4.17,-3.86,-3.52,6.15,6.15,6.09
82.98,10.11,4.04,10.11,4.02,-4.00,-3.73,-3.40,6.11,6.11,6.06
83.81,9.88,3.78,9.88,3.83,-3.82,-3.60,-3.28,6.06,6.06,6.10
84.65,9.66,3.64,9.66,3.62,-3.65,-3.47,-3.16,6.02,6.02,6.02
85.50,9.45,3.45,9.45,3.43,-3.47,-3.34,-3.04,5.98,5.98,6.00
86.35,9.24,3.24,9.24,3.28,-3.30,-3.22,-2.92,5.94,5.94,6.00
87.22,9.03,3.15,9.03,3.13,-3.12,-3.10,-2.81,5.90,5.90,5.88
88.09,8.82,3.00,8.82,3.00,-2.95,-2.98,-2.70,5.86,5.86,5.82
88.97,8.61,2.83,8.61,2.83,-2.80,-2.86,-2.59,5.81,5.81,5.78
89.86,8.40,2.67,8.40,2.62,-2.65,-2.74,-2.48,5.75,5.75,5.74
90.76,8.20,2.41,8.20,2.49,-2.50,-2.63,-2.38,5.70,5.70,5.78
91.66,8.00,2.32,8.00,2.35,-2.34,-2.52,-2.27,5.66,5.66,5.68
92.58,7.80,2.36,7.80,2.22,-2.19,-2.42,-2.17,5.61,5.61,5.45
93.51,7.61,2.05,7.61,2.12,-2.08,-2.31,-2.07,5.53,5.53,5.56
94.44,7.42,1.96,7.42,2.02,-2.01,-2.21,-1.97,5.41,5.41,5.46
95.39,7.24,1.93,7.24,1.81,-1.97,-2.11,-1.88,5.27,5.27,5.30
96.34,7.06,1.80,7.06,1.73,-1.93,-2.01,-1.78,5.13,5.13,5.26
97.30,6.90,1.48,6.90,1.79,-1.88,-1.92,-1.69,5.02,5.02,5.43
98.28,6.75,1.97,6.75,1.94,-1.83,-1.82,-1.60,4.92,4.92,4.79
99.26,6.61,2.25,6.61,1.99,-1.77,-1.73,-1.51,4.84,4.84,4.36
100.25,6.48,1.96,6.47,1.91,-1.68,-1.65,-1.43,4.79,4.79,4.51
101.25,6.34,1.43,6.34,1.61,-1.57,-1.56,-1.34,4.77,4.77,4.92
102.27,6.22,1.30,6.22,1.35,-1.45,-1.48,-1.26,4.77,4.77,4.91
103.29,6.10,1.28,6.10,1.21,-1.30,-1.40,-1.18,4.80,4.80,4.82
104.32,5.99,1.17,5.99,1.11,-1.13,-1.32,-1.10,4.86,4.86,4.82
105.37,5.90,0.93,5.89,0.94,-0.98,-1.24,-1.03,4.92,4.91,4.97
106.42,5.81,0.75,5.81,0.79,-0.86,-1.17,-0.96,4.95,4.95,5.06
107.48,5.72,0.68,5.72,0.72,-0.77,-1.10,-0.88,4.95,4.95,5.04
108.56,5.64,0.75,5.64,0.71,-0.71,-1.03,-0.82,4.93,4.93,4.90
109.64,5.57,0.73,5.57,0.69,-0.66,-0.96,-0.75,4.90,4.90,4.83
110.74,5.49,0.66,5.49,0.66,-0.60,-0.90,-0.69,4.88,4.88,4.83
111.85,5.41,0.55,5.41,0.62,-0.55,-0.83,-0.63,4.86,4.86,4.87
