frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.86,-1.06,11.89,-1.04,1.28,0.03,-0.11,13.14,13.17,12.93
20.20,11.69,-1.22,11.66,-1.24,1.33,0.03,-0.11,13.02,13.00,12.91
20.40,11.52,-1.37,11.49,-1.40,1.37,0.02,-0.12,12.88,12.85,12.89
20.61,11.36,-1.51,11.37,-1.50,1.37,0.02,-0.12,12.73,12.74,12.87
20.81,11.27,-1.58,11.27,-1.58,1.36,0.02,-0.12,12.63,12.63,12.85
21.02,11.26,-1.57,11.26,-1.57,1.32,0.02,-0.13,12.59,12.59,12.83
21.23,11.33,-1.48,11.35,-1.46,1.27,0.02,-0.13,12.60,12.62,12.81
21.44,11.52,-1.28,11.53,-1.27,1.18,0.02,-0.14,12.71,12.72,12.80
21.66,11.77,-1.01,11.77,-1.02,0.99,0.02,-0.14,12.76,12.75,12.79
21.87,12.03,-0.75,12.02,-0.75,0.78,0.02,-0.14,12.81,12.80,12.77
22.09,12.24,-0.52,12.24,-0.52,0.60,0.02,-0.15,12.84,12.84,12.76
22.31,12.40,-0.34,12.39,-0.35,0.47,0.02,-0.15,12.86,12.86,12.74
22.54,12.46,-0.26,12.45,-0.26,0.40,0.02,-0.16,12.86,12.86,12.72
22.76,12.42,-0.27,12.41,-0.28,0.42,0.02,-0.16,12.84,12.83,12.69
22.99,12.28,-0.38,12.27,-0.40,0.50,0.02,-0.17,12.79,12.77,12.67
23.22,12.05,-0.59,12.05,-0.59,0.64,0.02,-0.17,12.69,12.69,12.64
23.45,11.79,-0.83,11.79,-0.83,0.80,0.02,-0.18,12.58,12.59,12.61
23.69,11.54,-1.05,11.54,-1.05,0.94,0.01,-0.18,12.49,12.49,12.59
23.92,11.35,-1.22,11.36,-1.21,1.06,0.01,-0.19,12.41,12.42,12.57
24.16,11.26,-1.29,11.27,-1.27,1.12,0.01,-0.20,12.38,12.39,12.55
24.40,11.28,-1.25,11.29,-1.24,1.12,0.01,-0.20,12.40,12.41,12.53
24.65,11.38,-1.13,11.38,-1.13,1.07,0.01,-0.21,12.46,12.46,12.51
24.89,11.53,-0.96,11.52,-0.96,0.99,0.00,-0.21,12.51,12.51,12.49
25.14,11.66,-0.80,11.66,-0.80,0.88,0.00,-0.22,12.54,12.54,12.46
25.39,11.79,-0.65,11.77,-0.67,0.77,-0.00,-0.23,12.56,12.54,12.44
25.65,11.82,-0.59,11.82,-0.59,0.69,-0.00,-0.23,12.51,12.51,12.41
25.91,11.83,-0.56,11.83,-0.56,0.63,-0.01,-0.24,12.46,12.45,12.39
26.16,11.79,-0.57,11.79,-0.57,0.59,-0.01,-0.24,12.39,12.39,12.36
26.43,11.74,-0.60,11.74,-0.60,0.58,-0.02,-0.25,12.32,12.33,12.34
