frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,14.06,0.07,14.06,0.07,-0.07,-0.39,-0.27,13.99,13.98,13.98
20.20,14.05,0.09,14.05,0.09,-0.09,-0.40,-0.28,13.96,13.96,13.97
20.40,14.05,0.11,14.05,0.11,-0.11,-0.40,-0.29,13.94,13.94,13.95
20.61,14.05,0.13,14.05,0.13,-0.13,-0.41,-0.30,13.92,13.92,13.93
20.81,14.05,0.15,14.05,0.15,-0.14,-0.42,-0.31,13.91,13.91,13.91
21.02,14.05,0.16,14.05,0.16,-0.16,-0.43,-0.31,13.89,13.89,13.89
21.23,14.05,0.18,14.05,0.18,-0.18,-0.43,-0.32,13.88,13.88,13.87
21.44,14.05,0.20,14.05,0.19,-0.19,-0.44,-0.33,13.86,13.86,13.86
21.66,14.05,0.21,14.05,0.21,-0.20,-0.45,-0.34,13.85,13.85,13.84
21.87,14.04,0.21,14.04,0.21,-0.21,-0.46,-0.35,13.83,13.83,13.83
22.09,14.04,0.22,14.04,0.22,-0.22,-0.47,-0.36,13.81,13.81,13.81
22.31,14.03,0.23,14.03,0.23,-0.24,-0.47,-0.37,13.79,13.79,13.80
22.54,14.02,0.24,14.02,0.24,-0.25,-0.48,-0.38,13.77,13.77,13.77
22.76,14.01,0.26,14.01,0.26,-0.26,-0.49,-0.39,13.75,13.75,13.75
22.99,14.00,0.27,14.00,0.28,-0.28,-0.50,-0.40,13.72,13.72,13.73
23.22,13.99,0.30,13.99,0.30,-0.30,-0.51,-0.41,13.70,13.70,13.70
23.45,13.99,0.32,13.99,0.32,-0.31,-0.52,-0.42,13.67,13.67,13.67
23.69,13.99,0.34,13.99,0.34,-0.33,-0.53,-0.43,13.65,13.65,13.65
23.92,13.98,0.35,13.98,0.35,-0.35,-0.54,-0.44,13.63,13.63,13.63
24.16,13.98,0.37,13.98,0.37,-0.37,-0.55,-0.45,13.61,13.61,13.61
24.40,13.97,0.38,13.97,0.38,-0.38,-0.56,-0.47,13.59,13.59,13.59
24.65,13.96,0.40,13.96,0.40,-0.40,-0.57,-0.48,13.57,13.57,13.57
24.89,13.95,0.41,13.95,0.41,-0.41,-0.58,-0.49,13.54,13.54,13.54
25.14,13.94,0.42,13.94,0.42,-0.42,-0.59,-0.50,13.52,13.52,13.52
25.39,13.93,0.44,13.93,0.44,-0.44,-0.60,-0.52,13.49,13.49,13.50
25.65,13.92,0.45,13.92,0.45,-0.45,-0.61,-0.53,13.47,13.47,13.47
25.91,13.91,0.47,13.91,0.47,-0.47,-0.62,-0.54,13.45,13.45,13.45
26.16,13.91,0.48,13.91,0.48,-0.48,-0.63,-0.55,13.42,13.42,13.42
26.43,13.90,0.50,13.90,0.50,-0.50,-0.64,-0.57,13.40,13.40,13.40
26.69,13.89,0.52,13.89,0.52,-0.51,-0.65,-0.58,13.38,13.38,13.38
26.96,13.88,0.53,13.88,0.53,-0.53,-0.66,-0.59,13.35,13.35,13.35
27.23,13.87,0.54,13.87,0.54,-0.54,-0.67,-0.61,13.33,13.33,13.33
27.50,13.86,0.56,13.86,0.56,-0.56,-0.68,-0.62,13.30,13.30,13.30
27.77,13.85,0.57,13.85,0.57,-0.57,-0.70,-0.63,13.27,13.27,13.27
28.05,13.83,0.59,13.83,0.59,-0.59,-0.71,-0.65,13.24,13.24,13.24
28.33,13.82,0.61,13.82,0.61,-0.61,-0.72,-0.66,13.21,13.21,13.21
28.62,13.81,0.62,13.81,0.62,-0.63,-0.73,-0.67,13.18,13.18,13.18
28.90,13.79,0.65,13.79,0.65,-0.65,-0.75,-0.68,13.15,13.15,13.15
29.19,13.78,0.67,13.78,0.67,-0.67,-0.76,-0.70,13.12,13.12,13.12
29.48,13.78,0.69,13.77,0.69,-0.68,-0.77,-0.71,13.09,13.09,13.09
29.78,13.76,0.71,13.76,0.71,-0.70,-0.78,-0.72,13.06,13.06,13.06
30.08,13.75,0.72,13.75,0.72,-0.72,-0.80,-0.73,13.03,13.03,13.03
30.38,13.74,0.74,13.74,0.74,-0.74,-0.81,-0.74,13.01,13.00,13.00
30.68,13.73,0.75,13.73,0.75,-0.75,-0.82,-0.76,12.97,12.97,12.98
30.99,13.72,0.77,13.72,0.77,-0.77,-0.84,-0.77,12.94,12.94,12.95
31.30,13.70,0.79,13.70,0.79,-0.79,-0.85,-0.78,12.91,12.91,12.92
31.61,13.69,0.81,13.69,0.81,-0.81,-0.86,-0.79,12.88,12.88,12.88
31.93,13.67,0.83,13.67,0.83,-0.83,-0.88,-0.80,12.84,12.84,12.84
