frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.80,-7.19,3.81,-7.21,6.00,5.62,2.84,9.80,9.81,10.99
20.20,3.83,-6.99,3.82,-6.97,6.00,5.92,2.92,9.83,9.82,10.82
20.40,3.84,-6.80,3.84,-6.78,6.00,6.21,3.01,9.84,9.84,10.65
20.61,3.86,-6.63,3.86,-6.64,6.00,6.46,3.09,9.86,9.86,10.49
20.81,3.88,-6.52,3.88,-6.52,6.00,6.70,3.18,9.88,9.88,10.40
21.02,3.90,-6.49,3.90,-6.49,6.00,6.80,3.27,9.90,9.90,10.39
21.23,3.93,-6.54,3.93,-6.55,6.00,6.90,3.36,9.93,9.93,10.46
21.44,3.96,-6.69,3.96,-6.70,6.00,6.84,3.46,9.96,9.96,10.65
21.66,4.01,-6.90,4.00,-6.89,6.00,6.77,3.56,10.01,10.00,10.90
21.87,4.05,-7.11,4.05,-7.10,6.00,6.62,3.66,10.05,10.05,11.16
22.09,4.09,-7.28,4.09,-7.28,6.00,6.46,3.76,10.09,10.09,11.37
22.31,4.13,-7.40,4.13,-7.39,6.00,6.29,3.87,10.13,10.13,11.53
22.54,4.16,-7.43,4.16,-7.43,6.00,6.13,3.98,10.16,10.16,11.59
22.76,4.18,-7.37,4.18,-7.36,6.00,5.99,4.10,10.18,10.18,11.55
22.99,4.20,-7.22,4.19,-7.20,6.00,5.86,4.21,10.20,10.19,11.41
23.22,4.20,-6.97,4.20,-6.97,6.00,5.77,4.33,10.20,10.20,11.18
23.45,4.21,-6.71,4.21,-6.71,6.00,5.68,4.45,10.21,10.21,10.92
23.69,4.22,-6.45,4.22,-6.45,6.00,5.62,4.57,10.22,10.22,10.67
23.92,4.24,-6.24,4.24,-6.26,6.00,5.57,4.70,10.24,10.24,10.48
24.16,4.26,-6.13,4.26,-6.15,6.00,5.54,4.83,10.26,10.26,10.39
24.40,4.28,-6.13,4.28,-6.14,6.00,5.52,4.96,10.28,10.28,10.41
24.65,4.30,-6.21,4.30,-6.21,6.00,5.52,5.09,10.30,10.30,10.51
24.89,4.33,-6.33,4.33,-6.33,6.00,5.51,5.23,10.33,10.33,10.66
25.14,4.34,-6.45,4.34,-6.45,6.00,5.53,5.36,10.34,10.34,10.79
25.39,4.36,-6.56,4.36,-6.54,6.00,5.54,5.50,10.36,10.36,10.92
25.65,4.37,-6.59,4.37,-6.59,6.00,5.56,5.64,10.37,10.37,10.95
25.91,4.38,-6.59,4.38,-6.58,6.00,5.59,5.78,10.38,10.38,10.96
26.16,4.38,-6.54,4.38,-6.54,6.00,5.62,5.91,10.38,10.38,10.92
26.43,4.39,-6.48,4.39,-6.48,6.00,5.65,6.05,10.39,10.39,10.87
26.69,4.40,-6.42,4.40,-6.42,6.00,5.68,6.19,10.40,10.40,10.82
26.96,4.41,-6.37,4.41,-6.38,6.00,5.72,6.32,10.41,10.41,10.78
27.23,4.42,-6.35,4.42,-6.35,6.00,5.76,6.46,10.42,10.42,10.77
27.50,4.44,-6.35,4.44,-6.35,6.00,5.79,6.59,10.44,10.44,10.79
27.77,4.46,-6.36,4.46,-6.36,6.00,5.83,6.71,10.46,10.46,10.82
28.05,4.49,-6.36,4.49,-6.36,6.00,5.87,6.83,10.49,10.49,10.85
28.33,4.53,-6.36,4.53,-6.36,6.00,5.91,6.95,10.53,10.53,10.89
28.62,4.56,-6.35,4.56,-6.35,6.00,5.95,7.06,10.56,10.56,10.92
