frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.56,-3.15,6.56,-3.18,2.93,2.86,1.62,9.49,9.49,9.72
20.20,6.60,-2.94,6.60,-2.91,2.81,2.86,1.67,9.41,9.41,9.54
20.40,6.64,-2.73,6.64,-2.70,2.72,2.87,1.71,9.36,9.36,9.37
20.61,6.68,-2.53,6.68,-2.54,2.66,2.87,1.77,9.34,9.34,9.21
20.81,6.72,-2.40,6.72,-2.40,2.63,2.88,1.82,9.35,9.35,9.12
21.02,6.75,-2.36,6.75,-2.36,2.62,2.88,1.87,9.38,9.38,9.11
21.23,6.78,-2.41,6.77,-2.43,2.65,2.88,1.93,9.43,9.42,9.19
21.44,6.78,-2.59,6.78,-2.60,2.70,2.89,1.99,9.49,9.48,9.38
21.66,6.77,-2.85,6.78,-2.84,2.89,2.89,2.04,9.66,9.66,9.63
21.87,6.76,-3.12,6.76,-3.11,3.08,2.90,2.10,9.85,9.84,9.88
22.09,6.74,-3.35,6.74,-3.35,3.26,2.90,2.17,10.00,10.00,10.09
22.31,6.71,-3.53,6.72,-3.53,3.40,2.91,2.23,10.11,10.11,10.25
22.54,6.69,-3.62,6.69,-3.62,3.46,2.91,2.30,10.15,10.15,10.31
22.76,6.67,-3.60,6.67,-3.59,3.44,2.91,2.36,10.11,10.11,10.28
22.99,6.66,-3.47,6.66,-3.46,3.34,2.92,2.43,10.01,10.01,10.14
23.22,6.66,-3.24,6.66,-3.24,3.19,2.92,2.50,9.85,9.85,9.90
23.45,6.66,-2.98,6.66,-2.98,3.01,2.93,2.58,9.67,9.67,9.64
23.69,6.66,-2.73,6.66,-2.73,2.84,2.93,2.65,9.50,9.50,9.40
23.92,6.67,-2.54,6.67,-2.55,2.70,2.94,2.72,9.37,9.37,9.20
24.16,6.67,-2.44,6.67,-2.46,2.62,2.94,2.80,9.29,9.29,9.11
24.40,6.67,-2.46,6.67,-2.47,2.59,2.95,2.88,9.26,9.26,9.13
24.65,6.67,-2.56,6.67,-2.56,2.62,2.95,2.96,9.29,9.29,9.23
24.89,6.67,-2.71,6.67,-2.71,2.68,2.96,3.03,9.35,9.35,9.38
25.14,6.67,-2.85,6.67,-2.85,2.77,2.97,3.11,9.43,9.43,9.52
25.39,6.66,-2.97,6.67,-2.96,2.85,2.97,3.20,9.51,9.51,9.64
25.65,6.66,-3.01,6.66,-3.01,2.91,2.98,3.28,9.58,9.58,9.68
25.91,6.66,-3.02,6.66,-3.02,2.95,2.99,3.36,9.61,9.61,9.68
26.16,6.66,-2.98,6.66,-2.98,2.96,3.00,3.44,9.62,9.62,9.65
26.43,6.67,-2.93,6.67,-2.93,2.94,3.01,3.52,9.61,9.61,9.59
26.69,6.66,-2.88,6.67,-2.88,2.92,3.02,3.59,9.59,9.59,9.54
26.96,6.66,-2.84,6.66,-2.85,2.91,3.03,3.67,9.57,9.57,9.50
27.23,6.65,-2.85,6.65,-2.85,2.91,3.05,3.75,9.55,9.55,9.50
27.50,6.62,-2.89,6.62,-2.89,2.92,3.06,3.82,9.55,9.55,9.51
27.77,6.59,-2.96,6.59,-2.95,2.97,3.08,3.89,9.55,9.55,9.54
