frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,16.00,2.60,16.00,2.57,-2.87,-1.06,-0.80,13.13,13.13,13.40
20.20,16.01,2.78,16.00,2.80,-2.90,-1.08,-0.83,13.11,13.10,13.22
20.40,16.00,2.94,15.99,2.97,-2.91,-1.10,-0.85,13.09,13.08,13.06
20.61,15.98,3.08,15.97,3.07,-2.90,-1.12,-0.87,13.08,13.07,12.89
20.81,15.93,3.13,15.93,3.12,-2.87,-1.13,-0.90,13.06,13.06,12.80
21.02,15.88,3.09,15.89,3.09,-2.82,-1.15,-0.92,13.06,13.06,12.80
21.23,15.84,2.97,15.84,2.95,-2.76,-1.17,-0.95,13.08,13.08,12.87
21.44,15.80,2.74,15.80,2.74,-2.67,-1.19,-0.97,13.13,13.13,13.06
21.66,15.78,2.47,15.78,2.48,-2.46,-1.21,-1.00,13.32,13.32,13.31
21.87,15.77,2.20,15.77,2.21,-2.26,-1.23,-1.03,13.51,13.51,13.56
22.09,15.76,1.99,15.76,1.99,-2.08,-1.25,-1.06,13.68,13.68,13.77
22.31,15.76,1.83,15.76,1.84,-1.96,-1.26,-1.09,13.81,13.81,13.93
22.54,15.77,1.77,15.77,1.77,-1.91,-1.28,-1.12,13.86,13.86,14.00
22.76,15.76,1.80,15.76,1.81,-1.94,-1.30,-1.15,13.82,13.82,13.96
22.99,15.76,1.94,15.76,1.95,-2.04,-1.32,-1.18,13.71,13.71,13.82
23.22,15.74,2.16,15.74,2.16,-2.20,-1.34,-1.21,13.55,13.55,13.58
23.45,15.73,2.41,15.73,2.41,-2.38,-1.36,-1.24,13.36,13.36,13.32
23.69,15.72,2.64,15.72,2.64,-2.55,-1.39,-1.28,13.18,13.18,13.08
23.92,15.72,2.84,15.72,2.82,-2.69,-1.41,-1.31,13.04,13.04,12.89
24.16,15.73,2.93,15.73,2.92,-2.78,-1.43,-1.35,12.95,12.95,12.80
24.40,15.74,2.93,15.74,2.92,-2.81,-1.45,-1.38,12.93,12.93,12.82
24.65,15.77,2.85,15.77,2.85,-2.80,-1.47,-1.42,12.96,12.96,12.92
24.89,15.79,2.73,15.79,2.73,-2.75,-1.49,-1.46,13.04,13.04,13.06
25.14,15.82,2.61,15.82,2.62,-2.69,-1.51,-1.50,13.13,13.13,13.20
25.39,15.84,2.51,15.83,2.53,-2.62,-1.54,-1.53,13.22,13.21,13.32
25.65,15.85,2.49,15.85,2.49,-2.57,-1.56,-1.57,13.28,13.28,13.36
25.91,15.85,2.49,15.85,2.49,-2.54,-1.58,-1.61,13.31,13.31,13.37
26.16,15.86,2.52,15.85,2.53,-2.54,-1.60,-1.65,13.31,13.31,13.33
26.43,15.85,2.58,15.85,2.58,-2.56,-1.63,-1.69,13.29,13.29,13.27
26.69,15.85,2.63,15.85,2.63,-2.59,-1.65,-1.72,13.26,13.26,13.23
26.96,15.85,2.67,15.85,2.66,-2.62,-1.67,-1.76,13.23,13.23,13.19
27.23,15.86,2.68,15.86,2.68,-2.65,-1.70,-1.80,13.21,13.21,13.18
27.50,15.87,2.67,15.87,2.67,-2.66,-1.72,-1.84,13.21,13.21,13.20
27.77,15.88,2.65,15.88,2.65,-2.66,-1.75,-1.87,13.22,13.22,13.23
28.05,15.89,2.63,15.89,2.63,-2.64,-1.77,-1.91,13.25,13.25,13.26
28.33,15.89,2.60,15.89,2.60,-2.61,-1.80,-1.94,13.28,13.28,13.29
28.62,15.90,2.57,15.89,2.57,-2.57,-1.82,-1.98,13.32,13.32,13.32
28.90,15.89,2.54,15.89,2.54,-2.52,-1.84,-2.01,13.37,13.37,13.35
29.19,15.89,2.49,15.89,2.49,-2.47,-1.87,-2.04,13.42,13.42,13.40
29.48,15.88,2.43,15.88,2.43,-2.40,-1.89,-2.07,13.48,13.48,13.45
29.78,15.88,2.36,15.88,2.35,-2.34,-1.92,-2.10,13.54,13.54,13.52
30.08,15.88,2.28,15.88,2.28,-2.28,-1.95,-2.13,13.60,13.60,13.60
