frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.56,4.04,6.56,4.03,-4.04,-3.96,-1.44,2.53,2.52,2.53
20.20,6.60,4.05,6.60,4.06,-4.07,-4.07,-1.48,2.53,2.53,2.55
20.40,6.64,4.07,6.64,4.08,-4.09,-4.19,-1.53,2.55,2.55,2.57
20.61,6.68,4.10,6.68,4.10,-4.10,-4.23,-1.57,2.58,2.58,2.58
20.81,6.72,4.12,6.72,4.12,-4.11,-4.26,-1.62,2.62,2.61,2.60
21.02,6.75,4.13,6.75,4.13,-4.10,-4.22,-1.67,2.65,2.65,2.62
21.23,6.78,4.13,6.77,4.12,-4.09,-4.18,-1.72,2.69,2.68,2.65
21.44,6.78,4.10,6.78,4.09,-4.07,-4.10,-1.77,2.71,2.71,2.69
21.66,6.77,4.05,6.78,4.05,-4.03,-4.03,-1.82,2.74,2.74,2.73
21.87,6.76,3.99,6.76,3.99,-3.99,-3.95,-1.88,2.78,2.77,2.77
22.09,6.74,3.93,6.74,3.93,-3.93,-3.88,-1.93,2.81,2.81,2.81
22.31,6.71,3.86,6.72,3.87,-3.88,-3.82,-1.99,2.83,2.83,2.85
22.54,6.69,3.81,6.69,3.81,-3.83,-3.77,-2.05,2.86,2.86,2.88
22.76,6.67,3.77,6.67,3.77,-3.79,-3.74,-2.11,2.88,2.88,2.90
22.99,6.66,3.74,6.66,3.75,-3.76,-3.71,-2.17,2.90,2.90,2.92
23.22,6.66,3.73,6.66,3.73,-3.74,-3.70,-2.23,2.92,2.92,2.93
23.45,6.66,3.73,6.66,3.72,-3.72,-3.69,-2.30,2.94,2.94,2.93
23.69,6.66,3.72,6.66,3.72,-3.71,-3.69,-2.36,2.96,2.96,2.94
23.92,6.67,3.71,6.67,3.71,-3.69,-3.70,-2.43,2.97,2.97,2.96
24.16,6.67,3.69,6.67,3.69,-3.68,-3.71,-2.50,2.99,2.99,2.98
