frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.47,1.56,6.47,1.56,-1.57,-1.50,-0.56,4.90,4.90,4.91
20.20,6.49,1.56,6.49,1.57,-1.57,-1.50,-0.58,4.92,4.92,4.93
20.40,6.52,1.57,6.52,1.57,-1.57,-1.51,-0.60,4.94,4.94,4.95
20.61,6.54,1.58,6.54,1.58,-1.57,-1.52,-0.61,4.97,4.97,4.97
20.81,6.57,1.58,6.57,1.58,-1.57,-1.52,-0.63,4.99,4.99,4.98
21.02,6.59,1.58,6.59,1.58,-1.57,-1.53,-0.65,5.02,5.02,5.00
21.23,6.61,1.58,6.61,1.58,-1.56,-1.53,-0.67,5.05,5.05,5.03
21.44,6.63,1.56,6.63,1.56,-1.55,-1.53,-0.69,5.08,5.08,5.07
21.66,6.65,1.54,6.65,1.54,-1.54,-1.53,-0.71,5.11,5.11,5.11
21.87,6.67,1.52,6.67,1.52,-1.52,-1.53,-0.73,5.15,5.15,5.15
22.09,6.69,1.50,6.69,1.50,-1.51,-1.53,-0.75,5.19,5.19,5.19
22.31,6.71,1.48,6.71,1.48,-1.49,-1.53,-0.77,5.22,5.22,5.23
22.54,6.74,1.47,6.74,1.47,-1.49,-1.53,-0.80,5.25,5.25,5.26
22.76,6.76,1.47,6.76,1.47,-1.48,-1.52,-0.82,5.27,5.27,5.29
22.99,6.77,1.48,6.77,1.48,-1.48,-1.52,-0.84,5.29,5.29,5.30
23.22,6.79,1.48,6.79,1.48,-1.48,-1.51,-0.87,5.31,5.31,5.31
23.45,6.81,1.49,6.81,1.49,-1.48,-1.51,-0.89,5.32,5.32,5.32
23.69,6.82,1.50,6.82,1.50,-1.49,-1.50,-0.92,5.34,5.34,5.33
23.92,6.84,1.50,6.84,1.50,-1.49,-1.50,-0.94,5.35,5.35,5.34
24.16,6.86,1.50,6.86,1.50,-1.49,-1.49,-0.97,5.37,5.37,5.36
24.40,6.87,1.49,6.87,1.49,-1.49,-1.48,-1.00,5.38,5.38,5.38
24.65,6.89,1.48,6.89,1.48,-1.49,-1.48,-1.02,5.40,5.40,5.41
24.89,6.91,1.48,6.91,1.48,-1.49,-1.47,-1.05,5.42,5.42,5.43
25.14,6.93,1.48,6.93,1.48,-1.49,-1.46,-1.08,5.44,5.44,5.45
25.39,6.95,1.49,6.95,1.49,-1.49,-1.45,-1.11,5.46,5.46,5.46
25.65,6.96,1.49,6.96,1.49,-1.49,-1.45,-1.13,5.47,5.47,5.47
25.91,6.98,1.50,6.98,1.50,-1.50,-1.44,-1.16,5.48,5.48,5.48
26.16,6.99,1.50,6.99,1.50,-1.50,-1.43,-1.19,5.49,5.49,5.49
26.43,7.00,1.50,7.00,1.50,-1.50,-1.42,-1.22,5.49,5.49,5.49
26.69,7.01,1.50,7.01,1.50,-1.51,-1.41,-1.24,5.50,5.50,5.50
26.96,7.01,1.50,7.01,1.50,-1.50,-1.41,-1.27,5.51,5.51,5.51
27.23,7.02,1.50,7.02,1.50,-1.50,-1.40,-1.30,5.52,5.53,5.53
27.50,7.04,1.49,7.04,1.49,-1.49,-1.39,-1.32,5.55,5.55,5.54
27.77,7.05,1.48,7.05,1.48,-1.47,-1.38,-1.35,5.57,5.57,5.57
28.05,7.05,1.46,7.05,1.46,-1.45,-1.38,-1.37,5.61,5.61,5.59
28.33,7.06,1.43,7.06,1.43,-1.42,-1.37,-1.40,5.64,5.64,5.63
28.62,7.06,1.40,7.06,1.40,-1.39,-1.36,-1.42,5.68,5.68,5.67
28.90,7.07,1.35,7.07,1.35,-1.35,-1.36,-1.44,5.72,5.72,5.71
29.19,7.07,1.31,7.07,1.31,-1.31,-1.35,-1.46,5.76,5.76,5.76
29.48,7.07,1.27,7.07,1.27,-1.28,-1.34,-1.48,5.80,5.80,5.81
29.78,7.08,1.24,7.08,1.23,-1.24,-1.34,-1.49,5.84,5.84,5.85
30.08,7.09,1.21,7.09,1.21,-1.22,-1.33,-1.51,5.88,5.88,5.88
30.38,7.10,1.19,7.10,1.19,-1.20,-1.33,-1.52,5.90,5.90,5.91
30.68,7.10,1.18,7.10,1.18,-1.19,-1.32,-1.53,5.92,5.92,5.92
30.99,7.10,1.18,7.10,1.18,-1.19,-1.32,-1.54,5.91,5.91,5.92
31.30,7.09,1.18,7.09,1.19,-1.19,-1.31,-1.55,5.90,5.90,5.90
31.61,7.08,1.19,7.08,1.20,-1.20,-1.31,-1.55,5.88,5.88,5.89
31.93,7.07,1.21,7.08,1.21,-1.21,-1.30,-1.56,5.86,5.87,5.86
32.24,7.08,1.23,7.08,1.23,-1.22,-1.30,-1.56,5.86,5.86,5.85
32.57,7.09,1.24,7.10,1.24,-1.23,-1.29,-1.56,5.87,5.87,5.85
32.89,7.12,1.25,7.12,1.25,-1.23,-1.29,-1.56,5.89,5.89,5.87
33.22,7.13,1.24,7.13,1.24,-1.23,-1.29,-1.56,5.91,5.91,5.89
33.55,7.15,1.23,7.14,1.23,-1.22,-1.28,-1.55,5.92,5.92,5.91
33.89,7.14,1.21,7.14,1.21,-1.22,-1.28,-1.55,5.92,5.92,5.93
34.23,7.13,1.20,7.13,1.20,-1.22,-1.28,-1.54,5.92,5.92,5.93
34.57,7.12,1.20,7.12,1.20,-1.22,-1.28,-1.53,5.90,5.90,5.92
34.92,7.11,1.20,7.11,1.21,-1.22,-1.27,-1.52,5.89,5.89,5.91
35.27,7.11,1.22,7.11,1.22,-1.22,-1.27,-1.51,5.89,5.89,5.89
35.62,7.11,1.24,7.12,1.24,-1.22,-1.27,-1.50,5.89,5.89,5.88
35.97,7.13,1.25,7.13,1.25,-1.23,-1.27,-1.49,5.90,5.90,5.88
36.33,7.14,1.25,7.14,1.25,-1.24,-1.27,-1.48,5.90,5.90,5.89
36.70,7.15,1.25,7.15,1.25,-1.25,-1.26,-1.47,5.91,5.90,5.91
37.06,7.17,1.24,7.17,1.25,-1.26,-1.26,-1.46,5.90,5.90,5.92
37.43,7.18,1.25,7.18,1.26,-1.27,-1.26,-1.45,5.90,5.90,5.92
37.81,7.19,1.28,7.19,1.28,-1.29,-1.26,-1.44,5.90,5.90,5.91
38.19,7.20,1.30,7.20,1.30,-1.30,-1.26,-1.43,5.90,5.90,5.90
38.57,7.21,1.32,7.21,1.32,-1.31,-1.26,-1.41,5.89,5.89,5.88
38.95,7.21,1.34,7.21,1.34,-1.33,-1.26,-1.40,5.88,5.88,5.88
39.34,7.21,1.34,7.21,1.34,-1.34,-1.26,-1.40,5.87,5.87,5.87
39.74,7.22,1.35,7.22,1.35,-1.35,-1.26,-1.39,5.87,5.87,5.87
40.14,7.23,1.35,7.24,1.35,-1.34,-1.26,-1.38,5.89,5.89,5.89
40.54,7.25,1.35,7.25,1.34,-1.33,-1.26,-1.37,5.92,5.92,5.91
40.94,7.27,1.33,7.27,1.33,-1.31,-1.26,-1.36,5.96,5.96,5.94
41.35,7.29,1.31,7.28,1.30,-1.29,-1.26,-1.36,6.00,5.99,5.98
41.76,7.28,1.27,7.28,1.27,-1.26,-1.26,-1.35,6.02,6.02,6.02
42.18,7.26,1.23,7.26,1.23,-1.24,-1.26,-1.35,6.03,6.03,6.03
42.60,7.24,1.20,7.24,1.20,-1.21,-1.27,-1.35,6.02,6.02,6.04
43.03,7.21,1.18,7.21,1.18,-1.20,-1.27,-1.35,6.01,6.01,6.03
43.46,7.19,1.18,7.19,1.18,-1.19,-1.27,-1.35,6.00,6.00,6.02
43.90,7.19,1.18,7.19,1.18,-1.19,-1.27,-1.35,6.00,6.00,6.01
44.33,7.19,1.19,7.19,1.19,-1.20,-1.27,-1.35,5.99,6.00,6.00
44.78,7.22,1.21,7.22,1.21,-1.21,-1.27,-1.35,6.00,6.00,6.00
45.23,7.25,1.24,7.25,1.24,-1.24,-1.28,-1.35,6.01,6.01,6.01
45.68,7.28,1.27,7.28,1.27,-1.26,-1.28,-1.36,6.02,6.02,6.01
46.13,7.31,1.29,7.31,1.29,-1.28,-1.28,-1.36,6.03,6.03,6.02
46.60,7.33,1.31,7.33,1.31,-1.31,-1.28,-1.37,6.02,6.02,6.02
47.06,7.33,1.33,7.33,1.33,-1.33,-1.28,-1.38,6.00,6.00,6.01
47.53,7.33,1.34,7.33,1.34,-1.34,-1.29,-1.39,5.99,5.99,5.99
48.01,7.32,1.36,7.32,1.36,-1.36,-1.29,-1.40,5.97,5.97,5.96
48.49,7.32,1.38,7.32,1.37,-1.37,-1.29,-1.41,5.95,5.95,5.94
48.97,7.32,1.38,7.32,1.38,-1.38,-1.30,-1.42,5.94,5.94,5.94
49.46,7.32,1.38,7.31,1.38,-1.38,-1.30,-1.43,5.93,5.93,5.94
49.96,7.31,1.38,7.31,1.38,-1.39,-1.30,-1.44,5.92,5.92,5.93
50.46,7.31,1.39,7.31,1.39,-1.40,-1.31,-1.46,5.91,5.91,5.92
50.96,7.30,1.40,7.30,1.40,-1.40,-1.31,-1.47,5.90,5.90,5.90
51.47,7.30,1.42,7.30,1.41,-1.41,-1.31,-1.48,5.89,5.89,5.88
51.99,7.29,1.42,7.29,1.42,-1.42,-1.32,-1.50,5.87,5.87,5.87
52.51,7.29,1.42,7.29,1.42,-1.43,-1.32,-1.51,5.86,5.86,5.86
53.03,7.28,1.42,7.28,1.43,-1.43,-1.32,-1.53,5.85,5.85,5.86
53.56,7.27,1.43,7.27,1.44,-1.43,-1.33,-1.54,5.84,5.84,5.83
54.10,7.26,1.44,7.26,1.44,-1.43,-1.33,-1.56,5.83,5.83,5.81
54.64,7.25,1.45,7.25,1.44,-1.43,-1.34,-1.57,5.82,5.82,5.80
55.18,7.24,1.43,7.24,1.43,-1.43,-1.34,-1.58,5.81,5.81,5.80
55.74,7.22,1.41,7.22,1.42,-1.43,-1.34,-1.60,5.79,5.79,5.81
56.29,7.22,1.40,7.22,1.41,-1.43,-1.35,-1.61,5.78,5.78,5.81
56.86,7.21,1.41,7.21,1.41,-1.43,-1.35,-1.62,5.78,5.78,5.81
57.42,7.21,1.43,7.22,1.43,-1.43,-1.36,-1.63,5.79,5.79,5.79
58.00,7.22,1.46,7.22,1.45,-1.42,-1.36,-1.64,5.80,5.80,5.76
58.58,7.22,1.45,7.22,1.45,-1.42,-1.37,-1.64,5.80,5.80,5.77
59.16,7.22,1.43,7.22,1.43,-1.41,-1.37,-1.65,5.80,5.80,5.78
59.76,7.21,1.40,7.21,1.40,-1.41,-1.38,-1.65,5.80,5.80,5.81
60.35,7.20,1.38,7.20,1.38,-1.41,-1.38,-1.65,5.79,5.79,5.83
60.96,7.19,1.37,7.19,1.38,-1.41,-1.39,-1.65,5.79,5.79,5.82
61.57,7.18,1.39,7.18,1.39,-1.40,-1.39,-1.65,5.78,5.78,5.79
62.18,7.17,1.42,7.17,1.41,-1.40,-1.40,-1.65,5.77,5.77,5.75
62.80,7.16,1.43,7.16,1.43,-1.39,-1.41,-1.64,5.77,5.77,5.73
63.43,7.15,1.42,7.15,1.42,-1.39,-1.41,-1.63,5.76,5.76,5.73
64.07,7.14,1.40,7.14,1.40,-1.40,-1.42,-1.62,5.74,5.74,5.74
64.71,7.13,1.38,7.13,1.38,-1.41,-1.42,-1.61,5.72,5.72,5.75
65.35,7.12,1.38,7.12,1.38,-1.42,-1.43,-1.60,5.71,5.71,5.74
66.01,7.11,1.39,7.11,1.40,-1.42,-1.43,-1.58,5.69,5.69,5.72
66.67,7.10,1.43,7.10,1.42,-1.43,-1.44,-1.56,5.67,5.67,5.68
67.33,7.09,1.45,7.09,1.45,-1.43,-1.45,-1.55,5.66,5.66,5.64
68.01,7.08,1.48,7.08,1.47,-1.44,-1.45,-1.52,5.64,5.64,5.60
68.69,7.07,1.47,7.07,1.47,-1.44,-1.46,-1.50,5.63,5.63,5.59
69.37,7.06,1.45,7.06,1.45,-1.43,-1.46,-1.48,5.62,5.62,5.60
70.07,7.05,1.42,7.05,1.42,-1.43,-1.47,-1.45,5.62,5.62,5.62
