frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.29,3.43,7.29,3.43,-3.49,-3.27,-0.70,3.79,3.79,3.86
20.20,7.15,3.28,7.16,3.28,-3.30,-3.22,-0.72,3.85,3.86,3.88
20.40,7.02,3.12,7.02,3.13,-3.12,-3.16,-0.74,3.91,3.91,3.90
20.61,6.89,2.98,6.89,2.98,-2.94,-3.01,-0.77,3.95,3.95,3.92
20.81,6.76,2.83,6.76,2.82,-2.77,-2.86,-0.79,3.99,3.99,3.93
21.02,6.62,2.67,6.62,2.67,-2.61,-2.67,-0.81,4.01,4.01,3.95
21.23,6.49,2.50,6.48,2.50,-2.45,-2.49,-0.84,4.03,4.03,3.98
21.44,6.35,2.33,6.35,2.33,-2.31,-2.33,-0.87,4.04,4.04,4.02
21.66,6.21,2.15,6.21,2.15,-2.14,-2.18,-0.89,4.07,4.07,4.06
21.87,6.08,1.98,6.09,1.99,-1.99,-2.06,-0.92,4.09,4.09,4.10
22.09,5.98,1.84,5.98,1.84,-1.86,-1.94,-0.95,4.12,4.12,4.14
22.31,5.90,1.72,5.90,1.72,-1.76,-1.85,-0.98,4.14,4.14,4.18
22.54,5.85,1.63,5.85,1.64,-1.68,-1.77,-1.01,4.17,4.17,4.21
22.76,5.82,1.59,5.83,1.59,-1.63,-1.72,-1.04,4.19,4.19,4.24
22.99,5.83,1.58,5.84,1.59,-1.61,-1.67,-1.07,4.22,4.22,4.25
23.22,5.87,1.61,5.86,1.61,-1.61,-1.64,-1.10,4.26,4.26,4.26
23.45,5.90,1.64,5.90,1.64,-1.62,-1.61,-1.13,4.29,4.29,4.27
23.69,5.94,1.67,5.94,1.66,-1.63,-1.60,-1.17,4.31,4.31,4.28
23.92,5.97,1.68,5.97,1.68,-1.64,-1.59,-1.20,4.33,4.33,4.29
24.16,5.98,1.67,5.98,1.67,-1.63,-1.59,-1.23,4.35,4.35,4.31
24.40,5.98,1.65,5.98,1.65,-1.62,-1.59,-1.27,4.36,4.36,4.33
24.65,5.97,1.61,5.97,1.61,-1.60,-1.60,-1.30,4.37,4.37,4.36
24.89,5.95,1.57,5.95,1.57,-1.58,-1.62,-1.34,4.37,4.37,4.38
25.14,5.94,1.55,5.94,1.54,-1.56,-1.64,-1.38,4.38,4.38,4.40
25.39,5.94,1.52,5.94,1.53,-1.56,-1.66,-1.41,4.38,4.38,4.41
25.65,5.96,1.54,5.96,1.54,-1.57,-1.68,-1.45,4.39,4.39,4.42
25.91,6.00,1.57,6.00,1.57,-1.59,-1.70,-1.48,4.40,4.40,4.43
26.16,6.06,1.62,6.06,1.62,-1.64,-1.73,-1.52,4.42,4.42,4.44
26.43,6.13,1.69,6.13,1.69,-1.70,-1.76,-1.55,4.43,4.43,4.44
26.69,6.22,1.77,6.22,1.77,-1.76,-1.78,-1.59,4.45,4.45,4.45
26.96,6.31,1.84,6.31,1.84,-1.83,-1.81,-1.62,4.47,4.47,4.46
27.23,6.39,1.91,6.39,1.91,-1.90,-1.83,-1.65,4.49,4.49,4.48
27.50,6.47,1.97,6.47,1.97,-1.96,-1.85,-1.68,4.51,4.51,4.49
27.77,6.53,2.02,6.53,2.02,-2.00,-1.87,-1.71,4.53,4.53,4.52
28.05,6.59,2.05,6.59,2.04,-2.03,-1.88,-1.74,4.56,4.56,4.54
28.33,6.63,2.05,6.63,2.05,-2.04,-1.89,-1.76,4.59,4.59,4.58
28.62,6.67,2.05,6.67,2.05,-2.04,-1.90,-1.79,4.63,4.63,4.62
28.90,6.69,2.03,6.69,2.03,-2.02,-1.90,-1.81,4.67,4.67,4.66
29.19,6.70,2.00,6.70,2.00,-1.99,-1.90,-1.83,4.71,4.71,4.71
29.48,6.71,1.96,6.71,1.95,-1.96,-1.89,-1.84,4.76,4.75,4.76
29.78,6.71,1.91,6.71,1.91,-1.91,-1.88,-1.86,4.79,4.79,4.80
