frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.86,6.34,10.86,6.34,-6.35,-5.77,-2.51,4.52,4.52,4.52
20.20,10.87,6.32,10.86,6.32,-6.33,-5.77,-2.58,4.54,4.54,4.54
20.40,10.87,6.30,10.87,6.30,-6.31,-5.77,-2.65,4.56,4.56,4.56
20.61,10.87,6.29,10.87,6.29,-6.28,-5.77,-2.73,4.58,4.58,4.58
20.81,10.87,6.27,10.87,6.27,-6.26,-5.77,-2.80,4.61,4.61,4.60
21.02,10.87,6.25,10.87,6.25,-6.24,-5.76,-2.89,4.63,4.63,4.62
21.23,10.87,6.23,10.87,6.22,-6.21,-5.76,-2.97,4.66,4.66,4.65
21.44,10.88,6.19,10.88,6.19,-6.18,-5.76,-3.06,4.69,4.69,4.68
21.66,10.88,6.15,10.88,6.15,-6.15,-5.76,-3.14,4.73,4.73,4.73
21.87,10.88,6.11,10.88,6.11,-6.11,-5.75,-3.23,4.77,4.77,4.77
22.09,10.88,6.08,10.88,6.07,-6.08,-5.75,-3.33,4.80,4.80,4.81
22.31,10.89,6.04,10.89,6.04,-6.05,-5.75,-3.42,4.84,4.84,4.85
22.54,10.89,6.01,10.89,6.01,-6.02,-5.74,-3.52,4.87,4.87,4.88
22.76,10.89,5.99,10.89,5.99,-6.00,-5.74,-3.62,4.89,4.89,4.90
22.99,10.89,5.97,10.89,5.98,-5.98,-5.74,-3.72,4.91,4.91,4.92
23.22,10.89,5.97,10.89,5.97,-5.97,-5.73,-3.83,4.92,4.92,4.92
23.45,10.89,5.96,10.89,5.96,-5.95,-5.73,-3.93,4.94,4.94,4.93
23.69,10.89,5.95,10.89,5.95,-5.94,-5.72,-4.04,4.95,4.95,4.94
23.92,10.89,5.94,10.89,5.94,-5.93,-5.72,-4.16,4.97,4.97,4.96
24.16,10.90,5.92,10.90,5.92,-5.91,-5.71,-4.27,4.98,4.98,4.98
24.40,10.90,5.90,10.90,5.90,-5.89,-5.70,-4.39,5.00,5.00,5.00
24.65,10.89,5.87,10.89,5.87,-5.87,-5.70,-4.50,5.02,5.02,5.02
24.89,10.89,5.84,10.89,5.84,-5.85,-5.69,-4.62,5.04,5.04,5.05
25.14,10.88,5.82,10.88,5.82,-5.82,-5.68,-4.74,5.06,5.06,5.06
25.39,10.88,5.80,10.88,5.80,-5.80,-5.67,-4.86,5.07,5.07,5.08
25.65,10.86,5.78,10.86,5.78,-5.78,-5.67,-4.99,5.09,5.09,5.09
25.91,10.85,5.76,10.85,5.76,-5.76,-5.66,-5.11,5.09,5.09,5.10
26.16,10.84,5.74,10.84,5.74,-5.74,-5.65,-5.23,5.10,5.10,5.10
