frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.56,4.64,8.56,4.64,-4.63,-4.50,-1.92,3.93,3.93,3.92
20.20,8.56,4.62,8.56,4.62,-4.62,-4.56,-1.98,3.94,3.94,3.95
20.40,8.56,4.60,8.56,4.60,-4.61,-4.62,-2.03,3.95,3.95,3.96
20.61,8.57,4.59,8.57,4.59,-4.60,-4.66,-2.09,3.97,3.97,3.98
20.81,8.58,4.58,8.58,4.58,-4.58,-4.70,-2.15,3.99,3.99,4.00
21.02,8.59,4.57,8.59,4.57,-4.57,-4.72,-2.21,4.02,4.02,4.02
21.23,8.61,4.56,8.61,4.56,-4.55,-4.73,-2.28,4.06,4.06,4.05
21.44,8.62,4.54,8.62,4.54,-4.53,-4.71,-2.35,4.10,4.10,4.08
21.66,8.64,4.51,8.64,4.51,-4.50,-4.69,-2.41,4.14,4.14,4.13
21.87,8.65,4.48,8.65,4.48,-4.47,-4.65,-2.48,4.18,4.18,4.17
22.09,8.65,4.44,8.65,4.44,-4.44,-4.60,-2.56,4.21,4.21,4.21
22.31,8.65,4.40,8.65,4.41,-4.41,-4.55,-2.63,4.24,4.24,4.25
22.54,8.65,4.37,8.65,4.37,-4.38,-4.50,-2.71,4.27,4.27,4.28
22.76,8.64,4.34,8.64,4.34,-4.36,-4.45,-2.78,4.29,4.29,4.30
22.99,8.64,4.32,8.64,4.33,-4.34,-4.40,-2.86,4.30,4.30,4.32
23.22,8.64,4.32,8.64,4.32,-4.33,-4.35,-2.95,4.31,4.31,4.32
23.45,8.65,4.32,8.65,4.32,-4.32,-4.31,-3.03,4.33,4.33,4.33
23.69,8.67,4.32,8.67,4.32,-4.32,-4.28,-3.11,4.34,4.35,4.34
23.92,8.69,4.33,8.69,4.33,-4.32,-4.24,-3.20,4.36,4.36,4.36
24.16,8.71,4.33,8.71,4.33,-4.32,-4.21,-3.29,4.39,4.39,4.38
24.40,8.73,4.33,8.73,4.33,-4.32,-4.18,-3.38,4.41,4.41,4.40
24.65,8.75,4.33,8.75,4.33,-4.32,-4.16,-3.47,4.43,4.43,4.42
