frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-0.24,-4.96,-0.24,-4.96,4.94,4.86,2.05,4.71,4.70,4.72
20.20,-0.18,-4.93,-0.18,-4.93,4.92,4.90,2.11,4.73,4.74,4.75
20.40,-0.13,-4.90,-0.13,-4.89,4.89,4.95,2.17,4.76,4.77,4.77
20.61,-0.08,-4.86,-0.08,-4.86,4.87,4.97,2.24,4.80,4.79,4.78
20.81,-0.03,-4.83,-0.03,-4.83,4.85,5.00,2.30,4.82,4.82,4.80
21.02,0.01,-4.81,0.01,-4.81,4.84,4.99,2.37,4.85,4.85,4.82
21.23,0.05,-4.80,0.05,-4.80,4.82,4.99,2.44,4.87,4.87,4.85
21.44,0.08,-4.80,0.08,-4.80,4.81,4.97,2.51,4.90,4.90,4.89
21.66,0.12,-4.81,0.12,-4.81,4.81,4.94,2.58,4.93,4.93,4.93
21.87,0.15,-4.82,0.15,-4.82,4.81,4.92,2.66,4.96,4.96,4.97
22.09,0.19,-4.82,0.19,-4.82,4.81,4.90,2.73,5.00,5.00,5.01
22.31,0.23,-4.82,0.23,-4.82,4.81,4.89,2.81,5.03,5.03,5.05
22.54,0.27,-4.81,0.27,-4.81,4.80,4.88,2.89,5.07,5.07,5.08
22.76,0.31,-4.79,0.31,-4.79,4.78,4.87,2.98,5.09,5.09,5.10
22.99,0.35,-4.76,0.35,-4.76,4.76,4.86,3.06,5.11,5.11,5.12
23.22,0.39,-4.73,0.39,-4.73,4.74,4.84,3.15,5.13,5.13,5.13
23.45,0.43,-4.70,0.43,-4.71,4.72,4.82,3.24,5.14,5.14,5.13
23.69,0.46,-4.68,0.46,-4.68,4.69,4.80,3.33,5.16,5.16,5.14
23.92,0.49,-4.66,0.49,-4.66,4.67,4.77,3.42,5.17,5.17,5.16
24.16,0.53,-4.65,0.53,-4.65,4.66,4.74,3.52,5.18,5.18,5.18
24.40,0.56,-4.65,0.56,-4.65,4.65,4.71,3.61,5.20,5.20,5.20
24.65,0.59,-4.64,0.59,-4.64,4.63,4.68,3.71,5.22,5.22,5.23
24.89,0.62,-4.63,0.62,-4.63,4.62,4.64,3.81,5.24,5.24,5.25
25.14,0.65,-4.62,0.65,-4.62,4.61,4.62,3.91,5.26,5.26,5.27
25.39,0.68,-4.60,0.68,-4.60,4.60,4.59,4.01,5.28,5.28,5.28
25.65,0.70,-4.59,0.70,-4.59,4.59,4.56,4.11,5.29,5.29,5.29
25.91,0.73,-4.57,0.73,-4.57,4.57,4.54,4.21,5.30,5.30,5.30
26.16,0.75,-4.55,0.75,-4.55,4.55,4.51,4.31,5.31,5.30,5.30
26.43,0.77,-4.54,0.77,-4.54,4.54,4.49,4.41,5.31,5.31,5.31
26.69,0.80,-4.52,0.80,-4.52,4.52,4.47,4.51,5.32,5.32,5.32
26.96,0.82,-4.51,0.82,-4.51,4.51,4.45,4.61,5.33,5.33,5.33
27.23,0.85,-4.50,0.85,-4.50,4.49,4.43,4.70,5.34,5.34,5.34
27.50,0.88,-4.48,0.88,-4.48,4.48,4.42,4.80,5.36,5.36,5.36
27.77,0.91,-4.48,0.91,-4.48,4.48,4.40,4.88,5.39,5.39,5.39
28.05,0.94,-4.47,0.94,-4.47,4.48,4.39,4.97,5.42,5.42,5.41
28.33,0.97,-4.48,0.97,-4.48,4.49,4.37,5.05,5.46,5.46,5.45
28.62,0.99,-4.49,0.99,-4.49,4.51,4.36,5.13,5.50,5.50,5.49
28.90,1.02,-4.51,1.02,-4.51,4.52,4.35,5.20,5.54,5.54,5.53
29.19,1.04,-4.54,1.04,-4.54,4.54,4.34,5.27,5.58,5.58,5.58
29.48,1.06,-4.56,1.06,-4.56,4.56,4.33,5.33,5.62,5.62,5.62
29.78,1.09,-4.58,1.09,-4.58,4.57,4.31,5.38,5.66,5.66,5.67
30.08,1.12,-4.59,1.12,-4.59,4.57,4.30,5.43,5.68,5.69,5.70
30.38,1.15,-4.58,1.15,-4.58,4.56,4.29,5.47,5.71,5.71,5.73
30.68,1.18,-4.56,1.18,-4.56,4.54,4.28,5.50,5.72,5.72,5.74
30.99,1.21,-4.52,1.21,-4.52,4.51,4.27,5.52,5.72,5.72,5.74
31.30,1.24,-4.48,1.24,-4.48,4.48,4.26,5.54,5.72,5.72,5.72
31.61,1.27,-4.43,1.27,-4.43,4.44,4.26,5.55,5.71,5.71,5.70
31.93,1.29,-4.39,1.29,-4.39,4.41,4.25,5.54,5.70,5.70,5.68
32.24,1.31,-4.36,1.31,-4.36,4.38,4.24,5.54,5.70,5.70,5.67
32.57,1.33,-4.34,1.33,-4.34,4.36,4.23,5.52,5.69,5.69,5.67
32.89,1.36,-4.33,1.36,-4.33,4.34,4.22,5.50,5.70,5.70,5.69
33.22,1.38,-4.33,1.38,-4.33,4.33,4.21,5.46,5.71,5.71,5.71
33.55,1.40,-4.33,1.40,-4.33,4.31,4.20,5.43,5.72,5.72,5.73
33.89,1.43,-4.32,1.43,-4.32,4.30,4.19,5.38,5.72,5.72,5.75
34.23,1.45,-4.30,1.45,-4.30,4.28,4.18,5.34,5.73,5.73,5.75
34.57,1.47,-4.27,1.47,-4.27,4.26,4.17,5.28,5.73,5.73,5.74
34.92,1.49,-4.23,1.49,-4.23,4.23,4.17,5.23,5.73,5.73,5.72
35.27,1.51,-4.20,1.51,-4.20,4.21,4.16,5.16,5.72,5.72,5.71
35.62,1.53,-4.17,1.53,-4.17,4.19,4.15,5.10,5.72,5.72,5.70
35.97,1.55,-4.15,1.55,-4.15,4.17,4.14,5.03,5.72,5.72,5.70
36.33,1.57,-4.14,1.57,-4.14,4.15,4.13,4.97,5.72,5.72,5.71
36.70,1.58,-4.14,1.58,-4.14,4.13,4.12,4.90,5.72,5.72,5.73
37.06,1.60,-4.14,1.60,-4.13,4.12,4.11,4.83,5.72,5.72,5.74
37.43,1.62,-4.12,1.62,-4.12,4.10,4.10,4.75,5.72,5.72,5.74
37.81,1.63,-4.10,1.63,-4.10,4.08,4.09,4.68,5.72,5.72,5.73
38.19,1.65,-4.07,1.65,-4.07,4.06,4.08,4.61,5.71,5.71,5.72
38.57,1.67,-4.04,1.67,-4.04,4.04,4.07,4.54,5.71,5.71,5.70
38.95,1.68,-4.01,1.68,-4.01,4.02,4.06,4.47,5.70,5.70,5.69
39.34,1.70,-3.99,1.70,-3.99,4.00,4.05,4.41,5.70,5.70,5.69
39.74,1.71,-3.98,1.71,-3.98,3.99,4.04,4.34,5.71,5.71,5.69
40.14,1.73,-3.98,1.73,-3.98,3.99,4.03,4.28,5.72,5.72,5.70
40.54,1.74,-3.98,1.74,-3.98,4.00,4.02,4.21,5.74,5.74,5.73
40.94,1.76,-4.00,1.76,-4.00,4.01,4.01,4.15,5.77,5.77,5.76
41.35,1.77,-4.02,1.77,-4.02,4.02,3.99,4.10,5.79,5.79,5.80
41.76,1.79,-4.05,1.79,-4.04,4.02,3.98,4.04,5.81,5.81,5.83
42.18,1.80,-4.05,1.80,-4.05,4.02,3.97,3.99,5.83,5.83,5.85
42.60,1.82,-4.04,1.82,-4.04,4.02,3.96,3.94,5.84,5.84,5.86
43.03,1.83,-4.02,1.83,-4.02,4.01,3.95,3.89,5.84,5.84,5.85
43.46,1.85,-3.99,1.85,-3.99,3.99,3.93,3.85,5.84,5.84,5.83
43.90,1.86,-3.96,1.86,-3.96,3.98,3.92,3.81,5.84,5.84,5.82
44.33,1.88,-3.94,1.88,-3.94,3.96,3.91,3.77,5.84,5.84,5.82
44.78,1.90,-3.92,1.90,-3.92,3.94,3.90,3.74,5.83,5.83,5.82
45.23,1.91,-3.91,1.91,-3.91,3.92,3.88,3.70,5.83,5.83,5.83
45.68,1.93,-3.90,1.93,-3.90,3.90,3.87,3.68,5.83,5.83,5.83
46.13,1.94,-3.89,1.94,-3.89,3.88,3.86,3.65,5.82,5.82,5.84
46.60,1.96,-3.88,1.96,-3.88,3.86,3.84,3.63,5.82,5.82,5.84
47.06,1.97,-3.85,1.97,-3.85,3.84,3.83,3.61,5.81,5.81,5.82
47.53,1.98,-3.83,1.98,-3.82,3.83,3.82,3.59,5.81,5.81,5.81
48.01,1.99,-3.79,1.99,-3.79,3.81,3.80,3.57,5.79,5.79,5.78
48.49,2.00,-3.76,2.00,-3.77,3.79,3.79,3.56,5.78,5.78,5.76
48.97,2.00,-3.75,2.00,-3.75,3.76,3.77,3.55,5.77,5.77,5.75
49.46,2.01,-3.74,2.01,-3.74,3.74,3.76,3.54,5.75,5.75,5.75
49.96,2.02,-3.73,2.02,-3.73,3.71,3.74,3.53,5.73,5.73,5.75
50.46,2.03,-3.70,2.03,-3.70,3.69,3.73,3.53,5.72,5.72,5.73
50.96,2.05,-3.66,2.05,-3.66,3.65,3.71,3.53,5.71,5.71,5.72
51.47,2.08,-3.62,2.08,-3.62,3.62,3.70,3.53,5.69,5.69,5.70
51.99,2.11,-3.58,2.11,-3.58,3.57,3.68,3.53,5.68,5.68,5.69
52.51,2.14,-3.54,2.14,-3.54,3.53,3.67,3.53,5.67,5.67,5.68
53.03,2.18,-3.50,2.18,-3.49,3.50,3.65,3.53,5.67,5.67,5.67
53.56,2.21,-3.44,2.21,-3.45,3.47,3.63,3.53,5.68,5.67,5.65
54.10,2.22,-3.41,2.22,-3.41,3.45,3.62,3.54,5.67,5.67,5.63
54.64,2.22,-3.40,2.22,-3.40,3.43,3.60,3.54,5.66,5.65,5.62
55.18,2.20,-3.41,2.20,-3.42,3.42,3.58,3.54,5.63,5.63,5.62
55.74,2.18,-3.44,2.19,-3.44,3.41,3.57,3.55,5.60,5.60,5.63
56.29,2.18,-3.45,2.18,-3.45,3.41,3.55,3.55,5.58,5.59,5.63
56.86,2.18,-3.44,2.19,-3.43,3.40,3.53,3.55,5.59,5.59,5.62
57.42,2.20,-3.40,2.20,-3.40,3.40,3.51,3.55,5.60,5.60,5.60
58.00,2.22,-3.36,2.22,-3.37,3.40,3.50,3.55,5.62,5.62,5.58
58.58,2.23,-3.36,2.23,-3.36,3.39,3.48,3.55,5.62,5.62,5.59
59.16,2.24,-3.36,2.24,-3.36,3.38,3.46,3.55,5.62,5.62,5.60
59.76,2.25,-3.38,2.25,-3.38,3.36,3.44,3.54,5.62,5.62,5.63
60.35,2.26,-3.39,2.26,-3.38,3.35,3.42,3.53,5.61,5.61,5.64
60.96,2.26,-3.37,2.27,-3.37,3.34,3.40,3.52,5.60,5.60,5.64
61.57,2.27,-3.34,2.27,-3.34,3.33,3.38,3.51,5.60,5.60,5.61
62.18,2.28,-3.29,2.28,-3.30,3.32,3.36,3.49,5.59,5.59,5.57
62.80,2.28,-3.27,2.28,-3.27,3.31,3.34,3.47,5.59,5.59,5.55
63.43,2.29,-3.26,2.29,-3.26,3.29,3.32,3.45,5.57,5.57,5.55
64.07,2.29,-3.26,2.29,-3.26,3.27,3.30,3.43,5.56,5.56,5.56
64.71,2.30,-3.27,2.30,-3.26,3.24,3.28,3.40,5.54,5.54,5.57
65.35,2.31,-3.25,2.31,-3.25,3.21,3.26,3.37,5.52,5.52,5.56
66.01,2.32,-3.22,2.32,-3.22,3.18,3.24,3.34,5.51,5.51,5.54
66.67,2.33,-3.16,2.33,-3.17,3.16,3.22,3.31,5.49,5.49,5.50
67.33,2.34,-3.11,2.34,-3.11,3.13,3.20,3.27,5.48,5.48,5.46
68.01,2.35,-3.07,2.35,-3.07,3.11,3.18,3.23,5.46,5.46,5.42
68.69,2.36,-3.05,2.36,-3.05,3.09,3.16,3.19,5.45,5.45,5.41
69.37,2.37,-3.05,2.37,-3.05,3.08,3.14,3.15,5.44,5.44,5.42
70.07,2.38,-3.07,2.37,-3.07,3.06,3.11,3.11,5.44,5.44,5.44
70.77,2.38,-3.08,2.38,-3.08,3.05,3.09,3.07,5.43,5.43,5.46
71.48,2.39,-3.07,2.39,-3.07,3.04,3.07,3.02,5.42,5.42,5.46
72.19,2.39,-3.05,2.39,-3.05,3.02,3.05,2.98,5.41,5.41,5.45
72.91,2.40,-3.02,2.40,-3.01,3.00,3.02,2.93,5.39,5.39,5.41
73.64,2.40,-2.97,2.40,-2.97,2.97,3.00,2.89,5.37,5.37,5.37
74.38,2.41,-2.92,2.41,-2.92,2.94,2.98,2.84,5.35,5.35,5.33
75.12,2.42,-2.88,2.42,-2.89,2.91,2.96,2.80,5.33,5.33,5.30
75.87,2.43,-2.86,2.43,-2.86,2.88,2.93,2.75,5.31,5.31,5.29
76.63,2.43,-2.85,2.43,-2.85,2.87,2.91,2.71,5.30,5.30,5.28
77.40,2.44,-2.85,2.44,-2.85,2.86,2.88,2.67,5.30,5.30,5.29
78.17,2.45,-2.86,2.45,-2.86,2.86,2.86,2.62,5.31,5.31,5.31
78.95,2.45,-2.87,2.45,-2.87,2.87,2.84,2.58,5.32,5.32,5.32
79.74,2.46,-2.87,2.46,-2.87,2.87,2.81,2.54,5.33,5.33,5.33
80.54,2.46,-2.88,2.46,-2.88,2.87,2.79,2.51,5.33,5.33,5.34
81.35,2.46,-2.87,2.46,-2.87,2.85,2.76,2.47,5.32,5.32,5.34
82.16,2.47,-2.85,2.47,-2.85,2.83,2.74,2.43,5.30,5.30,5.32
82.98,2.47,-2.81,2.47,-2.81,2.80,2.71,2.40,5.27,5.27,5.29
83.81,2.48,-2.76,2.48,-2.76,2.75,2.69,2.37,5.23,5.23,5.24
84.65,2.49,-2.69,2.49,-2.69,2.70,2.66,2.33,5.18,5.18,5.17
85.50,2.49,-2.62,2.49,-2.62,2.63,2.63,2.30,5.12,5.12,5.11
86.35,2.50,-2.56,2.50,-2.56,2.57,2.61,2.28,5.06,5.06,5.06
87.22,2.50,-2.50,2.50,-2.50,2.50,2.58,2.25,5.00,5.00,5.00
88.09,2.51,-2.44,2.51,-2.44,2.43,2.56,2.23,4.94,4.94,4.94
88.97,2.51,-2.38,2.51,-2.37,2.37,2.53,2.20,4.88,4.89,4.89
89.86,2.51,-2.31,2.52,-2.31,2.33,2.50,2.18,4.84,4.84,4.83
90.76,2.52,-2.26,2.52,-2.26,2.28,2.48,2.16,4.80,4.80,4.78
91.66,2.52,-2.23,2.52,-2.23,2.25,2.45,2.14,4.77,4.77,4.75
92.58,2.53,-2.21,2.53,-2.21,2.22,2.42,2.13,4.75,4.75,4.73
93.51,2.53,-2.20,2.53,-2.20,2.19,2.40,2.11,4.72,4.72,4.73
94.44,2.53,-2.18,2.53,-2.18,2.17,2.37,2.10,4.70,4.70,4.71
95.39,2.53,-2.16,2.53,-2.16,2.14,2.34,2.09,4.67,4.67,4.69
96.34,2.53,-2.13,2.53,-2.13,2.11,2.31,2.08,4.64,4.64,4.66
97.30,2.53,-2.08,2.53,-2.09,2.07,2.29,2.07,4.60,4.60,4.62
98.28,2.53,-2.04,2.53,-2.04,2.03,2.26,2.06,4.56,4.56,4.57
99.26,2.53,-2.00,2.53,-1.99,1.99,2.23,2.06,4.52,4.52,4.53
100.25,2.54,-1.95,2.54,-1.95,1.95,2.20,2.05,4.49,4.49,4.49
101.25,2.54,-1.91,2.54,-1.91,1.93,2.17,2.05,4.47,4.47,4.46
102.27,2.55,-1.89,2.55,-1.89,1.93,2.15,2.04,4.48,4.48,4.44
103.29,2.56,-1.89,2.56,-1.89,1.94,2.12,2.04,4.50,4.50,4.45
104.32,2.56,-1.91,2.56,-1.92,1.97,2.09,2.04,4.54,4.54,4.48
105.37,2.57,-1.97,2.57,-1.98,2.01,2.06,2.04,4.58,4.58,4.54
106.42,2.57,-2.04,2.57,-2.05,2.04,2.03,2.03,4.61,4.61,4.61
107.48,2.57,-2.11,2.57,-2.11,2.05,2.00,2.03,4.62,4.62,4.68
108.56,2.57,-2.14,2.57,-2.13,2.04,1.98,2.03,4.61,4.61,4.70
109.64,2.57,-2.10,2.57,-2.10,2.01,1.95,2.03,4.58,4.58,4.67
110.74,2.57,-2.03,2.57,-2.01,1.95,1.92,2.03,4.52,4.52,4.60
111.85,2.58,-1.89,2.58,-1.89,1.87,1.89,2.03,4.45,4.45,4.46
112.97,2.58,-1.74,2.58,-1.74,1.79,1.86,2.02,4.37,4.37,4.32
114.10,2.58,-1.62,2.58,-1.63,1.71,1.83,2.02,4.30,4.30,4.20
115.24,2.59,-1.55,2.59,-1.57,1.66,1.80,2.01,4.24,4.24,4.14
116.39,2.59,-1.56,2.59,-1.56,1.62,1.77,2.01,4.21,4.21,4.15
117.55,2.59,-1.58,2.59,-1.59,1.61,1.74,2.00,4.20,4.20,4.17
118.73,2.59,-1.64,2.59,-1.64,1.63,1.71,1.99,4.22,4.22,4.23
119.92,2.59,-1.69,2.59,-1.69,1.66,1.69,1.98,4.25,4.25,4.29
121.12,2.59,-1.74,2.59,-1.73,1.69,1.66,1.97,4.28,4.28,4.33
122.33,2.59,-1.75,2.59,-1.75,1.72,1.63,1.96,4.31,4.31,4.35
123.55,2.59,-1.76,2.59,-1.76,1.74,1.60,1.94,4.33,4.33,4.35
124.79,2.59,-1.75,2.59,-1.75,1.74,1.57,1.92,4.33,4.33,4.33
126.03,2.58,-1.73,2.58,-1.73,1.73,1.54,1.90,4.32,4.32,4.31
127.29,2.58,-1.71,2.58,-1.71,1.72,1.51,1.88,4.29,4.29,4.28
128.57,2.57,-1.69,2.57,-1.69,1.69,1.48,1.86,4.26,4.26,4.26
129.85,2.56,-1.67,2.56,-1.67,1.67,1.45,1.83,4.23,4.23,4.23
131.15,2.55,-1.65,2.55,-1.64,1.64,1.42,1.80,4.19,4.19,4.20
132.46,2.54,-1.62,2.54,-1.62,1.61,1.39,1.77,4.16,4.16,4.16
133.79,2.53,-1.59,2.53,-1.59,1.59,1.36,1.74,4.12,4.12,4.12
135.12,2.52,-1.56,2.52,-1.56,1.57,1.34,1.71,4.09,4.09,4.08
136.48,2.51,-1.54,2.51,-1.54,1.55,1.31,1.68,4.07,4.07,4.05
137.84,2.51,-1.52,2.51,-1.53,1.54,1.28,1.64,4.04,4.04,4.03
139.22,2.50,-1.52,2.50,-1.52,1.52,1.25,1.60,4.02,4.02,4.02
140.61,2.51,-1.51,2.51,-1.51,1.50,1.22,1.56,4.00,4.00,4.02
142.02,2.51,-1.49,2.51,-1.49,1.47,1.19,1.53,3.99,3.99,4.00
143.44,2.52,-1.46,2.52,-1.46,1.45,1.16,1.48,3.97,3.97,3.98
144.87,2.53,-1.43,2.53,-1.42,1.41,1.14,1.44,3.94,3.94,3.96
146.32,2.54,-1.38,2.54,-1.38,1.38,1.11,1.40,3.92,3.92,3.92
147.78,2.54,-1.33,2.54,-1.33,1.34,1.08,1.36,3.88,3.88,3.88
149.26,2.55,-1.29,2.55,-1.29,1.30,1.05,1.32,3.85,3.85,3.84
150.75,2.55,-1.25,2.55,-1.25,1.26,1.02,1.27,3.81,3.81,3.80
152.26,2.55,-1.22,2.55,-1.22,1.23,1.00,1.23,3.78,3.78,3.77
153.78,2.55,-1.19,2.55,-1.19,1.19,0.97,1.19,3.74,3.74,3.74
155.32,2.55,-1.17,2.55,-1.17,1.16,0.94,1.14,3.71,3.71,3.71
156.88,2.54,-1.14,2.54,-1.14,1.13,0.91,1.10,3.67,3.67,3.68
158.44,2.54,-1.10,2.54,-1.10,1.10,0.89,1.06,3.64,3.64,3.65
160.03,2.54,-1.07,2.54,-1.07,1.06,0.86,1.02,3.61,3.61,3.61
161.63,2.54,-1.03,2.54,-1.03,1.03,0.83,0.97,3.57,3.57,3.57
163.24,2.53,-1.00,2.53,-1.00,1.00,0.80,0.93,3.53,3.53,3.53
164.88,2.53,-0.96,2.53,-0.96,0.97,0.78,0.89,3.50,3.49,3.49
166.53,2.51,-0.93,2.51,-0.93,0.94,0.75,0.85,3.45,3.45,3.45
168.19,2.50,-0.91,2.50,-0.91,0.91,0.73,0.81,3.41,3.41,3.41
169.87,2.49,-0.89,2.49,-0.89,0.89,0.70,0.76,3.37,3.37,3.37
171.57,2.47,-0.86,2.48,-0.86,0.86,0.67,0.72,3.34,3.34,3.34
173.29,2.46,-0.84,2.46,-0.84,0.84,0.65,0.68,3.30,3.30,3.30
175.02,2.45,-0.81,2.45,-0.81,0.81,0.62,0.64,3.26,3.26,3.26
176.77,2.44,-0.79,2.44,-0.79,0.78,0.60,0.60,3.23,3.23,3.23
178.54,2.44,-0.76,2.44,-0.76,0.75,0.57,0.57,3.19,3.19,3.19
180.32,2.43,-0.72,2.43,-0.72,0.72,0.55,0.53,3.15,3.15,3.16
182.13,2.43,-0.69,2.43,-0.69,0.68,0.52,0.49,3.12,3.12,3.12
183.95,2.44,-0.65,2.43,-0.65,0.65,0.50,0.45,3.08,3.08,3.08
185.79,2.44,-0.60,2.44,-0.60,0.60,0.48,0.41,3.04,3.04,3.04
187.65,2.44,-0.56,2.44,-0.56,0.56,0.45,0.38,3.00,3.00,3.00
189.52,2.44,-0.51,2.44,-0.51,0.51,0.43,0.34,2.96,2.96,2.96
191.42,2.45,-0.47,2.45,-0.47,0.47,0.41,0.30,2.91,2.91,2.91
193.33,2.45,-0.42,2.45,-0.42,0.42,0.38,0.27,2.87,2.87,2.87
