frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.86,4.72,10.86,4.71,-4.69,-4.39,-1.84,6.17,6.17,6.14
20.20,10.87,4.67,10.86,4.67,-4.68,-4.50,-1.90,6.19,6.19,6.19
20.40,10.87,4.62,10.87,4.64,-4.66,-4.61,-1.95,6.20,6.20,6.24
20.61,10.87,4.62,10.87,4.62,-4.64,-4.67,-2.01,6.22,6.22,6.24
20.81,10.87,4.63,10.87,4.63,-4.63,-4.73,-2.07,6.24,6.24,6.24
21.02,10.87,4.63,10.87,4.63,-4.61,-4.73,-2.13,6.26,6.26,6.24
21.23,10.87,4.62,10.87,4.61,-4.59,-4.74,-2.19,6.28,6.28,6.25
21.44,10.88,4.57,10.88,4.58,-4.57,-4.70,-2.25,6.30,6.30,6.30
21.66,10.88,4.54,10.88,4.55,-4.56,-4.65,-2.32,6.32,6.32,6.34
21.87,10.88,4.54,10.88,4.54,-4.54,-4.60,-2.39,6.34,6.34,6.34
22.09,10.88,4.54,10.88,4.52,-4.52,-4.54,-2.46,6.37,6.37,6.34
22.31,10.89,4.51,10.89,4.50,-4.50,-4.48,-2.53,6.39,6.39,6.38
22.54,10.89,4.44,10.89,4.47,-4.48,-4.43,-2.60,6.40,6.40,6.44
22.76,10.89,4.45,10.89,4.45,-4.47,-4.38,-2.68,6.42,6.42,6.44
22.99,10.89,4.45,10.89,4.45,-4.45,-4.34,-2.75,6.44,6.44,6.44
23.22,10.89,4.45,10.89,4.45,-4.43,-4.31,-2.83,6.46,6.46,6.44
23.45,10.89,4.45,10.89,4.43,-4.41,-4.27,-2.91,6.48,6.48,6.44
23.69,10.89,4.39,10.89,4.40,-4.39,-4.25,-2.99,6.50,6.50,6.50
23.92,10.89,4.35,10.89,4.37,-4.37,-4.22,-3.08,6.53,6.52,6.54
24.16,10.90,4.35,10.90,4.32,-4.34,-4.20,-3.16,6.56,6.56,6.54
24.40,10.90,4.28,10.90,4.30,-4.30,-4.18,-3.25,6.60,6.60,6.61
24.65,10.89,4.25,10.89,4.27,-4.25,-4.17,-3.34,6.64,6.64,6.64
24.89,10.89,4.25,10.89,4.23,-4.20,-4.15,-3.43,6.69,6.69,6.64
25.14,10.88,4.18,10.88,4.17,-4.16,-4.14,-3.52,6.73,6.73,6.70
25.39,10.88,4.10,10.88,4.10,-4.11,-4.12,-3.61,6.77,6.76,6.77
25.65,10.86,4.02,10.86,4.04,-4.07,-4.11,-3.70,6.80,6.80,6.84
25.91,10.85,4.01,10.85,4.01,-4.03,-4.09,-3.79,6.82,6.82,6.84
26.16,10.84,4.00,10.84,3.99,-4.00,-4.08,-3.88,6.84,6.84,6.84
26.43,10.83,3.99,10.83,3.99,-3.98,-4.07,-3.97,6.85,6.85,6.84
26.69,10.82,3.98,10.82,3.98,-3.97,-4.05,-4.05,6.85,6.85,6.84
26.96,10.81,3.97,10.81,3.96,-3.98,-4.04,-4.14,6.84,6.84,6.84
27.23,10.81,3.96,10.81,3.96,-3.99,-4.03,-4.23,6.82,6.82,6.84
27.50,10.80,3.96,10.80,3.98,-4.00,-4.01,-4.31,6.80,6.80,6.84
27.77,10.80,4.01,10.80,4.01,-4.02,-4.00,-4.39,6.78,6.78,6.79
28.05,10.80,4.06,10.80,4.04,-4.03,-3.98,-4.47,6.77,6.77,6.74
28.33,10.80,4.06,10.80,4.06,-4.03,-3.96,-4.54,6.77,6.77,6.74
28.62,10.80,4.05,10.79,4.04,-4.03,-3.95,-4.61,6.77,6.77,6.74
28.90,10.79,4.02,10.79,4.01,-4.01,-3.93,-4.67,6.79,6.79,6.77
29.19,10.79,3.95,10.79,3.98,-3.97,-3.91,-4.73,6.82,6.82,6.84
29.48,10.78,3.94,10.78,3.93,-3.91,-3.90,-4.79,6.87,6.87,6.84
29.78,10.78,3.89,10.78,3.87,-3.85,-3.88,-4.84,6.93,6.93,6.89
30.08,10.77,3.80,10.77,3.79,-3.77,-3.86,-4.87,7.00,7.00,6.97
30.38,10.76,3.67,10.76,3.70,-3.71,-3.84,-4.91,7.06,7.06,7.09
30.68,10.76,3.61,10.76,3.62,-3.65,-3.82,-4.94,7.11,7.11,7.14
30.99,10.75,3.59,10.75,3.56,-3.60,-3.81,-4.96,7.15,7.15,7.16
31.30,10.74,3.52,10.74,3.54,-3.56,-3.79,-4.97,7.17,7.17,7.22
31.61,10.73,3.54,10.73,3.54,-3.55,-3.77,-4.98,7.17,7.17,7.19
31.93,10.72,3.57,10.72,3.55,-3.56,-3.75,-4.98,7.15,7.15,7.14
32.24,10.71,3.56,10.71,3.58,-3.59,-3.73,-4.97,7.12,7.12,7.14
32.57,10.70,3.61,10.70,3.61,-3.63,-3.71,-4.95,7.07,7.07,7.09
32.89,10.69,3.67,10.69,3.67,-3.67,-3.70,-4.93,7.01,7.01,7.02
33.22,10.67,3.73,10.67,3.73,-3.71,-3.68,-4.91,6.96,6.96,6.94
33.55,10.66,3.79,10.66,3.78,-3.74,-3.66,-4.87,6.92,6.92,6.87
33.89,10.64,3.80,10.64,3.80,-3.77,-3.64,-4.84,6.88,6.88,6.84
34.23,10.63,3.79,10.63,3.79,-3.78,-3.62,-4.79,6.85,6.85,6.84
34.57,10.61,3.77,10.61,3.77,-3.78,-3.61,-4.74,6.83,6.83,6.84
34.92,10.60,3.75,10.60,3.75,-3.77,-3.59,-4.69,6.83,6.83,6.84
35.27,10.58,3.74,10.58,3.74,-3.75,-3.57,-4.64,6.83,6.83,6.84
35.62,10.56,3.72,10.56,3.72,-3.72,-3.56,-4.58,6.85,6.85,6.84
35.97,10.54,3.70,10.55,3.69,-3.68,-3.54,-4.52,6.86,6.86,6.84
36.33,10.53,3.66,10.53,3.65,-3.65,-3.53,-4.46,6.88,6.88,6.87
36.70,10.51,3.58,10.51,3.60,-3.61,-3.51,-4.40,6.90,6.90,6.93
37.06,10.49,3.55,10.49,3.56,-3.56,-3.50,-4.33,6.93,6.93,6.94
37.43,10.47,3.53,10.47,3.53,-3.52,-3.49,-4.27,6.96,6.96,6.94
37.81,10.46,3.51,10.46,3.49,-3.47,-3.47,-4.20,6.99,6.99,6.94
38.19,10.44,3.44,10.44,3.44,-3.43,-3.46,-4.14,7.01,7.01,7.00
38.57,10.42,3.38,10.42,3.39,-3.40,-3.45,-4.08,7.02,7.02,7.04
38.95,10.40,3.36,10.40,3.35,-3.39,-3.43,-4.01,7.01,7.01,7.04
39.34,10.39,3.34,10.39,3.35,-3.39,-3.42,-3.95,6.99,6.99,7.04
39.74,10.37,3.37,10.37,3.37,-3.41,-3.41,-3.89,6.96,6.96,7.00
40.14,10.35,3.41,10.35,3.41,-3.43,-3.40,-3.83,6.91,6.91,6.94
40.54,10.33,3.46,10.33,3.46,-3.46,-3.39,-3.78,6.87,6.87,6.87
40.94,10.30,3.50,10.30,3.50,-3.48,-3.38,-3.72,6.82,6.82,6.80
41.35,10.28,3.54,10.28,3.52,-3.48,-3.37,-3.67,6.80,6.80,6.74
41.76,10.25,3.51,10.26,3.53,-3.46,-3.36,-3.62,6.79,6.79,6.74
42.18,10.23,3.49,10.23,3.48,-3.41,-3.35,-3.57,6.82,6.82,6.74
42.60,10.21,3.43,10.21,3.40,-3.35,-3.34,-3.53,6.86,6.86,6.78
43.03,10.18,3.26,10.18,3.29,-3.27,-3.34,-3.49,6.91,6.91,6.92
43.46,10.16,3.16,10.16,3.16,-3.20,-3.33,-3.44,6.96,6.96,7.00
43.90,10.14,3.07,10.14,3.06,-3.13,-3.32,-3.41,7.00,7.00,7.07
44.33,10.12,2.98,10.12,3.01,-3.09,-3.31,-3.37,7.03,7.03,7.13
44.78,10.09,3.01,10.09,3.01,-3.06,-3.31,-3.34,7.03,7.03,7.08
45.23,10.07,3.06,10.07,3.04,-3.06,-3.30,-3.31,7.00,7.00,7.01
45.68,10.04,3.10,10.04,3.10,-3.08,-3.30,-3.28,6.96,6.96,6.95
46.13,10.02,3.15,10.02,3.16,-3.12,-3.29,-3.26,6.91,6.91,6.87
46.60,10.00,3.20,10.00,3.19,-3.16,-3.29,-3.23,6.84,6.84,6.80
47.06,9.98,3.23,9.98,3.22,-3.19,-3.28,-3.21,6.79,6.79,6.74
47.53,9.95,3.21,9.95,3.23,-3.22,-3.28,-3.20,6.74,6.74,6.74
48.01,9.93,3.23,9.93,3.23,-3.24,-3.27,-3.18,6.69,6.69,6.70
48.49,9.90,3.26,9.90,3.23,-3.24,-3.27,-3.17,6.65,6.65,6.64
48.97,9.87,3.22,9.87,3.25,-3.25,-3.26,-3.16,6.62,6.62,6.64
49.46,9.83,3.24,9.84,3.24,-3.25,-3.26,-3.15,6.59,6.59,6.59
49.96,9.80,3.26,9.80,3.24,-3.25,-3.26,-3.14,6.56,6.56,6.54
50.46,9.77,3.23,9.77,3.26,-3.25,-3.25,-3.14,6.53,6.53,6.54
50.96,9.75,3.26,9.75,3.25,-3.25,-3.25,-3.13,6.50,6.50,6.48
51.47,9.72,3.27,9.72,3.25,-3.25,-3.25,-3.13,6.47,6.47,6.44
51.99,9.68,3.24,9.68,3.26,-3.26,-3.24,-3.13,6.42,6.42,6.44
52.51,9.65,3.27,9.64,3.27,-3.28,-3.24,-3.13,6.37,6.37,6.38
53.03,9.60,3.29,9.60,3.28,-3.31,-3.24,-3.13,6.29,6.29,6.31
53.56,9.55,3.32,9.55,3.31,-3.35,-3.24,-3.14,6.20,6.20,6.24
54.10,9.51,3.34,9.51,3.36,-3.39,-3.23,-3.14,6.11,6.11,6.17
54.64,9.47,3.41,9.47,3.42,-3.43,-3.23,-3.14,6.03,6.03,6.06
55.18,9.43,3.50,9.44,3.49,-3.46,-3.23,-3.15,5.97,5.97,5.93
55.74,9.41,3.55,9.41,3.54,-3.48,-3.23,-3.15,5.93,5.93,5.86
56.29,9.39,3.55,9.39,3.54,-3.48,-3.22,-3.15,5.91,5.91,5.84
56.86,9.37,3.51,9.37,3.50,-3.46,-3.22,-3.16,5.91,5.91,5.86
57.42,9.35,3.41,9.35,3.44,-3.42,-3.22,-3.16,5.92,5.92,5.93
58.00,9.32,3.38,9.32,3.37,-3.38,-3.21,-3.16,5.94,5.94,5.94
58.58,9.29,3.33,9.29,3.30,-3.33,-3.21,-3.16,5.96,5.96,5.97
59.16,9.27,3.23,9.27,3.25,-3.29,-3.21,-3.16,5.98,5.98,6.04
59.76,9.24,3.20,9.24,3.20,-3.26,-3.21,-3.16,5.98,5.98,6.04
60.35,9.21,3.20,9.21,3.20,-3.25,-3.20,-3.15,5.96,5.96,6.01
60.96,9.18,3.23,9.18,3.23,-3.26,-3.20,-3.15,5.92,5.92,5.95
61.57,9.15,3.28,9.15,3.28,-3.27,-3.20,-3.14,5.88,5.88,5.87
62.18,9.11,3.31,9.11,3.31,-3.27,-3.19,-3.13,5.84,5.84,5.80
62.80,9.08,3.33,9.08,3.32,-3.27,-3.19,-3.12,5.80,5.80,5.74
63.43,9.04,3.29,9.04,3.30,-3.26,-3.18,-3.11,5.78,5.78,5.74
64.07,9.00,3.25,9.00,3.25,-3.23,-3.18,-3.10,5.76,5.76,5.74
64.71,8.96,3.20,8.96,3.18,-3.18,-3.17,-3.08,5.77,5.77,5.75
65.35,8.91,3.09,8.91,3.11,-3.11,-3.17,-3.06,5.80,5.80,5.83
66.01,8.87,3.03,8.87,3.03,-3.03,-3.16,-3.04,5.84,5.84,5.84
66.67,8.83,2.97,8.83,2.95,-2.95,-3.16,-3.02,5.88,5.88,5.86
67.33,8.79,2.86,8.79,2.89,-2.87,-3.15,-3.00,5.93,5.93,5.94
68.01,8.76,2.81,8.76,2.80,-2.80,-3.14,-2.98,5.96,5.96,5.94
68.69,8.72,2.75,8.72,2.72,-2.74,-3.14,-2.95,5.98,5.98,5.97
69.37,8.68,2.64,8.68,2.68,-2.71,-3.13,-2.93,5.98,5.98,6.04
70.07,8.64,2.67,8.64,2.66,-2.70,-3.12,-2.90,5.95,5.95,5.98
70.77,8.60,2.69,8.60,2.67,-2.71,-3.11,-2.87,5.89,5.89,5.91
71.48,8.56,2.71,8.56,2.71,-2.75,-3.10,-2.85,5.81,5.81,5.84
72.19,8.51,2.74,8.51,2.77,-2.80,-3.09,-2.82,5.71,5.71,5.77
72.91,8.47,2.85,8.47,2.86,-2.86,-3.08,-2.79,5.61,5.61,5.62
