frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.46,1.03,10.46,1.03,-1.03,-1.07,-0.27,9.44,9.43,9.43
20.20,10.45,1.00,10.45,1.00,-1.00,-1.08,-0.28,9.45,9.45,9.45
20.40,10.43,0.97,10.44,0.97,-0.97,-1.08,-0.29,9.46,9.47,9.47
20.61,10.42,0.94,10.42,0.94,-0.95,-1.06,-0.29,9.48,9.48,9.49
20.81,10.41,0.92,10.41,0.92,-0.92,-1.03,-0.30,9.49,9.49,9.49
21.02,10.39,0.90,10.39,0.90,-0.90,-0.98,-0.31,9.49,9.49,9.49
21.23,10.37,0.88,10.37,0.88,-0.88,-0.94,-0.32,9.49,9.49,9.49
21.44,10.34,0.87,10.34,0.87,-0.86,-0.89,-0.33,9.48,9.47,9.47
21.66,10.30,0.85,10.30,0.85,-0.84,-0.85,-0.34,9.45,9.45,9.45
21.87,10.26,0.83,10.26,0.83,-0.83,-0.81,-0.35,9.43,9.43,9.42
22.09,10.21,0.81,10.21,0.81,-0.81,-0.77,-0.36,9.40,9.40,9.40
22.31,10.18,0.79,10.18,0.79,-0.80,-0.74,-0.38,9.37,9.37,9.38
22.54,10.15,0.78,10.15,0.78,-0.80,-0.71,-0.39,9.35,9.35,9.36
22.76,10.12,0.78,10.12,0.78,-0.79,-0.69,-0.40,9.33,9.33,9.35
22.99,10.11,0.78,10.11,0.78,-0.79,-0.67,-0.41,9.32,9.32,9.33
23.22,10.10,0.78,10.10,0.78,-0.78,-0.65,-0.42,9.32,9.32,9.32
23.45,10.09,0.79,10.09,0.78,-0.77,-0.63,-0.43,9.32,9.32,9.30
23.69,10.07,0.78,10.07,0.78,-0.76,-0.62,-0.45,9.31,9.31,9.30
23.92,10.05,0.76,10.05,0.76,-0.75,-0.61,-0.46,9.31,9.31,9.29
24.16,10.02,0.74,10.02,0.74,-0.73,-0.60,-0.47,9.30,9.30,9.29
24.40,9.99,0.70,9.99,0.70,-0.70,-0.59,-0.49,9.28,9.28,9.29
24.65,9.95,0.67,9.96,0.67,-0.68,-0.59,-0.50,9.27,9.27,9.29
24.89,9.92,0.64,9.93,0.64,-0.66,-0.58,-0.51,9.26,9.27,9.29
25.14,9.90,0.62,9.90,0.62,-0.64,-0.58,-0.53,9.26,9.26,9.28
25.39,9.88,0.61,9.88,0.61,-0.62,-0.57,-0.54,9.27,9.27,9.28
