frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.80,-5.31,3.81,-5.30,5.33,4.85,1.84,9.13,9.13,9.11
20.20,3.83,-5.30,3.82,-5.31,5.32,4.89,1.89,9.14,9.14,9.13
20.40,3.84,-5.30,3.84,-5.31,5.31,4.93,1.95,9.15,9.15,9.14
20.61,3.86,-5.30,3.86,-5.30,5.29,4.96,2.01,9.15,9.15,9.16
20.81,3.88,-5.29,3.88,-5.29,5.27,4.99,2.06,9.15,9.15,9.17
21.02,3.90,-5.27,3.90,-5.27,5.24,5.02,2.13,9.14,9.14,9.17
21.23,3.93,-5.24,3.93,-5.23,5.21,5.04,2.19,9.13,9.14,9.16
21.44,3.96,-5.18,3.96,-5.18,5.17,5.06,2.25,9.13,9.13,9.15
21.66,4.01,-5.12,4.00,-5.12,5.12,5.08,2.32,9.12,9.12,9.12
21.87,4.05,-5.05,4.05,-5.05,5.06,5.08,2.39,9.11,9.11,9.10
22.09,4.09,-4.99,4.09,-4.99,5.00,5.09,2.46,9.09,9.09,9.08
22.31,4.13,-4.93,4.13,-4.93,4.95,5.10,2.53,9.08,9.07,9.06
22.54,4.16,-4.88,4.16,-4.88,4.90,5.10,2.61,9.06,9.06,9.04
22.76,4.18,-4.84,4.18,-4.85,4.86,5.09,2.68,9.04,9.04,9.03
22.99,4.20,-4.81,4.19,-4.81,4.82,5.08,2.76,9.02,9.02,9.01
23.22,4.20,-4.79,4.20,-4.79,4.79,5.07,2.84,9.00,9.00,9.00
23.45,4.21,-4.77,4.21,-4.77,4.77,5.06,2.92,8.98,8.98,8.98
23.69,4.22,-4.75,4.22,-4.75,4.75,5.03,3.01,8.97,8.97,8.97
23.92,4.24,-4.73,4.24,-4.73,4.72,5.01,3.09,8.96,8.96,8.97
24.16,4.26,-4.71,4.26,-4.71,4.70,4.98,3.18,8.96,8.96,8.97
24.40,4.28,-4.69,4.28,-4.69,4.68,4.95,3.26,8.96,8.96,8.97
24.65,4.30,-4.66,4.30,-4.66,4.66,4.92,3.35,8.96,8.96,8.97
24.89,4.33,-4.64,4.33,-4.64,4.64,4.88,3.44,8.97,8.97,8.96
25.14,4.34,-4.62,4.34,-4.62,4.62,4.84,3.53,8.96,8.96,8.96
25.39,4.36,-4.60,4.36,-4.60,4.60,4.80,3.62,8.96,8.96,8.96
25.65,4.37,-4.58,4.37,-4.58,4.59,4.76,3.72,8.96,8.96,8.95
25.91,4.38,-4.57,4.38,-4.57,4.58,4.71,3.81,8.95,8.95,8.94
26.16,4.38,-4.56,4.38,-4.56,4.56,4.66,3.90,8.95,8.95,8.94
26.43,4.39,-4.55,4.39,-4.55,4.55,4.61,3.99,8.94,8.94,8.94
26.69,4.40,-4.54,4.40,-4.54,4.54,4.56,4.08,8.93,8.93,8.93
26.96,4.41,-4.52,4.41,-4.52,4.52,4.50,4.16,8.92,8.93,8.93
27.23,4.42,-4.50,4.42,-4.50,4.49,4.45,4.25,8.91,8.91,8.92
27.50,4.44,-4.46,4.44,-4.46,4.45,4.39,4.33,8.89,8.89,8.90
27.77,4.46,-4.41,4.46,-4.41,4.39,4.33,4.41,8.86,8.86,8.87
28.05,4.49,-4.34,4.49,-4.34,4.33,4.28,4.48,8.82,8.82,8.83
28.33,4.53,-4.26,4.53,-4.26,4.25,4.22,4.55,8.78,8.78,8.78
28.62,4.56,-4.17,4.56,-4.17,4.17,4.16,4.62,8.73,8.73,8.73
28.90,4.61,-4.07,4.61,-4.07,4.07,4.10,4.68,8.68,8.68,8.68
29.19,4.65,-3.98,4.65,-3.98,3.97,4.04,4.74,8.63,8.63,8.63
29.48,4.70,-3.88,4.70,-3.88,3.88,3.98,4.79,8.58,8.58,8.58
29.78,4.74,-3.79,4.74,-3.79,3.79,3.92,4.83,8.54,8.54,8.53
30.08,4.78,-3.71,4.78,-3.71,3.72,3.86,4.86,8.50,8.50,8.49
30.38,4.81,-3.64,4.81,-3.64,3.66,3.80,4.89,8.47,8.46,8.44
30.68,4.82,-3.59,4.82,-3.59,3.61,3.74,4.91,8.43,8.43,8.40
30.99,4.81,-3.56,4.81,-3.56,3.58,3.69,4.92,8.40,8.40,8.37
31.30,4.80,-3.55,4.80,-3.55,3.56,3.63,4.92,8.36,8.36,8.35
31.61,4.78,-3.55,4.78,-3.55,3.55,3.57,4.92,8.33,8.33,8.33
31.93,4.76,-3.56,4.76,-3.56,3.54,3.52,4.91,8.30,8.30,8.32
32.24,4.75,-3.55,4.75,-3.55,3.52,3.47,4.89,8.27,8.27,8.31
32.57,4.75,-3.54,4.75,-3.54,3.51,3.41,4.86,8.26,8.26,8.29
32.89,4.76,-3.51,4.77,-3.51,3.50,3.36,4.82,8.26,8.26,8.27
33.22,4.79,-3.47,4.79,-3.47,3.48,3.31,4.78,8.27,8.27,8.26
33.55,4.81,-3.44,4.81,-3.44,3.47,3.27,4.73,8.28,8.28,8.25
33.89,4.83,-3.42,4.82,-3.42,3.45,3.22,4.68,8.28,8.28,8.25
34.23,4.83,-3.42,4.83,-3.42,3.44,3.18,4.62,8.27,8.27,8.25
34.57,4.82,-3.42,4.82,-3.43,3.43,3.13,4.55,8.25,8.25,8.24
34.92,4.80,-3.43,4.80,-3.43,3.41,3.09,4.48,8.21,8.21,8.24
35.27,4.78,-3.43,4.79,-3.42,3.39,3.05,4.40,8.18,8.18,8.21
35.62,4.77,-3.40,4.78,-3.40,3.37,3.02,4.32,8.14,8.14,8.18
35.97,4.77,-3.36,4.78,-3.36,3.34,2.98,4.24,8.11,8.11,8.13
36.33,4.79,-3.30,4.79,-3.30,3.30,2.95,4.16,8.09,8.09,8.09
36.70,4.80,-3.24,4.80,-3.24,3.26,2.92,4.07,8.07,8.07,8.04
37.06,4.82,-3.19,4.81,-3.19,3.23,2.89,3.99,8.04,8.04,8.01
37.43,4.82,-3.16,4.82,-3.16,3.19,2.87,3.90,8.01,8.01,7.98
37.81,4.81,-3.15,4.81,-3.15,3.16,2.84,3.81,7.97,7.97,7.95
38.19,4.80,-3.14,4.80,-3.13,3.13,2.82,3.72,7.93,7.93,7.93
38.57,4.78,-3.12,4.78,-3.12,3.10,2.80,3.63,7.88,7.88,7.90
38.95,4.77,-3.08,4.77,-3.08,3.06,2.78,3.54,7.83,7.83,7.85
39.34,4.77,-3.04,4.77,-3.04,3.02,2.77,3.45,7.78,7.78,7.80
39.74,4.77,-2.98,4.77,-2.98,2.96,2.75,3.36,7.73,7.73,7.75
40.14,4.78,-2.91,4.78,-2.91,2.90,2.74,3.28,7.68,7.68,7.69
40.54,4.80,-2.83,4.81,-2.83,2.82,2.73,3.19,7.63,7.63,7.63
40.94,4.84,-2.75,4.84,-2.75,2.75,2.72,3.11,7.59,7.59,7.59
41.35,4.88,-2.67,4.88,-2.67,2.68,2.71,3.03,7.56,7.56,7.54
41.76,4.91,-2.59,4.91,-2.59,2.62,2.70,2.95,7.53,7.53,7.50
42.18,4.93,-2.54,4.93,-2.54,2.56,2.69,2.87,7.49,7.49,7.47
42.60,4.94,-2.49,4.93,-2.50,2.52,2.67,2.79,7.45,7.45,7.43
43.03,4.93,-2.47,4.93,-2.47,2.48,2.66,2.71,7.40,7.40,7.40
43.46,4.91,-2.46,4.91,-2.45,2.44,2.64,2.64,7.36,7.36,7.37
43.90,4.90,-2.43,4.90,-2.43,2.41,2.62,2.57,7.31,7.32,7.33
44.33,4.90,-2.40,4.90,-2.40,2.38,2.60,2.50,7.28,7.28,7.30
44.78,4.90,-2.36,4.90,-2.36,2.35,2.57,2.43,7.25,7.25,7.26
45.23,4.90,-2.32,4.90,-2.32,2.32,2.54,2.37,7.22,7.22,7.23
45.68,4.91,-2.28,4.91,-2.28,2.28,2.51,2.30,7.19,7.19,7.19
46.13,4.92,-2.24,4.91,-2.24,2.25,2.47,2.24,7.16,7.16,7.15
46.60,4.91,-2.20,4.91,-2.20,2.21,2.42,2.18,7.12,7.12,7.11
47.06,4.90,-2.17,4.90,-2.17,2.17,2.37,2.12,7.08,7.07,7.07
47.53,4.88,-2.14,4.88,-2.14,2.14,2.32,2.07,7.02,7.02,7.02
48.01,4.86,-2.12,4.86,-2.12,2.11,2.27,2.01,6.97,6.97,6.98
48.49,4.84,-2.09,4.84,-2.09,2.08,2.21,1.96,6.92,6.92,6.93
48.97,4.83,-2.06,4.83,-2.06,2.05,2.15,1.91,6.89,6.89,6.89
49.46,4.83,-2.03,4.83,-2.03,2.03,2.10,1.86,6.86,6.86,6.86
49.96,4.83,-1.99,4.82,-2.00,2.01,2.04,1.81,6.84,6.83,6.82
50.46,4.81,-1.98,4.81,-1.98,1.98,1.98,1.77,6.80,6.80,6.79
50.96,4.79,-1.97,4.80,-1.97,1.97,1.92,1.72,6.76,6.76,6.76
51.47,4.78,-1.96,4.78,-1.96,1.96,1.86,1.68,6.73,6.74,6.74
51.99,4.77,-1.95,4.77,-1.95,1.96,1.80,1.64,6.72,6.73,6.71
52.51,4.76,-1.94,4.76,-1.94,1.96,1.75,1.60,6.72,6.72,6.70
53.03,4.75,-1.93,4.75,-1.94,1.96,1.69,1.56,6.71,6.71,6.68
53.56,4.73,-1.95,4.73,-1.95,1.96,1.64,1.52,6.69,6.68,6.68
54.10,4.71,-1.96,4.71,-1.96,1.94,1.59,1.48,6.65,6.65,6.67
54.64,4.70,-1.96,4.70,-1.96,1.92,1.54,1.45,6.62,6.62,6.66
55.18,4.70,-1.93,4.70,-1.92,1.89,1.49,1.41,6.59,6.59,6.63
55.74,4.71,-1.86,4.70,-1.86,1.85,1.45,1.38,6.56,6.56,6.57
56.29,4.71,-1.78,4.71,-1.79,1.80,1.40,1.34,6.51,6.50,6.49
56.86,4.70,-1.71,4.70,-1.72,1.73,1.36,1.31,6.43,6.43,6.41
57.42,4.68,-1.65,4.68,-1.65,1.66,1.32,1.28,6.34,6.34,6.33
58.00,4.66,-1.60,4.67,-1.59,1.58,1.28,1.25,6.24,6.25,6.26
58.58,4.67,-1.52,4.67,-1.52,1.50,1.24,1.22,6.17,6.17,6.19
59.16,4.68,-1.44,4.68,-1.44,1.44,1.21,1.19,6.12,6.12,6.12
59.76,4.71,-1.36,4.71,-1.36,1.38,1.17,1.16,6.09,6.09,6.07
60.35,4.72,-1.30,4.72,-1.30,1.34,1.14,1.13,6.06,6.06,6.02
60.96,4.72,-1.26,4.71,-1.27,1.30,1.11,1.10,6.01,6.01,5.98
61.57,4.69,-1.25,4.68,-1.25,1.26,1.08,1.08,5.95,5.95,5.94
62.18,4.65,-1.25,4.65,-1.25,1.23,1.05,1.05,5.88,5.89,5.90
62.80,4.63,-1.24,4.63,-1.24,1.21,1.02,1.02,5.83,5.84,5.87
63.43,4.62,-1.21,4.63,-1.21,1.18,0.99,0.99,5.81,5.81,5.84
64.07,4.63,-1.17,4.63,-1.17,1.16,0.96,0.97,5.80,5.80,5.81
64.71,4.65,-1.13,4.64,-1.13,1.14,0.94,0.94,5.79,5.79,5.77
65.35,4.64,-1.09,4.64,-1.10,1.12,0.91,0.91,5.76,5.76,5.73
66.01,4.62,-1.07,4.61,-1.07,1.09,0.89,0.89,5.71,5.71,5.69
