frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.86,-2.98,5.86,-2.97,2.98,2.68,1.28,8.85,8.85,8.84
20.20,5.86,-2.99,5.86,-3.00,3.00,2.68,1.32,8.86,8.86,8.86
20.40,5.86,-3.01,5.87,-3.01,3.01,2.68,1.36,8.88,8.88,8.88
20.61,5.87,-3.03,5.87,-3.03,3.02,2.69,1.40,8.89,8.89,8.90
20.81,5.87,-3.04,5.87,-3.04,3.03,2.69,1.44,8.89,8.89,8.90
21.02,5.87,-3.04,5.87,-3.04,3.03,2.70,1.48,8.90,8.90,8.90
21.23,5.86,-3.03,5.86,-3.03,3.03,2.70,1.53,8.89,8.89,8.89
21.44,5.86,-3.02,5.86,-3.02,3.02,2.71,1.57,8.88,8.88,8.88
21.66,5.85,-3.00,5.85,-3.01,3.01,2.71,1.62,8.86,8.86,8.86
21.87,5.84,-2.99,5.84,-2.99,2.99,2.72,1.67,8.84,8.84,8.83
22.09,5.84,-2.97,5.84,-2.97,2.97,2.73,1.72,8.81,8.81,8.81
22.31,5.84,-2.95,5.84,-2.95,2.95,2.74,1.77,8.79,8.79,8.79
22.54,5.84,-2.93,5.84,-2.93,2.92,2.75,1.82,8.76,8.77,8.77
22.76,5.85,-2.91,5.85,-2.91,2.90,2.76,1.87,8.75,8.75,8.76
22.99,5.86,-2.88,5.86,-2.88,2.87,2.77,1.93,8.74,8.74,8.74
23.22,5.88,-2.85,5.88,-2.85,2.85,2.78,1.98,8.73,8.73,8.73
23.45,5.89,-2.83,5.89,-2.83,2.83,2.80,2.04,8.72,8.72,8.71
23.69,5.89,-2.82,5.89,-2.82,2.83,2.82,2.10,8.71,8.71,8.70
23.92,5.88,-2.81,5.88,-2.82,2.83,2.84,2.16,8.71,8.71,8.70
24.16,5.87,-2.83,5.87,-2.83,2.84,2.86,2.22,8.71,8.71,8.70
24.40,5.84,-2.85,5.84,-2.85,2.86,2.89,2.28,8.70,8.70,8.70
24.65,5.81,-2.89,5.81,-2.89,2.90,2.92,2.34,8.70,8.70,8.70
24.89,5.76,-2.94,5.76,-2.94,2.94,2.96,2.40,8.70,8.70,8.70
25.14,5.70,-2.99,5.70,-2.99,3.00,3.00,2.47,8.70,8.70,8.69
25.39,5.64,-3.05,5.64,-3.05,3.06,3.04,2.53,8.70,8.70,8.69
25.65,5.57,-3.11,5.57,-3.11,3.12,3.08,2.59,8.69,8.69,8.68
25.91,5.51,-3.17,5.50,-3.17,3.17,3.12,2.66,8.68,8.68,8.67
26.16,5.44,-3.23,5.44,-3.22,3.22,3.15,2.72,8.66,8.66,8.67
26.43,5.40,-3.27,5.40,-3.27,3.25,3.17,2.78,8.64,8.65,8.67
26.69,5.38,-3.29,5.37,-3.29,3.26,3.17,2.84,8.63,8.63,8.66
26.96,5.37,-3.29,5.37,-3.29,3.25,3.17,2.90,8.62,8.62,8.66
27.23,5.39,-3.26,5.40,-3.25,3.22,3.14,2.96,8.62,8.62,8.65
27.50,5.44,-3.20,5.43,-3.20,3.19,3.10,3.02,8.62,8.62,8.63
27.77,5.47,-3.13,5.47,-3.13,3.14,3.05,3.07,8.61,8.61,8.60
28.05,5.51,-3.06,5.50,-3.06,3.09,3.01,3.13,8.60,8.60,8.56
28.33,5.51,-3.00,5.51,-3.00,3.05,2.96,3.18,8.56,8.56,8.51
28.62,5.50,-2.96,5.50,-2.97,3.02,2.92,3.23,8.52,8.51,8.47
28.90,5.46,-2.95,5.46,-2.95,2.98,2.88,3.27,8.44,8.44,8.41
29.19,5.42,-2.94,5.42,-2.95,2.94,2.84,3.31,8.36,8.36,8.36
29.48,5.37,-2.94,5.38,-2.93,2.90,2.80,3.34,8.27,8.28,8.31
29.78,5.37,-2.90,5.36,-2.90,2.84,2.77,3.38,8.21,8.20,8.26
30.08,5.38,-2.84,5.39,-2.83,2.76,2.74,3.40,8.14,8.15,8.22
30.38,5.44,-2.73,5.45,-2.73,2.67,2.72,3.43,8.11,8.12,8.17
