frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.62,4.88,7.62,4.87,-4.89,-4.87,-1.87,2.74,2.74,2.75
20.20,7.65,4.86,7.65,4.87,-4.87,-4.90,-1.93,2.78,2.78,2.78
20.40,7.67,4.85,7.67,4.85,-4.85,-4.93,-1.98,2.81,2.81,2.82
20.61,7.69,4.84,7.68,4.84,-4.83,-4.91,-2.04,2.85,2.85,2.85
20.81,7.70,4.82,7.70,4.82,-4.81,-4.88,-2.10,2.89,2.89,2.88
21.02,7.71,4.80,7.71,4.80,-4.79,-4.84,-2.16,2.92,2.92,2.91
21.23,7.72,4.78,7.72,4.78,-4.77,-4.80,-2.23,2.96,2.96,2.94
21.44,7.74,4.75,7.74,4.75,-4.75,-4.76,-2.29,2.99,2.99,2.99
21.66,7.75,4.72,7.75,4.72,-4.72,-4.72,-2.36,3.04,3.04,3.03
21.87,7.77,4.69,7.77,4.69,-4.69,-4.68,-2.43,3.08,3.08,3.08
22.09,7.78,4.65,7.78,4.65,-4.66,-4.64,-2.50,3.13,3.13,3.13
22.31,7.80,4.62,7.80,4.62,-4.63,-4.62,-2.57,3.17,3.17,3.18
22.54,7.83,4.60,7.83,4.60,-4.61,-4.59,-2.65,3.21,3.21,3.23
22.76,7.85,4.58,7.85,4.58,-4.60,-4.57,-2.73,3.25,3.25,3.27
22.99,7.88,4.58,7.88,4.58,-4.59,-4.56,-2.80,3.29,3.29,3.30
23.22,7.91,4.58,7.91,4.58,-4.58,-4.54,-2.89,3.33,3.33,3.33
23.45,7.93,4.58,7.93,4.58,-4.58,-4.53,-2.97,3.36,3.36,3.35
23.69,7.95,4.58,7.95,4.58,-4.57,-4.51,-3.05,3.39,3.39,3.38
23.92,7.97,4.57,7.97,4.57,-4.56,-4.50,-3.14,3.41,3.41,3.40
24.16,7.98,4.56,7.98,4.56,-4.54,-4.48,-3.22,3.44,3.44,3.42
24.40,7.98,4.53,7.98,4.53,-4.52,-4.47,-3.31,3.46,3.46,3.45
24.65,7.98,4.50,7.98,4.50,-4.50,-4.45,-3.40,3.48,3.48,3.48
24.89,7.98,4.47,7.98,4.47,-4.47,-4.43,-3.49,3.51,3.51,3.51
25.14,7.98,4.43,7.98,4.43,-4.44,-4.41,-3.58,3.54,3.54,3.55
25.39,7.98,4.39,7.99,4.39,-4.40,-4.39,-3.68,3.58,3.58,3.59
25.65,7.99,4.36,7.99,4.36,-4.37,-4.36,-3.77,3.62,3.62,3.63
25.91,8.00,4.33,8.00,4.33,-4.33,-4.33,-3.86,3.67,3.67,3.67
26.16,8.01,4.30,8.01,4.30,-4.29,-4.30,-3.95,3.71,3.71,3.71
26.43,8.00,4.27,8.00,4.27,-4.25,-4.26,-4.04,3.75,3.75,3.74
26.69,7.98,4.22,7.98,4.22,-4.21,-4.22,-4.13,3.77,3.77,3.76
26.96,7.96,4.18,7.96,4.17,-4.17,-4.18,-4.22,3.79,3.79,3.78
27.23,7.93,4.12,7.93,4.12,-4.12,-4.14,-4.31,3.81,3.81,3.80
27.50,7.90,4.07,7.90,4.07,-4.08,-4.10,-4.40,3.82,3.82,3.83
27.77,7.88,4.02,7.88,4.02,-4.04,-4.06,-4.48,3.85,3.85,3.86
28.05,7.88,3.98,7.88,3.99,-4.00,-4.02,-4.56,3.88,3.89,3.90
28.33,7.90,3.96,7.90,3.96,-3.97,-3.98,-4.63,3.93,3.93,3.94
28.62,7.92,3.94,7.92,3.94,-3.94,-3.94,-4.70,3.98,3.98,3.98
28.90,7.95,3.93,7.95,3.93,-3.93,-3.92,-4.76,4.03,4.02,4.02
29.19,7.97,3.92,7.97,3.92,-3.92,-3.89,-4.82,4.05,4.05,4.05
29.48,7.98,3.91,7.98,3.91,-3.92,-3.87,-4.88,4.07,4.06,4.08
29.78,7.99,3.90,7.99,3.90,-3.92,-3.86,-4.92,4.07,4.07,4.08
30.08,8.00,3.91,8.00,3.91,-3.92,-3.85,-4.96,4.07,4.08,4.09
30.38,8.01,3.92,8.02,3.92,-3.92,-3.84,-5.00,4.09,4.09,4.10
30.68,8.05,3.93,8.05,3.93,-3.92,-3.83,-5.02,4.13,4.13,4.11
30.99,8.08,3.94,8.08,3.93,-3.91,-3.82,-5.04,4.18,4.18,4.15
31.30,8.11,3.92,8.11,3.92,-3.88,-3.82,-5.05,4.23,4.23,4.19
31.61,8.12,3.89,8.12,3.88,-3.86,-3.81,-5.06,4.27,4.26,4.23
31.93,8.10,3.83,8.10,3.83,-3.82,-3.80,-5.05,4.28,4.28,4.27
