frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.04,5.56,8.04,5.56,-5.54,-5.42,-2.15,2.50,2.50,2.48
20.20,8.07,5.56,8.07,5.56,-5.55,-5.51,-2.22,2.51,2.51,2.51
20.40,8.10,5.56,8.10,5.56,-5.57,-5.60,-2.28,2.53,2.53,2.54
20.61,8.14,5.57,8.14,5.57,-5.58,-5.63,-2.35,2.56,2.56,2.57
20.81,8.19,5.59,8.19,5.59,-5.60,-5.66,-2.42,2.59,2.59,2.60
21.02,8.25,5.61,8.25,5.61,-5.62,-5.65,-2.49,2.63,2.63,2.63
21.23,8.31,5.64,8.31,5.64,-5.64,-5.64,-2.56,2.67,2.67,2.67
21.44,8.38,5.66,8.38,5.66,-5.66,-5.62,-2.63,2.72,2.72,2.71
21.66,8.45,5.69,8.45,5.69,-5.69,-5.61,-2.71,2.76,2.76,2.76
21.87,8.52,5.71,8.52,5.71,-5.71,-5.62,-2.79,2.81,2.81,2.81
22.09,8.60,5.74,8.60,5.74,-5.74,-5.63,-2.87,2.86,2.86,2.86
22.31,8.67,5.76,8.67,5.76,-5.77,-5.67,-2.96,2.90,2.90,2.91
22.54,8.74,5.79,8.74,5.79,-5.79,-5.71,-3.04,2.95,2.95,2.95
22.76,8.80,5.81,8.80,5.81,-5.81,-5.77,-3.13,2.99,2.99,2.99
22.99,8.86,5.83,8.86,5.83,-5.84,-5.84,-3.22,3.02,3.02,3.03
23.22,8.91,5.85,8.91,5.85,-5.85,-5.90,-3.31,3.05,3.05,3.06
23.45,8.95,5.86,8.95,5.86,-5.87,-5.96,-3.40,3.08,3.08,3.08
23.69,8.97,5.87,8.97,5.87,-5.87,-5.97,-3.50,3.11,3.11,3.10
23.92,8.99,5.87,8.99,5.87,-5.86,-5.98,-3.60,3.13,3.13,3.13
24.16,9.00,5.85,9.00,5.85,-5.83,-5.93,-3.70,3.16,3.16,3.15
24.40,8.99,5.81,8.99,5.81,-5.79,-5.87,-3.80,3.19,3.19,3.18
24.65,8.96,5.76,8.96,5.76,-5.74,-5.77,-3.90,3.22,3.22,3.21
24.89,8.93,5.68,8.92,5.68,-5.67,-5.66,-4.01,3.25,3.25,3.24
25.14,8.88,5.60,8.88,5.60,-5.59,-5.54,-4.11,3.28,3.28,3.28
25.39,8.82,5.50,8.82,5.50,-5.51,-5.42,-4.22,3.31,3.31,3.32
25.65,8.76,5.40,8.76,5.40,-5.42,-5.32,-4.32,3.34,3.35,3.36
25.91,8.71,5.31,8.71,5.31,-5.33,-5.21,-4.43,3.38,3.38,3.40
26.16,8.65,5.22,8.66,5.22,-5.24,-5.13,-4.53,3.42,3.42,3.43
26.43,8.61,5.14,8.61,5.14,-5.15,-5.05,-4.64,3.46,3.46,3.46
26.69,8.56,5.07,8.56,5.07,-5.06,-4.98,-4.74,3.49,3.49,3.49
26.96,8.50,4.99,8.50,4.99,-4.98,-4.92,-4.84,3.53,3.52,3.51
27.23,8.45,4.91,8.45,4.91,-4.90,-4.87,-4.94,3.55,3.55,3.53
27.50,8.39,4.83,8.39,4.83,-4.81,-4.82,-5.04,3.57,3.57,3.56
27.77,8.33,4.74,8.33,4.74,-4.74,-4.78,-5.13,3.59,3.59,3.59
28.05,8.28,4.65,8.28,4.66,-4.66,-4.74,-5.23,3.62,3.62,3.62
28.33,8.25,4.58,8.25,4.58,-4.59,-4.71,-5.31,3.65,3.65,3.67
28.62,8.23,4.52,8.23,4.52,-4.54,-4.68,-5.39,3.69,3.69,3.71
28.90,8.22,4.48,8.22,4.48,-4.49,-4.65,-5.46,3.73,3.73,3.75
29.19,8.23,4.45,8.23,4.45,-4.46,-4.62,-5.53,3.77,3.77,3.78
29.48,8.24,4.43,8.24,4.44,-4.44,-4.59,-5.59,3.79,3.79,3.80
29.78,8.24,4.43,8.24,4.43,-4.43,-4.56,-5.65,3.81,3.81,3.81
30.08,8.25,4.43,8.25,4.43,-4.43,-4.54,-5.69,3.83,3.82,3.82
30.38,8.26,4.43,8.26,4.43,-4.42,-4.51,-5.73,3.84,3.84,3.82
30.68,8.27,4.43,8.28,4.43,-4.42,-4.48,-5.75,3.85,3.86,3.84
30.99,8.30,4.43,8.30,4.43,-4.42,-4.46,-5.77,3.88,3.88,3.87
31.30,8.33,4.41,8.33,4.41,-4.42,-4.43,-5.78,3.92,3.92,3.92
31.61,8.36,4.40,8.36,4.40,-4.41,-4.40,-5.79,3.95,3.95,3.96
31.93,8.39,4.39,8.38,4.39,-4.40,-4.37,-5.77,3.99,3.99,4.00
32.24,8.39,4.38,8.39,4.38,-4.38,-4.35,-5.76,4.01,4.01,4.02
32.57,8.39,4.37,8.39,4.37,-4.36,-4.32,-5.73,4.03,4.02,4.02
32.89,8.37,4.35,8.37,4.35,-4.34,-4.29,-5.70,4.03,4.03,4.02
33.22,8.34,4.32,8.34,4.32,-4.31,-4.26,-5.65,4.03,4.03,4.02
33.55,8.31,4.29,8.31,4.28,-4.28,-4.22,-5.61,4.03,4.03,4.02
33.89,8.29,4.24,8.29,4.24,-4.24,-4.19,-5.55,4.05,4.05,4.05
34.23,8.28,4.19,8.28,4.19,-4.20,-4.16,-5.49,4.07,4.08,4.09
34.57,8.27,4.14,8.27,4.14,-4.16,-4.12,-5.42,4.11,4.11,4.13
34.92,8.26,4.10,8.25,4.10,-4.10,-4.09,-5.35,4.16,4.15,4.16
35.27,8.23,4.06,8.23,4.06,-4.04,-4.06,-5.27,4.19,4.19,4.17
35.62,8.18,4.01,8.18,4.00,-3.97,-4.02,-5.19,4.20,4.20,4.17
35.97,8.11,3.94,8.11,3.93,-3.91,-3.98,-5.11,4.20,4.20,4.17
36.33,8.03,3.85,8.03,3.85,-3.85,-3.95,-5.02,4.18,4.18,4.18
36.70,7.96,3.77,7.96,3.77,-3.79,-3.91,-4.93,4.17,4.17,4.19
37.06,7.90,3.70,7.91,3.71,-3.74,-3.87,-4.84,4.16,4.17,4.20
37.43,7.88,3.66,7.88,3.67,-3.69,-3.84,-4.75,4.18,4.19,4.22
37.81,7.89,3.65,7.89,3.65,-3.67,-3.80,-4.66,4.22,4.22,4.24
38.19,7.90,3.64,7.90,3.64,-3.65,-3.76,-4.57,4.25,4.25,4.26
38.57,7.93,3.65,7.93,3.65,-3.65,-3.72,-4.48,4.28,4.28,4.28
38.95,7.94,3.65,7.94,3.65,-3.65,-3.69,-4.40,4.29,4.29,4.29
39.34,7.94,3.66,7.94,3.66,-3.66,-3.65,-4.31,4.29,4.28,4.28
39.74,7.93,3.67,7.92,3.67,-3.65,-3.61,-4.22,4.27,4.27,4.26
40.14,7.89,3.67,7.89,3.67,-3.64,-3.58,-4.14,4.25,4.25,4.23
40.54,7.85,3.66,7.86,3.66,-3.62,-3.54,-4.05,4.24,4.24,4.19
40.94,7.82,3.63,7.82,3.62,-3.59,-3.50,-3.97,4.22,4.22,4.19
41.35,7.79,3.58,7.79,3.57,-3.57,-3.47,-3.89,4.22,4.22,4.21
41.76,7.77,3.51,7.78,3.51,-3.56,-3.43,-3.82,4.22,4.22,4.26
42.18,7.77,3.47,7.77,3.48,-3.54,-3.40,-3.75,4.23,4.23,4.30
42.60,7.77,3.46,7.77,3.47,-3.53,-3.37,-3.67,4.24,4.24,4.31
43.03,7.77,3.50,7.77,3.50,-3.51,-3.34,-3.60,4.26,4.26,4.27
43.46,7.76,3.55,7.76,3.54,-3.49,-3.31,-3.54,4.26,4.26,4.21
43.90,7.73,3.55,7.73,3.54,-3.47,-3.28,-3.48,4.26,4.26,4.18
44.33,7.70,3.51,7.69,3.50,-3.45,-3.26,-3.41,4.25,4.24,4.19
44.78,7.65,3.41,7.65,3.42,-3.42,-3.23,-3.36,4.23,4.23,4.23
45.23,7.59,3.33,7.59,3.35,-3.37,-3.21,-3.30,4.22,4.22,4.26
45.68,7.53,3.28,7.53,3.29,-3.31,-3.19,-3.25,4.22,4.22,4.24
46.13,7.47,3.26,7.47,3.25,-3.25,-3.18,-3.20,4.22,4.22,4.21
46.60,7.42,3.22,7.43,3.20,-3.20,-3.17,-3.15,4.23,4.23,4.21
47.06,7.39,3.15,7.39,3.15,-3.16,-3.16,-3.10,4.24,4.24,4.24
47.53,7.37,3.08,7.37,3.10,-3.13,-3.16,-3.06,4.24,4.25,4.29
48.01,7.36,3.07,7.36,3.08,-3.11,-3.16,-3.02,4.26,4.26,4.29
48.49,7.36,3.09,7.36,3.08,-3.09,-3.16,-2.98,4.27,4.27,4.28
48.97,7.36,3.10,7.36,3.10,-3.08,-3.16,-2.94,4.27,4.27,4.25
49.46,7.35,3.11,7.35,3.10,-3.08,-3.17,-2.91,4.27,4.27,4.24
49.96,7.33,3.10,7.33,3.10,-3.08,-3.17,-2.88,4.25,4.25,4.24
50.46,7.30,3.09,7.30,3.09,-3.09,-3.17,-2.85,4.22,4.22,4.22
50.96,7.27,3.08,7.27,3.07,-3.09,-3.16,-2.82,4.19,4.19,4.20
51.47,7.24,3.06,7.24,3.07,-3.08,-3.14,-2.79,4.16,4.16,4.17
51.99,7.20,3.07,7.20,3.07,-3.07,-3.11,-2.77,4.13,4.13,4.13
52.51,7.17,3.07,7.17,3.07,-3.05,-3.07,-2.74,4.11,4.11,4.10
53.03,7.13,3.06,7.13,3.05,-3.03,-3.03,-2.72,4.10,4.10,4.07
53.56,7.10,3.01,7.10,3.01,-3.01,-2.98,-2.70,4.09,4.09,4.09
54.10,7.06,2.96,7.06,2.98,-2.98,-2.93,-2.68,4.08,4.08,4.10
54.64,7.02,2.94,7.02,2.94,-2.95,-2.87,-2.66,4.07,4.07,4.09
55.18,6.98,2.93,6.98,2.91,-2.90,-2.82,-2.64,4.08,4.08,4.06
55.74,6.95,2.86,6.95,2.86,-2.85,-2.78,-2.62,4.10,4.10,4.09
56.29,6.92,2.80,6.92,2.81,-2.80,-2.73,-2.60,4.12,4.12,4.12
56.86,6.89,2.75,6.89,2.75,-2.74,-2.69,-2.58,4.15,4.15,4.14
57.42,6.86,2.69,6.86,2.69,-2.69,-2.65,-2.56,4.17,4.17,4.17
58.00,6.84,2.63,6.84,2.62,-2.63,-2.62,-2.54,4.21,4.20,4.20
58.58,6.81,2.55,6.81,2.56,-2.57,-2.58,-2.52,4.24,4.24,4.25
59.16,6.77,2.49,6.77,2.51,-2.51,-2.55,-2.50,4.26,4.26,4.28
59.76,6.74,2.48,6.74,2.46,-2.46,-2.52,-2.47,4.28,4.28,4.26
60.35,6.70,2.43,6.71,2.42,-2.41,-2.49,-2.45,4.30,4.30,4.27
60.96,6.67,2.36,6.67,2.36,-2.36,-2.46,-2.43,4.31,4.31,4.31
61.57,6.63,2.29,6.63,2.31,-2.32,-2.43,-2.40,4.31,4.31,4.34
62.18,6.59,2.26,6.59,2.27,-2.29,-2.40,-2.38,4.31,4.31,4.33
62.80,6.55,2.26,6.55,2.25,-2.26,-2.37,-2.35,4.30,4.30,4.30
63.43,6.51,2.24,6.51,2.24,-2.23,-2.34,-2.32,4.28,4.28,4.27
64.07,6.47,2.22,6.47,2.22,-2.21,-2.31,-2.29,4.26,4.26,4.25
64.71,6.43,2.20,6.43,2.20,-2.20,-2.27,-2.26,4.24,4.24,4.24
65.35,6.40,2.18,6.40,2.18,-2.19,-2.24,-2.23,4.21,4.21,4.22
66.01,6.36,2.17,6.36,2.17,-2.18,-2.20,-2.19,4.18,4.18,4.19
66.67,6.32,2.17,6.32,2.17,-2.17,-2.17,-2.16,4.15,4.15,4.15
67.33,6.28,2.16,6.28,2.16,-2.16,-2.13,-2.12,4.13,4.13,4.12
68.01,6.25,2.15,6.25,2.15,-2.15,-2.09,-2.09,4.10,4.10,4.09
68.69,6.21,2.13,6.21,2.14,-2.13,-2.05,-2.05,4.08,4.08,4.07
69.37,6.17,2.12,6.17,2.12,-2.12,-2.01,-2.01,4.05,4.05,4.05
70.07,6.13,2.10,6.13,2.10,-2.10,-1.97,-1.97,4.03,4.03,4.03
70.77,6.09,2.07,6.09,2.07,-2.08,-1.92,-1.93,4.01,4.01,4.01
71.48,6.05,2.04,6.05,2.04,-2.05,-1.88,-1.89,4.00,4.00,4.00
72.19,6.01,2.01,6.01,2.01,-2.02,-1.84,-1.86,3.99,3.99,4.00
72.91,5.97,1.97,5.97,1.97,-1.97,-1.80,-1.82,4.00,4.00,4.00
73.64,5.93,1.93,5.93,1.94,-1.93,-1.76,-1.77,4.01,4.01,4.01
74.38,5.89,1.90,5.89,1.89,-1.87,-1.72,-1.73,4.02,4.02,3.99
75.12,5.85,1.86,5.85,1.82,-1.81,-1.68,-1.69,4.04,4.04,3.99
75.87,5.80,1.72,5.80,1.74,-1.74,-1.64,-1.66,4.06,4.06,4.09
76.63,5.76,1.63,5.76,1.65,-1.67,-1.60,-1.62,4.09,4.09,4.13
77.40,5.72,1.59,5.72,1.58,-1.59,-1.56,-1.58,4.13,4.13,4.12
78.17,5.67,1.52,5.67,1.52,-1.51,-1.52,-1.54,4.16,4.16,4.15
78.95,5.63,1.44,5.63,1.44,-1.43,-1.48,-1.50,4.20,4.20,4.19
79.74,5.59,1.36,5.59,1.36,-1.36,-1.45,-1.46,4.22,4.22,4.23
80.54,5.55,1.29,5.55,1.29,-1.30,-1.41,-1.43,4.25,4.24,4.26
81.35,5.50,1.22,5.50,1.23,-1.24,-1.38,-1.39,4.26,4.26,4.28
82.16,5.46,1.19,5.46,1.19,-1.20,-1.34,-1.35,4.26,4.26,4.27
82.98,5.42,1.16,5.42,1.15,-1.15,-1.31,-1.32,4.26,4.26,4.26
83.81,5.38,1.12,5.38,1.12,-1.12,-1.28,-1.29,4.26,4.26,4.25
84.65,5.33,1.09,5.33,1.10,-1.09,-1.25,-1.25,4.24,4.24,4.24
85.50,5.29,1.08,5.29,1.08,-1.08,-1.22,-1.22,4.21,4.21,4.22
86.35,5.26,1.07,5.26,1.06,-1.08,-1.19,-1.19,4.18,4.18,4.18
87.22,5.23,1.05,5.23,1.05,-1.07,-1.16,-1.16,4.15,4.15,4.18
88.09,5.20,1.05,5.20,1.06,-1.07,-1.13,-1.13,4.13,4.13,4.15
88.97,5.16,1.07,5.16,1.07,-1.07,-1.11,-1.10,4.10,4.10,4.10
89.86,5.13,1.10,5.12,1.08,-1.06,-1.08,-1.07,4.07,4.06,4.02
90.76,5.08,1.07,5.08,1.08,-1.05,-1.06,-1.04,4.03,4.03,4.00
91.66,5.03,1.05,5.03,1.06,-1.03,-1.03,-1.02,4.00,4.00,3.98
92.58,4.97,1.03,4.97,1.02,-1.01,-1.01,-0.99,3.96,3.96,3.94
