frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.29,-3.10,7.29,-3.10,3.04,2.97,1.74,10.33,10.33,10.38
20.20,7.15,-3.23,7.16,-3.23,3.21,3.12,1.79,10.37,10.37,10.38
20.40,7.02,-3.36,7.02,-3.36,3.38,3.27,1.85,10.40,10.40,10.39
20.61,6.89,-3.50,6.89,-3.50,3.53,3.44,1.90,10.42,10.42,10.39
20.81,6.76,-3.63,6.76,-3.63,3.68,3.61,1.96,10.43,10.43,10.39
21.02,6.62,-3.77,6.62,-3.77,3.81,3.79,2.01,10.43,10.43,10.39
21.23,6.49,-3.91,6.48,-3.91,3.94,3.97,2.07,10.42,10.42,10.39
21.44,6.35,-4.04,6.35,-4.04,4.05,4.12,2.13,10.40,10.40,10.39
21.66,6.21,-4.17,6.21,-4.17,4.18,4.28,2.19,10.39,10.39,10.39
21.87,6.08,-4.30,6.09,-4.29,4.29,4.39,2.26,10.37,10.37,10.38
22.09,5.98,-4.39,5.98,-4.39,4.38,4.50,2.32,10.36,10.36,10.38
22.31,5.90,-4.47,5.90,-4.47,4.44,4.54,2.39,10.34,10.34,10.37
22.54,5.85,-4.52,5.85,-4.52,4.49,4.58,2.46,10.33,10.34,10.37
22.76,5.82,-4.54,5.83,-4.54,4.51,4.57,2.53,10.33,10.34,10.36
22.99,5.83,-4.53,5.84,-4.52,4.51,4.56,2.60,10.34,10.34,10.36
23.22,5.87,-4.49,5.86,-4.50,4.49,4.52,2.68,10.36,10.36,10.36
23.45,5.90,-4.45,5.90,-4.46,4.47,4.49,2.75,10.38,10.37,10.36
23.69,5.94,-4.42,5.94,-4.42,4.44,4.45,2.83,10.39,10.39,10.36
23.92,5.97,-4.39,5.97,-4.39,4.42,4.41,2.91,10.39,10.39,10.36
24.16,5.98,-4.38,5.98,-4.38,4.41,4.37,2.99,10.39,10.39,10.36
24.40,5.98,-4.37,5.98,-4.38,4.40,4.34,3.07,10.38,10.38,10.36
24.65,5.97,-4.38,5.97,-4.38,4.39,4.32,3.16,10.36,10.36,10.35
24.89,5.95,-4.39,5.95,-4.39,4.39,4.29,3.24,10.34,10.34,10.35
25.14,5.94,-4.40,5.94,-4.40,4.39,4.26,3.32,10.33,10.33,10.34
25.39,5.94,-4.40,5.94,-4.39,4.37,4.24,3.41,10.31,10.31,10.33
25.65,5.96,-4.37,5.96,-4.37,4.34,4.21,3.49,10.30,10.30,10.33
25.91,6.00,-4.32,6.00,-4.32,4.30,4.18,3.58,10.30,10.30,10.32
26.16,6.06,-4.26,6.06,-4.26,4.24,4.14,3.67,10.30,10.30,10.32
26.43,6.13,-4.18,6.13,-4.18,4.17,4.09,3.75,10.30,10.30,10.31
26.69,6.22,-4.09,6.22,-4.09,4.09,4.04,3.83,10.31,10.31,10.31
26.96,6.31,-4.00,6.31,-4.00,4.00,3.99,3.92,10.31,10.31,10.30
27.23,6.39,-3.90,6.39,-3.90,3.91,3.93,4.00,10.30,10.30,10.29
27.50,6.47,-3.82,6.47,-3.82,3.83,3.86,4.08,10.29,10.29,10.28
