frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.85,-6.90,2.85,-6.90,6.00,5.91,2.73,8.85,8.85,9.75
20.20,2.88,-6.87,2.88,-6.87,6.00,5.90,2.81,8.88,8.88,9.75
20.40,2.91,-6.85,2.91,-6.84,6.00,5.89,2.89,8.91,8.91,9.75
20.61,2.94,-6.82,2.93,-6.82,6.00,5.90,2.97,8.94,8.93,9.76
20.81,2.96,-6.80,2.96,-6.80,6.00,5.91,3.06,8.96,8.96,9.76
21.02,2.97,-6.79,2.97,-6.79,6.00,5.93,3.15,8.97,8.97,9.76
21.23,2.99,-6.78,2.99,-6.77,6.00,5.95,3.23,8.99,8.99,9.76
21.44,3.00,-6.76,3.00,-6.76,6.00,5.97,3.33,9.00,9.00,9.76
21.66,3.01,-6.74,3.01,-6.74,6.00,5.99,3.42,9.01,9.01,9.75
21.87,3.03,-6.72,3.03,-6.72,6.00,6.01,3.52,9.03,9.03,9.75
22.09,3.04,-6.70,3.04,-6.70,6.00,6.03,3.62,9.04,9.04,9.74
22.31,3.06,-6.68,3.06,-6.68,6.00,6.04,3.72,9.06,9.06,9.74
22.54,3.08,-6.65,3.08,-6.65,6.00,6.05,3.83,9.08,9.08,9.73
22.76,3.10,-6.63,3.10,-6.63,6.00,6.06,3.94,9.10,9.10,9.73
22.99,3.12,-6.61,3.12,-6.61,6.00,6.07,4.05,9.12,9.12,9.73
23.22,3.14,-6.59,3.14,-6.59,6.00,6.08,4.16,9.14,9.14,9.73
23.45,3.15,-6.58,3.15,-6.58,6.00,6.09,4.28,9.15,9.15,9.73
23.69,3.15,-6.57,3.15,-6.57,6.00,6.09,4.40,9.15,9.15,9.73
23.92,3.16,-6.57,3.16,-6.57,6.00,6.10,4.52,9.16,9.16,9.73
24.16,3.17,-6.56,3.17,-6.56,6.00,6.10,4.64,9.17,9.17,9.73
24.40,3.17,-6.55,3.17,-6.55,6.00,6.10,4.77,9.17,9.17,9.72
24.65,3.18,-6.54,3.18,-6.54,6.00,6.10,4.90,9.18,9.18,9.72
24.89,3.18,-6.53,3.18,-6.53,6.00,6.11,5.02,9.18,9.18,9.72
25.14,3.19,-6.52,3.19,-6.52,6.00,6.11,5.16,9.19,9.19,9.71
25.39,3.20,-6.50,3.20,-6.50,6.00,6.11,5.29,9.20,9.20,9.70
25.65,3.21,-6.49,3.21,-6.49,6.00,6.11,5.42,9.21,9.21,9.70
25.91,3.21,-6.48,3.21,-6.48,6.00,6.11,5.55,9.21,9.21,9.69
26.16,3.22,-6.47,3.22,-6.47,6.00,6.10,5.69,9.22,9.22,9.68
26.43,3.23,-6.45,3.23,-6.45,6.00,6.10,5.82,9.23,9.23,9.68
26.69,3.23,-6.44,3.23,-6.44,6.00,6.10,5.95,9.23,9.23,9.68
26.96,3.24,-6.43,3.24,-6.43,6.00,6.10,6.08,9.24,9.24,9.67
27.23,3.25,-6.41,3.25,-6.41,6.00,6.09,6.21,9.25,9.25,9.66
27.50,3.25,-6.40,3.25,-6.40,6.00,6.09,6.33,9.25,9.25,9.65
27.77,3.26,-6.39,3.26,-6.39,6.00,6.08,6.45,9.26,9.26,9.64
28.05,3.26,-6.37,3.26,-6.37,6.00,6.08,6.57,9.26,9.26,9.63
28.33,3.26,-6.36,3.26,-6.36,6.00,6.07,6.68,9.26,9.26,9.62
28.62,3.25,-6.35,3.25,-6.35,6.00,6.07,6.79,9.25,9.25,9.60
28.90,3.25,-6.34,3.25,-6.34,6.00,6.06,6.88,9.25,9.25,9.59
29.19,3.25,-6.33,3.25,-6.33,6.00,6.05,6.97,9.25,9.25,9.58
29.48,3.25,-6.32,3.25,-6.32,6.00,6.04,7.05,9.25,9.25,9.57
29.78,3.25,-6.31,3.25,-6.31,6.00,6.04,7.13,9.25,9.25,9.56
30.08,3.26,-6.29,3.26,-6.29,6.00,6.03,7.19,9.26,9.26,9.55
30.38,3.27,-6.27,3.27,-6.27,6.00,6.02,7.24,9.27,9.27,9.54
30.68,3.28,-6.24,3.28,-6.24,6.00,6.01,7.28,9.28,9.28,9.52
30.99,3.29,-6.22,3.29,-6.22,6.00,6.00,7.32,9.29,9.29,9.51
31.30,3.30,-6.19,3.30,-6.19,6.00,5.99,7.33,9.30,9.30,9.49
31.61,3.31,-6.17,3.31,-6.17,6.00,5.98,7.35,9.31,9.31,9.48
31.93,3.31,-6.15,3.31,-6.15,6.00,5.97,7.34,9.31,9.31,9.46
32.24,3.31,-6.13,3.31,-6.13,6.00,5.95,7.33,9.32,9.32,9.45
32.57,3.32,-6.11,3.32,-6.11,6.00,5.94,7.30,9.32,9.32,9.43
32.89,3.32,-6.09,3.32,-6.09,6.00,5.93,7.27,9.33,9.33,9.41
33.22,3.33,-6.06,3.33,-6.06,6.00,5.92,7.22,9.33,9.33,9.39
33.55,3.34,-6.03,3.34,-6.04,6.00,5.90,7.17,9.34,9.34,9.37
