frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.76,1.57,7.76,1.57,-1.56,-1.61,-1.18,6.20,6.20,6.19
20.20,7.78,1.59,7.78,1.59,-1.59,-1.64,-1.21,6.19,6.19,6.19
20.40,7.80,1.61,7.81,1.61,-1.62,-1.67,-1.25,6.19,6.19,6.19
20.61,7.83,1.64,7.83,1.64,-1.65,-1.70,-1.28,6.18,6.18,6.19
20.81,7.86,1.67,7.86,1.67,-1.68,-1.73,-1.32,6.18,6.18,6.19
21.02,7.89,1.71,7.89,1.71,-1.71,-1.76,-1.36,6.18,6.18,6.18
21.23,7.93,1.75,7.93,1.75,-1.75,-1.79,-1.39,6.18,6.18,6.18
21.44,7.96,1.78,7.96,1.78,-1.78,-1.82,-1.43,6.18,6.18,6.18
21.66,7.99,1.82,7.99,1.82,-1.82,-1.85,-1.48,6.17,6.17,6.17
21.87,8.02,1.86,8.02,1.86,-1.86,-1.88,-1.52,6.16,6.16,6.16
22.09,8.05,1.90,8.05,1.90,-1.90,-1.91,-1.56,6.15,6.15,6.15
22.31,8.08,1.93,8.08,1.93,-1.93,-1.94,-1.61,6.14,6.14,6.14
22.54,8.11,1.97,8.11,1.97,-1.97,-1.98,-1.65,6.13,6.13,6.13
22.76,8.13,2.01,8.13,2.01,-2.01,-2.01,-1.70,6.12,6.12,6.12
22.99,8.16,2.05,8.16,2.05,-2.05,-2.04,-1.75,6.11,6.11,6.11
23.22,8.19,2.09,8.19,2.09,-2.09,-2.07,-1.80,6.10,6.10,6.10
23.45,8.22,2.13,8.22,2.13,-2.13,-2.10,-1.85,6.09,6.09,6.09
23.69,8.25,2.17,8.25,2.17,-2.16,-2.13,-1.90,6.09,6.09,6.08
23.92,8.28,2.20,8.28,2.20,-2.20,-2.16,-1.95,6.08,6.08,6.08
24.16,8.31,2.24,8.31,2.24,-2.24,-2.20,-2.00,6.07,6.07,6.07
24.40,8.34,2.28,8.34,2.28,-2.28,-2.23,-2.06,6.06,6.06,6.06
24.65,8.36,2.31,8.36,2.31,-2.32,-2.26,-2.11,6.05,6.05,6.05
24.89,8.39,2.35,8.39,2.35,-2.36,-2.29,-2.17,6.03,6.03,6.04
25.14,8.41,2.39,8.41,2.39,-2.39,-2.32,-2.22,6.02,6.02,6.02
25.39,8.44,2.43,8.44,2.43,-2.43,-2.35,-2.28,6.01,6.01,6.01
25.65,8.46,2.46,8.46,2.46,-2.46,-2.38,-2.34,5.99,5.99,5.99
25.91,8.47,2.50,8.47,2.50,-2.49,-2.41,-2.39,5.98,5.98,5.98
26.16,8.49,2.53,8.49,2.52,-2.52,-2.44,-2.45,5.97,5.97,5.96
26.43,8.50,2.55,8.50,2.55,-2.54,-2.46,-2.51,5.96,5.96,5.95
