frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.85,5.62,10.85,5.62,-5.62,-5.58,-2.65,5.24,5.24,5.24
20.20,10.86,5.62,10.86,5.62,-5.62,-5.59,-2.73,5.24,5.24,5.24
20.40,10.86,5.63,10.86,5.63,-5.63,-5.61,-2.80,5.24,5.24,5.23
20.61,10.87,5.63,10.87,5.63,-5.63,-5.62,-2.89,5.24,5.23,5.23
20.81,10.87,5.64,10.87,5.64,-5.64,-5.63,-2.97,5.23,5.23,5.23
21.02,10.87,5.64,10.87,5.64,-5.64,-5.64,-3.05,5.23,5.23,5.23
21.23,10.87,5.65,10.87,5.65,-5.65,-5.65,-3.14,5.22,5.22,5.23
21.44,10.88,5.66,10.88,5.66,-5.66,-5.66,-3.23,5.22,5.22,5.22
21.66,10.88,5.66,10.88,5.66,-5.66,-5.66,-3.32,5.21,5.21,5.21
21.87,10.88,5.67,10.88,5.67,-5.67,-5.67,-3.41,5.21,5.21,5.21
22.09,10.88,5.68,10.88,5.68,-5.68,-5.67,-3.51,5.20,5.20,5.20
22.31,10.88,5.69,10.88,5.69,-5.69,-5.68,-3.61,5.19,5.19,5.19
22.54,10.88,5.70,10.88,5.70,-5.70,-5.68,-3.71,5.18,5.18,5.18
22.76,10.88,5.71,10.88,5.71,-5.71,-5.69,-3.82,5.17,5.17,5.17
22.99,10.87,5.72,10.87,5.72,-5.72,-5.69,-3.92,5.16,5.16,5.15
23.22,10.87,5.73,10.87,5.73,-5.72,-5.69,-4.04,5.15,5.15,5.15
23.45,10.87,5.73,10.87,5.73,-5.73,-5.70,-4.15,5.14,5.14,5.14
23.69,10.87,5.74,10.87,5.74,-5.73,-5.70,-4.26,5.13,5.13,5.13
23.92,10.86,5.74,10.86,5.74,-5.74,-5.70,-4.38,5.12,5.12,5.12
24.16,10.86,5.74,10.86,5.74,-5.74,-5.71,-4.50,5.11,5.11,5.12
24.40,10.85,5.75,10.85,5.75,-5.75,-5.71,-4.62,5.10,5.10,5.11
24.65,10.85,5.75,10.85,5.75,-5.76,-5.72,-4.74,5.09,5.09,5.10
24.89,10.84,5.76,10.84,5.76,-5.76,-5.72,-4.87,5.08,5.08,5.08
25.14,10.84,5.77,10.84,5.77,-5.77,-5.73,-5.00,5.07,5.07,5.07
25.39,10.83,5.78,10.83,5.78,-5.78,-5.73,-5.12,5.05,5.05,5.05
25.65,10.83,5.79,10.83,5.79,-5.79,-5.74,-5.25,5.04,5.04,5.04
25.91,10.82,5.80,10.82,5.80,-5.80,-5.75,-5.38,5.02,5.02,5.02
26.16,10.81,5.80,10.81,5.81,-5.80,-5.76,-5.51,5.01,5.01,5.01
26.43,10.81,5.81,10.81,5.81,-5.81,-5.76,-5.64,5.00,5.00,5.00
26.69,10.80,5.81,10.80,5.81,-5.81,-5.77,-5.76,4.99,4.99,4.99
26.96,10.79,5.81,10.79,5.81,-5.81,-5.78,-5.89,4.98,4.98,4.98
