frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.38,-5.66,2.38,-5.66,5.69,-0.01,2.09,8.07,8.07,8.05
20.20,2.41,-5.64,2.41,-5.64,5.65,-0.01,2.15,8.05,8.05,8.04
20.40,2.44,-5.61,2.44,-5.61,5.60,-0.01,2.21,8.03,8.03,8.04
20.61,2.47,-5.57,2.47,-5.57,5.55,-0.01,2.28,8.02,8.02,8.04
20.81,2.50,-5.53,2.50,-5.53,5.51,-0.01,2.35,8.01,8.01,8.04
21.02,2.54,-5.49,2.54,-5.49,5.47,-0.01,2.42,8.01,8.01,8.03
21.23,2.58,-5.44,2.58,-5.44,5.43,-0.01,2.49,8.01,8.01,8.02
21.44,2.62,-5.39,2.62,-5.39,5.39,-0.01,2.56,8.01,8.01,8.00
21.66,2.65,-5.34,2.65,-5.34,5.35,-0.01,2.63,7.99,7.99,7.99
21.87,2.68,-5.30,2.68,-5.30,5.31,-0.01,2.71,7.98,7.98,7.97
22.09,2.70,-5.26,2.70,-5.26,5.27,-0.01,2.79,7.97,7.97,7.96
22.31,2.72,-5.23,2.72,-5.23,5.24,-0.01,2.87,7.96,7.96,7.95
22.54,2.73,-5.22,2.73,-5.22,5.22,-0.01,2.96,7.95,7.95,7.95
22.76,2.75,-5.20,2.75,-5.20,5.20,-0.01,3.04,7.95,7.95,7.95
22.99,2.76,-5.19,2.76,-5.19,5.19,-0.01,3.13,7.95,7.95,7.95
23.22,2.78,-5.18,2.78,-5.18,5.18,-0.01,3.22,7.96,7.96,7.96
23.45,2.79,-5.18,2.79,-5.18,5.17,-0.01,3.31,7.96,7.96,7.97
23.69,2.82,-5.16,2.82,-5.16,5.16,-0.01,3.40,7.97,7.98,7.98
23.92,2.84,-5.15,2.84,-5.15,5.14,-0.01,3.50,7.99,7.99,7.99
24.16,2.87,-5.13,2.87,-5.13,5.13,-0.01,3.60,8.00,8.00,8.00
24.40,2.89,-5.11,2.89,-5.11,5.11,-0.01,3.70,8.00,8.00,8.00
24.65,2.92,-5.08,2.92,-5.08,5.08,-0.01,3.80,8.01,8.00,8.00
24.89,2.94,-5.06,2.94,-5.06,5.06,-0.01,3.90,8.00,8.00,8.00
25.14,2.97,-5.03,2.97,-5.03,5.04,-0.01,4.00,8.00,8.00,8.00
25.39,2.99,-5.01,2.99,-5.01,5.01,-0.01,4.10,8.00,8.00,7.99
25.65,3.01,-4.98,3.01,-4.98,4.98,-0.01,4.21,7.99,7.99,7.99
25.91,3.03,-4.96,3.03,-4.96,4.96,-0.01,4.31,7.99,7.99,7.99
26.16,3.05,-4.93,3.05,-4.93,4.93,-0.01,4.41,7.99,7.99,7.99
26.43,3.08,-4.91,3.08,-4.91,4.91,-0.01,4.51,7.98,7.98,7.98
26.69,3.10,-4.88,3.10,-4.88,4.88,-0.01,4.61,7.98,7.98,7.99
26.96,3.13,-4.86,3.13,-4.86,4.85,-0.01,4.71,7.98,7.98,7.98
27.23,3.16,-4.83,3.15,-4.83,4.83,-0.02,4.81,7.98,7.98,7.98
27.50,3.18,-4.80,3.18,-4.80,4.80,-0.02,4.91,7.98,7.98,7.98
27.77,3.20,-4.77,3.20,-4.77,4.77,-0.02,5.00,7.97,7.97,7.97
28.05,3.22,-4.74,3.22,-4.74,4.74,-0.02,5.08,7.96,7.96,7.96
28.33,3.24,-4.71,3.24,-4.71,4.71,-0.02,5.16,7.95,7.95,7.95
28.62,3.26,-4.68,3.26,-4.68,4.68,-0.02,5.24,7.94,7.94,7.94
28.90,3.28,-4.64,3.28,-4.64,4.64,-0.02,5.31,7.93,7.93,7.93
29.19,3.30,-4.61,3.30,-4.61,4.61,-0.02,5.38,7.92,7.92,7.92
29.48,3.33,-4.58,3.33,-4.58,4.58,-0.02,5.44,7.91,7.91,7.91
29.78,3.35,-4.55,3.35,-4.55,4.55,-0.02,5.49,7.90,7.90,7.90
30.08,3.37,-4.52,3.37,-4.52,4.52,-0.02,5.53,7.89,7.89,7.89
30.38,3.39,-4.49,3.39,-4.49,4.49,-0.02,5.56,7.89,7.89,7.88
30.68,3.41,-4.46,3.41,-4.46,4.47,-0.02,5.59,7.88,7.88,7.88
30.99,3.43,-4.44,3.43,-4.44,4.44,-0.02,5.61,7.87,7.87,7.87
31.30,3.45,-4.41,3.45,-4.41,4.41,-0.02,5.61,7.86,7.86,7.86
31.61,3.46,-4.38,3.46,-4.38,4.38,-0.02,5.61,7.84,7.84,7.85
31.93,3.48,-4.35,3.48,-4.35,4.35,-0.02,5.60,7.83,7.83,7.83
32.24,3.50,-4.32,3.50,-4.32,4.32,-0.02,5.58,7.82,7.82,7.82
32.57,3.51,-4.29,3.51,-4.29,4.29,-0.02,5.55,7.80,7.80,7.81
32.89,3.53,-4.26,3.53,-4.26,4.26,-0.02,5.52,7.79,7.79,7.79
33.22,3.55,-4.23,3.55,-4.23,4.23,-0.02,5.47,7.78,7.78,7.78
33.55,3.57,-4.20,3.57,-4.20,4.20,-0.02,5.42,7.77,7.77,7.77
33.89,3.59,-4.17,3.59,-4.17,4.17,-0.02,5.36,7.76,7.76,7.76
34.23,3.60,-4.14,3.60,-4.14,4.14,-0.02,5.30,7.75,7.75,7.75
34.57,3.62,-4.12,3.62,-4.12,4.12,-0.02,5.23,7.73,7.73,7.74
34.92,3.64,-4.09,3.64,-4.09,4.09,-0.03,5.16,7.72,7.72,7.72
35.27,3.65,-4.06,3.65,-4.06,4.06,-0.03,5.08,7.71,7.71,7.71
35.62,3.67,-4.03,3.67,-4.03,4.03,-0.03,5.00,7.70,7.70,7.70
35.97,3.68,-4.00,3.68,-4.00,4.00,-0.03,4.91,7.68,7.68,7.68
36.33,3.70,-3.97,3.70,-3.97,3.97,-0.03,4.82,7.66,7.66,7.66
36.70,3.71,-3.93,3.71,-3.93,3.93,-0.03,4.73,7.65,7.65,7.65
37.06,3.73,-3.90,3.73,-3.90,3.90,-0.03,4.64,7.63,7.63,7.63
37.43,3.74,-3.87,3.74,-3.87,3.87,-0.03,4.55,7.61,7.61,7.61
37.81,3.76,-3.84,3.76,-3.83,3.83,-0.03,4.46,7.59,7.59,7.59
38.19,3.77,-3.80,3.77,-3.80,3.80,-0.03,4.36,7.57,7.57,7.57
38.57,3.78,-3.77,3.78,-3.77,3.77,-0.03,4.27,7.55,7.55,7.55
38.95,3.80,-3.73,3.80,-3.73,3.74,-0.03,4.18,7.53,7.53,7.53
39.34,3.81,-3.70,3.81,-3.70,3.70,-0.03,4.09,7.51,7.51,7.51
39.74,3.82,-3.67,3.82,-3.67,3.67,-0.03,4.00,7.49,7.49,7.49
40.14,3.83,-3.64,3.83,-3.64,3.64,-0.03,3.91,7.48,7.48,7.48
40.54,3.84,-3.61,3.84,-3.61,3.61,-0.03,3.83,7.46,7.46,7.46
40.94,3.85,-3.59,3.86,-3.59,3.59,-0.04,3.74,7.44,7.44,7.44
41.35,3.87,-3.56,3.87,-3.56,3.56,-0.04,3.66,7.42,7.42,7.42
41.76,3.88,-3.53,3.88,-3.53,3.53,-0.04,3.58,7.41,7.41,7.40
42.18,3.89,-3.50,3.89,-3.50,3.50,-0.04,3.50,7.39,7.39,7.39
42.60,3.90,-3.47,3.90,-3.47,3.47,-0.04,3.43,7.37,7.37,7.37
43.03,3.91,-3.44,3.91,-3.44,3.44,-0.04,3.36,7.35,7.35,7.36
43.46,3.92,-3.42,3.92,-3.41,3.41,-0.04,3.29,7.33,7.33,7.34
43.90,3.94,-3.38,3.94,-3.38,3.38,-0.04,3.22,7.31,7.31,7.32
44.33,3.95,-3.35,3.95,-3.35,3.34,-0.04,3.15,7.30,7.30,7.30
44.78,3.97,-3.31,3.97,-3.31,3.31,-0.04,3.09,7.28,7.28,7.27
45.23,3.98,-3.27,3.98,-3.27,3.28,-0.04,3.03,7.25,7.25,7.25
45.68,3.99,-3.24,3.99,-3.24,3.24,-0.04,2.97,7.23,7.23,7.22
46.13,3.99,-3.21,3.99,-3.21,3.21,-0.05,2.91,7.21,7.21,7.20
46.60,4.00,-3.18,4.00,-3.18,3.18,-0.05,2.86,7.18,7.18,7.18
47.06,4.01,-3.15,4.01,-3.15,3.15,-0.05,2.81,7.16,7.16,7.16
47.53,4.01,-3.13,4.01,-3.13,3.12,-0.05,2.76,7.14,7.14,7.14
48.01,4.02,-3.10,4.02,-3.10,3.09,-0.05,2.71,7.12,7.12,7.12
48.49,4.03,-3.07,4.03,-3.07,3.06,-0.05,2.67,7.09,7.09,7.10
48.97,4.04,-3.03,4.04,-3.03,3.03,-0.05,2.63,7.07,7.07,7.07
49.46,4.04,-3.00,4.04,-3.00,3.00,-0.05,2.59,7.04,7.04,7.04
49.96,4.05,-2.97,4.05,-2.97,2.97,-0.05,2.55,7.02,7.02,7.02
50.46,4.06,-2.93,4.06,-2.93,2.93,-0.05,2.51,6.99,6.99,6.99
50.96,4.07,-2.89,4.07,-2.89,2.89,-0.06,2.48,6.96,6.96,6.96
51.47,4.07,-2.85,4.07,-2.86,2.86,-0.06,2.44,6.93,6.93,6.93
51.99,4.08,-2.82,4.08,-2.82,2.82,-0.06,2.41,6.90,6.90,6.90
52.51,4.09,-2.78,4.09,-2.78,2.78,-0.06,2.38,6.87,6.87,6.87
53.03,4.10,-2.75,4.09,-2.75,2.75,-0.06,2.35,6.84,6.84,6.84
53.56,4.10,-2.71,4.10,-2.71,2.71,-0.06,2.32,6.82,6.82,6.82
54.10,4.11,-2.68,4.11,-2.68,2.68,-0.06,2.29,6.79,6.79,6.79
54.64,4.11,-2.65,4.11,-2.65,2.65,-0.07,2.26,6.76,6.76,6.76
55.18,4.12,-2.61,4.12,-2.61,2.61,-0.07,2.24,6.73,6.73,6.73
55.74,4.12,-2.58,4.12,-2.58,2.58,-0.07,2.21,6.70,6.70,6.70
56.29,4.12,-2.54,4.12,-2.54,2.54,-0.07,2.18,6.67,6.67,6.67
56.86,4.13,-2.51,4.13,-2.51,2.51,-0.07,2.16,6.64,6.64,6.64
57.42,4.13,-2.47,4.13,-2.47,2.47,-0.07,2.13,6.60,6.60,6.60
58.00,4.14,-2.44,4.14,-2.44,2.44,-0.07,2.10,6.57,6.57,6.57
58.58,4.14,-2.40,4.14,-2.40,2.40,-0.08,2.08,6.54,6.54,6.54
59.16,4.14,-2.37,4.14,-2.37,2.37,-0.08,2.05,6.51,6.51,6.51
59.76,4.14,-2.33,4.14,-2.33,2.33,-0.08,2.02,6.47,6.47,6.47
60.35,4.14,-2.30,4.14,-2.30,2.30,-0.08,1.99,6.44,6.44,6.44
60.96,4.14,-2.26,4.14,-2.26,2.26,-0.08,1.96,6.41,6.41,6.41
61.57,4.14,-2.23,4.14,-2.23,2.23,-0.09,1.93,6.37,6.37,6.37
62.18,4.15,-2.19,4.15,-2.19,2.19,-0.09,1.90,6.34,6.34,6.34
62.80,4.15,-2.16,4.15,-2.16,2.16,-0.09,1.87,6.31,6.31,6.30
63.43,4.15,-2.12,4.15,-2.12,2.12,-0.09,1.84,6.27,6.27,6.27
64.07,4.15,-2.09,4.15,-2.09,2.08,-0.09,1.80,6.24,6.24,6.24
64.71,4.15,-2.05,4.15,-2.05,2.05,-0.10,1.77,6.20,6.20,6.20
65.35,4.15,-2.01,4.15,-2.01,2.01,-0.10,1.73,6.16,6.16,6.16
66.01,4.15,-1.97,4.15,-1.97,1.97,-0.10,1.69,6.12,6.12,6.12
66.67,4.15,-1.93,4.15,-1.93,1.93,-0.10,1.65,6.08,6.08,6.08
67.33,4.15,-1.89,4.15,-1.89,1.89,-0.10,1.61,6.04,6.04,6.04
68.01,4.15,-1.84,4.15,-1.85,1.85,-0.11,1.57,6.00,6.00,6.00
