frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.56,-0.55,8.56,-0.55,0.59,-0.43,-0.20,9.15,9.15,9.11
20.20,8.56,-0.55,8.56,-0.56,0.56,-0.44,-0.21,9.13,9.12,9.12
20.40,8.56,-0.55,8.56,-0.55,0.54,-0.45,-0.21,9.10,9.10,9.12
20.61,8.57,-0.54,8.57,-0.54,0.51,-0.45,-0.22,9.08,9.08,9.11
20.81,8.58,-0.52,8.58,-0.52,0.48,-0.46,-0.22,9.06,9.06,9.10
21.02,8.59,-0.48,8.59,-0.48,0.46,-0.47,-0.23,9.05,9.05,9.07
21.23,8.61,-0.44,8.61,-0.44,0.43,-0.48,-0.23,9.04,9.04,9.05
21.44,8.62,-0.40,8.62,-0.40,0.40,-0.49,-0.24,9.02,9.02,9.02
21.66,8.64,-0.35,8.64,-0.35,0.36,-0.50,-0.24,9.00,9.00,8.99
21.87,8.65,-0.31,8.65,-0.32,0.33,-0.51,-0.25,8.98,8.98,8.96
22.09,8.65,-0.28,8.65,-0.28,0.30,-0.52,-0.25,8.95,8.95,8.94
22.31,8.65,-0.26,8.65,-0.26,0.28,-0.53,-0.26,8.93,8.93,8.92
22.54,8.65,-0.25,8.65,-0.25,0.26,-0.54,-0.26,8.91,8.91,8.90
22.76,8.64,-0.24,8.64,-0.24,0.25,-0.55,-0.27,8.89,8.89,8.89
22.99,8.64,-0.24,8.64,-0.24,0.23,-0.56,-0.28,8.87,8.87,8.88
23.22,8.64,-0.23,8.64,-0.23,0.22,-0.57,-0.28,8.86,8.86,8.87
23.45,8.65,-0.21,8.65,-0.21,0.19,-0.58,-0.29,8.85,8.85,8.86
23.69,8.67,-0.18,8.67,-0.18,0.17,-0.59,-0.30,8.83,8.83,8.85
23.92,8.69,-0.14,8.69,-0.14,0.14,-0.60,-0.30,8.82,8.82,8.83
24.16,8.71,-0.10,8.71,-0.10,0.10,-0.61,-0.31,8.81,8.81,8.81
