frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.60,2.42,10.60,2.42,-2.54,-2.37,-1.51,8.06,8.06,8.18
20.20,10.69,2.51,10.70,2.52,-2.54,-2.40,-1.55,8.15,8.16,8.18
20.40,10.77,2.58,10.77,2.59,-2.55,-2.43,-1.60,8.22,8.22,8.18
20.61,10.82,2.64,10.81,2.63,-2.55,-2.47,-1.64,8.27,8.26,8.18
20.81,10.81,2.65,10.81,2.65,-2.56,-2.50,-1.69,8.26,8.26,8.16
21.02,10.78,2.64,10.78,2.64,-2.56,-2.53,-1.74,8.22,8.22,8.14
21.23,10.72,2.60,10.72,2.60,-2.56,-2.56,-1.79,8.16,8.16,8.12
21.44,10.65,2.56,10.65,2.56,-2.56,-2.60,-1.85,8.09,8.08,8.09
21.66,10.57,2.51,10.57,2.51,-2.53,-2.63,-1.90,8.04,8.04,8.06
21.87,10.50,2.47,10.51,2.48,-2.51,-2.66,-1.96,7.99,8.00,8.03
22.09,10.47,2.47,10.47,2.47,-2.50,-2.69,-2.01,7.97,7.97,8.01
22.31,10.47,2.48,10.47,2.48,-2.51,-2.72,-2.07,7.95,7.95,7.98
22.54,10.49,2.52,10.49,2.52,-2.54,-2.76,-2.13,7.95,7.95,7.97
22.76,10.54,2.58,10.54,2.58,-2.59,-2.79,-2.20,7.95,7.95,7.96
22.99,10.60,2.65,10.60,2.65,-2.64,-2.82,-2.26,7.96,7.96,7.95
23.22,10.66,2.72,10.66,2.72,-2.70,-2.85,-2.33,7.96,7.96,7.94
23.45,10.71,2.78,10.71,2.78,-2.76,-2.88,-2.39,7.95,7.95,7.93
23.69,10.75,2.84,10.75,2.83,-2.82,-2.91,-2.46,7.93,7.93,7.92
23.92,10.78,2.88,10.78,2.88,-2.87,-2.94,-2.53,7.91,7.91,7.90
24.16,10.80,2.92,10.80,2.92,-2.92,-2.98,-2.60,7.88,7.88,7.88
24.40,10.81,2.96,10.81,2.96,-2.97,-3.01,-2.67,7.84,7.84,7.85
24.65,10.82,3.00,10.82,3.00,-3.01,-3.04,-2.74,7.81,7.81,7.82
24.89,10.83,3.04,10.83,3.04,-3.05,-3.07,-2.82,7.78,7.78,7.79
25.14,10.84,3.08,10.85,3.08,-3.09,-3.10,-2.89,7.75,7.75,7.76
25.39,10.86,3.13,10.86,3.13,-3.13,-3.14,-2.97,7.73,7.73,7.73
25.65,10.87,3.17,10.87,3.17,-3.16,-3.17,-3.04,7.71,7.71,7.70
25.91,10.88,3.20,10.88,3.20,-3.18,-3.20,-3.11,7.70,7.69,7.68
26.16,10.87,3.22,10.87,3.22,-3.20,-3.23,-3.19,7.67,7.67,7.65
26.43,10.85,3.23,10.85,3.23,-3.21,-3.26,-3.26,7.64,7.64,7.62
26.69,10.82,3.23,10.82,3.23,-3.21,-3.29,-3.34,7.61,7.61,7.60
26.96,10.80,3.22,10.80,3.22,-3.22,-3.32,-3.41,7.57,7.57,7.58
27.23,10.78,3.21,10.78,3.22,-3.24,-3.35,-3.48,7.54,7.54,7.56
27.50,10.78,3.23,10.78,3.23,-3.26,-3.38,-3.55,7.52,7.52,7.55
27.77,10.81,3.26,10.81,3.26,-3.30,-3.41,-3.61,7.51,7.51,7.55
28.05,10.86,3.32,10.86,3.32,-3.34,-3.43,-3.68,7.51,7.52,7.54
28.33,10.93,3.39,10.92,3.39,-3.40,-3.46,-3.74,7.53,7.52,7.53
28.62,10.99,3.47,10.99,3.47,-3.46,-3.49,-3.79,7.53,7.53,7.52
28.90,11.05,3.54,11.05,3.54,-3.52,-3.51,-3.84,7.53,7.53,7.51
29.19,11.09,3.60,11.09,3.60,-3.57,-3.54,-3.90,7.51,7.51,7.49
29.48,11.11,3.65,11.11,3.64,-3.62,-3.56,-3.94,7.49,7.49,7.47
29.78,11.11,3.67,11.11,3.67,-3.65,-3.59,-3.98,7.45,7.46,7.44
30.08,11.10,3.68,11.10,3.68,-3.68,-3.61,-4.01,7.42,7.42,7.42
30.38,11.08,3.69,11.08,3.69,-3.69,-3.63,-4.04,7.39,7.39,7.40
30.68,11.06,3.69,11.06,3.69,-3.69,-3.65,-4.06,7.37,7.37,7.37
30.99,11.04,3.69,11.04,3.69,-3.69,-3.67,-4.08,7.34,7.34,7.35
31.30,11.01,3.70,11.01,3.70,-3.69,-3.69,-4.09,7.32,7.32,7.32
31.61,10.99,3.70,10.99,3.70,-3.70,-3.71,-4.10,7.29,7.29,7.29
31.93,10.96,3.70,10.96,3.70,-3.71,-3.73,-4.10,7.25,7.25,7.26
32.24,10.94,3.71,10.94,3.71,-3.73,-3.74,-4.10,7.21,7.21,7.23
32.57,10.93,3.73,10.93,3.73,-3.75,-3.76,-4.08,7.17,7.18,7.20
32.89,10.93,3.76,10.93,3.76,-3.78,-3.77,-4.07,7.15,7.15,7.17
33.22,10.94,3.81,10.94,3.81,-3.82,-3.79,-4.05,7.12,7.12,7.13
33.55,10.96,3.86,10.95,3.86,-3.85,-3.80,-4.02,7.10,7.10,7.10
33.89,10.96,3.90,10.96,3.90,-3.89,-3.81,-3.99,7.08,7.08,7.06
34.23,10.96,3.93,10.96,3.93,-3.91,-3.82,-3.96,7.04,7.04,7.02
34.57,10.94,3.96,10.94,3.95,-3.94,-3.83,-3.92,7.00,7.00,6.98
34.92,10.90,3.96,10.91,3.96,-3.95,-3.84,-3.88,6.96,6.96,6.94
35.27,10.86,3.96,10.86,3.96,-3.95,-3.85,-3.84,6.92,6.92,6.91
35.62,10.82,3.95,10.82,3.95,-3.94,-3.85,-3.80,6.87,6.87,6.87
35.97,10.77,3.94,10.77,3.94,-3.94,-3.86,-3.75,6.83,6.83,6.83
36.33,10.72,3.92,10.72,3.92,-3.94,-3.86,-3.70,6.78,6.78,6.79
36.70,10.67,3.92,10.67,3.92,-3.94,-3.87,-3.65,6.73,6.73,6.75
37.06,10.63,3.92,10.64,3.92,-3.95,-3.87,-3.60,6.68,6.68,6.71
37.43,10.61,3.94,10.62,3.95,-3.97,-3.87,-3.55,6.64,6.65,6.67
